,Date,Open,High,Low,Close
1850,2025-06-19,10.0,10.0,10.0,10.0
1849,2025-06-02,13.1,13.1,13.1,13.1
1848,2025-05-30,13.1,13.1,13.1,13.1
1847,2025-05-29,13.1,13.1,13.1,13.1
1846,2025-05-28,13.1,13.1,13.1,13.1
1845,2025-05-27,13.1,13.1,13.1,13.1
1844,2025-05-26,13.1,13.1,13.1,13.1
1843,2025-05-23,13.1,13.1,13.1,13.1
1842,2025-05-22,13.1,13.1,13.1,13.1
1841,2025-05-21,13.1,13.1,13.1,13.1
1840,2025-05-20,13.1,13.1,13.1,13.1
1839,2025-05-19,13.1,13.1,13.1,13.1
1838,2025-05-16,13.1,13.1,13.1,13.1
1837,2025-05-15,13.1,13.1,13.1,13.1
1836,2025-05-14,13.1,13.1,13.1,13.1
1835,2025-05-13,13.1,13.1,13.1,13.1
1834,2025-05-12,13.1,13.1,13.1,13.1
1833,2025-05-09,13.1,13.1,13.1,13.1
1832,2025-05-08,13.1,13.1,13.1,13.1
1831,2025-05-07,13.1,13.1,13.1,13.1
1830,2025-05-06,13.1,13.1,13.1,13.1
1829,2025-05-05,13.1,13.1,13.1,13.1
1828,2025-04-29,13.1,13.1,13.1,13.1
1827,2025-04-28,13.1,13.1,13.1,13.1
1826,2025-04-25,13.1,13.1,13.1,13.1
1825,2025-04-24,13.1,13.1,13.1,13.1
1824,2025-04-23,13.1,13.1,13.1,13.1
1823,2025-04-22,13.1,13.1,13.1,13.1
1822,2025-04-21,13.1,13.1,13.1,13.1
1821,2025-04-18,13.1,13.1,13.1,13.1
1820,2025-04-17,13.1,13.1,13.1,13.1
1819,2025-04-16,13.1,13.1,13.1,13.1
1818,2025-04-15,13.1,13.1,13.1,13.1
1817,2025-04-14,13.1,13.1,13.1,13.1
1816,2025-04-11,13.1,13.1,13.1,13.1
1815,2025-04-10,13.1,13.1,13.1,13.1
1814,2025-04-09,13.1,13.1,13.1,13.1
1813,2025-04-08,13.1,13.1,13.1,13.1
1812,2025-04-04,13.1,13.1,13.1,13.1
1811,2025-04-03,13.1,13.1,13.1,13.1
1810,2025-04-02,13.1,13.1,13.1,13.1
1809,2025-04-01,13.1,13.1,13.1,13.1
1808,2025-03-31,13.1,13.1,13.1,13.1
1807,2025-03-28,13.1,13.1,13.1,13.1
1806,2025-03-27,13.1,13.1,13.1,13.1
1805,2025-03-26,13.1,13.1,13.1,13.1
1804,2025-03-25,13.1,13.1,13.1,13.1
1803,2025-03-24,13.1,13.1,13.1,13.1
1802,2025-03-21,13.1,13.1,13.1,13.1
1801,2025-03-20,13.1,13.1,13.1,13.1
1800,2025-03-19,13.1,13.1,13.1,13.1
1799,2025-03-18,13.1,13.1,13.1,13.1
1798,2025-03-17,13.1,13.1,13.1,13.1
1797,2025-03-14,13.1,13.1,13.1,13.1
1796,2025-03-13,13.1,13.1,13.1,13.1
1795,2025-03-12,13.1,13.1,13.1,13.1
1794,2025-03-11,13.1,13.1,13.1,13.1
1793,2025-03-10,13.1,13.1,13.1,13.1
1792,2025-03-07,13.1,13.1,13.1,13.1
1791,2025-03-06,13.1,13.1,13.1,13.1
1790,2025-03-05,13.1,13.1,13.1,13.1
1789,2025-03-04,13.1,13.1,13.1,13.1
1788,2025-03-03,13.1,13.1,13.1,13.1
1787,2025-02-28,13.1,13.1,13.1,13.1
1786,2025-02-27,13.1,13.1,13.1,13.1
1785,2025-02-26,13.1,13.1,13.1,13.1
1784,2025-02-25,13.1,13.1,13.1,13.1
1783,2025-02-24,13.1,13.1,13.1,13.1
1782,2025-02-21,13.1,13.1,13.1,13.1
1781,2025-02-20,13.1,13.1,13.1,13.1
1780,2025-02-19,13.1,13.1,13.1,13.1
1779,2025-02-18,13.1,13.1,13.1,13.1
1778,2025-02-17,13.1,13.1,13.1,13.1
1777,2025-02-14,13.1,13.1,13.1,13.1
1776,2025-02-13,13.1,13.1,13.1,13.1
1775,2025-02-12,13.1,13.1,13.1,13.1
1774,2025-02-11,13.1,13.1,13.1,13.1
1773,2025-02-10,13.1,13.1,13.1,13.1
1772,2025-02-07,13.1,13.1,13.1,13.1
1771,2025-02-06,13.1,13.1,13.1,13.1
1770,2025-02-05,13.1,13.1,13.1,13.1
1769,2025-02-04,13.1,13.1,13.1,13.1
1768,2025-02-03,13.1,13.1,13.1,13.1
1767,2025-01-24,13.1,13.1,13.1,13.1
1766,2025-01-23,13.1,13.1,13.1,13.1
1765,2025-01-22,13.1,13.1,13.1,13.1
1764,2025-01-21,13.1,13.1,13.1,13.1
1763,2025-01-20,13.1,13.1,13.1,13.1
1762,2025-01-17,13.1,13.1,13.1,13.1
1761,2025-01-16,13.1,13.1,13.1,13.1
1760,2025-01-15,13.1,13.1,13.1,13.1
1759,2025-01-14,13.1,13.1,13.1,13.1
1758,2025-01-13,13.1,13.1,13.1,13.1
1757,2025-01-10,13.1,13.1,13.1,13.1
1756,2025-01-09,13.1,13.1,13.1,13.1
1755,2025-01-08,13.1,13.1,13.1,13.1
1754,2025-01-07,13.1,13.1,13.1,13.1
1753,2025-01-06,13.1,13.1,13.1,13.1
1752,2025-01-03,13.1,13.1,13.1,13.1
1751,2025-01-02,13.1,13.1,13.1,13.1
1750,2024-12-31,13.1,13.1,13.1,13.1
1749,2024-12-30,13.1,13.1,13.1,13.1
1748,2024-12-27,13.1,13.1,13.1,13.1
1747,2024-12-26,13.1,13.1,13.1,13.1
1746,2024-12-25,13.1,13.1,13.1,13.1
1745,2024-12-24,13.1,13.1,13.1,13.1
1744,2024-12-23,13.1,13.1,13.1,13.1
1743,2024-12-20,13.1,13.1,13.1,13.1
1742,2024-12-19,13.1,13.1,13.1,13.1
1741,2024-12-18,13.1,13.1,13.1,13.1
1740,2024-12-17,13.1,13.1,13.1,13.1
1739,2024-12-16,13.1,13.1,13.1,13.1
1738,2024-12-13,13.1,13.1,13.1,13.1
1737,2024-12-12,13.1,13.1,13.1,13.1
1736,2024-12-11,13.1,13.1,13.1,13.1
1735,2024-12-10,13.1,13.1,13.1,13.1
1734,2024-12-09,13.1,13.1,13.1,13.1
1733,2024-12-06,13.1,13.1,13.1,13.1
1732,2024-12-05,13.1,13.1,13.1,13.1
1731,2024-12-04,13.1,13.1,13.1,13.1
1730,2024-12-03,13.1,13.1,13.1,13.1
1729,2024-12-02,13.1,13.1,13.1,13.1
1728,2024-11-29,13.1,13.1,13.1,13.1
1727,2024-11-28,13.1,13.1,13.1,13.1
1726,2024-11-27,13.1,13.1,13.1,13.1
1725,2024-11-26,13.1,13.1,13.1,13.1
1724,2024-11-25,13.1,13.1,13.1,13.1
1723,2024-11-22,13.1,13.1,13.1,13.1
1722,2024-11-21,13.1,13.1,13.1,13.1
1721,2024-11-20,13.1,13.1,13.1,13.1
1720,2024-11-19,13.1,13.1,13.1,13.1
1719,2024-11-18,13.1,13.1,13.1,13.1
1718,2024-11-15,13.1,13.1,13.1,13.1
1717,2024-11-14,13.1,13.1,13.1,13.1
1716,2024-11-13,13.1,13.1,13.1,13.1
1715,2024-11-12,13.1,13.1,13.1,13.1
1714,2024-11-11,13.1,13.1,13.1,13.1
1713,2024-11-08,13.1,13.1,13.1,13.1
1712,2024-11-07,13.1,13.1,13.1,13.1
1711,2024-11-06,13.1,13.1,13.1,13.1
1710,2024-11-05,13.1,13.1,13.1,13.1
1709,2024-11-04,13.1,13.1,13.1,13.1
1708,2024-11-01,13.1,13.1,13.1,13.1
1707,2024-10-31,13.1,13.1,13.1,13.1
1706,2024-10-30,13.1,13.1,13.1,13.1
1705,2024-10-29,13.1,13.1,13.1,13.1
1704,2024-10-28,13.1,13.1,13.1,13.1
1703,2024-10-25,13.1,13.1,13.1,13.1
1702,2024-10-24,13.1,13.1,13.1,13.1
1701,2024-10-23,13.1,13.1,13.1,13.1
1700,2024-10-22,13.1,13.1,13.1,13.1
1699,2024-10-21,13.1,13.1,13.1,13.1
1698,2024-10-18,13.1,13.1,13.1,13.1
1697,2024-10-17,13.1,13.1,13.1,13.1
1696,2024-10-16,13.1,13.1,13.1,13.1
1695,2024-10-15,13.1,13.1,13.1,13.1
1694,2024-10-14,13.1,13.1,13.1,13.1
1693,2024-10-11,13.1,13.1,13.1,13.1
1692,2024-10-10,13.1,13.1,13.1,13.1
1691,2024-10-09,13.1,13.1,13.1,13.1
1690,2024-10-08,13.1,13.1,13.1,13.1
1689,2024-10-07,13.1,13.1,13.1,13.1
1688,2024-10-04,13.1,13.1,13.1,13.1
1687,2024-10-03,13.1,13.1,13.1,13.1
1686,2024-10-02,13.1,13.1,13.1,13.1
1685,2024-10-01,13.1,13.1,13.1,13.1
1684,2024-09-30,13.1,13.1,13.1,13.1
1683,2024-09-27,13.1,13.1,13.1,13.1
1682,2024-09-26,13.1,13.1,13.1,13.1
1681,2024-09-25,13.1,13.1,13.1,13.1
1680,2024-09-24,13.1,13.1,13.1,13.1
1679,2024-09-23,13.1,13.1,13.1,13.1
1678,2024-09-20,13.1,13.1,13.1,13.1
1677,2024-09-19,13.1,13.1,13.1,13.1
1676,2024-09-18,13.1,13.1,13.1,13.1
1675,2024-09-17,13.1,13.1,13.1,13.1
1674,2024-09-16,13.1,13.1,13.1,13.1
1673,2024-09-13,13.1,13.1,13.1,13.1
1672,2024-09-12,13.1,13.1,13.1,13.1
1671,2024-09-11,13.1,13.1,13.1,13.1
1670,2024-09-10,13.1,13.1,13.1,13.1
1669,2024-09-09,13.1,13.1,13.1,13.1
1668,2024-09-06,13.1,13.1,13.1,13.1
1667,2024-09-05,13.1,13.1,13.1,13.1
1666,2024-09-04,13.1,13.1,13.1,13.1
1665,2024-08-30,13.1,13.1,13.1,13.1
1664,2024-08-29,13.1,13.1,13.1,13.1
1663,2024-08-28,13.1,13.1,13.1,13.1
1662,2024-08-27,13.1,13.1,13.1,13.1
1661,2024-08-26,13.1,13.1,13.1,13.1
1660,2024-08-23,13.1,13.1,13.1,13.1
1659,2024-08-22,13.1,13.1,13.1,13.1
1658,2024-08-21,13.1,13.1,13.1,13.1
1657,2024-08-20,13.1,13.1,13.1,13.1
1656,2024-08-19,13.1,13.1,13.1,13.1
1655,2024-08-16,13.1,13.1,13.1,13.1
1654,2024-08-15,13.1,13.1,13.1,13.1
1653,2024-08-14,13.1,13.1,13.1,13.1
1652,2024-08-13,13.1,13.1,13.1,13.1
1651,2024-08-12,13.1,13.1,13.1,13.1
1650,2024-08-09,13.1,13.1,13.1,13.1
1649,2024-08-08,13.1,13.1,13.1,13.1
1648,2024-08-07,13.1,13.1,13.1,13.1
1647,2024-08-06,13.1,13.1,13.1,13.1
1646,2024-08-05,13.1,13.1,13.1,13.1
1645,2024-08-02,13.1,13.1,13.1,13.1
1644,2024-08-01,13.1,13.1,13.1,13.1
1643,2024-07-31,13.1,13.1,13.1,13.1
1642,2024-07-30,13.1,13.1,13.1,13.1
1641,2024-07-29,13.1,13.1,13.1,13.1
1640,2024-07-26,13.1,13.1,13.1,13.1
1639,2024-07-25,13.1,13.1,13.1,13.1
1638,2024-07-24,13.1,13.1,13.1,13.1
1637,2024-07-23,13.1,13.1,13.1,13.1
1636,2024-07-22,13.1,13.1,13.1,13.1
