,Date,Open,High,Low,Close
1712,2025-10-06,5.4,5.4,5.4,5.4
1711,2025-09-29,7.7,7.7,5.7,5.7
1710,2025-09-15,6.7,6.7,6.7,6.7
1709,2025-09-05,6.9,6.9,6.9,6.9
1708,2025-08-19,6.0,6.0,6.0,6.0
1707,2025-08-13,7.0,7.0,7.0,7.0
1706,2025-08-12,7.3,7.3,7.3,7.3
1705,2025-08-08,8.2,8.2,8.2,8.2
1704,2025-08-06,7.2,7.2,7.2,7.2
1703,2025-08-05,8.3,8.3,8.3,8.3
1702,2025-08-04,7.3,7.3,7.3,7.3
1701,2025-08-01,8.0,8.5,8.0,8.5
1700,2025-07-31,9.2,9.7,9.2,9.7
1699,2025-07-30,8.5,8.5,8.4,8.4
1698,2025-07-29,7.4,7.4,7.4,7.4
1697,2025-07-28,6.5,6.5,6.5,6.5
1696,2025-07-24,6.0,7.3,6.0,7.3
1695,2025-07-23,7.4,7.4,5.9,5.9
1694,2025-07-22,6.5,6.5,6.5,6.5
1693,2025-07-15,7.3,7.3,7.3,7.3
1692,2025-07-11,6.3,6.5,6.3,6.5
1691,2025-07-10,7.1,7.1,7.1,7.1
1690,2025-07-09,7.0,7.0,7.0,7.0
1689,2025-07-03,6.2,6.2,6.1,6.1
1688,2025-06-26,7.0,7.0,7.0,7.0
1687,2025-06-18,6.9,6.9,6.9,6.9
1686,2025-06-12,6.9,6.9,6.9,6.9
1685,2025-06-05,7.4,7.4,7.2,7.2
1684,2025-05-27,8.4,8.4,8.4,8.4
1683,2025-05-21,7.4,7.4,7.4,7.4
1682,2025-05-20,8.2,11.0,8.2,9.0
1681,2025-05-19,9.6,9.6,9.6,9.6
1680,2025-05-14,12.9,12.9,10.0,10.0
1679,2025-05-13,10.2,13.8,10.2,13.8
1678,2025-05-09,12.0,12.0,12.0,12.0
1677,2025-05-08,12.0,12.0,12.0,12.0
1676,2025-05-07,12.0,12.0,12.0,12.0
1675,2025-05-06,12.4,12.4,12.4,12.4
1674,2025-04-28,12.4,12.4,12.4,12.4
1673,2025-04-24,11.0,12.5,11.0,12.5
1672,2025-04-23,10.8,14.2,10.8,14.2
1671,2025-04-22,12.5,12.5,12.5,12.5
1670,2025-04-21,11.1,11.1,11.1,11.1
1669,2025-04-18,9.7,9.7,9.7,9.7
1668,2025-04-16,8.5,8.5,8.5,8.5
1667,2025-04-15,7.4,7.4,7.4,7.4
1666,2025-04-03,6.5,6.5,6.5,6.5
1665,2025-04-02,5.7,5.7,5.7,5.7
1664,2024-07-25,4.1,4.1,4.1,4.1
1663,2024-07-24,4.1,4.1,4.1,4.1
1662,2024-07-23,3.6,3.6,3.6,3.6
1661,2024-07-22,3.6,3.6,3.6,3.6
1660,2024-07-19,3.6,3.6,3.6,3.6
1659,2024-07-18,3.6,3.6,3.6,3.6
1658,2024-07-17,3.6,3.6,3.6,3.6
1657,2024-07-16,3.6,3.6,3.6,3.6
1656,2024-07-15,3.6,3.6,3.6,3.6
1655,2024-07-12,3.6,3.6,3.6,3.6
1654,2024-07-11,3.57,3.57,3.57,3.57
1653,2024-07-10,3.57,3.57,3.57,3.57
1652,2024-07-09,3.57,3.57,3.57,3.57
1651,2024-07-08,3.57,3.57,3.57,3.57
1650,2024-07-05,3.57,3.57,3.57,3.57
1649,2024-07-04,3.57,3.57,3.57,3.57
1648,2024-07-03,3.57,3.57,3.57,3.57
1647,2024-07-02,3.57,3.57,3.57,3.57
1646,2024-07-01,3.57,3.57,3.57,3.57
1645,2024-06-28,3.57,3.57,3.57,3.57
1644,2024-06-27,3.57,3.57,3.57,3.57
1643,2024-06-26,3.57,3.57,3.57,3.57
1642,2024-06-25,3.57,3.57,3.57,3.57
1641,2024-06-24,3.57,3.57,3.57,3.57
1640,2024-06-21,3.57,3.57,3.57,3.57
1639,2024-06-20,3.57,3.57,3.57,3.57
1638,2024-06-19,3.57,3.57,3.57,3.57
1637,2024-06-18,3.57,3.57,3.57,3.57
1636,2024-06-17,2.59,2.59,2.59,2.59
1635,2024-06-14,2.59,2.59,2.59,2.59
1634,2024-06-13,2.59,2.59,2.59,2.59
1633,2024-06-12,2.59,2.59,2.59,2.59
1632,2024-06-11,2.59,2.59,2.59,2.59
1631,2024-06-10,2.59,2.59,2.59,2.59
1630,2024-06-07,2.59,2.59,2.59,2.59
1629,2024-06-06,2.59,2.59,2.59,2.59
1628,2024-06-05,2.59,2.59,2.59,2.59
1627,2024-06-04,2.59,2.59,2.59,2.59
1626,2024-06-03,2.59,2.59,2.59,2.59
1625,2024-05-31,2.59,2.59,2.59,2.59
1624,2024-05-30,2.59,2.59,2.59,2.59
1623,2024-05-29,2.59,2.59,2.59,2.59
1622,2024-05-28,2.59,2.59,2.59,2.59
1621,2024-05-27,2.59,2.59,2.59,2.59
1620,2024-05-24,2.59,2.59,2.59,2.59
1619,2024-05-23,2.59,2.59,2.59,2.59
1618,2024-05-22,2.59,2.59,2.59,2.59
1617,2024-05-21,2.59,2.59,2.59,2.59
1616,2024-05-20,2.59,2.59,2.59,2.59
1615,2024-05-17,2.59,2.59,2.59,2.59
1614,2024-05-16,2.59,2.59,2.59,2.59
1613,2024-05-15,2.59,2.59,2.59,2.59
1612,2024-05-14,2.59,2.59,2.59,2.59
1611,2024-05-13,2.59,2.59,2.59,2.59
1610,2024-05-10,2.59,2.59,2.59,2.59
1609,2024-05-09,2.59,2.59,2.59,2.59
1608,2024-05-08,2.59,2.59,2.59,2.59
1607,2024-05-07,2.59,2.59,2.59,2.59
1606,2024-05-06,2.59,2.59,2.59,2.59
1605,2024-05-03,2.59,2.59,2.59,2.59
1604,2024-05-02,2.59,2.59,2.59,2.59
1603,2024-04-26,2.59,2.59,2.59,2.59
1602,2024-04-25,2.59,2.59,2.59,2.59
1601,2024-04-24,2.59,2.59,2.59,2.59
