,Date,Open,High,Low,Close,Volume
3775,2025-10-23,33.8,33.8,33.8,33.8,200
3774,2025-10-20,37.0,37.0,37.0,37.0,100
3773,2025-10-16,36.1,36.1,36.1,36.1,100
3772,2025-10-08,39.6,48.1,39.6,39.6,2000
3771,2025-10-06,43.9,43.9,43.9,43.9,100
3770,2025-10-03,40.0,40.0,40.0,40.0,100
3769,2025-10-01,37.0,37.0,37.0,37.0,300
3768,2025-09-29,36.0,36.0,34.8,34.8,3000
3767,2025-09-26,35.0,35.0,35.0,35.0,200
3766,2025-09-25,36.0,36.0,36.0,36.0,300
3765,2025-09-24,35.1,36.0,35.1,36.0,2100
3764,2025-09-23,39.0,39.0,39.0,39.0,300
3763,2025-09-22,37.3,37.3,37.0,37.0,1200
3762,2025-09-15,39.3,39.3,39.0,39.0,1800
3761,2025-09-10,39.3,39.3,39.3,39.3,100
3760,2025-09-09,39.3,39.3,39.3,39.3,700
3759,2025-09-08,43.6,43.6,43.6,43.6,100
3758,2025-09-05,43.7,43.7,39.8,39.8,700
3757,2025-09-04,39.9,39.9,39.9,39.9,100
3756,2025-08-29,38.0,38.0,38.0,38.0,500
3755,2025-08-14,36.1,36.1,36.1,36.1,100
3754,2025-08-12,39.4,40.0,39.4,40.0,12300
3753,2025-08-11,36.0,39.6,36.0,39.6,200
3752,2025-08-07,34.5,37.6,34.5,36.0,2800
3751,2025-08-01,34.2,34.2,34.2,34.2,100
3750,2025-07-31,34.0,34.0,34.0,34.0,100
3749,2025-07-09,32.2,32.2,32.2,32.2,0
3748,2025-07-08,32.2,32.2,32.2,32.2,3
3747,2025-07-07,32.2,32.2,32.2,32.2,1201
3746,2025-07-04,33.5,33.7,33.5,33.7,213
3745,2025-07-03,33.2,33.2,33.2,33.2,0
3744,2025-07-02,33.2,33.2,33.2,33.2,10
3743,2025-07-01,33.2,33.2,33.2,33.2,0
3742,2025-06-30,33.2,33.2,33.2,33.2,1101
3741,2025-06-27,36.7,36.7,36.7,36.7,3
3740,2025-06-26,36.51,36.7,36.51,36.7,1220
3739,2025-06-25,34.99,36.61,34.99,36.61,1307
3738,2025-06-24,33.28,33.28,33.28,33.28,0
3737,2025-06-23,33.28,33.28,33.28,33.28,901
3736,2025-06-20,33.28,33.28,33.28,33.28,0
3735,2025-06-19,33.28,33.28,33.28,33.28,15
3734,2025-06-18,33.28,33.28,33.28,33.28,0
3733,2025-06-17,30.62,33.28,30.62,33.28,200
3732,2025-06-16,31.47,31.47,31.47,31.47,0
3731,2025-06-13,31.47,31.47,31.47,31.47,0
3730,2025-06-12,31.47,31.47,31.47,31.47,0
3729,2025-06-11,31.47,31.47,31.47,31.47,2
3728,2025-06-10,31.47,31.47,31.47,31.47,0
3727,2025-06-09,31.47,31.47,31.47,31.47,15
3726,2025-06-06,31.47,31.47,31.47,31.47,0
3725,2025-06-05,31.47,31.47,31.47,31.47,0
3724,2025-06-04,31.47,31.47,31.47,31.47,27
3723,2025-06-03,31.47,31.47,31.47,31.47,30
3722,2025-06-02,31.47,31.47,31.47,31.47,100
3721,2025-05-30,34.51,34.51,34.51,34.51,0
3720,2025-05-29,34.51,34.51,34.51,34.51,15
3719,2025-05-28,34.51,34.51,34.51,34.51,0
3718,2025-05-27,34.51,34.51,34.51,34.51,100
3717,2025-05-26,31.47,31.47,31.47,31.47,0
3716,2025-05-23,31.47,31.47,31.47,31.47,0
3715,2025-05-22,31.47,31.47,31.47,31.47,0
3714,2025-05-21,31.47,31.47,31.47,31.47,0
3713,2025-05-20,31.47,31.47,31.47,31.47,1000
3712,2025-05-19,31.38,31.38,31.38,31.38,100
3711,2025-05-16,33.18,33.75,33.18,33.75,4704
3710,2025-05-15,31.38,31.38,31.38,31.38,2
3709,2025-05-14,30.9,33.18,30.9,31.38,1404
3708,2025-05-13,32.23,32.23,32.23,32.23,100
3707,2025-05-12,31.0,32.23,30.81,32.23,9100
3706,2025-05-09,30.9,30.9,30.81,30.81,3140
3705,2025-05-08,30.52,30.52,30.52,30.52,100
3704,2025-05-07,33.18,33.18,33.18,33.18,0
3703,2025-05-06,30.05,33.18,30.05,33.18,200
3702,2025-05-05,32.8,32.8,32.8,32.8,0
3701,2025-04-29,29.47,32.99,29.47,32.8,700
3700,2025-04-28,32.23,32.23,31.47,31.47,900
