,Date,Open,High,Low,Close,Volume
414,2022-12-28,29.1,29.1,28.9,28.9,300
413,2022-12-26,29.8,29.8,29.8,29.8,2300
412,2022-12-23,26.9,26.9,23.1,23.1,1500
411,2022-12-22,24.3,24.3,24.3,24.3,100
410,2022-12-21,22.63,24.2,18.22,24.2,1600
409,2022-12-20,20.58,22.54,20.58,22.54,1900
408,2022-12-19,22.83,23.03,20.67,21.26,2700
407,2022-12-16,23.42,23.42,23.42,23.42,400
406,2022-12-15,23.91,23.91,22.54,23.52,1900
405,2022-12-14,24.2,24.2,23.52,23.52,1900
404,2022-12-13,21.16,28.22,21.07,24.3,4900
403,2022-12-12,24.5,27.34,24.3,27.34,4400
402,2022-12-09,23.32,31.26,23.32,31.06,1500
401,2022-12-08,27.43,27.43,27.43,27.43,1500
400,2022-12-07,32.24,32.24,32.24,32.24,0
399,2022-12-06,32.24,32.24,32.24,32.24,0
398,2022-12-05,32.24,32.24,32.24,32.24,200
397,2022-12-02,34.49,34.49,25.67,31.94,500
396,2022-12-01,26.65,32.33,26.65,32.24,1800
395,2022-11-30,31.26,31.35,31.26,31.35,200
394,2022-11-29,31.26,31.26,31.26,31.26,0
393,2022-11-28,31.26,31.26,31.26,31.26,0
392,2022-11-25,31.26,31.26,31.26,31.26,200
391,2022-11-24,30.28,30.28,30.28,30.28,0
390,2022-11-23,30.28,30.28,30.28,30.28,100
389,2022-11-22,27.92,29.3,27.92,29.3,1400
388,2022-11-21,37.33,37.33,28.32,28.32,200
387,2022-11-18,33.31,33.31,33.31,33.31,0
386,2022-11-17,33.31,33.31,33.31,33.31,0
385,2022-11-16,33.31,33.31,33.31,33.31,100
384,2022-11-15,33.31,33.31,33.31,33.31,0
383,2022-11-14,33.31,33.31,33.31,33.31,0
382,2022-11-11,33.31,33.31,33.31,33.31,0
381,2022-11-10,33.31,33.31,33.31,33.31,0
380,2022-11-09,33.31,33.31,33.31,33.31,500
379,2022-11-08,33.31,33.31,33.31,33.31,0
378,2022-11-07,33.31,33.31,33.31,33.31,100
377,2022-11-04,33.31,33.31,33.31,33.31,100
376,2022-11-03,34.29,34.29,34.29,34.29,100
375,2022-11-02,34.78,34.78,26.94,30.28,2800
374,2022-11-01,35.17,35.17,29.98,29.98,1400
373,2022-10-31,35.17,35.17,35.17,35.17,100
372,2022-10-28,32.82,32.82,28.41,28.41,200
371,2022-10-27,29.39,29.39,28.41,28.41,600
370,2022-10-26,34.78,34.78,28.9,28.9,200
369,2022-10-25,37.62,37.62,29.39,29.39,200
368,2022-10-24,32.82,32.82,32.82,32.82,100
367,2022-10-21,28.9,28.9,28.71,28.71,600
366,2022-10-20,29.39,29.39,24.98,28.32,10400
365,2022-10-19,32.33,32.33,25.47,28.32,31600
364,2022-10-18,27.43,28.41,27.43,27.43,2200
363,2022-10-17,31.84,31.84,31.84,31.84,100
362,2022-10-14,34.59,34.59,25.96,28.12,600
361,2022-10-13,30.18,30.18,30.18,30.18,100
360,2022-10-12,33.8,33.8,25.47,28.22,14300
359,2022-10-11,30.86,31.94,27.92,28.32,1400
358,2022-10-10,27.92,27.92,27.92,27.92,200
357,2022-10-07,24.5,24.5,24.5,24.5,1000
356,2022-10-06,22.93,22.93,22.93,22.93,300
355,2022-10-05,23.52,23.52,23.52,23.52,100
354,2022-10-04,25.47,25.47,25.47,25.47,1900
353,2022-10-03,25.38,25.38,25.38,25.38,900
352,2022-09-30,26.94,26.94,23.71,23.71,200
351,2022-09-29,24.98,26.94,24.98,26.94,1300
350,2022-09-28,28.81,28.81,28.81,28.81,100
349,2022-09-27,31.26,31.26,31.26,31.26,0
348,2022-09-26,31.26,31.26,31.26,31.26,200
347,2022-09-23,27.92,27.92,27.92,27.92,0
346,2022-09-22,27.92,27.92,27.92,27.92,100
345,2022-09-21,28.02,28.02,25.08,25.08,9000
344,2022-09-20,25.18,28.02,24.5,28.02,10100
343,2022-09-19,28.12,28.12,22.14,24.59,10400
342,2022-09-16,24.5,24.5,24.5,24.5,100
341,2022-09-15,27.43,27.43,27.43,27.43,0
340,2022-09-14,27.43,27.43,27.43,27.43,100
339,2022-09-13,25.87,26.65,22.73,22.73,1000
338,2022-09-12,25.77,25.77,25.77,25.77,100
337,2022-09-09,25.67,25.67,25.67,25.67,0
336,2022-09-08,25.96,28.32,24.01,28.32,1600
335,2022-09-07,25.96,25.96,25.96,25.96,1000
334,2022-09-06,27.14,27.14,26.55,26.55,600
333,2022-09-05,25.18,25.18,25.18,25.18,0
332,2022-08-31,25.18,25.47,24.98,25.18,10400
331,2022-08-30,24.79,24.79,24.79,24.79,0
330,2022-08-29,24.79,24.79,24.79,24.79,200
329,2022-08-26,24.69,24.69,24.69,24.69,800
328,2022-08-25,24.5,24.5,24.5,24.5,600
327,2022-08-24,24.6,24.6,24.13,24.13,900
326,2022-08-23,24.6,24.6,24.6,24.6,0
325,2022-08-22,24.6,24.6,24.6,24.6,0
324,2022-08-19,24.6,24.6,24.6,24.6,0
323,2022-08-18,24.6,24.6,24.6,24.6,100
322,2022-08-17,27.44,27.44,27.44,27.44,0
321,2022-08-16,27.44,27.44,27.44,27.44,100
320,2022-08-15,23.94,23.94,23.94,23.94,0
319,2022-08-12,23.94,23.94,23.94,23.94,100
318,2022-08-11,25.64,25.64,25.64,25.64,0
317,2022-08-10,25.64,25.64,25.64,25.64,0
316,2022-08-09,25.64,25.64,25.64,25.64,600
315,2022-08-08,25.64,25.64,25.54,25.64,2600
314,2022-08-05,25.54,25.64,25.54,25.64,1300
313,2022-08-04,25.64,25.64,25.54,25.54,700
312,2022-08-03,25.64,25.64,25.54,25.54,900
311,2022-08-02,27.44,28.38,26.49,28.38,2100
310,2022-08-01,24.6,27.44,24.6,26.49,4700
309,2022-07-29,24.6,24.6,24.6,24.6,300
308,2022-07-28,24.6,24.6,24.6,24.6,0
307,2022-07-27,24.6,24.6,24.6,24.6,0
306,2022-07-26,24.6,24.6,24.6,24.6,0
305,2022-07-25,24.6,24.6,24.6,24.6,0
304,2022-07-22,24.6,24.6,24.6,24.6,0
303,2022-07-21,24.6,24.6,24.6,24.6,1400
302,2022-07-20,24.6,24.6,24.6,24.6,0
301,2022-07-19,24.5,24.6,24.5,24.6,2500
300,2022-07-18,23.75,23.75,23.75,23.75,300
299,2022-07-15,24.6,24.6,24.6,24.6,100
298,2022-07-14,23.65,23.65,23.65,23.65,0
297,2022-07-13,23.75,23.75,23.65,23.65,1700
296,2022-07-12,23.65,23.65,23.65,23.65,0
295,2022-07-11,23.65,23.65,23.65,23.65,0
294,2022-07-08,23.65,23.65,23.65,23.65,0
293,2022-07-07,23.65,23.65,23.65,23.65,3000
292,2022-07-06,23.65,23.65,23.65,23.65,0
291,2022-07-05,23.65,23.65,23.65,23.65,100
290,2022-07-04,24.13,24.13,23.65,23.65,6000
289,2022-07-01,24.13,24.6,24.13,28.29,8000
288,2022-06-30,28.38,28.38,28.19,28.19,2700
287,2022-06-29,33.11,33.11,33.11,33.11,0
286,2022-06-28,33.11,33.11,33.11,33.11,100
285,2022-06-27,29.05,29.05,29.05,29.05,100
284,2022-06-24,24.6,28.38,24.6,28.38,600
283,2022-06-23,28.1,28.1,28.1,28.1,0
282,2022-06-22,28.1,28.1,28.1,28.1,0
281,2022-06-21,28.48,28.48,27.34,27.34,1500
280,2022-06-20,27.25,27.25,27.25,27.25,11500
279,2022-06-17,23.08,26.3,22.99,26.3,900
278,2022-06-16,22.8,22.99,22.8,22.99,800
277,2022-06-15,24.6,24.6,24.6,24.6,100
276,2022-06-14,28.67,28.67,28.67,28.67,0
