,Date,Open,High,Low,Close
1183,2025-10-17,15.5,15.5,15.3,15.3
1182,2025-10-16,15.3,15.3,15.3,15.3
1181,2025-10-15,15.5,15.5,15.5,15.5
1180,2025-10-14,15.5,15.5,15.5,15.5
1179,2025-10-13,15.6,15.9,15.5,15.5
1178,2025-10-10,15.5,16.0,15.5,16.0
1177,2025-10-09,14.3,15.5,14.3,15.5
1176,2025-10-08,15.6,15.6,15.6,15.6
1175,2025-10-07,15.6,15.6,15.6,15.6
1174,2025-10-06,15.6,15.6,15.6,15.6
1173,2025-10-03,15.6,15.6,15.6,15.6
1172,2025-10-02,15.7,15.7,15.0,15.7
1171,2025-10-01,15.7,15.7,15.7,15.7
1170,2025-09-30,15.7,15.7,15.7,15.7
1169,2025-09-29,15.7,15.7,15.7,15.7
1168,2025-09-26,15.4,15.6,15.4,15.6
1167,2025-09-25,17.0,17.0,17.0,17.0
1166,2025-09-23,16.3,16.9,16.3,16.9
1165,2025-09-18,16.9,16.9,16.9,16.9
1164,2025-09-17,16.9,17.0,16.9,16.9
1163,2025-09-16,17.0,17.0,17.0,17.0
1162,2025-09-15,16.9,17.0,16.9,17.0
1161,2025-09-12,15.4,17.0,15.4,17.0
1160,2025-09-11,16.9,16.9,16.9,16.9
1159,2025-09-05,15.0,16.9,15.0,16.9
1158,2025-09-04,17.2,17.2,16.0,16.1
1157,2025-08-26,17.2,17.2,17.2,17.2
1156,2025-08-22,16.0,16.0,16.0,16.0
1155,2025-08-21,16.2,16.2,16.2,16.2
1154,2025-08-19,16.4,17.2,16.4,16.7
1153,2025-08-18,15.5,16.4,15.5,16.4
1152,2025-08-15,16.0,16.4,16.0,16.4
1151,2025-08-14,16.4,16.4,16.0,16.0
1150,2025-08-13,16.0,16.5,15.3,16.5
1149,2025-08-11,16.0,16.0,16.0,16.0
1148,2025-08-08,16.0,16.5,16.0,16.5
1147,2025-08-07,16.0,16.0,16.0,16.0
1146,2025-08-05,17.0,17.0,16.0,16.0
1145,2025-08-04,17.3,17.3,17.3,17.3
1144,2025-08-01,15.8,17.3,15.7,17.3
1143,2025-07-31,15.8,17.3,15.7,17.3
1142,2025-07-30,15.9,17.3,15.6,17.3
1141,2025-07-29,16.0,17.3,16.0,17.2
1140,2025-07-28,15.3,15.8,15.3,15.8
1139,2025-07-25,15.4,15.4,15.4,15.4
