,Date,Open,High,Low,Close
914,2025-10-17,8.55,8.65,8.5,8.65
913,2025-10-16,8.5,8.6,8.5,8.6
912,2025-10-15,8.5,8.6,8.5,8.6
911,2025-10-14,8.45,8.5,8.45,8.5
910,2025-10-13,8.45,8.45,8.45,8.45
909,2025-10-10,8.46,8.7,8.46,8.6
908,2025-10-09,8.5,8.5,8.5,8.5
907,2025-10-08,8.7,8.7,8.5,8.65
906,2025-10-06,8.7,8.78,8.7,8.7
905,2025-10-03,8.51,8.58,8.41,8.58
904,2025-10-02,8.45,8.69,8.45,8.69
903,2025-10-01,8.7,8.8,8.7,8.8
902,2025-09-30,8.41,8.67,8.41,8.65
901,2025-09-29,8.7,8.7,8.6,8.65
900,2025-09-25,8.6,8.6,8.6,8.6
899,2025-09-24,8.41,8.65,8.4,8.6
898,2025-09-23,8.6,8.6,8.59,8.59
897,2025-09-22,8.9,8.9,8.37,8.6
896,2025-09-18,9.39,9.39,8.9,8.9
895,2025-09-17,8.5,8.9,8.45,8.9
894,2025-09-16,8.9,8.9,8.9,8.9
893,2025-09-15,8.43,8.79,8.43,8.79
892,2025-09-12,9.0,9.0,8.69,8.69
891,2025-09-11,8.21,8.5,8.21,8.5
890,2025-09-10,8.18,8.49,8.18,8.49
889,2025-09-09,8.3,8.4,8.15,8.4
888,2025-09-05,8.31,8.5,8.31,8.5
887,2025-09-04,8.26,8.5,8.26,8.39
886,2025-09-03,8.22,8.4,8.22,8.4
885,2025-08-29,8.22,8.5,8.22,8.24
884,2025-08-28,8.5,8.5,8.5,8.5
883,2025-08-27,8.4,8.4,8.4,8.4
882,2025-08-26,8.19,8.4,8.19,8.4
881,2025-08-25,8.4,8.4,8.39,8.4
880,2025-08-22,8.41,8.41,8.4,8.4
879,2025-08-21,8.59,8.59,8.44,8.58
878,2025-08-20,8.33,8.45,8.33,8.45
877,2025-08-19,8.4,8.5,8.39,8.5
876,2025-08-18,8.4,8.4,8.4,8.4
875,2025-08-15,8.5,8.5,8.35,8.4
874,2025-08-14,8.45,8.5,8.43,8.5
873,2025-08-13,8.42,8.52,8.42,8.52
872,2025-08-12,8.54,8.6,8.42,8.42
871,2025-08-11,8.5,8.6,8.5,8.6
870,2025-08-08,8.5,8.55,8.5,8.5
869,2025-08-07,8.32,8.5,8.31,8.5
868,2025-08-06,8.21,8.4,8.21,8.4
867,2025-08-05,8.43,8.46,8.3,8.31
866,2025-08-04,8.46,8.46,8.24,8.43
865,2025-08-01,8.54,8.54,8.18,8.53
864,2025-07-31,8.02,8.59,8.02,8.54
863,2025-07-30,8.3,8.39,8.21,8.39
862,2025-07-29,8.44,8.44,8.1,8.3
861,2025-07-28,8.6,8.6,8.19,8.44
860,2025-07-25,8.6,8.6,8.6,8.6
859,2025-07-24,8.5,8.5,8.37,8.5
858,2025-07-23,8.5,8.67,8.39,8.5
857,2025-07-22,8.9,9.19,8.57,8.57
856,2025-07-21,8.3,8.59,8.3,8.59
855,2025-07-18,7.99,8.49,7.99,8.03
854,2025-07-17,7.8,7.94,7.67,7.94
853,2025-07-16,7.65,8.0,7.65,7.8
852,2025-07-15,7.9,8.2,7.9,8.2
851,2025-07-11,7.9,7.95,7.9,7.95
850,2025-07-08,7.75,7.9,7.7,7.9
849,2025-07-07,7.85,7.9,7.85,7.9
848,2025-07-03,7.56,7.9,7.56,7.9
847,2025-07-02,7.51,7.51,7.51,7.51
846,2025-07-01,7.75,7.75,7.5,7.5
845,2025-06-27,7.23,7.79,7.23,7.79
844,2025-06-26,7.75,7.75,7.75,7.75
843,2025-06-20,8.17,8.2,8.17,8.2
842,2025-06-12,8.0,8.19,7.72,8.19
841,2025-06-10,7.57,8.3,7.57,8.3
840,2025-06-09,8.0,8.0,8.0,8.0
839,2025-06-05,7.7,8.23,7.7,7.8
838,2025-06-04,7.55,7.7,7.55,7.7
837,2025-06-03,7.55,7.6,7.55,7.6
836,2025-06-02,7.84,7.84,7.52,7.55
835,2025-05-30,7.88,7.88,7.68,7.68
834,2025-05-29,7.88,7.88,7.88,7.88
833,2025-05-28,7.89,7.89,7.89,7.89
832,2025-05-27,7.87,7.89,7.87,7.89
831,2025-05-26,7.82,7.87,7.82,7.87
830,2025-05-23,7.6,7.87,7.5,7.87
829,2025-05-22,7.52,7.87,7.52,7.87
828,2025-05-21,7.5,7.89,7.5,7.89
827,2025-05-20,7.5,7.9,7.5,7.9
826,2025-05-19,7.97,7.97,7.97,7.97
825,2025-05-16,8.0,8.0,8.0,8.0
824,2025-05-15,8.19,8.19,8.19,8.19
823,2025-05-13,7.53,7.77,7.53,7.77
822,2025-05-12,7.78,7.78,7.78,7.78
821,2025-05-07,7.9,7.9,7.37,7.9
820,2025-05-06,7.9,7.91,7.9,7.91
819,2025-04-29,8.2,8.2,8.19,8.19
818,2025-04-28,7.61,8.22,7.61,8.22
817,2025-04-25,7.99,7.99,7.99,7.99
816,2025-04-24,7.76,7.76,7.65,7.65
815,2025-04-23,8.15,8.15,7.75,7.75
814,2025-04-22,7.51,8.15,7.51,8.15
813,2025-04-21,7.77,7.77,7.29,7.77
812,2025-04-18,7.56,7.56,7.22,7.27
811,2025-04-17,7.56,7.56,7.56,7.56
810,2025-04-16,7.45,7.56,7.0,7.56
809,2025-04-15,7.62,7.62,7.1,7.1
808,2025-04-14,7.53,7.62,7.01,7.62
807,2025-04-11,7.63,7.63,7.15,7.53
806,2025-04-10,7.14,7.14,7.14,7.14
805,2025-04-09,7.15,7.15,6.67,6.67
804,2025-04-08,6.94,7.15,6.93,7.15
803,2025-04-04,6.95,7.44,6.95,7.44
802,2025-04-03,7.54,7.54,7.45,7.45
801,2025-04-02,8.01,8.01,8.01,8.01
800,2025-04-01,8.05,8.05,7.62,8.01
799,2025-03-31,7.67,7.67,7.44,7.53
798,2025-03-28,7.09,7.81,7.09,7.67
797,2025-03-27,7.62,7.62,7.62,7.62
796,2025-03-26,7.62,7.62,7.62,7.62
