,Date,Open,High,Low,Close,Volume
919,2025-10-24,8.42,8.8,8.42,8.8,400
918,2025-10-23,8.9,8.9,8.9,8.9,100
917,2025-10-22,8.8,8.8,8.8,8.8,1500
916,2025-10-21,8.7,8.7,8.21,8.7,500
915,2025-10-20,8.65,8.75,8.65,8.7,1900
914,2025-10-17,8.55,8.65,8.5,8.65,3500
913,2025-10-16,8.5,8.6,8.5,8.6,800
912,2025-10-15,8.5,8.6,8.5,8.6,4500
911,2025-10-14,8.45,8.5,8.45,8.5,800
910,2025-10-13,8.45,8.45,8.45,8.45,1900
909,2025-10-10,8.46,8.7,8.46,8.6,2500
908,2025-10-09,8.5,8.5,8.5,8.5,100
907,2025-10-08,8.7,8.7,8.5,8.65,1400
906,2025-10-06,8.7,8.78,8.7,8.7,1000
905,2025-10-03,8.51,8.58,8.41,8.58,7200
904,2025-10-02,8.45,8.69,8.45,8.69,1300
903,2025-10-01,8.7,8.8,8.7,8.8,3300
902,2025-09-30,8.41,8.67,8.41,8.65,900
901,2025-09-29,8.7,8.7,8.6,8.65,700
900,2025-09-25,8.6,8.6,8.6,8.6,200
899,2025-09-24,8.41,8.65,8.4,8.6,2600
898,2025-09-23,8.6,8.6,8.59,8.59,500
897,2025-09-22,8.9,8.9,8.37,8.6,5100
896,2025-09-18,9.39,9.39,8.9,8.9,600
895,2025-09-17,8.5,8.9,8.45,8.9,3800
894,2025-09-16,8.9,8.9,8.9,8.9,100
893,2025-09-15,8.43,8.79,8.43,8.79,500
892,2025-09-12,9.0,9.0,8.69,8.69,600
891,2025-09-11,8.21,8.5,8.21,8.5,200
890,2025-09-10,8.18,8.49,8.18,8.49,1300
889,2025-09-09,8.3,8.4,8.15,8.4,8400
888,2025-09-05,8.31,8.5,8.31,8.5,6500
887,2025-09-04,8.26,8.5,8.26,8.39,2300
886,2025-09-03,8.22,8.4,8.22,8.4,1700
885,2025-08-29,8.22,8.5,8.22,8.24,300
884,2025-08-28,8.5,8.5,8.5,8.5,400
883,2025-08-27,8.4,8.4,8.4,8.4,2700
882,2025-08-26,8.19,8.4,8.19,8.4,300
881,2025-08-25,8.4,8.4,8.39,8.4,1300
880,2025-08-22,8.41,8.41,8.4,8.4,6600
879,2025-08-21,8.59,8.59,8.44,8.58,8000
878,2025-08-20,8.33,8.45,8.33,8.45,13000
877,2025-08-19,8.4,8.5,8.39,8.5,15000
876,2025-08-18,8.4,8.4,8.4,8.4,8100
875,2025-08-15,8.5,8.5,8.35,8.4,20600
874,2025-08-14,8.45,8.5,8.43,8.5,1400
873,2025-08-13,8.42,8.52,8.42,8.52,5600
872,2025-08-12,8.54,8.6,8.42,8.42,3500
871,2025-08-11,8.5,8.6,8.5,8.6,1200
870,2025-08-08,8.5,8.55,8.5,8.5,1000
869,2025-08-07,8.32,8.5,8.31,8.5,26300
868,2025-08-06,8.21,8.4,8.21,8.4,800
867,2025-08-05,8.43,8.46,8.3,8.31,25500
866,2025-08-04,8.46,8.46,8.24,8.43,6500
865,2025-08-01,8.54,8.54,8.18,8.53,1400
864,2025-07-31,8.02,8.59,8.02,8.54,8400
863,2025-07-30,8.3,8.39,8.21,8.39,9000
862,2025-07-29,8.44,8.44,8.1,8.3,9900
861,2025-07-28,8.6,8.6,8.19,8.44,22500
860,2025-07-25,8.6,8.6,8.6,8.6,1600
859,2025-07-24,8.5,8.5,8.37,8.5,15800
858,2025-07-23,8.5,8.67,8.39,8.5,9000
857,2025-07-22,8.9,9.19,8.57,8.57,12100
856,2025-07-21,8.3,8.59,8.3,8.59,13100
855,2025-07-18,7.99,8.49,7.99,8.03,37500
854,2025-07-17,7.8,7.94,7.67,7.94,3000
853,2025-07-16,7.65,8.0,7.65,7.8,4800
852,2025-07-15,7.9,8.2,7.9,8.2,300
851,2025-07-11,7.9,7.95,7.9,7.95,600
850,2025-07-08,7.75,7.9,7.7,7.9,1100
849,2025-07-07,7.85,7.9,7.85,7.9,400
848,2025-07-03,7.56,7.9,7.56,7.9,1700
847,2025-07-02,7.51,7.51,7.51,7.51,1100
846,2025-07-01,7.75,7.75,7.5,7.5,1100
845,2025-06-27,7.23,7.79,7.23,7.79,200
844,2025-06-26,7.75,7.75,7.75,7.75,6200
843,2025-06-20,8.17,8.2,8.17,8.2,7900
842,2025-06-12,8.0,8.19,7.72,8.19,3800
841,2025-06-10,7.57,8.3,7.57,8.3,300
840,2025-06-09,8.0,8.0,8.0,8.0,100
839,2025-06-05,7.7,8.23,7.7,7.8,7700
838,2025-06-04,7.55,7.7,7.55,7.7,5700
837,2025-06-03,7.55,7.6,7.55,7.6,6100
836,2025-06-02,7.84,7.84,7.52,7.55,106600
835,2025-05-30,7.88,7.88,7.68,7.68,2200
834,2025-05-29,7.88,7.88,7.88,7.88,100
833,2025-05-28,7.89,7.89,7.89,7.89,100
832,2025-05-27,7.87,7.89,7.87,7.89,200
831,2025-05-26,7.82,7.87,7.82,7.87,500
830,2025-05-23,7.6,7.87,7.5,7.87,1100
829,2025-05-22,7.52,7.87,7.52,7.87,200
828,2025-05-21,7.5,7.89,7.5,7.89,900
827,2025-05-20,7.5,7.9,7.5,7.9,2100
826,2025-05-19,7.97,7.97,7.97,7.97,100
825,2025-05-16,8.0,8.0,8.0,8.0,200
824,2025-05-15,8.19,8.19,8.19,8.19,100
823,2025-05-13,7.53,7.77,7.53,7.77,2700
822,2025-05-12,7.78,7.78,7.78,7.78,800
821,2025-05-07,7.9,7.9,7.37,7.9,2800
820,2025-05-06,7.9,7.91,7.9,7.91,600
819,2025-04-29,8.2,8.2,8.19,8.19,200
818,2025-04-28,7.61,8.22,7.61,8.22,301
817,2025-04-25,7.99,7.99,7.99,7.99,100
816,2025-04-24,7.76,7.76,7.65,7.65,1500
815,2025-04-23,8.15,8.15,7.75,7.75,300
814,2025-04-22,7.51,8.15,7.51,8.15,300
813,2025-04-21,7.77,7.77,7.29,7.77,1500
812,2025-04-18,7.56,7.56,7.22,7.27,1800
811,2025-04-17,7.56,7.56,7.56,7.56,200
810,2025-04-16,7.45,7.56,7.0,7.56,2400
809,2025-04-15,7.62,7.62,7.1,7.1,3400
808,2025-04-14,7.53,7.62,7.01,7.62,4609
807,2025-04-11,7.63,7.63,7.15,7.53,1400
806,2025-04-10,7.14,7.14,7.14,7.14,3500
805,2025-04-09,7.15,7.15,6.67,6.67,4600
804,2025-04-08,6.94,7.15,6.93,7.15,6000
803,2025-04-04,6.95,7.44,6.95,7.44,509
802,2025-04-03,7.54,7.54,7.45,7.45,4600
801,2025-04-02,8.01,8.01,8.01,8.01,0
800,2025-04-01,8.05,8.05,7.62,8.01,4000
799,2025-03-31,7.67,7.67,7.44,7.53,2500
798,2025-03-28,7.09,7.81,7.09,7.67,400
797,2025-03-27,7.62,7.62,7.62,7.62,200
796,2025-03-26,7.62,7.62,7.62,7.62,0
795,2025-03-25,7.44,7.62,7.44,7.62,1300
794,2025-03-24,7.62,7.62,7.15,7.15,3700
793,2025-03-21,7.67,7.67,7.67,7.67,300
792,2025-03-20,7.67,7.67,7.67,7.67,100
791,2025-03-19,7.34,7.67,7.34,7.67,200
790,2025-03-18,7.62,7.67,7.62,7.67,2000
789,2025-03-17,7.67,7.67,7.67,7.67,100
788,2025-03-14,7.58,7.62,7.58,7.62,700
787,2025-03-13,7.44,7.81,7.44,7.81,3400
786,2025-03-12,7.91,7.91,7.91,7.91,8
785,2025-03-11,7.47,7.91,7.45,7.91,2601
784,2025-03-10,7.72,7.72,7.62,7.67,1600
783,2025-03-07,7.91,7.91,7.34,7.34,2100
782,2025-03-06,7.34,7.62,7.34,7.62,300
781,2025-03-05,7.58,7.58,7.58,7.58,2200
780,2025-03-04,7.58,7.58,7.58,7.58,1100
779,2025-03-03,7.51,7.72,7.17,7.6,12400
778,2025-02-28,7.7,7.7,7.7,7.7,100
777,2025-02-27,7.77,7.77,7.77,7.77,0
776,2025-02-26,7.77,7.77,7.77,7.77,0
775,2025-02-25,7.77,7.77,7.77,7.77,0
774,2025-02-24,7.77,7.77,7.77,7.77,0
773,2025-02-21,7.91,7.91,7.67,7.77,300
772,2025-02-20,7.67,7.67,7.67,7.67,400
771,2025-02-19,7.67,7.67,7.65,7.67,4800
770,2025-02-18,7.67,7.67,7.34,7.34,2100
769,2025-02-17,7.72,7.72,7.72,7.72,100
768,2025-02-14,7.72,7.72,7.72,7.72,102
767,2025-02-13,7.72,7.72,7.72,7.72,100
766,2025-02-12,7.72,7.72,7.34,7.34,907
765,2025-02-11,7.12,7.72,7.12,7.72,700
764,2025-02-10,7.38,7.38,7.38,7.38,701
763,2025-02-07,7.38,7.38,7.38,7.38,114
762,2025-02-06,7.91,7.91,7.91,7.91,144
761,2025-02-05,7.61,7.61,7.61,7.61,402
760,2025-02-04,7.61,7.61,7.61,7.61,700
759,2025-02-03,7.49,7.61,7.49,7.61,200
758,2025-01-24,7.48,7.49,6.93,7.49,2700
757,2025-01-23,7.41,7.41,7.41,7.41,105
756,2025-01-22,7.15,7.15,7.15,7.15,5600
755,2025-01-21,7.5,7.5,7.5,7.5,0
754,2025-01-20,7.5,7.5,7.5,7.5,1700
753,2025-01-17,7.52,7.52,7.52,7.52,0
