,Date,Open,High,Low,Close,Volume
3509,2025-10-24,16.9,16.9,16.9,16.9,300
3508,2025-10-23,16.8,17.0,16.8,17.0,800
3507,2025-10-22,16.3,16.3,16.2,16.2,5100
3506,2025-10-21,16.6,17.0,16.3,16.3,2400
3505,2025-10-20,16.4,16.4,16.4,16.4,10200
3504,2025-10-17,16.7,16.7,16.6,16.6,1300
3503,2025-10-16,16.8,16.8,16.7,16.7,300
3502,2025-10-15,16.7,16.7,16.1,16.1,5100
3501,2025-10-14,16.7,16.7,16.5,16.5,900
3500,2025-10-10,17.4,17.4,16.5,16.5,1400
3499,2025-10-09,16.5,16.9,16.5,16.9,200
3498,2025-10-02,17.3,17.4,16.7,16.7,1700
3497,2025-09-29,16.5,16.5,16.5,16.5,900
3496,2025-09-25,17.0,17.4,16.6,16.6,13500
3495,2025-09-24,16.5,16.5,16.5,16.5,100
3494,2025-09-22,16.9,16.9,16.9,16.9,400
3493,2025-09-19,16.9,16.9,16.6,16.6,600
3492,2025-09-17,16.6,16.6,16.6,16.6,100
3491,2025-09-16,16.7,16.9,16.7,16.9,700
3490,2025-09-11,16.7,16.7,16.7,16.7,100
3489,2025-09-10,16.5,17.5,16.5,17.5,20400
3488,2025-09-09,16.6,16.6,16.6,16.6,600
3487,2025-09-08,17.5,17.5,16.7,16.7,700
3486,2025-09-05,16.8,17.5,15.2,17.5,66900
3485,2025-09-04,16.5,17.6,16.5,16.8,15600
3484,2025-09-03,17.5,17.5,17.5,17.5,200
3483,2025-08-29,16.6,17.5,16.5,16.8,9400
3482,2025-08-28,16.8,16.8,16.8,16.8,2300
3481,2025-08-26,16.5,16.5,16.5,16.5,3000
3480,2025-08-22,17.7,17.8,17.7,17.8,4000
3479,2025-08-21,16.6,16.6,16.6,16.6,100
3478,2025-08-20,16.6,16.6,16.6,16.6,100
3477,2025-08-19,16.8,16.8,16.6,16.6,1100
3476,2025-08-18,16.9,16.9,16.8,16.8,4500
3475,2025-08-15,17.0,17.1,17.0,17.1,2703
3474,2025-08-14,17.8,17.8,17.8,17.8,3
3473,2025-08-13,17.8,17.8,17.8,17.8,100
