,Date,Open,High,Low,Close,Volume
4393,2025-10-24,10.6,10.6,10.6,10.6,200
4392,2025-10-23,10.5,10.6,10.2,10.2,1800
4391,2025-10-17,12.0,12.0,12.0,12.0,300
4390,2025-10-14,12.0,12.1,12.0,12.1,3500
4389,2025-10-13,12.0,12.0,12.0,12.0,800
4388,2025-10-10,12.5,12.5,12.5,12.5,500
4387,2025-10-08,12.5,12.5,12.5,12.5,100
4386,2025-10-07,12.5,12.5,12.5,12.5,800
4385,2025-10-06,13.0,13.0,13.0,13.0,100
4384,2025-10-03,13.0,13.0,11.7,11.9,1200
4383,2025-10-02,13.4,13.4,12.5,12.5,3500
4382,2025-10-01,12.4,14.2,12.4,13.0,2100
4381,2025-09-29,12.4,12.4,12.4,12.4,100
4380,2025-09-26,11.5,12.4,11.5,12.4,700
4379,2025-09-25,12.5,12.5,12.3,12.5,800
4378,2025-09-23,12.5,12.5,12.5,12.5,9100
4377,2025-09-17,12.8,12.9,12.8,12.8,10100
4376,2025-09-15,12.9,12.9,12.9,12.9,200
4375,2025-09-12,12.1,13.1,12.1,12.7,5300
4374,2025-09-11,14.0,14.3,12.7,12.8,4300
4373,2025-09-10,12.8,12.8,12.7,12.7,200
4372,2025-09-08,11.9,13.2,11.9,13.2,400
4371,2025-09-05,13.2,14.0,12.7,13.6,39000
4370,2025-09-04,12.4,12.4,12.0,12.0,1100
4369,2025-09-03,13.2,13.2,12.6,12.6,900
4368,2025-08-29,12.3,12.9,12.3,12.6,6400
4367,2025-08-28,12.1,12.5,12.1,12.2,2000
4366,2025-08-27,12.0,12.3,12.0,12.3,800
4365,2025-08-25,13.4,13.4,13.4,13.4,100
4364,2025-08-22,11.9,11.9,11.8,11.8,2100
4363,2025-08-21,11.7,12.1,11.7,11.8,8300
4362,2025-08-20,12.1,12.1,12.0,12.1,14200
4361,2025-08-19,12.0,12.2,12.0,12.2,9800
4360,2025-08-18,11.7,12.3,11.6,11.8,500
4359,2025-08-15,12.3,12.3,12.2,12.2,2500
4358,2025-08-14,12.1,12.4,12.1,12.3,21100
4357,2025-08-13,12.1,12.1,12.1,12.1,400
4356,2025-08-12,12.2,12.3,11.1,12.3,900
4355,2025-08-11,12.1,12.2,12.1,12.2,1000
4354,2025-08-08,12.0,12.3,11.9,12.0,700
4353,2025-08-07,12.0,12.3,12.0,12.0,4100
4352,2025-08-06,12.3,12.3,12.0,12.0,13700
4351,2025-08-05,12.6,12.6,11.4,12.5,2500
4350,2025-08-04,12.1,12.1,11.0,11.0,15300
4349,2025-08-01,12.2,12.4,12.0,12.1,14900
4348,2025-07-31,12.2,12.2,12.1,12.1,4300
4347,2025-07-30,12.2,12.5,12.2,12.5,200
4346,2025-07-29,12.7,12.8,12.0,12.0,27800
4345,2025-07-28,12.5,13.4,12.5,12.8,33300
4344,2025-07-25,12.6,12.8,12.5,12.5,19200
4343,2025-07-24,13.0,13.0,12.0,12.9,29700
4342,2025-07-23,13.2,14.2,12.5,13.0,56800
4341,2025-07-22,12.0,13.2,12.0,12.9,27400
4340,2025-07-21,10.5,11.6,10.5,11.6,52200
4339,2025-07-18,9.9,10.5,9.9,10.5,700
4338,2025-07-17,9.6,9.6,9.6,9.6,3000
4337,2025-07-16,9.6,9.6,9.6,9.6,100
4336,2025-07-15,9.6,9.9,9.6,9.9,1300
4335,2025-07-14,9.3,9.8,9.3,9.8,200
4334,2025-07-11,9.3,9.8,9.3,9.8,3300
4333,2025-07-10,9.9,9.9,9.9,9.9,100
4332,2025-07-08,9.9,9.9,9.9,9.9,3300
4331,2025-07-07,9.2,9.9,9.2,9.9,3500
4330,2025-07-04,9.0,9.0,9.0,9.0,100
4329,2025-07-03,9.6,9.6,9.0,9.0,200
4328,2025-07-01,9.5,9.5,9.0,9.0,400
4327,2025-06-30,9.6,9.6,9.6,9.6,100
4326,2025-06-27,9.0,9.0,9.0,9.0,100
4325,2025-06-26,9.0,9.0,9.0,9.0,100
4324,2025-06-25,9.0,9.0,9.0,9.0,1100
4323,2025-06-24,8.9,9.8,8.9,9.0,600
4322,2025-06-20,9.4,9.4,9.4,9.4,100
4321,2025-06-18,9.1,9.4,9.1,9.4,600
4320,2025-06-17,8.9,8.9,8.8,8.8,200
4319,2025-06-16,9.3,9.4,9.3,9.4,600
4318,2025-06-13,8.9,8.9,8.7,8.7,1600
4317,2025-06-12,9.8,9.8,9.8,9.8,100
4316,2025-06-09,9.2,9.2,8.8,8.8,2000
4315,2025-06-06,9.8,9.8,9.3,9.8,25200
4314,2025-06-05,9.9,10.0,9.8,10.0,7700
4313,2025-06-04,8.9,8.9,8.9,8.9,1500
4312,2025-06-03,9.8,9.8,9.8,9.8,100
4311,2025-05-30,9.1,9.9,9.1,9.9,400
4310,2025-05-29,9.9,9.9,9.9,9.9,100
4309,2025-05-27,9.2,9.7,9.2,9.7,1200
4308,2025-05-23,9.2,9.2,9.2,9.2,100
4307,2025-05-16,9.5,10.5,9.5,9.5,2000
4306,2025-05-15,9.0,9.6,9.0,9.6,2000
4305,2025-05-14,9.7,9.7,9.7,9.7,1000
4304,2025-05-13,9.8,9.9,9.6,9.7,3200
4303,2025-05-12,9.7,9.7,8.8,9.5,8200
4302,2025-05-09,9.0,9.9,9.0,9.5,2500
4301,2025-05-08,10.2,10.2,10.0,10.0,1800
4300,2025-05-07,10.6,10.6,10.6,10.6,500
4299,2025-05-06,11.3,11.3,8.8,10.6,6300
4298,2025-05-05,10.5,10.5,9.1,10.5,3400
4297,2025-04-29,10.5,10.5,10.5,10.5,100
4296,2025-04-28,9.5,10.2,9.5,10.2,1500
4295,2025-04-24,10.7,10.7,10.4,10.5,8300
4294,2025-04-23,8.6,10.0,8.6,9.7,12100
4293,2025-04-22,9.9,9.9,9.0,9.8,6200
4292,2025-04-21,9.9,9.9,9.8,9.8,1300
4291,2025-04-18,10.5,10.5,9.1,10.1,400
4290,2025-04-17,8.8,10.3,8.8,10.3,1400
4289,2025-04-16,9.8,9.8,9.8,9.8,5600
4288,2025-04-15,9.8,9.8,8.6,9.6,9200
4287,2025-04-14,9.3,9.9,9.3,9.8,5400
4286,2025-04-11,11.2,11.2,8.7,10.9,3200
4285,2025-04-10,9.7,10.0,9.3,10.0,29700
4284,2025-04-09,9.9,9.9,7.9,9.3,15600
