,Date,Open,High,Low,Close
1346,2025-06-19,18.2,18.2,18.2,18.2
1345,2025-06-13,15.9,15.9,15.9,15.9
1344,2025-05-13,11.4,11.4,11.4,11.4
1343,2025-05-12,11.4,11.4,11.4,11.4
1342,2025-05-09,11.4,11.4,11.4,11.4
1341,2025-05-08,11.4,11.4,11.4,11.4
1340,2025-05-07,11.4,11.4,11.4,11.4
1339,2025-05-06,11.4,11.4,11.4,11.4
1338,2025-05-05,11.4,11.4,11.4,11.4
1337,2025-04-29,11.4,11.4,11.4,11.4
1336,2025-04-28,11.4,11.4,11.4,11.4
1335,2025-04-25,11.4,11.4,11.4,11.4
1334,2025-04-24,11.4,11.4,11.4,11.4
1333,2025-04-23,11.4,11.4,11.4,11.4
1332,2025-04-22,11.4,11.4,11.4,11.4
1331,2025-04-21,18.87,18.87,18.87,18.87
1330,2025-04-18,18.87,18.87,18.87,18.87
1329,2025-04-17,18.87,18.87,18.87,18.87
1328,2025-04-16,18.87,18.87,18.87,18.87
1327,2025-04-15,18.87,18.87,18.87,18.87
1326,2025-04-14,18.87,18.87,18.87,18.87
1325,2025-04-11,18.87,18.87,18.87,18.87
1324,2025-04-10,18.87,18.87,18.87,18.87
1323,2025-04-09,18.87,18.87,18.87,18.87
1322,2025-04-08,18.87,18.87,18.87,18.87
1321,2025-04-04,18.87,18.87,18.87,18.87
1320,2025-04-03,18.87,18.87,18.87,18.87
1319,2025-04-02,18.87,18.87,18.87,18.87
1318,2025-04-01,18.87,18.87,18.87,18.87
1317,2025-03-31,18.87,18.87,18.87,18.87
1316,2025-03-28,18.87,18.87,18.87,18.87
1315,2025-03-27,18.87,18.87,18.87,18.87
1314,2025-03-26,18.87,18.87,18.87,18.87
1313,2025-03-25,18.87,18.87,18.87,18.87
1312,2025-03-24,18.87,18.87,18.87,18.87
1311,2025-03-21,18.87,18.87,18.87,18.87
1310,2025-03-20,18.87,18.87,18.87,18.87
1309,2025-03-19,18.87,18.87,18.87,18.87
1308,2025-03-18,18.87,18.87,18.87,18.87
1307,2025-03-17,18.87,18.87,18.87,18.87
1306,2025-03-14,18.87,18.87,18.87,18.87
1305,2025-03-13,18.87,18.87,18.87,18.87
1304,2025-03-12,18.87,18.87,18.87,18.87
1303,2025-03-11,18.87,18.87,18.87,18.87
1302,2025-03-10,18.87,18.87,18.87,18.87
1301,2025-03-07,18.87,18.87,18.87,18.87
1300,2025-03-06,18.87,18.87,18.87,18.87
1299,2025-03-05,18.87,18.87,18.87,18.87
1298,2025-03-04,18.87,18.87,18.87,18.87
1297,2025-03-03,18.78,18.78,18.78,18.78
1296,2025-02-28,18.68,18.68,18.68,18.68
1295,2025-02-27,18.68,18.68,18.68,18.68
1294,2025-02-26,18.68,18.68,18.68,18.68
1293,2025-02-25,18.68,18.68,18.68,18.68
1292,2025-02-24,18.68,18.68,18.68,18.68
1291,2025-02-21,18.68,18.68,18.68,18.68
1290,2025-02-20,18.68,18.68,18.68,18.68
1289,2025-02-19,18.68,18.68,18.68,18.68
1288,2025-02-18,18.39,18.39,18.39,18.39
1287,2025-02-17,18.39,18.39,18.39,18.39
1286,2025-02-14,18.2,18.2,18.2,18.2
1285,2025-02-13,18.68,18.68,18.68,18.68
1284,2025-02-12,18.68,18.68,18.68,18.68
1283,2025-02-11,18.68,18.68,18.68,18.68
1282,2025-02-10,18.68,18.68,18.68,18.68
1281,2025-02-07,18.68,18.68,18.68,18.68
1280,2025-02-06,18.68,18.68,18.68,18.68
1279,2025-02-05,18.68,18.68,18.68,18.68
1278,2025-02-04,18.68,18.68,18.68,18.68
1277,2025-02-03,18.68,18.68,18.68,18.68
1276,2025-01-24,18.68,18.68,18.68,18.68
1275,2025-01-23,18.68,18.68,18.68,18.68
1274,2025-01-22,18.68,18.68,18.68,18.68
1273,2025-01-21,18.68,18.68,18.68,18.68
1272,2025-01-20,18.68,18.68,18.68,18.68
1271,2025-01-17,18.68,18.68,18.68,18.68
1270,2025-01-16,18.68,18.68,18.68,18.68
1269,2025-01-15,18.68,18.68,18.68,18.68
1268,2025-01-14,18.68,18.68,18.68,18.68
1267,2025-01-13,18.68,18.68,18.68,18.68
1266,2025-01-10,18.68,18.68,18.68,18.68
1265,2025-01-09,18.68,18.68,18.68,18.68
1264,2025-01-08,18.68,18.68,18.68,18.68
1263,2025-01-07,18.68,18.68,18.68,18.68
1262,2025-01-06,18.68,18.68,18.68,18.68
1261,2025-01-03,18.68,18.68,18.68,18.68
1260,2025-01-02,18.68,18.68,18.68,18.68
1259,2024-12-31,18.68,18.68,18.68,18.68
1258,2024-12-30,18.68,18.68,18.68,18.68
1257,2024-12-27,18.68,18.68,18.68,18.68
1256,2024-12-26,18.68,18.68,18.68,18.68
1255,2024-12-25,18.68,18.68,18.68,18.68
1254,2024-12-24,18.68,18.68,18.68,18.68
1253,2024-12-23,18.68,18.68,18.68,18.68
1252,2024-12-20,18.68,18.68,18.68,18.68
1251,2024-12-19,18.68,18.68,18.68,18.68
1250,2024-12-18,18.68,18.68,18.68,18.68
1249,2024-12-17,18.68,18.68,18.68,18.68
1248,2024-12-16,18.68,18.68,18.68,18.68
1247,2024-12-13,18.68,18.68,18.68,18.68
1246,2024-12-12,18.68,18.68,18.68,18.68
1245,2024-12-11,18.68,18.68,18.68,18.68
1244,2024-12-10,18.68,18.68,18.68,18.68
1243,2024-12-09,18.68,18.68,18.68,18.68
1242,2024-12-06,18.68,18.68,18.68,18.68
1241,2024-12-05,18.68,18.68,18.68,18.68
1240,2024-12-04,18.68,18.68,18.68,18.68
1239,2024-12-03,21.35,21.35,21.35,21.35
1238,2024-12-02,24.91,24.91,24.91,24.91
1237,2024-11-29,24.91,24.91,24.91,24.91
1236,2024-11-28,24.91,24.91,24.91,24.91
1235,2024-11-27,24.91,24.91,24.91,24.91
1234,2024-11-26,24.91,24.91,24.91,24.91
1233,2024-11-25,24.91,24.91,24.91,24.91
1232,2024-11-22,24.91,24.91,24.91,24.91
1231,2024-11-21,24.91,24.91,24.91,24.91
1230,2024-11-20,24.91,24.91,24.91,24.91
1229,2024-11-19,24.91,24.91,24.91,24.91
1228,2024-11-18,24.91,24.91,24.91,24.91
1227,2024-11-15,24.91,24.91,24.91,24.91
1226,2024-11-14,24.91,24.91,24.91,24.91
1225,2024-11-13,24.91,24.91,24.91,24.91
1224,2024-11-12,24.91,24.91,24.91,24.91
1223,2024-11-11,24.91,24.91,24.91,24.91
1222,2024-11-08,24.91,24.91,24.91,24.91
1221,2024-11-07,24.91,24.91,24.91,24.91
1220,2024-11-06,24.91,24.91,24.91,24.91
1219,2024-11-05,24.91,24.91,24.91,24.91
1218,2024-11-04,24.91,24.91,24.91,24.91
1217,2024-11-01,24.91,24.91,24.91,24.91
1216,2024-10-31,24.91,24.91,24.91,24.91
1215,2024-10-30,24.91,24.91,24.91,24.91
1214,2024-10-29,24.91,24.91,24.91,24.91
1213,2024-10-28,24.91,24.91,24.91,24.91
1212,2024-10-25,24.91,24.91,24.91,24.91
1211,2024-10-24,24.91,24.91,24.91,24.91
1210,2024-10-23,24.91,24.91,24.91,24.91
1209,2024-10-22,23.49,23.49,23.49,23.49
1208,2024-10-21,23.49,23.49,23.49,23.49
1207,2024-10-18,23.49,23.49,23.49,23.49
1206,2024-10-17,23.49,23.49,23.49,23.49
1205,2024-10-16,23.49,23.49,23.49,23.49
1204,2024-10-15,23.49,23.49,23.49,23.49
1203,2024-10-14,23.49,23.49,23.49,23.49
1202,2024-10-11,23.49,23.49,23.49,23.49
1201,2024-10-10,23.49,23.49,23.49,23.49
1200,2024-10-09,20.46,20.46,20.46,20.46
1199,2024-10-08,17.79,17.79,17.79,17.79
1198,2024-10-07,17.79,17.79,17.79,17.79
1197,2024-10-04,26.69,26.69,26.69,26.69
1196,2024-10-03,26.69,26.69,26.69,26.69
1195,2024-10-02,26.69,26.69,26.69,26.69
1194,2024-10-01,26.69,26.69,26.69,26.69
1193,2024-09-30,26.69,26.69,26.69,26.69
1192,2024-09-27,26.69,26.69,26.69,26.69
1191,2024-09-26,26.69,26.69,26.69,26.69
1190,2024-09-25,26.69,26.69,26.69,26.69
1189,2024-09-24,26.69,26.69,26.69,26.69
1188,2024-09-23,26.69,26.69,26.69,26.69
1187,2024-09-20,26.69,26.69,26.69,26.69
1186,2024-09-19,26.69,26.69,26.69,26.69
1185,2024-09-18,26.69,26.69,26.69,26.69
1184,2024-09-17,26.69,26.69,26.69,26.69
1183,2024-09-16,26.69,26.69,26.69,26.69
1182,2024-09-13,26.69,26.69,26.69,26.69
1181,2024-09-12,26.69,26.69,26.69,26.69
1180,2024-09-11,26.69,26.69,26.69,26.69
1179,2024-09-10,26.69,26.69,26.69,26.69
1178,2024-09-09,26.69,26.69,26.69,26.69
1177,2024-09-06,26.69,26.69,26.69,26.69
1176,2024-09-05,26.69,26.69,26.69,26.69
1175,2024-09-04,26.69,26.69,26.69,26.69
1174,2024-08-30,26.69,26.69,26.69,26.69
1173,2024-08-29,26.69,26.69,26.69,26.69
1172,2024-08-28,26.69,26.69,26.69,26.69
1171,2024-08-27,26.69,26.69,26.69,26.69
1170,2024-08-26,26.69,26.69,26.69,26.69
1169,2024-08-23,26.69,26.69,26.69,26.69
1168,2024-08-22,26.69,26.69,26.69,26.69
1167,2024-08-21,26.69,26.69,26.69,26.69
1166,2024-08-20,26.69,26.69,26.69,26.69
1165,2024-08-19,26.69,26.69,26.69,26.69
1164,2024-08-16,26.69,26.69,26.69,26.69
1163,2024-08-15,26.69,26.69,26.69,26.69
1162,2024-08-14,26.69,26.69,26.69,26.69
1161,2024-08-13,26.69,26.69,26.69,26.69
1160,2024-08-12,26.69,26.69,26.69,26.69
1159,2024-08-09,26.69,26.69,26.69,26.69
1158,2024-08-08,26.69,26.69,26.69,26.69
1157,2024-08-07,26.69,26.69,26.69,26.69
1156,2024-08-06,26.69,26.69,26.69,26.69
1155,2024-08-05,26.69,26.69,26.69,26.69
1154,2024-08-02,26.69,26.69,26.69,26.69
1153,2024-08-01,26.69,26.69,26.69,26.69
1152,2024-07-31,26.69,26.69,26.69,26.69
1151,2024-07-30,26.69,26.69,26.69,26.69
1150,2024-07-29,28.65,28.65,28.65,28.65
1149,2024-07-26,28.65,28.65,28.65,28.65
1148,2024-07-25,28.65,28.65,28.65,28.65
1147,2024-07-24,28.65,28.65,28.65,28.65
1146,2024-07-23,28.65,28.65,28.65,28.65
1145,2024-07-22,28.65,28.65,28.65,28.65
1144,2024-07-19,24.91,24.91,24.91,24.91
1143,2024-07-18,24.91,24.91,24.91,24.91
1142,2024-07-17,22.24,22.24,22.24,22.24
1141,2024-07-16,22.24,22.24,22.24,22.24
1140,2024-07-15,22.24,22.24,22.24,22.24
1139,2024-07-12,22.24,22.24,22.24,22.24
1138,2024-07-11,22.24,22.24,22.24,22.24
1137,2024-07-10,22.24,22.24,22.24,22.24
1136,2024-07-09,22.24,22.24,22.24,22.24
1135,2024-07-08,22.24,22.24,22.24,22.24
1134,2024-07-05,22.24,22.24,22.24,22.24
1133,2024-07-04,22.24,22.24,22.24,22.24
1132,2024-07-03,22.24,22.24,22.24,22.24
1131,2024-07-02,22.24,22.24,22.24,22.24
1130,2024-07-01,22.24,22.24,22.24,22.24
1129,2024-06-28,22.24,22.24,22.24,22.24
1128,2024-06-27,22.24,22.24,22.24,22.24
1127,2024-06-26,21.97,21.97,21.97,21.97
1126,2024-06-25,21.97,21.97,21.97,21.97
1125,2024-06-24,20.46,22.68,20.46,22.68
1124,2024-06-21,22.24,22.24,22.24,22.24
1123,2024-06-20,22.24,22.24,22.24,22.24
1122,2024-06-19,22.24,22.24,22.24,22.24
1121,2024-06-18,22.24,22.24,22.24,22.24
1120,2024-06-17,22.24,22.24,22.24,22.24
1119,2024-06-14,22.24,22.24,22.24,22.24
1118,2024-06-13,22.24,22.24,22.24,22.24
1117,2024-06-12,22.24,22.24,22.24,22.24
1116,2024-06-11,22.24,22.24,22.24,22.24
1115,2024-06-10,22.24,22.24,22.24,22.24
1114,2024-06-07,22.24,22.24,22.24,22.24
1113,2024-06-06,19.39,19.39,19.39,19.39
1112,2024-06-05,19.39,19.39,19.39,19.39
1111,2024-06-04,19.39,19.39,19.39,19.39
1110,2024-06-03,19.39,19.39,19.39,19.39
1109,2024-05-31,19.39,19.39,19.39,19.39
1108,2024-05-30,19.39,19.39,19.39,19.39
1107,2024-05-29,19.39,19.39,19.39,19.39
1106,2024-05-28,19.39,19.39,19.39,19.39
1105,2024-05-27,19.39,19.39,19.39,19.39
1104,2024-05-24,19.39,19.39,19.39,19.39
1103,2024-05-23,19.39,19.39,19.39,19.39
1102,2024-05-22,19.39,19.39,19.39,19.39
1101,2024-05-21,19.39,19.39,19.39,19.39
1100,2024-05-20,19.39,19.39,19.39,19.39
1099,2024-05-17,19.39,19.39,19.39,19.39
1098,2024-05-16,19.39,19.39,19.39,19.39
1097,2024-05-15,19.39,19.39,19.39,19.39
1096,2024-05-14,19.39,19.39,19.39,19.39
1095,2024-05-13,19.39,19.39,19.39,19.39
1094,2024-05-10,19.39,19.39,19.39,19.39
1093,2024-05-09,19.39,19.39,19.39,19.39
1092,2024-05-08,19.39,19.39,19.39,19.39
1091,2024-05-07,19.39,19.39,19.39,19.39
1090,2024-05-06,19.39,19.39,19.39,19.39
1089,2024-05-03,19.39,19.39,19.39,19.39
1088,2024-05-02,19.39,19.39,19.39,19.39
1087,2024-04-26,19.39,19.39,19.39,19.39
1086,2024-04-25,19.39,19.39,19.39,19.39
1085,2024-04-24,16.9,16.9,16.9,16.9
1084,2024-04-23,14.77,14.77,14.77,14.77
1083,2024-04-22,14.77,14.77,14.77,14.77
1082,2024-04-19,14.77,14.77,14.77,14.77
1081,2024-04-17,14.77,14.77,14.77,14.77
1080,2024-04-16,14.77,14.77,14.77,14.77
1079,2024-04-15,14.77,14.77,14.77,14.77
1078,2024-04-12,14.77,14.77,14.77,14.77
1077,2024-04-11,14.77,14.77,14.77,14.77
1076,2024-04-10,14.77,14.77,14.77,14.77
1075,2024-04-09,14.77,14.77,14.77,14.77
1074,2024-04-08,16.9,16.9,16.9,16.9
1073,2024-04-05,16.9,16.9,16.9,16.9
1072,2024-04-04,16.9,16.9,16.9,16.9
1071,2024-04-03,16.9,16.9,16.9,16.9
1070,2024-04-02,16.9,16.9,16.9,16.9
1069,2024-04-01,16.9,16.9,16.9,16.9
1068,2024-03-29,16.9,16.9,16.9,16.9
1067,2024-03-28,16.9,16.9,16.9,16.9
1066,2024-03-27,16.9,16.9,16.9,16.9
1065,2024-03-26,16.9,16.9,16.9,16.9
1064,2024-03-25,16.9,16.9,16.9,16.9
1063,2024-03-22,16.9,16.9,16.9,16.9
1062,2024-03-21,16.9,16.9,16.9,16.9
1061,2024-03-20,16.9,16.9,16.9,16.9
1060,2024-03-19,16.9,16.9,16.9,16.9
1059,2024-03-18,16.9,16.9,16.9,16.9
1058,2024-03-15,16.9,16.9,16.9,16.9
1057,2024-03-14,16.9,16.9,16.9,16.9
1056,2024-03-13,16.9,16.9,16.9,16.9
1055,2024-03-12,16.9,16.9,16.9,16.9
1054,2024-03-11,16.9,16.9,16.9,16.9
1053,2024-03-08,16.9,16.9,16.9,16.9
1052,2024-03-07,16.9,16.9,16.9,16.9
1051,2024-03-06,16.9,16.9,16.9,16.9
1050,2024-03-05,16.9,16.9,16.9,16.9
1049,2024-03-04,16.9,16.9,16.9,16.9
1048,2024-03-01,16.9,16.9,16.9,16.9
1047,2024-02-29,16.9,16.9,16.9,16.9
1046,2024-02-28,16.9,16.9,16.9,16.9
1045,2024-02-27,16.9,16.9,16.9,16.9
1044,2024-02-26,16.9,16.9,16.9,16.9
1043,2024-02-23,16.9,16.9,16.9,16.9
1042,2024-02-22,16.9,16.9,16.9,16.9
1041,2024-02-21,16.9,16.9,16.9,16.9
1040,2024-02-20,16.9,16.9,16.9,16.9
1039,2024-02-19,16.9,16.9,16.9,16.9
1038,2024-02-16,16.9,16.9,16.9,16.9
1037,2024-02-15,16.9,16.9,16.9,16.9
1036,2024-02-07,16.9,16.9,16.9,16.9
1035,2024-02-06,16.9,16.9,16.9,16.9
1034,2024-02-05,16.9,16.9,16.9,16.9
1033,2024-02-02,16.9,16.9,16.9,16.9
1032,2024-02-01,16.9,16.9,16.9,16.9
1031,2024-01-31,16.9,16.9,16.9,16.9
1030,2024-01-30,16.9,16.9,16.9,16.9
1029,2024-01-29,16.9,16.9,16.9,16.9
1028,2024-01-26,16.9,16.9,16.9,16.9
1027,2024-01-25,16.9,16.9,16.9,16.9
1026,2024-01-24,16.9,16.9,16.9,16.9
1025,2024-01-23,16.9,16.9,16.9,16.9
1024,2024-01-22,16.9,16.9,16.9,16.9
1023,2024-01-19,16.9,16.9,16.9,16.9
1022,2024-01-18,16.9,16.9,16.9,16.9
1021,2024-01-17,16.9,16.9,16.9,16.9
1020,2024-01-16,16.9,16.9,16.9,16.9
1019,2024-01-15,16.9,16.9,16.9,16.9
1018,2024-01-12,16.9,16.9,16.9,16.9
1017,2024-01-11,16.9,16.9,16.9,16.9
1016,2024-01-10,16.9,16.9,16.9,16.9
1015,2024-01-09,16.9,16.9,16.9,16.9
1014,2024-01-08,16.9,16.9,16.9,16.9
1013,2024-01-05,16.9,16.9,16.9,16.9
1012,2024-01-04,16.9,16.9,16.9,16.9
1011,2024-01-03,16.9,16.9,16.9,16.9
1010,2024-01-02,16.9,16.9,16.9,16.9
1009,2023-12-29,16.9,16.9,16.9,16.9
1008,2023-12-28,16.9,16.9,16.9,16.9
1007,2023-12-27,18.51,18.51,18.51,18.51
1006,2023-12-26,18.51,18.51,18.51,18.51
1005,2023-12-25,18.51,18.51,18.51,18.51
1004,2023-12-22,18.51,18.51,18.51,18.51
