,Date,Open,High,Low,Close,Volume
4448,2025-10-24,25.0,25.0,25.0,25.0,100
4447,2025-10-23,24.5,25.2,24.3,25.0,8300
4446,2025-10-22,24.6,25.3,24.0,25.3,12100
4445,2025-10-21,25.3,25.3,24.1,25.3,33000
4444,2025-10-20,25.5,26.5,25.3,25.3,14100
4443,2025-10-17,24.9,25.5,24.9,25.5,4300
4442,2025-10-16,24.3,24.3,24.3,24.3,300
4441,2025-10-15,24.9,25.0,24.2,24.2,1500
4440,2025-10-14,25.0,25.0,24.8,24.8,600
4439,2025-10-13,25.2,25.6,24.8,25.0,8200
4438,2025-10-10,25.5,25.7,25.5,25.7,400
4437,2025-10-09,25.0,25.2,25.0,25.2,7700
4436,2025-10-08,25.2,25.2,25.2,25.2,2500
4435,2025-10-07,25.0,25.2,25.0,25.2,1100
4434,2025-10-06,23.7,25.0,23.7,25.0,14200
4433,2025-10-03,24.8,24.9,24.8,24.9,3100
4432,2025-10-02,24.9,24.9,24.8,24.9,12000
4431,2025-10-01,24.9,24.9,24.9,24.9,40
4430,2025-09-30,24.9,24.9,23.7,24.9,540
4429,2025-09-29,25.0,25.0,24.9,24.9,7001
4428,2025-09-26,24.0,25.0,24.0,24.8,12051
4427,2025-09-25,23.8,24.5,23.8,24.0,12950
4426,2025-09-24,23.8,23.9,23.8,23.8,10815
4425,2025-09-23,23.0,23.8,23.0,23.8,21850
4424,2025-09-22,25.2,25.2,22.9,23.8,6200
4423,2025-09-19,24.36,24.36,23.53,23.9,23268
4422,2025-09-18,24.45,24.45,22.98,23.9,12230
4421,2025-09-17,24.45,24.45,23.81,24.36,15056
4420,2025-09-16,24.92,24.92,23.99,24.45,18104
4419,2025-09-15,24.45,24.45,23.99,24.09,12400
4418,2025-09-12,23.99,24.27,23.99,23.99,13300
4417,2025-09-11,23.16,24.92,23.16,23.99,2883
4416,2025-09-10,23.25,23.25,23.16,23.16,5800
4415,2025-09-09,23.07,23.07,23.07,23.07,3200
4414,2025-09-08,23.07,23.25,23.07,23.16,1720
4413,2025-09-05,23.07,23.99,22.24,23.07,27701
4412,2025-09-04,23.53,23.53,23.07,23.07,4379
4411,2025-09-03,23.35,23.53,23.07,23.53,4100
4410,2025-08-29,23.35,23.35,23.35,23.35,202
4409,2025-08-28,23.35,23.35,23.35,23.35,125
4408,2025-08-27,23.99,23.99,23.44,23.44,4700
4407,2025-08-26,23.53,23.53,23.53,23.53,207
4406,2025-08-25,23.81,23.81,23.35,23.53,603
4405,2025-08-22,23.53,23.9,23.53,23.53,4905
4404,2025-08-21,23.25,24.27,23.25,23.53,19857
4403,2025-08-20,23.07,23.07,23.07,23.07,3200
4402,2025-08-19,23.16,23.16,23.16,23.16,1
4401,2025-08-18,23.44,23.44,23.07,23.16,4601
4400,2025-08-15,23.16,23.44,22.61,23.44,21461
4399,2025-08-14,23.16,23.72,23.07,23.53,15900
4398,2025-08-13,23.07,23.99,23.07,23.07,15992
4397,2025-08-12,21.59,23.07,21.5,23.07,34403
