,Date,Open,High,Low,Close
3686,2025-10-17,6.3,6.4,6.2,6.4
3685,2025-10-16,6.2,6.5,6.2,6.5
3684,2025-10-15,6.6,6.6,6.1,6.1
3683,2025-10-14,6.8,6.8,6.4,6.5
3682,2025-10-13,6.4,6.6,6.2,6.6
3681,2025-10-10,6.0,6.0,6.0,6.0
3680,2025-10-09,6.2,6.5,6.0,6.5
3679,2025-10-08,6.2,6.3,6.2,6.2
3678,2025-10-07,6.3,6.4,6.0,6.3
3677,2025-10-06,6.0,6.3,6.0,6.3
3676,2025-10-03,5.9,6.2,5.9,5.9
3675,2025-10-02,6.2,6.2,5.8,5.9
3674,2025-10-01,6.0,6.3,5.9,5.9
3673,2025-09-30,5.8,6.0,5.8,6.0
3672,2025-09-29,5.7,5.9,5.6,5.9
3671,2025-09-26,6.0,6.1,5.6,5.6
3670,2025-09-25,6.0,6.1,6.0,6.1
3669,2025-09-24,5.8,6.0,5.8,6.0
3668,2025-09-23,5.8,5.8,5.8,5.8
3667,2025-09-22,5.8,5.9,5.6,5.7
3666,2025-09-19,6.1,6.1,5.6,5.6
3665,2025-09-18,6.2,6.2,5.7,5.7
3664,2025-09-17,6.2,6.2,6.2,6.2
3663,2025-09-16,6.0,6.1,5.9,6.1
3662,2025-09-15,6.0,6.2,5.8,5.9
3661,2025-09-12,6.1,6.1,5.9,5.9
3660,2025-09-11,5.9,6.2,5.9,6.2
3659,2025-09-10,6.2,6.3,5.9,5.9
3658,2025-09-09,5.7,6.0,5.7,6.0
3657,2025-09-08,6.3,6.5,5.7,5.7
3656,2025-09-05,6.0,6.3,6.0,6.3
3655,2025-09-03,6.0,6.4,6.0,6.3
3654,2025-08-29,6.2,6.2,6.0,6.0
3653,2025-08-28,6.6,6.6,6.2,6.3
3652,2025-08-27,6.1,6.3,6.0,6.3
3651,2025-08-26,6.2,6.2,6.2,6.2
3650,2025-08-25,6.2,6.2,5.9,6.2
3649,2025-08-22,6.0,6.2,5.8,6.2
3648,2025-08-21,5.8,6.0,5.8,6.0
3647,2025-08-20,6.2,6.2,5.8,5.8
3646,2025-08-19,6.0,6.2,5.9,6.2
3645,2025-08-18,6.2,6.2,5.9,6.1
3644,2025-08-15,5.7,6.2,5.7,6.0
3643,2025-08-14,5.9,6.2,5.4,5.7
3642,2025-08-13,5.6,5.7,5.6,5.7
3641,2025-08-12,5.4,5.6,5.2,5.2
3640,2025-08-11,5.4,5.5,5.1,5.1
3639,2025-08-08,5.3,5.4,5.2,5.4
3638,2025-08-07,5.3,5.6,5.3,5.4
3637,2025-08-06,5.5,5.8,5.3,5.6
3636,2025-08-05,5.7,5.7,5.5,5.5
3635,2025-08-04,4.8,5.2,4.8,5.2
3634,2025-08-01,4.8,4.8,4.6,4.8
3633,2025-07-31,4.7,4.8,4.7,4.8
3632,2025-07-30,4.7,4.7,4.7,4.7
3631,2025-07-29,4.8,4.9,4.7,4.7
