,Date,Open,High,Low,Close,Volume
3691,2025-10-24,6.0,6.3,5.7,5.7,21000
3690,2025-10-23,6.4,6.4,5.9,6.0,7800
3689,2025-10-22,5.9,6.1,5.9,6.1,65000
3688,2025-10-21,6.1,6.1,5.6,5.6,17300
3687,2025-10-20,6.1,6.4,6.1,6.1,15100
3686,2025-10-17,6.3,6.4,6.2,6.4,15900
3685,2025-10-16,6.2,6.5,6.2,6.5,29800
3684,2025-10-15,6.6,6.6,6.1,6.1,28000
3683,2025-10-14,6.8,6.8,6.4,6.5,3600
3682,2025-10-13,6.4,6.6,6.2,6.6,85300
3681,2025-10-10,6.0,6.0,6.0,6.0,1500
3680,2025-10-09,6.2,6.5,6.0,6.5,14000
3679,2025-10-08,6.2,6.3,6.2,6.2,900
3678,2025-10-07,6.3,6.4,6.0,6.3,24200
3677,2025-10-06,6.0,6.3,6.0,6.3,387200
3676,2025-10-03,5.9,6.2,5.9,5.9,49100
3675,2025-10-02,6.2,6.2,5.8,5.9,50000
3674,2025-10-01,6.0,6.3,5.9,5.9,156800
3673,2025-09-30,5.8,6.0,5.8,6.0,1000
3672,2025-09-29,5.7,5.9,5.6,5.9,23500
3671,2025-09-26,6.0,6.1,5.6,5.6,30200
3670,2025-09-25,6.0,6.1,6.0,6.1,4400
3669,2025-09-24,5.8,6.0,5.8,6.0,7000
3668,2025-09-23,5.8,5.8,5.8,5.8,5400
3667,2025-09-22,5.8,5.9,5.6,5.7,17200
3666,2025-09-19,6.1,6.1,5.6,5.6,45600
3665,2025-09-18,6.2,6.2,5.7,5.7,97900
3664,2025-09-17,6.2,6.2,6.2,6.2,3000
3663,2025-09-16,6.0,6.1,5.9,6.1,11000
3662,2025-09-15,6.0,6.2,5.8,5.9,11700
3661,2025-09-12,6.1,6.1,5.9,5.9,20500
3660,2025-09-11,5.9,6.2,5.9,6.2,24200
3659,2025-09-10,6.2,6.3,5.9,5.9,36300
3658,2025-09-09,5.7,6.0,5.7,6.0,79000
3657,2025-09-08,6.3,6.5,5.7,5.7,75300
3656,2025-09-05,6.0,6.3,6.0,6.3,13400
3655,2025-09-03,6.0,6.4,6.0,6.3,21600
3654,2025-08-29,6.2,6.2,6.0,6.0,19400
3653,2025-08-28,6.6,6.6,6.2,6.3,7400
3652,2025-08-27,6.1,6.3,6.0,6.3,90100
3651,2025-08-26,6.2,6.2,6.2,6.2,10000
3650,2025-08-25,6.2,6.2,5.9,6.2,33300
3649,2025-08-22,6.0,6.2,5.8,6.2,41800
3648,2025-08-21,5.8,6.0,5.8,6.0,45200
3647,2025-08-20,6.2,6.2,5.8,5.8,57600
3646,2025-08-19,6.0,6.2,5.9,6.2,15000
3645,2025-08-18,6.2,6.2,5.9,6.1,29000
3644,2025-08-15,5.7,6.2,5.7,6.0,108400
3643,2025-08-14,5.9,6.2,5.4,5.7,165900
3642,2025-08-13,5.6,5.7,5.6,5.7,276100
3641,2025-08-12,5.4,5.6,5.2,5.2,71400
3640,2025-08-11,5.4,5.5,5.1,5.1,58200
3639,2025-08-08,5.3,5.4,5.2,5.4,10100
3638,2025-08-07,5.3,5.6,5.3,5.4,9100
3637,2025-08-06,5.5,5.8,5.3,5.6,57700
