,Date,Open,High,Low,Close
1827,2024-05-16,14.9,16.7,14.9,16.7
1826,2024-05-15,14.9,14.9,14.9,14.9
1825,2024-05-14,14.9,15.0,14.9,14.9
1824,2024-05-13,15.5,16.0,15.0,16.0
1823,2024-05-09,14.7,15.3,14.7,15.2
1822,2024-05-08,17.0,17.0,17.0,17.0
1821,2024-05-07,17.0,17.0,17.0,17.0
1820,2024-05-06,17.0,17.0,17.0,17.0
1819,2024-05-02,17.0,17.0,15.5,15.5
1818,2024-04-19,16.6,16.6,15.3,15.3
1817,2024-04-17,15.3,15.3,15.3,15.3
1816,2024-04-15,15.2,15.3,15.2,15.3
1815,2024-04-12,16.6,16.6,16.6,16.6
1814,2024-04-10,17.0,17.0,16.6,16.6
1813,2024-04-05,18.0,18.0,18.0,18.0
1812,2024-04-04,17.59,17.59,16.91,16.91
1811,2024-04-03,17.3,17.3,16.23,17.2
1810,2024-04-02,16.52,17.59,16.52,16.52
1809,2024-04-01,17.59,17.59,16.43,16.52
1808,2024-03-29,17.59,17.59,16.13,16.33
1807,2024-03-28,16.91,16.91,16.91,16.91
1806,2024-03-27,17.49,17.49,17.49,17.49
1805,2024-03-26,17.49,17.49,17.4,17.4
1804,2024-03-25,17.49,17.49,17.49,17.49
1803,2024-03-22,15.06,18.76,15.06,16.52
1802,2024-03-21,15.06,16.72,15.06,16.72
1801,2024-03-20,16.43,16.43,16.43,16.43
1800,2024-03-19,17.01,17.4,15.45,15.45
1799,2024-03-18,15.55,16.04,15.06,16.04
1798,2024-03-15,16.81,16.81,16.81,16.81
1797,2024-03-14,14.68,14.68,14.68,14.68
1796,2024-03-13,16.52,16.52,16.52,16.52
1795,2024-03-12,16.52,16.52,16.52,16.52
1794,2024-03-11,15.55,15.55,15.55,15.55
1793,2024-03-08,15.55,15.55,15.55,15.55
1792,2024-03-07,15.55,15.55,15.55,15.55
1791,2024-03-06,15.55,15.55,15.55,15.55
1790,2024-03-05,15.55,15.55,15.55,15.55
1789,2024-03-04,15.55,15.55,15.55,15.55
1788,2024-03-01,15.55,15.55,15.55,15.55
1787,2024-02-29,15.55,15.55,15.55,15.55
1786,2024-02-28,15.55,15.55,15.55,15.55
1785,2024-02-27,18.27,18.27,18.27,18.27
1784,2024-02-26,16.52,16.52,16.52,16.52
