,Date,Open,High,Low,Close,Volume
3798,2025-10-24,1.4,1.5,1.3,1.5,75000
3797,2025-10-23,1.5,1.5,1.4,1.5,23300
3796,2025-10-22,1.4,1.4,1.3,1.4,243400
3795,2025-10-21,1.4,1.4,1.3,1.4,130600
3794,2025-10-20,1.5,1.5,1.4,1.4,94800
3793,2025-10-17,1.4,1.5,1.3,1.4,151500
3792,2025-10-16,1.4,1.5,1.4,1.4,128200
3791,2025-10-15,1.4,1.5,1.4,1.4,12700
3790,2025-10-14,1.5,1.5,1.4,1.4,878200
3789,2025-10-13,1.5,1.5,1.4,1.5,17400
3788,2025-10-10,1.5,1.6,1.4,1.5,325400
3787,2025-10-09,1.5,1.5,1.4,1.5,21100
3786,2025-10-08,1.5,1.5,1.4,1.5,223300
3785,2025-10-07,1.5,1.5,1.4,1.4,29000
3784,2025-10-06,1.4,1.5,1.4,1.5,21600
3783,2025-10-03,1.5,1.5,1.4,1.5,28100
3782,2025-10-02,1.5,1.5,1.4,1.5,51800
3781,2025-10-01,1.4,1.5,1.4,1.5,10700
3780,2025-09-30,1.5,1.5,1.4,1.5,59700
3779,2025-09-29,1.6,1.6,1.4,1.5,136500
3778,2025-09-26,1.6,1.6,1.4,1.5,82500
3777,2025-09-25,1.5,1.5,1.4,1.5,140100
3776,2025-09-24,1.6,1.6,1.5,1.5,131600
3775,2025-09-23,1.5,1.6,1.5,1.5,70600
3774,2025-09-22,1.5,1.6,1.5,1.5,86400
3773,2025-09-19,1.6,1.6,1.5,1.5,127600
3772,2025-09-18,1.6,1.6,1.5,1.6,45500
3771,2025-09-17,1.6,1.6,1.5,1.5,88700
3770,2025-09-16,1.6,1.6,1.5,1.5,33700
3769,2025-09-15,1.5,1.6,1.5,1.5,69900
3768,2025-09-12,1.6,1.6,1.4,1.5,193800
3767,2025-09-11,1.6,1.6,1.4,1.5,388000
3766,2025-09-10,1.5,1.6,1.5,1.5,68600
3765,2025-09-09,1.6,1.6,1.5,1.6,116100
3764,2025-09-08,1.6,1.6,1.5,1.6,69500
3763,2025-09-05,1.6,1.7,1.6,1.6,764000
3762,2025-09-04,1.5,1.6,1.5,1.5,201900
3761,2025-09-03,1.6,1.6,1.5,1.6,162000
3760,2025-08-29,1.6,1.6,1.5,1.6,134600
3759,2025-08-28,1.6,1.6,1.5,1.6,71700
3758,2025-08-27,1.5,1.6,1.4,1.6,75200
3757,2025-08-26,1.6,1.6,1.5,1.6,356700
3756,2025-08-25,1.5,1.6,1.5,1.5,117300
3755,2025-08-22,1.6,1.6,1.5,1.5,55400
3754,2025-08-21,1.6,1.7,1.5,1.6,140200
3753,2025-08-20,1.6,1.7,1.5,1.6,722400
3752,2025-08-19,1.7,1.7,1.6,1.6,330100
3751,2025-08-18,1.7,1.7,1.6,1.7,105000
3750,2025-08-15,1.7,1.7,1.6,1.7,288500
3749,2025-08-14,1.7,1.7,1.6,1.6,156500
3748,2025-08-13,1.7,1.7,1.6,1.6,378100
3747,2025-08-12,1.5,1.7,1.5,1.7,161700
3746,2025-08-11,1.6,1.7,1.5,1.5,400700
3745,2025-08-08,1.7,1.7,1.5,1.6,188400
3744,2025-08-07,1.7,1.7,1.6,1.7,249300
3743,2025-08-06,1.6,1.7,1.5,1.7,259900
3742,2025-08-05,1.7,1.7,1.5,1.6,388500
3741,2025-08-04,1.6,1.7,1.5,1.6,306300
3740,2025-08-01,1.7,1.7,1.5,1.6,63400
3739,2025-07-31,1.7,1.7,1.5,1.6,360200
3738,2025-07-30,1.7,1.7,1.5,1.7,514300
3737,2025-07-29,1.6,1.8,1.6,1.7,952700
3736,2025-07-28,1.6,1.7,1.5,1.6,766100
3735,2025-07-25,1.5,1.7,1.5,1.6,932700
3734,2025-07-24,1.5,1.6,1.5,1.5,292700
3733,2025-07-23,1.6,1.6,1.5,1.6,372800
3732,2025-07-22,1.7,1.7,1.5,1.6,925300
3731,2025-07-21,1.7,1.8,1.6,1.7,726700
3730,2025-07-18,1.8,1.8,1.6,1.6,662400
3729,2025-07-17,1.7,1.9,1.7,1.8,978200
3728,2025-07-16,1.6,1.7,1.5,1.7,1770100
3727,2025-07-15,1.6,1.6,1.4,1.6,985400
3726,2025-07-14,1.6,1.6,1.4,1.6,437600
3725,2025-07-11,1.5,1.6,1.4,1.5,986700
3724,2025-07-10,1.4,1.5,1.4,1.5,20300
3723,2025-07-09,1.5,1.5,1.4,1.4,67100
3722,2025-07-08,1.4,1.5,1.3,1.5,130100
3721,2025-07-07,1.3,1.5,1.3,1.4,143100
3720,2025-07-04,1.4,1.5,1.3,1.4,193800
3719,2025-07-03,1.4,1.4,1.3,1.4,50100
3718,2025-07-02,1.3,1.4,1.3,1.3,54500
3717,2025-07-01,1.3,1.4,1.3,1.4,7700
3716,2025-06-30,1.4,1.5,1.3,1.4,44500
3715,2025-06-27,1.4,1.4,1.3,1.4,49600
3714,2025-06-26,1.3,1.4,1.3,1.4,30400
3713,2025-06-25,1.5,1.5,1.4,1.4,64300
3712,2025-06-24,1.4,1.5,1.4,1.4,46100
3711,2025-06-23,1.4,1.5,1.3,1.4,262400
3710,2025-06-20,1.4,1.5,1.4,1.4,98700
3709,2025-06-19,1.4,1.5,1.3,1.4,87100
3708,2025-06-18,1.5,1.5,1.4,1.4,137200
3707,2025-06-17,1.3,1.4,1.3,1.4,481100
3706,2025-06-16,1.4,1.4,1.3,1.3,288300
3705,2025-06-13,1.4,1.5,1.3,1.4,236000
3704,2025-06-12,1.3,1.4,1.3,1.4,29300
3703,2025-06-11,1.3,1.4,1.3,1.3,32300
3702,2025-06-10,1.4,1.5,1.3,1.4,193400
3701,2025-06-09,1.4,1.5,1.3,1.4,381400
3700,2025-06-06,1.3,1.4,1.3,1.3,9800
3699,2025-06-05,1.5,1.5,1.3,1.3,95700
3698,2025-06-04,1.4,1.5,1.3,1.4,208200
3697,2025-06-03,1.5,1.5,1.4,1.4,150700
3696,2025-06-02,1.5,1.5,1.3,1.5,213500
3695,2025-05-30,1.4,1.5,1.3,1.4,598800
3694,2025-05-29,1.4,1.4,1.3,1.4,177500
3693,2025-05-28,1.4,1.4,1.3,1.4,87700
3692,2025-05-27,1.4,1.4,1.3,1.4,48100
3691,2025-05-26,1.3,1.4,1.3,1.4,548000
3690,2025-05-23,1.4,1.4,1.3,1.3,93300
3689,2025-05-22,1.4,1.4,1.3,1.3,62400
3688,2025-05-21,1.3,1.4,1.3,1.4,195400
3687,2025-05-20,1.3,1.4,1.3,1.4,33300
3686,2025-05-19,1.3,1.4,1.3,1.4,210300
3685,2025-05-16,1.4,1.4,1.3,1.4,233700
3684,2025-05-15,1.3,1.4,1.3,1.4,138500
3683,2025-05-14,1.3,1.4,1.3,1.3,154100
3682,2025-05-13,1.3,1.4,1.3,1.4,134600
3681,2025-05-12,1.4,1.4,1.3,1.4,317300
3680,2025-05-09,1.4,1.4,1.3,1.4,43000
3679,2025-05-08,1.4,1.4,1.3,1.4,33800
3678,2025-05-07,1.4,1.4,1.3,1.4,73800
3677,2025-05-06,1.3,1.4,1.3,1.4,105400
3676,2025-05-05,1.4,1.4,1.3,1.4,238100
3675,2025-04-29,1.4,1.4,1.3,1.4,187000
3674,2025-04-28,1.4,1.4,1.3,1.3,46200
3673,2025-04-25,1.4,1.4,1.3,1.4,94400
3672,2025-04-24,1.3,1.4,1.3,1.3,22200
3671,2025-04-23,1.4,1.4,1.3,1.4,51700
3670,2025-04-22,1.3,1.4,1.2,1.4,696400
3669,2025-04-21,1.4,1.4,1.3,1.3,38600
3668,2025-04-18,1.4,1.4,1.3,1.4,59200
3667,2025-04-17,1.4,1.4,1.3,1.4,179500
3666,2025-04-16,1.3,1.4,1.3,1.4,338000
3665,2025-04-15,1.4,1.4,1.3,1.3,42100
3664,2025-04-14,1.5,1.5,1.3,1.4,268400
3663,2025-04-11,1.5,1.5,1.3,1.4,528600
3662,2025-04-10,1.4,1.4,1.4,1.4,196300
3661,2025-04-09,1.3,1.4,1.2,1.3,884800
3660,2025-04-08,1.4,1.4,1.2,1.2,754400
3659,2025-04-04,1.4,1.4,1.3,1.4,209300
3658,2025-04-03,1.5,1.6,1.3,1.3,831600
3657,2025-04-02,1.5,1.6,1.5,1.5,327300
3656,2025-04-01,1.6,1.6,1.5,1.5,311100
3655,2025-03-31,1.6,1.6,1.5,1.6,83700
3654,2025-03-28,1.7,1.7,1.5,1.6,160700
3653,2025-03-27,1.7,1.7,1.6,1.7,12600
3652,2025-03-26,1.7,1.7,1.6,1.7,48500
3651,2025-03-25,1.7,1.7,1.5,1.7,79600
3650,2025-03-24,1.7,1.7,1.6,1.6,96000
3649,2025-03-21,1.5,1.7,1.5,1.6,59700
3648,2025-03-20,1.6,1.7,1.5,1.6,166100
3647,2025-03-19,1.7,1.7,1.6,1.7,53800
3646,2025-03-18,1.5,1.7,1.5,1.7,323000
3645,2025-03-17,1.5,1.7,1.5,1.6,309800
3644,2025-03-14,1.7,1.7,1.5,1.5,214800
3643,2025-03-13,1.7,1.7,1.6,1.6,44200
3642,2025-03-12,1.6,1.7,1.5,1.6,81600
3641,2025-03-11,1.6,1.7,1.5,1.6,282000
3640,2025-03-10,1.7,1.7,1.6,1.6,124300
3639,2025-03-07,1.7,1.7,1.6,1.6,100200
3638,2025-03-06,1.6,1.7,1.6,1.6,137000
3637,2025-03-05,1.6,1.7,1.6,1.7,33200
3636,2025-03-04,1.8,1.8,1.6,1.7,183500
3635,2025-03-03,1.8,1.8,1.6,1.7,75300
3634,2025-02-28,1.9,1.9,1.6,1.7,618900
3633,2025-02-27,1.7,1.8,1.7,1.8,197500
3632,2025-02-26,1.7,1.8,1.6,1.7,364600
3631,2025-02-25,1.7,1.8,1.6,1.7,280400
3630,2025-02-24,1.7,1.8,1.6,1.7,317800
3629,2025-02-21,1.8,1.8,1.7,1.8,261600
3628,2025-02-20,1.8,1.9,1.7,1.8,352000
3627,2025-02-19,1.8,1.9,1.7,1.9,900900
3626,2025-02-18,1.7,1.8,1.6,1.8,515400
3625,2025-02-17,1.7,1.7,1.6,1.6,499000
3624,2025-02-14,1.7,1.8,1.6,1.7,596000
3623,2025-02-13,1.7,1.8,1.6,1.7,225400
3622,2025-02-12,1.7,1.8,1.6,1.7,387000
3621,2025-02-11,1.7,1.8,1.6,1.8,967400
3620,2025-02-10,1.6,1.8,1.6,1.7,419800
3619,2025-02-07,1.6,1.8,1.5,1.7,907500
3618,2025-02-06,1.5,1.7,1.5,1.6,530900
3617,2025-02-05,1.5,1.6,1.5,1.5,15000
3616,2025-02-04,1.6,1.6,1.4,1.5,171900
3615,2025-02-03,1.5,1.6,1.5,1.6,140900
3614,2025-01-24,1.5,1.6,1.4,1.5,543100
3613,2025-01-23,1.4,1.6,1.4,1.5,504800
3612,2025-01-22,1.5,1.6,1.4,1.4,25100
3611,2025-01-21,1.5,1.6,1.4,1.5,275100
3610,2025-01-20,1.4,1.5,1.3,1.4,187200
3609,2025-01-17,1.4,1.5,1.3,1.4,375400
3608,2025-01-16,1.5,1.5,1.3,1.4,231400
3607,2025-01-15,1.4,1.5,1.3,1.5,118900
3606,2025-01-14,1.5,1.5,1.4,1.4,166400
3605,2025-01-13,1.5,1.5,1.4,1.5,144500
3604,2025-01-10,1.7,1.7,1.5,1.5,923900
3603,2025-01-09,1.8,1.8,1.6,1.7,614400
3602,2025-01-08,1.6,1.7,1.5,1.7,2162600
3601,2025-01-07,1.6,1.6,1.5,1.6,56300
3600,2025-01-06,1.5,1.6,1.5,1.5,677100
3599,2025-01-03,1.5,1.6,1.5,1.5,161900
3598,2025-01-02,1.5,1.6,1.5,1.5,34000
3597,2024-12-31,1.5,1.6,1.5,1.6,192700
3596,2024-12-30,1.5,1.6,1.5,1.6,117800
3595,2024-12-27,1.5,1.6,1.4,1.6,705100
3594,2024-12-26,1.3,1.4,1.3,1.4,288300
3593,2024-12-25,1.4,1.4,1.3,1.3,92200
3592,2024-12-24,1.4,1.4,1.3,1.4,54300
3591,2024-12-23,1.4,1.5,1.3,1.3,99700
3590,2024-12-20,1.4,1.5,1.4,1.4,101400
3589,2024-12-19,1.4,1.5,1.3,1.4,112200
3588,2024-12-18,1.3,1.4,1.3,1.4,227700
3587,2024-12-17,1.4,1.4,1.3,1.3,82600
3586,2024-12-16,1.4,1.4,1.3,1.4,42800
3585,2024-12-13,1.4,1.5,1.3,1.3,92500
3584,2024-12-12,1.4,1.5,1.3,1.4,21300
3583,2024-12-11,1.5,1.5,1.4,1.4,35800
3582,2024-12-10,1.4,1.5,1.4,1.5,66600
3581,2024-12-09,1.4,1.5,1.4,1.4,23500
3580,2024-12-06,1.5,1.5,1.3,1.5,105800
3579,2024-12-05,1.4,1.5,1.3,1.4,70600
3578,2024-12-04,1.5,1.5,1.3,1.3,86300
3577,2024-12-03,1.4,1.5,1.3,1.4,61900
3576,2024-12-02,1.4,1.5,1.3,1.4,160200
3575,2024-11-29,1.4,1.5,1.3,1.4,147300
3574,2024-11-28,1.4,1.5,1.4,1.4,10700
3573,2024-11-27,1.4,1.5,1.4,1.5,83200
3572,2024-11-26,1.4,1.5,1.4,1.5,49500
3571,2024-11-25,1.4,1.5,1.4,1.4,43300
3570,2024-11-22,1.5,1.5,1.4,1.4,85400
3569,2024-11-21,1.4,1.5,1.4,1.5,18600
3568,2024-11-20,1.5,1.5,1.4,1.5,74100
3567,2024-11-19,1.5,1.5,1.4,1.4,30500
3566,2024-11-18,1.5,1.5,1.3,1.4,373000
3565,2024-11-15,1.4,1.5,1.4,1.5,145800
3564,2024-11-14,1.5,1.5,1.4,1.4,39200
3563,2024-11-13,1.4,1.5,1.4,1.5,14800
3562,2024-11-12,1.5,1.5,1.4,1.5,45700
3561,2024-11-11,1.5,1.5,1.4,1.4,41600
3560,2024-11-08,1.6,1.6,1.4,1.5,118200
3559,2024-11-07,1.5,1.6,1.4,1.5,220900
3558,2024-11-06,1.4,1.5,1.4,1.5,156200
3557,2024-11-05,1.5,1.5,1.4,1.4,122700
3556,2024-11-04,1.5,1.6,1.4,1.5,80800
3555,2024-11-01,1.5,1.5,1.4,1.5,27900
3554,2024-10-31,1.5,1.6,1.4,1.5,161200
3553,2024-10-30,1.5,1.6,1.4,1.6,30600
3552,2024-10-29,1.6,1.6,1.4,1.6,206400
