,Date,Open,High,Low,Close
1789,2025-10-17,11.2,11.8,11.2,11.6
1788,2025-10-16,10.8,11.5,10.5,11.4
1787,2025-10-15,10.85,11.0,10.75,10.8
1786,2025-10-14,10.7,10.85,10.65,10.85
1785,2025-10-13,10.4,10.9,10.4,10.7
1784,2025-10-10,10.7,10.75,10.4,10.4
1783,2025-10-09,10.8,10.9,10.65,10.7
1782,2025-10-08,10.0,10.7,10.0,10.7
1781,2025-10-07,9.98,10.15,9.83,10.0
1780,2025-10-06,9.46,10.05,9.46,9.98
1779,2025-10-03,9.55,9.99,9.55,9.7
1778,2025-10-02,9.55,9.56,9.54,9.55
1777,2025-10-01,9.7,9.7,9.4,9.55
1776,2025-09-30,9.87,9.87,9.3,9.5
1775,2025-09-29,9.89,9.98,9.6,9.71
1774,2025-09-26,9.6,10.0,9.18,9.9
1773,2025-09-25,9.4,9.51,9.4,9.49
1772,2025-09-24,9.33,9.6,9.32,9.5
1771,2025-09-23,9.41,9.55,9.34,9.34
1770,2025-09-22,8.91,9.5,8.91,9.41
1769,2025-09-19,8.94,8.95,8.9,8.91
1768,2025-09-18,9.1,9.1,8.92,8.92
1767,2025-09-17,8.99,9.03,8.9,9.0
1766,2025-09-16,8.99,9.05,8.88,8.99
1765,2025-09-15,8.83,9.0,8.83,8.99
1764,2025-09-12,8.97,9.01,8.85,8.99
1763,2025-09-11,9.03,9.03,8.75,8.97
1762,2025-09-10,8.9,8.94,8.75,8.92
1761,2025-09-09,8.89,8.89,8.7,8.79
1760,2025-09-08,9.0,9.0,8.79,8.79
1759,2025-09-05,8.99,9.2,8.91,9.0
1758,2025-09-04,9.0,9.0,8.93,8.99
1757,2025-09-03,8.91,9.0,8.91,9.0
1756,2025-08-29,8.86,9.09,8.86,9.0
1755,2025-08-28,9.15,9.15,9.0,9.0
1754,2025-08-27,9.0,9.1,9.0,9.06
1753,2025-08-26,9.1,9.14,9.01,9.1
1752,2025-08-25,9.1,9.15,8.96,9.1
1751,2025-08-22,8.8,9.29,8.72,9.1
1750,2025-08-21,8.96,8.97,8.75,8.87
1749,2025-08-20,9.15,9.15,8.86,8.97
1748,2025-08-19,9.03,9.34,9.0,9.02
1747,2025-08-18,9.0,9.17,9.0,9.08
1746,2025-08-15,9.3,9.3,9.0,9.0
1745,2025-08-14,9.45,9.5,9.25,9.3
1744,2025-08-13,9.41,9.5,9.3,9.35
1743,2025-08-12,9.41,9.58,9.41,9.45
1742,2025-08-11,9.36,9.66,9.35,9.58
1741,2025-08-08,9.4,9.55,9.32,9.35
1740,2025-08-07,9.41,9.64,9.31,9.39
1739,2025-08-06,9.43,9.55,9.38,9.38
1738,2025-08-05,9.51,9.7,9.4,9.42
1737,2025-08-04,9.77,9.77,9.41,9.5
1736,2025-08-01,9.8,9.99,9.55,9.76
1735,2025-07-31,10.0,10.0,9.69,9.75
1734,2025-07-30,9.57,9.85,9.57,9.7
1733,2025-07-29,9.8,9.8,9.57,9.6
1732,2025-07-28,9.75,9.9,9.54,9.89
1731,2025-07-25,10.0,10.0,9.8,9.9
1730,2025-07-24,9.95,10.0,9.85,9.9
1729,2025-07-23,10.2,10.2,9.92,9.95
1728,2025-07-22,9.3,9.95,9.3,9.95
1727,2025-07-21,9.2,9.3,9.2,9.3
1726,2025-07-18,9.23,9.34,9.2,9.2
1725,2025-07-17,9.22,9.25,9.12,9.24
1724,2025-07-16,9.18,9.25,9.1,9.23
1723,2025-07-15,9.11,9.2,9.1,9.19
1722,2025-07-14,9.18,9.22,9.09,9.19
1721,2025-07-11,9.22,9.23,9.17,9.22
1720,2025-07-10,9.2,9.27,9.2,9.22
1719,2025-07-09,9.28,9.28,9.18,9.23
