,Date,Open,High,Low,Close
3899,2025-08-20,12.7,12.7,12.7,12.7
3898,2025-08-19,13.0,13.0,12.9,12.9
3897,2025-08-14,13.0,13.0,13.0,13.0
3896,2025-08-13,13.0,13.0,13.0,13.0
3895,2025-08-08,13.2,13.2,13.0,13.0
3894,2025-08-07,13.9,14.0,13.9,13.9
3893,2025-08-06,13.6,14.0,13.3,13.3
3892,2025-08-05,13.6,14.0,13.6,14.0
3891,2025-08-04,13.2,13.6,13.2,13.2
3890,2025-08-01,12.8,14.0,12.8,14.0
3889,2025-07-31,13.5,13.5,13.5,13.5
3888,2025-07-30,13.5,13.5,13.5,13.5
3887,2025-07-29,12.5,13.6,12.5,13.6
3886,2025-07-28,13.6,13.6,13.6,13.6
3885,2025-07-25,13.6,13.6,13.6,13.6
3884,2025-07-24,13.6,13.6,13.6,13.6
3883,2025-07-23,13.6,13.6,13.6,13.6
3882,2025-07-22,13.6,13.6,13.6,13.6
3881,2025-07-21,13.6,13.6,13.6,13.6
3880,2025-07-18,11.6,13.6,11.6,13.6
3879,2025-07-15,13.5,13.5,13.5,13.5
3878,2025-07-14,13.3,13.3,13.3,13.3
3877,2025-07-11,11.5,13.0,11.5,13.0
3876,2025-07-10,13.0,13.8,13.0,13.8
3875,2025-07-09,13.8,13.8,13.8,13.8
3874,2025-07-03,13.8,13.8,13.8,13.8
3873,2025-06-30,13.8,13.8,13.8,13.8
3872,2025-06-27,13.8,13.8,13.8,13.8
3871,2025-06-24,13.6,13.9,13.6,13.9
3870,2025-06-19,13.6,13.6,13.6,13.6
3869,2025-06-18,13.5,13.6,13.5,13.6
3868,2025-06-16,13.5,13.5,13.5,13.5
3867,2025-06-13,13.5,13.5,13.3,13.3
3866,2025-06-12,13.8,13.8,13.8,13.8
3865,2025-06-11,13.7,13.7,13.7,13.7
3864,2025-06-10,13.6,14.9,13.6,14.9
3863,2025-06-06,14.2,15.5,14.1,15.0
3862,2025-06-05,13.0,14.0,13.0,14.0
3861,2025-05-30,12.8,12.8,12.8,12.8
3860,2025-05-28,12.6,12.6,12.6,12.6
3859,2025-05-22,12.2,12.2,12.2,12.2
3858,2025-05-21,12.6,13.3,12.6,13.3
