,Date,Open,High,Low,Close
2081,2025-10-17,4.6,4.67,4.57,4.61
2080,2025-10-16,4.6,4.7,4.6,4.66
2079,2025-10-15,4.64,4.69,4.59,4.65
2078,2025-10-14,4.61,4.68,4.6,4.65
2077,2025-10-13,4.6,4.7,4.6,4.68
2076,2025-10-10,4.8,4.8,4.7,4.7
2075,2025-10-09,4.66,4.81,4.63,4.8
2074,2025-10-08,4.64,4.69,4.64,4.66
2073,2025-10-07,4.68,4.78,4.65,4.69
2072,2025-10-06,4.68,4.74,4.64,4.7
2071,2025-10-03,4.69,4.84,4.66,4.68
2070,2025-10-02,4.71,4.77,4.69,4.69
2069,2025-10-01,4.76,4.76,4.7,4.74
2068,2025-09-30,4.84,4.84,4.7,4.73
2067,2025-09-29,4.81,4.84,4.74,4.8
2066,2025-09-26,4.74,4.85,4.74,4.8
2065,2025-09-25,4.74,4.78,4.73,4.75
2064,2025-09-24,4.82,4.83,4.74,4.79
2063,2025-09-23,4.81,4.81,4.71,4.75
2062,2025-09-22,4.79,4.79,4.7,4.75
2061,2025-09-19,4.75,4.83,4.75,4.78
2060,2025-09-18,4.84,4.84,4.7,4.75
2059,2025-09-17,4.89,4.89,4.72,4.82
2058,2025-09-16,4.72,4.89,4.61,4.87
2057,2025-09-15,4.7,4.79,4.67,4.74
2056,2025-09-12,4.69,4.75,4.67,4.7
2055,2025-09-11,4.8,4.8,4.63,4.69
2054,2025-09-10,4.7,4.77,4.67,4.69
2053,2025-09-09,4.7,4.73,4.66,4.7
2052,2025-09-08,4.83,4.86,4.72,4.73
2051,2025-09-05,4.74,4.99,4.68,4.82
2050,2025-09-04,4.72,4.74,4.7,4.72
2049,2025-09-03,4.62,4.9,4.61,4.72
2048,2025-08-29,4.55,4.65,4.55,4.62
2047,2025-08-28,4.61,4.69,4.59,4.62
2046,2025-08-27,4.73,4.73,4.63,4.64
2045,2025-08-26,4.65,4.68,4.5,4.65
2044,2025-08-25,4.59,4.69,4.56,4.6
2043,2025-08-22,4.68,4.7,4.5,4.59
2042,2025-08-21,4.72,4.72,4.6,4.69
2041,2025-08-20,4.72,4.74,4.62,4.69
2040,2025-08-19,4.68,4.75,4.67,4.73
2039,2025-08-18,4.75,4.75,4.67,4.72
2038,2025-08-15,4.75,4.78,4.69,4.73
2037,2025-08-14,4.77,4.77,4.69,4.75
2036,2025-08-13,4.71,4.81,4.68,4.73
2035,2025-08-12,4.72,4.75,4.69,4.71
2034,2025-08-11,4.73,4.76,4.68,4.74
2033,2025-08-08,4.65,4.76,4.65,4.73
2032,2025-08-07,4.7,4.74,4.65,4.7
2031,2025-08-06,4.71,4.73,4.67,4.7
2030,2025-08-05,4.71,4.82,4.63,4.7
2029,2025-08-04,4.98,4.98,4.5,4.71
2028,2025-08-01,4.78,5.0,4.68,4.78
2027,2025-07-31,4.75,4.78,4.6,4.68
2026,2025-07-30,4.44,4.65,4.38,4.65
2025,2025-07-29,4.54,4.54,4.43,4.43
2024,2025-07-28,4.5,4.6,4.45,4.51
2023,2025-07-25,4.45,4.47,4.43,4.47
2022,2025-07-24,4.4,4.54,4.4,4.45
2021,2025-07-23,4.38,4.45,4.36,4.39
2020,2025-07-22,4.4,4.4,4.37,4.37
2019,2025-07-21,4.43,4.44,4.38,4.42
2018,2025-07-18,4.45,4.45,4.31,4.43
2017,2025-07-17,4.37,4.42,4.37,4.4
2016,2025-07-16,4.36,4.38,4.35,4.36
2015,2025-07-15,4.33,4.37,4.32,4.35
2014,2025-07-14,4.35,4.35,4.29,4.32
2013,2025-07-11,4.36,4.4,4.31,4.32
2012,2025-07-10,4.19,4.37,4.19,4.36
2011,2025-07-09,4.27,4.27,4.23,4.24
2010,2025-07-08,4.17,4.24,4.17,4.22
2009,2025-07-07,4.19,4.19,4.15,4.17
2008,2025-07-04,4.18,4.19,4.12,4.16
2007,2025-07-03,4.15,4.4,4.15,4.19
2006,2025-07-02,4.17,4.18,4.13,4.15
2005,2025-07-01,4.13,4.18,4.12,4.17
2004,2025-06-30,4.13,4.22,4.13,4.15
2003,2025-06-27,4.18,4.18,4.14,4.15
2002,2025-06-26,4.18,4.18,4.13,4.15
2001,2025-06-25,4.12,4.16,4.12,4.16
2000,2025-06-24,4.14,4.15,4.11,4.15
1999,2025-06-23,4.13,4.19,4.11,4.14
1998,2025-06-20,4.18,4.18,4.12,4.14
1997,2025-06-19,4.13,4.18,4.05,4.18
