,Date,Open,High,Low,Close
494,2025-10-17,7.0,7.3,6.9,7.3
493,2025-10-16,7.5,7.5,7.3,7.3
492,2025-10-15,7.5,7.5,7.5,7.5
491,2025-10-14,7.5,7.6,7.5,7.5
490,2025-10-13,7.5,7.7,7.5,7.7
489,2025-10-10,8.2,8.2,7.3,7.5
488,2025-10-09,7.6,7.7,7.6,7.6
487,2025-10-08,7.6,7.7,7.6,7.7
486,2025-10-07,7.8,7.8,7.6,7.7
485,2025-10-06,7.8,7.8,7.8,7.8
484,2025-10-03,7.8,7.8,7.6,7.6
483,2025-10-02,8.1,8.1,7.7,7.7
482,2025-09-30,8.2,8.2,7.7,7.8
481,2025-09-29,7.7,7.7,7.7,7.7
480,2025-09-26,7.8,7.8,7.8,7.8
479,2025-09-25,7.8,8.0,7.8,7.8
478,2025-09-24,7.7,7.7,7.7,7.7
477,2025-09-23,7.9,8.2,7.7,8.2
476,2025-09-22,8.6,8.6,7.9,7.9
475,2025-09-19,7.6,8.5,7.5,8.5
474,2025-09-18,7.6,7.6,7.6,7.6
473,2025-09-17,7.6,7.8,7.5,7.7
472,2025-09-16,8.0,8.0,7.4,7.9
471,2025-09-15,8.0,8.3,7.6,7.6
470,2025-09-12,7.7,8.4,7.7,7.8
469,2025-09-11,7.6,7.6,7.6,7.6
468,2025-09-10,7.7,7.7,7.6,7.6
467,2025-09-09,7.8,8.0,7.5,8.0
466,2025-09-08,8.0,8.0,7.6,7.6
465,2025-09-05,8.2,8.4,7.7,8.2
464,2025-09-04,8.2,8.3,8.1,8.1
463,2025-09-03,8.9,8.9,7.9,8.1
462,2025-08-29,8.5,8.5,8.2,8.5
461,2025-08-28,8.5,8.9,8.3,8.8
460,2025-08-27,7.7,8.8,7.7,8.8
459,2025-08-26,7.9,7.9,7.6,7.9
458,2025-08-25,8.1,8.2,7.5,8.0
457,2025-08-22,8.9,8.9,7.9,8.0
456,2025-08-21,10.3,10.3,8.3,8.4
455,2025-08-20,9.0,9.0,8.6,9.0
454,2025-08-19,7.3,8.1,7.2,8.1
453,2025-08-18,7.2,7.2,7.1,7.2
452,2025-08-15,7.2,7.2,7.0,7.2
451,2025-08-14,7.1,7.2,7.0,7.1
450,2025-08-13,7.1,7.2,7.0,7.1
449,2025-08-12,7.2,7.2,7.0,7.0
448,2025-08-11,7.1,7.2,7.1,7.1
447,2025-08-08,7.2,7.2,7.1,7.1
446,2025-08-07,7.2,7.2,7.2,7.2
445,2025-08-06,7.1,7.2,7.1,7.2
444,2025-08-05,7.2,7.2,7.1,7.1
443,2025-08-04,7.0,7.1,7.0,7.1
442,2025-08-01,7.1,7.1,7.0,7.1
441,2025-07-31,7.2,7.2,7.0,7.1
440,2025-07-30,7.2,7.3,7.1,7.1
439,2025-07-29,7.1,7.4,7.1,7.1
438,2025-07-28,7.1,7.3,7.1,7.3
437,2025-07-25,7.2,7.3,7.0,7.0
436,2025-07-24,7.1,7.2,7.1,7.1
435,2025-07-23,7.1,7.1,7.0,7.0
434,2025-07-22,7.0,7.1,7.0,7.0
433,2025-07-21,7.2,7.2,7.0,7.0
432,2025-07-18,7.2,7.2,7.0,7.1
431,2025-07-17,7.2,7.2,7.1,7.1
430,2025-07-16,7.1,7.2,7.1,7.2
429,2025-07-15,7.1,7.2,7.0,7.1
428,2025-07-14,7.0,7.1,6.9,7.1
427,2025-07-11,7.0,7.1,7.0,7.0
426,2025-07-10,6.9,7.0,6.9,7.0
425,2025-07-09,6.8,7.0,6.8,7.0
424,2025-07-08,7.0,7.0,6.9,6.9
423,2025-07-07,6.9,7.0,6.9,6.9
422,2025-07-04,7.0,7.0,6.9,7.0
421,2025-07-03,7.0,7.0,7.0,7.0
420,2025-07-02,7.1,7.1,6.9,7.0
419,2025-07-01,7.0,7.0,6.9,6.9
418,2025-06-30,7.1,7.1,7.0,7.0
417,2025-06-27,7.0,7.1,7.0,7.0
416,2025-06-26,7.1,7.2,6.9,6.9
415,2025-06-25,7.2,7.2,7.1,7.2
414,2025-06-24,7.1,7.3,7.0,7.3
413,2025-06-23,7.1,7.1,7.1,7.1
412,2025-06-20,7.0,7.2,6.9,7.2
411,2025-06-19,7.1,7.1,7.1,7.1
410,2025-06-18,7.1,7.3,7.1,7.1
409,2025-06-17,7.3,7.3,7.2,7.2
408,2025-06-16,7.3,7.3,7.0,7.2
407,2025-06-13,7.2,7.2,6.7,7.1
406,2025-06-12,7.2,7.3,7.1,7.2
405,2025-06-11,7.2,7.5,7.0,7.2
404,2025-06-10,6.8,7.5,6.8,7.2
403,2025-06-09,7.2,7.2,7.0,7.2
402,2025-06-06,7.3,7.4,6.8,7.0
401,2025-06-05,7.2,7.5,7.1,7.2
400,2025-06-04,7.4,7.4,7.2,7.2
399,2025-06-03,7.4,7.7,7.2,7.6
398,2025-06-02,7.2,7.7,7.2,7.3
397,2025-05-30,7.4,7.4,7.0,7.0
396,2025-05-29,7.5,7.5,7.1,7.4
395,2025-05-28,7.8,7.8,6.8,7.5
394,2025-05-27,7.3,7.8,7.3,7.6
393,2025-05-26,7.7,7.8,6.9,7.3
392,2025-05-23,7.7,7.9,7.6,7.8
391,2025-05-22,7.2,7.3,7.2,7.3
390,2025-05-21,7.2,7.4,6.2,7.2
389,2025-05-20,6.6,7.5,6.6,7.4
388,2025-05-19,7.9,8.1,6.4,6.4
387,2025-05-16,8.0,8.7,6.8,7.7
386,2025-05-15,8.0,8.2,8.0,8.2
385,2025-05-14,8.0,8.4,7.8,8.1
384,2025-05-13,7.9,8.2,7.8,8.1
383,2025-05-12,7.5,8.1,7.5,7.6
382,2025-05-09,7.4,8.0,7.4,7.4
381,2025-05-08,7.3,7.3,7.2,7.2
380,2025-05-07,7.4,7.4,7.2,7.3
379,2025-05-06,7.2,7.4,7.2,7.2
378,2025-05-05,7.2,7.3,7.2,7.3
377,2025-04-29,7.1,7.3,7.1,7.1
376,2025-04-28,6.6,7.2,6.6,7.0
375,2025-04-25,7.4,7.4,6.9,7.0
374,2025-04-24,7.5,7.5,6.9,7.1
373,2025-04-23,7.8,7.8,7.1,7.1
372,2025-04-22,7.3,7.3,6.6,6.9
371,2025-04-21,7.4,7.4,6.5,6.9
370,2025-04-18,7.5,7.6,7.4,7.4
369,2025-04-17,7.5,7.5,7.2,7.2
368,2025-04-16,7.7,7.7,7.1,7.4
367,2025-04-15,7.8,7.8,7.2,7.2
366,2025-04-14,7.3,7.4,7.1,7.4
