,Date,Open,High,Low,Close
4693,2025-10-16,28.9,28.9,28.9,28.9
4692,2025-10-15,28.0,28.0,28.0,28.0
4691,2025-10-14,28.0,28.0,28.0,28.0
4690,2025-10-13,29.17,29.17,27.5,27.7
4689,2025-10-10,27.5,27.5,27.5,27.5
4688,2025-10-09,29.27,29.27,29.27,29.27
4687,2025-10-08,29.27,29.27,29.27,29.27
4686,2025-10-07,29.27,29.27,29.27,29.27
4685,2025-10-06,28.98,28.98,27.11,28.98
4684,2025-10-03,27.5,27.5,26.52,26.52
4683,2025-10-02,28.78,28.78,28.78,28.78
4682,2025-10-01,28.78,28.78,28.78,28.78
4681,2025-09-30,28.49,28.78,27.01,28.78
4680,2025-09-29,29.37,29.37,29.37,29.37
4679,2025-09-26,29.37,29.37,29.37,29.37
4678,2025-09-25,29.37,29.37,29.37,29.37
4677,2025-09-24,29.37,29.37,29.37,29.37
4676,2025-09-23,29.37,29.37,29.37,29.37
4675,2025-09-22,29.37,29.37,29.37,29.37
4674,2025-09-19,29.37,29.37,29.37,29.37
4673,2025-09-18,29.37,29.37,29.37,29.37
4672,2025-09-17,29.37,29.37,29.37,29.37
4671,2025-09-16,28.19,28.49,28.19,28.49
4670,2025-09-15,28.39,28.49,28.39,28.49
4669,2025-09-12,28.98,28.98,28.98,28.98
4668,2025-09-11,28.98,28.98,28.98,28.98
4667,2025-09-10,28.98,28.98,28.98,28.98
4666,2025-09-09,28.98,28.98,28.98,28.98
4665,2025-09-08,28.49,28.49,28.49,28.49
4664,2025-09-05,28.98,28.98,28.98,28.98
4663,2025-09-04,29.47,29.47,28.98,28.98
4662,2025-09-03,29.17,29.17,29.17,29.17
4661,2025-08-29,28.98,28.98,28.98,28.98
4660,2025-08-28,29.37,29.37,29.37,29.37
4659,2025-08-27,29.37,29.37,29.37,29.37
4658,2025-08-26,27.9,28.0,27.9,28.0
4657,2025-08-25,28.78,28.78,28.78,28.78
4656,2025-08-22,28.68,28.78,28.68,28.68
4655,2025-08-21,29.27,29.27,29.27,29.27
4654,2025-08-20,29.47,29.47,29.47,29.47
4653,2025-08-19,29.47,29.47,29.47,29.47
4652,2025-08-18,28.98,28.98,28.39,28.39
4651,2025-08-15,28.49,28.49,28.49,28.49
4650,2025-08-14,28.49,28.49,28.49,28.49
4649,2025-08-13,28.88,28.88,27.6,27.6
4648,2025-08-12,28.49,28.49,28.39,28.39
4647,2025-08-11,27.7,27.7,27.7,27.7
4646,2025-08-08,28.19,28.19,28.19,28.19
4645,2025-08-07,28.0,28.19,28.0,28.19
4644,2025-08-06,28.0,28.0,27.9,28.0
4643,2025-08-05,27.9,27.9,27.9,27.9
4642,2025-08-04,27.9,27.9,27.9,27.9
4641,2025-08-01,27.9,27.9,27.9,27.9
4640,2025-07-31,27.9,27.9,27.9,27.9
4639,2025-07-30,27.8,27.9,27.8,27.9
4638,2025-07-29,27.8,27.8,27.8,27.8
4637,2025-07-28,27.7,27.8,27.7,27.8
4636,2025-07-25,27.7,27.7,27.7,27.7
4635,2025-07-24,27.7,27.7,27.7,27.7
4634,2025-07-23,27.7,27.7,27.7,27.7
4633,2025-07-22,28.39,28.39,27.7,27.7
4632,2025-07-21,27.9,27.9,27.9,27.9
4631,2025-07-18,28.68,28.68,27.8,27.9
4630,2025-07-17,28.09,28.09,28.09,28.09
4629,2025-07-16,28.09,28.09,28.09,28.09
4628,2025-07-15,27.7,28.09,27.7,28.09
4627,2025-07-14,27.9,27.9,27.7,27.7
4626,2025-07-11,28.29,28.29,28.19,28.19
4625,2025-07-10,28.49,29.08,27.5,28.68
4624,2025-07-09,29.27,29.27,28.29,28.78
4623,2025-07-08,28.19,28.19,28.19,28.19
4622,2025-07-07,29.37,29.37,28.19,29.27
4621,2025-07-04,29.37,29.37,29.37,29.37
4620,2025-07-03,28.58,28.68,28.39,28.68
4619,2025-07-02,28.88,28.88,26.23,26.33
4618,2025-07-01,28.39,28.58,26.33,26.42
4617,2025-06-30,26.13,26.13,26.13,26.13
4616,2025-06-27,29.27,29.27,27.01,27.01
4615,2025-06-26,29.47,29.47,29.47,29.47
4614,2025-06-25,29.47,29.47,29.47,29.47
4613,2025-06-24,29.47,29.47,29.47,29.47
4612,2025-06-23,28.88,28.88,28.88,28.88
4611,2025-06-20,28.88,28.88,28.88,28.88
4610,2025-06-19,28.88,28.88,28.88,28.88
4609,2025-06-18,28.88,28.88,28.88,28.88
4608,2025-06-17,28.88,28.88,28.88,28.88
4607,2025-06-16,27.7,27.7,27.7,27.7
4606,2025-06-13,29.76,29.76,29.76,29.76
4605,2025-06-12,29.08,29.08,29.08,29.08
4604,2025-06-11,29.08,29.08,29.08,29.08
4603,2025-06-10,29.08,29.08,29.08,29.08
4602,2025-06-09,29.08,29.08,29.08,29.08
4601,2025-06-06,27.9,27.9,27.9,27.9
4600,2025-06-05,27.9,27.9,27.9,27.9
4599,2025-06-04,28.88,28.88,27.9,27.9
4598,2025-06-03,28.88,28.88,28.88,28.88
4597,2025-06-02,28.88,28.88,28.88,28.88
4596,2025-05-30,28.88,28.88,28.88,28.88
4595,2025-05-29,28.88,28.88,28.88,28.88
4594,2025-05-28,28.88,28.88,28.88,28.88
4593,2025-05-27,28.09,28.09,27.41,27.41
4592,2025-05-26,28.09,28.09,28.09,28.09
