,Date,Open,High,Low,Close
2124,2025-09-24,350.0,350.0,350.0,350.0
2123,2025-09-23,350.0,350.0,350.0,350.0
2122,2025-09-08,350.0,350.0,350.0,350.0
2121,2025-08-22,353.0,353.0,353.0,353.0
2120,2025-08-15,353.0,353.0,353.0,353.0
2119,2025-08-12,360.0,380.0,360.0,380.0
2118,2025-08-05,360.0,360.0,360.0,360.0
2117,2025-07-31,360.0,360.0,360.0,360.0
2116,2025-07-25,360.0,360.0,360.0,360.0
2115,2025-07-24,360.0,360.0,360.0,360.0
2114,2025-07-23,360.0,360.0,360.0,360.0
2113,2025-07-22,365.5,365.5,365.0,365.0
2112,2025-07-21,365.5,365.5,365.5,365.5
2111,2025-07-18,365.5,365.5,365.5,365.5
2110,2025-07-17,365.5,365.5,365.5,365.5
2109,2025-07-16,430.0,430.0,430.0,430.0
2108,2025-07-15,430.0,430.0,426.0,426.0
2107,2025-07-14,425.99,425.99,425.99,425.99
2106,2025-07-11,370.42,370.42,370.42,370.42
2105,2025-07-10,350.93,389.92,350.93,389.92
2104,2025-07-09,346.05,346.05,346.05,346.05
2103,2025-07-08,346.05,346.05,346.05,346.05
2102,2025-07-07,346.05,346.05,346.05,346.05
2101,2025-07-04,346.05,346.05,346.05,346.05
2100,2025-07-03,341.18,341.18,341.18,341.18
2099,2025-07-02,341.18,341.18,341.18,341.18
2098,2025-07-01,341.18,341.18,341.18,341.18
2097,2025-06-30,341.18,341.18,341.18,341.18
2096,2025-06-27,341.18,341.18,341.18,341.18
2095,2025-06-26,341.18,341.18,341.18,341.18
2094,2025-06-25,341.18,341.18,341.18,341.18
2093,2025-06-24,341.18,341.18,341.18,341.18
2092,2025-06-23,341.18,341.18,341.18,341.18
2091,2025-06-20,341.18,341.18,341.18,341.18
2090,2025-06-19,341.18,341.18,341.18,341.18
2089,2025-06-18,341.18,341.18,341.18,341.18
2088,2025-06-17,341.18,341.18,341.18,341.18
2087,2025-06-16,341.18,341.18,341.18,341.18
2086,2025-06-13,341.18,341.18,341.18,341.18
2085,2025-06-12,341.18,341.18,341.18,341.18
2084,2025-06-11,321.68,321.68,321.68,321.68
2083,2025-06-10,311.94,311.94,311.94,311.94
2082,2025-06-09,331.33,331.33,331.33,331.33
2081,2025-06-06,292.44,292.44,292.44,292.44
2080,2025-06-05,295.56,331.43,295.56,331.43
2079,2025-06-04,277.92,366.52,277.82,366.52
