,Date,Open,High,Low,Close,Volume
4694,2025-10-24,11.7,11.75,11.6,11.65,16200
4693,2025-10-23,11.75,11.8,11.5,11.8,23900
4692,2025-10-22,11.6,11.8,11.5,11.75,18000
4691,2025-10-21,11.8,12.0,11.4,11.55,28000
4690,2025-10-20,11.85,12.0,11.75,11.75,13800
4689,2025-10-17,11.95,11.95,11.95,11.95,100
4688,2025-10-16,11.8,12.05,11.8,11.95,15400
4687,2025-10-15,11.8,11.8,11.8,11.8,5700
4686,2025-10-14,12.0,12.1,11.8,11.85,7100
4685,2025-10-13,12.0,12.2,11.75,12.0,67400
4684,2025-10-10,11.9,12.05,11.9,12.0,15100
4683,2025-10-09,11.85,11.9,11.85,11.9,5200
4682,2025-10-08,11.75,11.85,11.65,11.85,10100
4681,2025-10-07,11.85,11.95,11.7,11.85,4300
4680,2025-10-06,11.6,11.85,11.6,11.85,18600
4679,2025-10-03,11.85,11.85,11.6,11.8,20800
4678,2025-10-02,11.8,11.9,11.55,11.7,31800
4677,2025-10-01,11.5,11.85,11.5,11.85,5200
4676,2025-09-30,11.55,11.85,11.55,11.85,13000
4675,2025-09-29,11.85,11.85,11.2,11.75,40000
4674,2025-09-26,11.7,11.75,11.7,11.75,8500
4673,2025-09-25,11.8,11.8,11.7,11.8,6700
4672,2025-09-24,11.5,11.9,11.5,11.9,6400
4671,2025-09-23,11.9,11.9,11.75,11.75,1000
4670,2025-09-22,11.9,11.95,11.7,11.9,21700
4669,2025-09-19,11.75,12.0,11.7,11.95,10900
4668,2025-09-18,11.7,11.9,11.55,11.9,9700
4667,2025-09-17,12.05,12.1,11.8,11.95,33600
4666,2025-09-16,12.05,12.15,11.25,11.9,32600
4665,2025-09-15,12.0,12.15,12.0,12.05,8600
4664,2025-09-12,11.9,12.05,11.85,12.05,3500
4663,2025-09-11,11.8,12.05,11.8,12.0,10700
4662,2025-09-09,11.75,12.0,11.7,12.0,9600
4661,2025-09-08,11.85,12.0,11.8,12.0,5900
4660,2025-09-05,12.1,12.1,11.9,11.9,23700
4659,2025-09-04,12.05,12.05,12.0,12.0,21100
4658,2025-09-03,11.95,12.2,11.9,11.95,77000
4657,2025-08-29,11.7,11.85,11.7,11.8,3500
4656,2025-08-28,11.7,11.9,11.7,11.7,4000
4655,2025-08-27,11.7,11.9,11.65,11.85,29900
4654,2025-08-26,11.55,11.8,11.55,11.8,22400
4653,2025-08-25,11.8,11.8,11.6,11.65,12800
4652,2025-08-22,11.75,11.85,11.65,11.8,10700
4651,2025-08-21,11.6,11.9,11.6,11.75,6000
4650,2025-08-20,11.95,11.95,11.7,11.9,28500
4649,2025-08-19,11.85,11.95,11.8,11.9,40200
4648,2025-08-18,11.8,11.9,11.75,11.85,11700
4647,2025-08-15,12.0,12.0,11.8,11.8,50300
4646,2025-08-14,11.9,11.95,11.85,11.95,13300
4645,2025-08-13,11.85,11.9,11.8,11.9,22100
4644,2025-08-12,11.9,11.95,11.8,11.85,6500
4643,2025-08-11,11.9,11.9,11.75,11.9,30900
4642,2025-08-08,11.9,11.9,11.75,11.9,20300
4641,2025-08-07,11.9,11.95,11.8,11.9,15500
4640,2025-08-06,11.8,11.95,11.75,11.9,12000
4639,2025-08-05,11.85,11.95,11.8,11.8,33100
4638,2025-08-04,11.7,11.85,11.7,11.85,8700
4637,2025-08-01,11.85,11.9,11.85,11.85,20300
4636,2025-07-31,11.7,11.9,11.65,11.9,12000
4635,2025-07-30,11.8,11.8,11.5,11.8,17300
4634,2025-07-29,11.85,11.9,11.65,11.65,26100
4633,2025-07-28,12.0,12.0,11.85,11.95,10400
4632,2025-07-25,12.45,12.45,11.8,12.0,20400
4631,2025-07-24,11.75,11.75,11.7,11.7,9000
4630,2025-07-23,11.8,11.9,11.75,11.75,4900
4629,2025-07-22,11.75,11.8,11.7,11.75,11000
4628,2025-07-21,11.8,11.8,11.7,11.7,13700
4627,2025-07-18,11.9,11.9,11.8,11.8,10500
4626,2025-07-17,11.65,11.8,11.6,11.6,23400
4625,2025-07-16,11.8,11.8,11.6,11.65,20800
