,Date,Open,High,Low,Close
2215,2025-08-18,9.4,9.5,9.4,9.5
2214,2025-08-13,9.4,9.4,9.4,9.4
2213,2025-08-12,9.4,9.4,9.4,9.4
2212,2025-08-08,8.2,8.2,8.2,8.2
2211,2025-07-16,9.6,9.6,9.6,9.6
2210,2025-07-15,9.6,9.6,9.6,9.6
2209,2025-07-14,9.6,9.6,9.6,9.6
2208,2025-07-11,9.6,9.6,9.6,9.6
2207,2025-07-10,11.2,11.2,11.2,11.2
2206,2025-07-09,11.2,11.2,11.2,11.2
2205,2025-07-08,11.2,11.2,11.2,11.2
2204,2025-07-07,11.2,11.2,11.2,11.2
2203,2025-07-04,11.2,11.2,11.2,11.2
2202,2025-07-03,11.2,11.2,11.2,11.2
2201,2025-07-02,11.2,11.2,11.2,11.2
2200,2025-07-01,11.2,11.2,11.2,11.2
2199,2025-06-30,11.2,11.2,11.2,11.2
2198,2025-06-27,11.2,11.2,11.2,11.2
2197,2025-06-26,11.2,11.2,11.2,11.2
2196,2025-06-25,11.2,11.2,11.2,11.2
2195,2025-06-24,11.2,11.2,11.2,11.2
2194,2025-06-23,11.2,11.2,11.2,11.2
2193,2025-06-20,11.2,11.2,11.2,11.2
2192,2025-06-19,11.2,11.2,11.2,11.2
2191,2025-06-18,11.2,11.2,11.2,11.2
2190,2025-06-17,11.2,11.2,11.2,11.2
2189,2025-06-16,11.2,11.2,11.2,11.2
2188,2025-06-13,11.2,11.2,11.2,11.2
2187,2025-06-12,11.2,11.2,11.2,11.2
2186,2025-06-11,11.2,11.2,11.2,11.2
2185,2025-06-10,11.2,11.2,11.2,11.2
2184,2025-06-09,11.2,11.2,11.2,11.2
2183,2025-06-06,11.2,11.2,11.2,11.2
2182,2025-06-05,11.2,11.2,11.2,11.2
2181,2025-06-04,11.2,11.2,11.2,11.2
2180,2025-06-03,11.2,11.2,11.2,11.2
2179,2025-06-02,11.2,11.2,11.2,11.2
2178,2025-05-30,11.2,11.2,11.2,11.2
2177,2025-05-29,11.2,11.2,11.2,11.2
2176,2025-05-28,11.2,11.2,11.2,11.2
2175,2025-05-27,11.2,11.2,11.2,11.2
2174,2025-05-26,11.2,11.2,11.2,11.2
2173,2025-05-23,11.2,11.2,11.2,11.2
2172,2025-05-22,11.2,11.2,11.2,11.2
2171,2025-05-21,11.2,11.2,11.2,11.2
2170,2025-05-20,11.2,11.2,11.2,11.2
2169,2025-05-19,11.2,11.2,11.2,11.2
2168,2025-05-16,11.2,11.2,11.2,11.2
2167,2025-05-15,11.2,11.2,11.2,11.2
2166,2025-05-14,11.2,11.2,11.2,11.2
2165,2025-05-13,12.97,12.97,12.97,12.97
2164,2025-05-12,12.97,12.97,12.97,12.97
2163,2025-05-09,12.97,12.97,12.97,12.97
2162,2025-05-08,12.97,12.97,12.97,12.97
2161,2025-05-07,12.97,12.97,12.97,12.97
2160,2025-05-06,12.97,12.97,12.97,12.97
2159,2025-05-05,12.97,12.97,12.97,12.97
2158,2025-04-29,12.97,12.97,12.97,12.97
2157,2025-04-28,12.97,12.97,12.97,12.97
2156,2025-04-25,12.97,12.97,12.97,12.97
2155,2025-04-24,12.97,12.97,12.97,12.97
2154,2025-04-23,12.97,12.97,12.97,12.97
2153,2025-04-22,12.97,12.97,12.97,12.97
2152,2025-04-21,12.97,12.97,12.97,12.97
2151,2025-04-18,12.97,12.97,12.97,12.97
2150,2025-04-17,12.97,12.97,12.97,12.97
2149,2025-04-16,12.97,12.97,12.97,12.97
2148,2025-04-15,12.97,12.97,12.97,12.97
2147,2025-04-14,12.97,12.97,12.97,12.97
2146,2025-04-11,12.97,12.97,12.97,12.97
2145,2025-04-10,12.97,12.97,12.97,12.97
2144,2025-04-09,12.97,12.97,12.97,12.97
2143,2025-04-08,12.97,12.97,12.97,12.97
2142,2025-04-04,12.97,12.97,12.97,12.97
2141,2025-04-03,12.97,12.97,12.97,12.97
2140,2025-04-02,12.97,12.97,12.97,12.97
2139,2025-04-01,12.97,12.97,12.97,12.97
2138,2025-03-31,12.97,12.97,12.97,12.97
2137,2025-03-28,12.97,12.97,12.97,12.97
2136,2025-03-27,12.97,12.97,12.97,12.97
2135,2025-03-26,12.97,12.97,12.97,12.97
2134,2025-03-25,12.97,12.97,12.97,12.97
2133,2025-03-24,12.97,12.97,12.97,12.97
2132,2025-03-21,12.97,12.97,12.97,12.97
2131,2025-03-20,12.97,12.97,12.97,12.97
2130,2025-03-19,12.97,12.97,12.97,12.97
2129,2025-03-18,12.97,12.97,12.97,12.97
2128,2025-03-17,12.97,12.97,12.97,12.97
2127,2025-03-14,12.97,12.97,12.97,12.97
2126,2025-03-13,12.97,12.97,12.97,12.97
2125,2025-03-12,12.97,12.97,12.97,12.97
2124,2025-03-11,12.97,12.97,12.97,12.97
2123,2025-03-10,12.97,12.97,12.97,12.97
2122,2025-03-07,12.97,12.97,12.97,12.97
2121,2025-03-06,12.97,12.97,12.97,12.97
2120,2025-03-05,12.97,12.97,12.97,12.97
2119,2025-03-04,12.97,12.97,12.97,12.97
2118,2025-03-03,12.97,12.97,12.97,12.97
2117,2025-02-28,13.35,13.35,12.88,12.88
2116,2025-02-27,15.12,15.12,15.12,15.12
2115,2025-02-26,15.12,15.12,15.12,15.12
2114,2025-02-25,15.12,15.12,15.12,15.12
2113,2025-02-24,15.12,15.12,15.12,15.12
2112,2025-02-21,15.12,15.12,15.12,15.12
2111,2025-02-20,15.12,15.12,15.12,15.12
2110,2025-02-19,15.12,15.12,15.12,15.12
2109,2025-02-18,15.12,15.12,15.12,15.12
2108,2025-02-17,15.12,15.12,15.12,15.12
2107,2025-02-14,15.12,15.12,15.12,15.12
2106,2025-02-13,15.12,15.12,15.12,15.12
2105,2025-02-12,10.83,10.83,10.83,10.83
2104,2025-02-11,10.83,10.83,10.83,10.83
2103,2025-02-10,10.83,10.83,10.83,10.83
2102,2025-02-07,10.83,10.83,10.83,10.83
2101,2025-02-06,10.83,10.83,10.83,10.83
2100,2025-02-05,10.83,10.83,10.83,10.83
2099,2025-02-04,10.83,10.83,10.83,10.83
2098,2025-02-03,10.83,10.83,10.83,10.83
2097,2025-01-24,10.83,10.83,10.83,10.83
2096,2025-01-23,10.83,10.83,10.83,10.83
2095,2025-01-22,10.83,10.83,10.83,10.83
2094,2025-01-21,10.83,10.83,10.83,10.83
2093,2025-01-20,10.83,10.83,10.83,10.83
2092,2025-01-17,10.83,10.83,10.83,10.83
2091,2025-01-16,10.83,10.83,10.83,10.83
2090,2025-01-15,10.83,10.83,10.83,10.83
2089,2025-01-14,10.83,10.83,10.83,10.83
2088,2025-01-13,10.83,10.83,10.83,10.83
2087,2025-01-10,10.83,10.83,10.83,10.83
2086,2025-01-09,10.83,10.83,10.83,10.83
2085,2025-01-08,10.83,10.83,10.83,10.83
2084,2025-01-07,10.83,10.83,10.83,10.83
2083,2025-01-06,10.83,10.83,10.83,10.83
2082,2025-01-03,10.83,10.83,10.83,10.83
2081,2025-01-02,10.83,10.83,10.83,10.83
2080,2024-12-31,10.83,10.83,10.83,10.83
2079,2024-12-30,10.83,10.83,10.83,10.83
2078,2024-12-27,10.83,10.83,10.83,10.83
2077,2024-12-26,10.83,10.83,10.83,10.83
2076,2024-12-25,10.83,10.83,10.83,10.83
2075,2024-12-24,10.83,10.83,10.83,10.83
2074,2024-12-23,10.83,10.83,10.83,10.83
2073,2024-12-20,10.83,10.83,10.83,10.83
2072,2024-12-19,10.83,10.83,10.83,10.83
2071,2024-12-18,10.83,10.83,10.83,10.83
2070,2024-12-17,10.83,10.83,10.83,10.83
2069,2024-12-16,10.83,10.83,10.83,10.83
2068,2024-12-13,10.83,10.83,10.83,10.83
2067,2024-12-12,10.83,10.83,10.83,10.83
2066,2024-12-11,10.83,10.83,10.83,10.83
2065,2024-12-10,10.83,10.83,10.83,10.83
2064,2024-12-09,10.83,10.83,10.83,10.83
2063,2024-12-06,10.83,10.83,10.83,10.83
2062,2024-12-05,10.83,10.83,10.83,10.83
2061,2024-12-04,10.83,10.83,10.83,10.83
2060,2024-12-03,10.83,10.83,10.83,10.83
2059,2024-12-02,10.83,10.83,10.83,10.83
2058,2024-11-29,10.83,10.83,10.83,10.83
2057,2024-11-28,10.83,10.83,10.83,10.83
2056,2024-11-27,10.83,10.83,10.83,10.83
2055,2024-11-26,10.83,10.83,10.83,10.83
2054,2024-11-25,10.83,10.83,10.83,10.83
2053,2024-11-22,10.83,10.83,10.83,10.83
2052,2024-11-21,10.83,10.83,10.83,10.83
2051,2024-11-20,10.83,10.83,10.83,10.83
2050,2024-11-19,10.83,10.83,10.83,10.83
2049,2024-11-18,10.83,10.83,10.83,10.83
2048,2024-11-15,10.83,10.83,10.83,10.83
2047,2024-11-14,10.83,10.83,10.83,10.83
2046,2024-11-13,10.83,10.83,10.83,10.83
2045,2024-11-12,10.83,10.83,10.83,10.83
2044,2024-11-11,10.83,10.83,10.83,10.83
2043,2024-11-08,10.83,10.83,10.83,10.83
2042,2024-11-07,10.83,10.83,10.83,10.83
2041,2024-11-06,10.83,10.83,10.83,10.83
2040,2024-11-05,10.83,10.83,10.83,10.83
2039,2024-11-04,10.83,10.83,10.83,10.83
2038,2024-11-01,10.83,10.83,10.83,10.83
2037,2024-10-31,10.83,10.83,10.83,10.83
2036,2024-10-30,10.83,10.83,10.83,10.83
2035,2024-10-29,10.83,10.83,10.83,10.83
2034,2024-10-28,10.83,10.83,10.83,10.83
2033,2024-10-25,10.83,10.83,10.83,10.83
2032,2024-10-24,10.83,10.83,10.83,10.83
2031,2024-10-23,10.83,10.83,10.83,10.83
2030,2024-10-22,10.83,10.83,10.83,10.83
2029,2024-10-21,10.83,10.83,10.83,10.83
2028,2024-10-18,10.83,10.83,10.83,10.83
2027,2024-10-17,10.83,10.83,10.83,10.83
2026,2024-10-16,10.83,10.83,10.83,10.83
2025,2024-10-15,10.83,10.83,10.83,10.83
2024,2024-10-14,10.83,10.83,10.83,10.83
2023,2024-10-11,10.83,10.83,10.83,10.83
2022,2024-10-10,10.83,10.83,10.83,10.83
2021,2024-10-09,10.83,10.83,10.83,10.83
2020,2024-10-08,10.83,10.83,10.83,10.83
2019,2024-10-07,10.83,10.83,10.83,10.83
2018,2024-10-04,10.83,10.83,10.83,10.83
2017,2024-10-03,10.83,10.83,10.83,10.83
2016,2024-10-02,10.83,10.83,10.83,10.83
2015,2024-10-01,10.83,10.83,10.83,10.83
2014,2024-09-30,10.83,10.83,10.83,10.83
2013,2024-09-27,10.83,10.83,10.83,10.83
2012,2024-09-26,10.83,10.83,10.83,10.83
2011,2024-09-25,10.83,10.83,10.83,10.83
2010,2024-09-24,10.83,10.83,10.83,10.83
2009,2024-09-23,10.83,10.83,10.83,10.83
2008,2024-09-20,10.83,10.83,10.83,10.83
2007,2024-09-19,10.83,10.83,10.83,10.83
2006,2024-09-18,10.83,10.83,10.83,10.83
2005,2024-09-17,10.83,10.83,10.83,10.83
2004,2024-09-16,10.83,10.83,10.83,10.83
2003,2024-09-13,10.83,10.83,10.83,10.83
2002,2024-09-12,10.83,10.83,10.83,10.83
2001,2024-09-11,10.83,10.83,10.83,10.83
2000,2024-09-10,10.83,10.83,10.83,10.83
1999,2024-09-09,10.83,10.83,10.83,10.83
1998,2024-09-06,10.83,10.83,10.83,10.83
1997,2024-09-05,10.83,10.83,10.83,10.83
1996,2024-09-04,10.83,10.83,10.83,10.83
1995,2024-08-30,10.83,10.83,10.83,10.83
1994,2024-08-29,10.83,10.83,10.83,10.83
1993,2024-08-28,10.83,10.83,10.83,10.83
1992,2024-08-27,10.83,10.83,10.83,10.83
1991,2024-08-26,10.83,10.83,10.83,10.83
1990,2024-08-23,10.83,10.83,10.83,10.83
1989,2024-08-22,10.83,10.83,10.83,10.83
1988,2024-08-21,10.83,10.83,10.83,10.83
1987,2024-08-20,10.83,10.83,10.83,10.83
1986,2024-08-19,10.83,10.83,10.83,10.83
1985,2024-08-16,10.83,10.83,10.83,10.83
1984,2024-08-15,10.83,10.83,10.83,10.83
1983,2024-08-14,10.83,10.83,10.83,10.83
1982,2024-08-13,10.83,10.83,10.83,10.83
1981,2024-08-12,10.83,10.83,10.83,10.83
1980,2024-08-09,10.83,10.83,10.83,10.83
1979,2024-08-08,10.83,10.83,10.83,10.83
1978,2024-08-07,10.83,10.83,10.83,10.83
1977,2024-08-06,10.83,10.83,10.83,10.83
1976,2024-08-05,10.83,10.83,10.83,10.83
1975,2024-08-02,10.83,10.83,10.83,10.83
1974,2024-08-01,10.83,10.83,10.83,10.83
1973,2024-07-31,10.83,10.83,10.83,10.83
1972,2024-07-30,10.83,10.83,10.83,10.83
1971,2024-07-29,10.83,10.83,10.83,10.83
1970,2024-07-26,10.83,10.83,10.83,10.83
1969,2024-07-25,10.83,10.83,10.83,10.83
1968,2024-07-24,10.83,10.83,10.83,10.83
1967,2024-07-23,10.83,10.83,10.83,10.83
1966,2024-07-22,10.83,10.83,10.83,10.83
1965,2024-07-19,10.83,10.83,10.83,10.83
1964,2024-07-18,10.83,10.83,10.83,10.83
1963,2024-07-17,10.83,10.83,10.83,10.83
1962,2024-07-16,10.83,10.83,10.83,10.83
1961,2024-07-15,10.83,10.83,10.83,10.83
1960,2024-07-12,10.83,10.83,10.83,10.83
1959,2024-07-11,10.83,10.83,10.83,10.83
1958,2024-07-10,10.83,10.83,10.83,10.83
1957,2024-07-09,10.83,10.83,10.83,10.83
1956,2024-07-08,10.83,10.83,10.83,10.83
1955,2024-07-05,10.83,10.83,10.83,10.83
1954,2024-07-04,10.83,10.83,10.83,10.83
1953,2024-07-03,10.83,10.83,10.83,10.83
1952,2024-07-02,10.83,10.83,10.83,10.83
1951,2024-07-01,10.83,10.83,10.83,10.83
1950,2024-06-28,10.83,10.83,10.83,10.83
1949,2024-06-27,10.83,10.83,10.83,10.83
1948,2024-06-26,10.83,10.83,10.83,10.83
1947,2024-06-25,10.83,10.83,10.83,10.83
1946,2024-06-24,10.83,10.83,10.83,10.83
1945,2024-06-21,10.83,10.83,10.83,10.83
1944,2024-06-20,10.83,10.83,10.83,10.83
1943,2024-06-19,10.83,10.83,10.83,10.83
1942,2024-06-18,10.83,10.83,10.83,10.83
