,Date,Open,High,Low,Close
2458,2025-10-10,12.0,12.0,12.0,12.0
2457,2025-10-02,12.5,12.5,12.5,12.5
2456,2025-10-01,12.5,12.5,12.5,12.5
2455,2025-09-30,13.1,13.3,13.1,13.3
2454,2025-09-29,12.6,12.6,12.6,12.6
2453,2025-09-26,11.7,11.7,11.7,11.7
2452,2025-09-25,11.9,12.2,10.3,12.2
2451,2025-09-17,12.0,12.0,12.0,12.0
2450,2025-09-15,12.5,12.5,12.5,12.5
2449,2025-09-12,12.5,12.5,12.5,12.5
2448,2025-09-11,12.0,12.0,12.0,12.0
2447,2025-09-10,12.0,12.8,12.0,12.8
2446,2025-09-05,14.2,14.2,12.4,12.4
2445,2025-09-03,12.4,12.4,12.4,12.4
2444,2025-08-29,12.6,12.6,12.6,12.6
2443,2025-08-26,12.8,12.8,12.8,12.8
2442,2025-08-22,12.8,12.8,12.8,12.8
2441,2025-08-20,12.4,12.7,12.4,12.7
2440,2025-08-18,12.7,12.7,12.7,12.7
2439,2025-08-15,12.9,12.9,12.4,12.4
2438,2025-08-12,12.9,12.9,12.9,12.9
2437,2025-08-11,12.7,12.9,12.7,12.9
2436,2025-08-08,12.9,12.9,12.8,12.8
2435,2025-08-07,12.9,12.9,12.9,12.9
2434,2025-08-06,14.1,14.1,14.1,14.1
2433,2025-07-29,12.8,12.8,11.8,12.8
2432,2025-07-28,12.7,12.7,12.7,12.7
2431,2025-07-25,12.6,12.9,12.6,12.6
2430,2025-07-24,12.1,13.0,12.1,13.0
2429,2025-07-23,12.1,12.1,12.1,12.1
2428,2025-07-22,12.5,12.5,12.5,12.5
2427,2025-07-21,12.5,12.9,12.5,12.9
2426,2025-07-18,12.0,12.5,12.0,12.5
2425,2025-07-17,11.9,13.0,11.8,13.0
2424,2025-07-16,12.0,12.0,11.9,11.9
2423,2025-07-09,12.7,13.0,12.7,12.7
2422,2025-07-08,12.5,12.8,12.4,12.8
2421,2025-07-07,12.5,12.5,12.5,12.5
2420,2025-07-04,12.5,12.5,12.5,12.5
2419,2025-07-03,12.0,13.3,12.0,13.3
2418,2025-07-02,12.0,12.0,12.0,12.0
2417,2025-07-01,12.2,13.0,12.2,13.0
2416,2025-06-30,11.6,12.0,11.6,12.0
2415,2025-06-26,13.2,13.2,13.1,13.1
2414,2025-06-23,11.6,11.7,11.5,11.7
2413,2025-06-19,12.8,12.8,12.8,12.8
2412,2025-06-18,12.8,12.8,12.8,12.8
2411,2025-06-17,14.0,14.0,14.0,14.0
2410,2025-06-16,14.0,14.0,14.0,14.0
2409,2025-06-13,14.0,14.0,14.0,14.0
2408,2025-06-12,14.0,14.0,14.0,14.0
2407,2025-06-11,14.0,14.0,14.0,14.0
2406,2025-06-10,13.4,13.4,13.4,13.4
2405,2025-06-09,13.4,13.4,13.4,13.4
2404,2025-06-06,13.4,13.4,13.4,13.4
2403,2025-06-05,12.93,13.21,12.93,12.93
2402,2025-06-04,13.21,13.21,13.21,13.21
2401,2025-06-03,13.21,13.21,13.21,13.21
2400,2025-06-02,13.31,13.4,13.31,13.4
2399,2025-05-30,13.4,13.4,13.4,13.4
2398,2025-05-29,11.98,11.98,11.98,11.98
2397,2025-05-28,11.98,11.98,11.98,11.98
2396,2025-05-27,11.98,11.98,11.98,11.98
2395,2025-05-26,11.98,11.98,11.98,11.98
2394,2025-05-23,11.98,11.98,11.98,11.98
2393,2025-05-22,11.98,11.98,11.98,11.98
2392,2025-05-21,11.98,11.98,11.98,11.98
2391,2025-05-20,11.98,11.98,11.98,11.98
2390,2025-05-19,11.98,11.98,11.98,11.98
2389,2025-05-16,11.98,11.98,11.98,11.98
2388,2025-05-15,11.98,11.98,11.98,11.98
2387,2025-05-14,11.98,11.98,11.98,11.98
2386,2025-05-13,11.98,11.98,11.98,11.98
2385,2025-05-12,11.98,11.98,11.98,11.98
2384,2025-05-09,11.98,11.98,11.98,11.98
2383,2025-05-08,12.07,12.07,12.07,12.07
2382,2025-05-07,12.07,12.17,12.07,12.07
2381,2025-05-06,11.02,11.02,11.02,11.02
2380,2025-05-05,11.02,11.02,11.02,11.02
2379,2025-04-29,11.02,11.02,11.02,11.02
2378,2025-04-28,12.07,12.07,12.07,12.07
2377,2025-04-25,11.88,11.98,11.88,11.98
2376,2025-04-24,11.88,11.88,11.88,11.88
2375,2025-04-23,11.88,12.36,11.88,11.88
2374,2025-04-22,13.88,13.88,13.88,13.88
2373,2025-04-21,12.17,12.17,12.17,12.17
2372,2025-04-18,12.17,12.17,12.17,12.17
2371,2025-04-17,11.4,11.4,11.4,11.4
2370,2025-04-16,11.4,11.4,11.4,11.4
2369,2025-04-15,13.31,13.31,13.31,13.31
2368,2025-04-14,13.31,13.31,13.31,13.31
2367,2025-04-11,11.69,11.69,11.69,11.69
2366,2025-04-10,11.5,11.69,11.5,11.69
2365,2025-04-09,11.12,11.12,11.12,11.12
2364,2025-04-08,11.12,11.12,11.12,11.12
2363,2025-04-04,11.12,11.12,11.12,11.12
2362,2025-04-03,11.12,11.12,11.12,11.12
2361,2025-04-02,11.12,11.12,11.12,11.12
2360,2025-04-01,11.59,12.07,10.93,12.07
2359,2025-03-31,11.5,11.5,11.5,11.5
2358,2025-03-28,11.5,11.5,11.5,11.5
2357,2025-03-27,11.5,11.5,11.5,11.5
2356,2025-03-26,12.17,12.17,12.17,12.17
2355,2025-03-25,12.17,12.17,12.17,12.17
2354,2025-03-24,12.17,12.17,12.17,12.17
2353,2025-03-21,12.17,12.17,12.17,12.17
2352,2025-03-20,11.98,11.98,11.98,11.98
2351,2025-03-19,11.98,11.98,11.98,11.98
2350,2025-03-18,10.45,10.45,10.45,10.45
2349,2025-03-17,12.17,12.36,12.17,12.36
2348,2025-03-14,12.17,12.17,12.17,12.17
2347,2025-03-13,12.17,12.17,12.17,12.17
2346,2025-03-12,11.78,11.78,11.78,11.78
2345,2025-03-11,12.17,12.17,12.17,12.17
2344,2025-03-10,11.59,12.17,11.31,11.5
2343,2025-03-07,12.17,12.17,12.17,12.17
2342,2025-03-06,12.17,12.17,12.17,12.17
2341,2025-03-05,11.69,11.69,11.69,11.69
2340,2025-03-04,11.69,11.69,11.69,11.69
2339,2025-03-03,11.69,11.69,11.69,11.69
2338,2025-02-28,11.59,12.17,11.21,12.17
2337,2025-02-27,11.69,11.69,11.69,11.69
2336,2025-02-26,13.12,13.12,13.12,13.12
2335,2025-02-25,12.36,12.36,12.36,12.36
2334,2025-02-24,12.36,12.36,12.36,12.36
2333,2025-02-21,12.36,12.36,12.36,12.36
2332,2025-02-20,12.36,12.36,12.36,12.36
2331,2025-02-19,12.36,12.36,12.36,12.36
2330,2025-02-18,12.36,12.36,12.36,12.36
2329,2025-02-17,12.36,12.36,12.36,12.36
2328,2025-02-14,12.55,12.55,12.55,12.55
2327,2025-02-13,11.59,13.21,11.59,13.21
2326,2025-02-12,12.36,12.36,12.36,12.36
2325,2025-02-11,11.98,11.98,11.4,11.5
2324,2025-02-10,12.36,12.36,12.36,12.36
2323,2025-02-07,12.36,12.36,12.36,12.36
2322,2025-02-06,12.36,12.36,12.36,12.36
2321,2025-02-05,12.36,12.36,12.36,12.36
2320,2025-02-04,12.36,12.36,12.36,12.36
2319,2025-02-03,12.36,12.36,12.36,12.36
2318,2025-01-24,11.59,12.36,11.5,12.36
2317,2025-01-23,11.5,12.36,11.5,12.36
2316,2025-01-22,12.36,12.36,12.36,12.36
2315,2025-01-21,11.5,11.5,11.5,11.5
2314,2025-01-20,11.5,11.5,11.5,11.5
2313,2025-01-17,11.5,11.5,11.5,11.5
2312,2025-01-16,11.5,11.5,11.5,11.5
2311,2025-01-15,12.36,12.36,12.36,12.36
2310,2025-01-14,11.5,11.5,11.5,11.5
2309,2025-01-13,11.4,12.36,11.4,12.36
2308,2025-01-10,12.36,12.36,12.36,12.36
2307,2025-01-09,11.5,11.5,11.5,11.5
2306,2025-01-08,12.36,13.31,12.36,13.31
2305,2025-01-07,11.4,12.36,11.4,12.36
2304,2025-01-06,11.98,11.98,11.98,11.98
2303,2025-01-03,11.88,11.98,11.88,11.98
2302,2025-01-02,12.26,12.36,12.26,12.36
2301,2024-12-31,11.88,11.98,11.88,11.88
2300,2024-12-30,12.26,12.26,12.26,12.26
2299,2024-12-27,11.88,11.98,11.88,11.88
2298,2024-12-26,12.36,12.36,12.36,12.36
2297,2024-12-25,11.88,11.88,11.88,11.88
2296,2024-12-24,12.36,12.36,12.36,12.36
2295,2024-12-23,11.88,11.88,11.88,11.88
2294,2024-12-20,11.88,11.88,11.88,11.88
2293,2024-12-19,11.88,11.88,11.88,11.88
2292,2024-12-18,11.88,11.88,11.88,11.88
2291,2024-12-17,11.88,11.88,11.88,11.88
2290,2024-12-16,11.88,11.88,11.88,11.88
2289,2024-12-13,11.88,11.88,11.88,11.88
2288,2024-12-12,11.88,11.88,11.88,11.88
2287,2024-12-11,11.88,11.88,11.88,11.88
2286,2024-12-10,11.88,11.88,11.88,11.88
2285,2024-12-09,11.88,11.88,11.88,11.88
2284,2024-12-06,11.88,11.88,11.88,11.88
2283,2024-12-05,13.31,13.31,13.31,13.31
2282,2024-12-04,11.78,11.78,11.78,11.78
2281,2024-12-03,11.69,14.83,11.69,13.02
2280,2024-12-02,13.02,13.02,12.93,13.02
2279,2024-11-29,11.88,11.88,11.88,11.88
2278,2024-11-28,13.21,13.21,13.21,13.21
2277,2024-11-27,11.98,14.45,11.98,14.45
2276,2024-11-26,11.78,15.11,11.78,15.11
2275,2024-11-25,11.88,14.26,11.88,14.26
2274,2024-11-22,11.88,15.21,11.88,13.88
