,Date,Open,High,Low,Close
1893,2025-10-07,26.5,26.5,26.5,26.5
1892,2025-09-30,25.9,25.9,25.9,25.9
1891,2025-09-25,24.5,24.5,24.5,24.5
1890,2025-09-10,25.0,25.0,25.0,25.0
1889,2025-09-05,23.5,23.5,23.5,23.5
1888,2025-08-28,23.5,23.5,23.5,23.5
1887,2025-08-27,23.5,23.5,23.5,23.5
1886,2025-08-20,23.7,23.7,23.7,23.7
1885,2025-08-19,24.0,24.0,24.0,24.0
1884,2025-08-13,24.8,24.8,24.8,24.8
1883,2025-08-12,24.9,24.9,24.9,24.9
1882,2025-08-11,24.3,24.5,24.3,24.5
1881,2025-08-07,24.6,24.6,24.5,24.5
1880,2025-08-06,24.8,24.8,24.8,24.8
1879,2025-08-01,21.7,21.7,21.7,21.7
1878,2025-07-24,24.0,24.7,24.0,24.7
1877,2025-07-22,24.2,24.2,24.2,24.2
1876,2025-07-21,24.4,24.4,24.4,24.4
1875,2025-07-15,24.4,24.4,24.2,24.2
1874,2025-07-14,24.5,24.6,24.5,24.6
1873,2025-07-04,23.0,23.0,23.0,23.0
1872,2025-07-01,23.2,23.2,23.2,23.2
1871,2025-06-24,23.4,23.4,23.4,23.4
1870,2025-06-23,21.1,21.1,20.0,20.0
1869,2025-06-19,23.5,23.5,23.5,23.5
1868,2025-06-13,24.0,24.0,24.0,24.0
1867,2025-06-11,24.3,24.3,24.3,24.3
1866,2025-06-09,23.7,23.7,23.7,23.7
1865,2025-06-06,23.7,23.7,23.7,23.7
1864,2025-06-04,23.8,23.8,23.7,23.7
1863,2025-06-03,23.7,23.7,23.7,23.7
1862,2025-06-02,23.7,23.7,23.7,23.7
1861,2025-05-30,23.7,23.7,23.7,23.7
1860,2025-05-29,23.7,23.7,23.7,23.7
1859,2025-05-28,23.7,23.7,23.7,23.7
1858,2025-05-27,23.7,23.7,23.7,23.7
1857,2025-05-26,23.7,23.7,23.7,23.7
1856,2025-05-23,23.5,23.5,23.5,23.5
1855,2025-05-22,23.5,23.5,23.5,23.5
1854,2025-05-21,23.5,23.5,23.5,23.5
1853,2025-05-20,23.5,23.5,23.5,23.5
1852,2025-05-19,23.5,23.5,23.5,23.5
1851,2025-05-16,23.5,23.5,23.5,23.5
1850,2025-05-15,23.5,23.5,23.5,23.5
1849,2025-05-14,23.5,23.5,23.5,23.5
1848,2025-05-13,23.5,23.5,23.5,23.5
1847,2025-05-12,23.5,23.5,23.5,23.5
1846,2025-05-09,23.5,23.5,23.5,23.5
1845,2025-05-08,23.5,23.5,23.5,23.5
1844,2025-05-07,24.72,24.72,24.72,24.72
1843,2025-05-06,24.72,24.72,24.72,24.72
1842,2025-05-05,24.72,24.72,24.72,24.72
1841,2025-04-29,24.44,24.44,24.44,24.44
