,Date,Open,High,Low,Close,Volume
4689,2025-10-24,8.1,8.2,8.1,8.1,230200
4688,2025-10-23,8.1,8.2,8.1,8.1,271600
4687,2025-10-22,8.1,8.2,8.1,8.1,264200
4686,2025-10-21,8.3,8.3,8.0,8.1,303300
4685,2025-10-20,8.3,8.3,8.2,8.2,273200
4684,2025-10-17,8.3,8.3,8.2,8.2,150400
4683,2025-10-16,8.3,8.4,8.2,8.3,257200
4682,2025-10-15,8.3,8.4,8.2,8.3,255100
4681,2025-10-14,8.3,8.3,8.2,8.3,226200
4680,2025-10-13,8.3,8.3,8.2,8.3,377400
4679,2025-10-10,8.3,8.4,8.3,8.3,257900
4678,2025-10-09,8.2,8.4,8.2,8.3,311900
4677,2025-10-08,8.3,8.4,8.3,8.3,259300
4676,2025-10-07,8.4,8.4,8.2,8.3,342700
4675,2025-10-06,8.3,8.4,8.2,8.3,369600
4674,2025-10-03,8.3,8.3,8.2,8.3,271700
4673,2025-10-02,8.3,8.4,8.3,8.3,370400
4672,2025-10-01,8.3,8.4,8.3,8.3,379700
4671,2025-09-30,8.3,8.4,8.2,8.4,384300
4670,2025-09-29,8.4,8.4,8.3,8.3,332701
4669,2025-09-26,8.4,8.4,8.3,8.4,277500
4668,2025-09-25,8.2,8.3,8.1,8.3,278000
4667,2025-09-24,8.3,8.3,8.1,8.2,339120
4666,2025-09-23,8.3,8.4,8.2,8.2,333800
4665,2025-09-22,8.4,8.4,8.2,8.2,361226
4664,2025-09-19,8.5,8.5,8.3,8.4,325130
4663,2025-09-18,8.6,8.6,8.3,8.4,145231
4662,2025-09-17,8.49,8.49,8.31,8.4,385800
4661,2025-09-16,8.49,8.49,8.4,8.49,363155
4660,2025-09-15,8.49,8.59,8.4,8.49,268301
4659,2025-09-12,8.49,8.49,8.31,8.49,384062
4658,2025-09-11,8.4,8.4,8.21,8.4,342040
4657,2025-09-10,8.21,8.4,8.21,8.31,393238
4656,2025-09-09,8.12,8.21,8.12,8.12,354304
4655,2025-09-08,8.12,8.12,8.02,8.12,395209
4654,2025-09-05,8.12,8.21,8.02,8.12,408810
4653,2025-09-04,8.21,8.21,8.02,8.12,447700
4652,2025-09-03,8.12,8.21,8.12,8.21,442832
4651,2025-08-29,8.12,8.21,8.02,8.12,403413
4650,2025-08-28,8.12,8.21,7.93,8.12,501834
4649,2025-08-27,8.12,8.21,8.02,8.21,454200
4648,2025-08-26,8.02,8.12,7.93,8.12,347100
4647,2025-08-25,8.12,8.12,7.93,8.02,431003
4646,2025-08-22,8.12,8.12,7.93,8.02,403560
4645,2025-08-21,8.21,8.21,8.02,8.12,318541
4644,2025-08-20,8.21,8.21,8.02,8.12,381766
4643,2025-08-19,8.21,8.31,8.12,8.31,361600
4642,2025-08-18,8.21,8.21,8.12,8.21,314040
4641,2025-08-15,8.4,8.4,8.21,8.31,297771
4640,2025-08-14,8.21,8.4,8.21,8.31,290692
4639,2025-08-13,8.31,8.4,8.12,8.31,369201
4638,2025-08-12,8.21,8.4,8.21,8.31,320900
4637,2025-08-11,8.21,8.31,8.12,8.21,282502
4636,2025-08-08,8.31,8.31,8.12,8.21,304600
4635,2025-08-07,8.31,8.31,8.21,8.31,318301
4634,2025-08-06,8.31,8.31,8.21,8.31,312329
4633,2025-08-05,8.31,8.4,8.21,8.31,292578
4632,2025-08-04,8.31,8.4,8.21,8.4,366629
4631,2025-08-01,8.31,8.4,8.31,8.31,323160
4630,2025-07-31,8.4,8.49,8.21,8.4,144400
4629,2025-07-30,8.49,8.49,8.21,8.4,161075
4628,2025-07-29,8.49,8.59,8.21,8.21,261893
4627,2025-07-28,8.4,8.59,8.4,8.49,445900
4626,2025-07-25,8.49,8.49,8.4,8.4,395870
4625,2025-07-24,8.49,8.59,8.49,8.49,351149
4624,2025-07-23,8.59,8.59,8.4,8.59,424904
4623,2025-07-22,8.59,8.59,8.49,8.59,370201
4622,2025-07-21,8.78,8.78,8.59,8.59,246700
4621,2025-07-18,8.78,8.87,8.68,8.78,181958
4620,2025-07-17,8.68,8.78,8.68,8.78,556700
4619,2025-07-16,8.78,8.78,8.59,8.68,378750
4618,2025-07-15,8.68,8.78,8.68,8.68,278605
4617,2025-07-14,8.68,8.78,8.68,8.78,463010
4616,2025-07-11,8.68,8.68,8.59,8.68,467701
4615,2025-07-10,8.68,8.68,8.59,8.68,444417
4614,2025-07-09,8.87,8.87,8.49,8.68,403168
4613,2025-07-08,8.87,8.87,8.78,8.78,383600
4612,2025-07-07,8.78,8.87,8.78,8.87,449162
4611,2025-07-04,8.68,8.78,8.68,8.78,489610
4610,2025-07-03,8.87,8.97,8.68,8.87,385030
4609,2025-07-02,8.78,8.97,8.68,8.97,504000
4608,2025-07-01,8.68,8.78,8.68,8.78,486935
4607,2025-06-30,8.68,8.78,8.59,8.68,429200
4606,2025-06-27,8.68,8.78,8.59,8.78,446551
4605,2025-06-26,8.68,8.78,8.59,8.68,410568
4604,2025-06-25,8.68,8.78,8.68,8.68,366301
4603,2025-06-24,8.78,8.78,8.59,8.68,474267
4602,2025-06-23,8.87,8.87,8.59,8.68,453144
4601,2025-06-20,8.87,8.97,8.78,8.87,478845
4600,2025-06-19,8.97,9.06,8.78,8.87,349729
4599,2025-06-18,8.68,9.34,8.59,8.97,717932
4598,2025-06-17,8.68,8.78,8.68,8.68,429511
4597,2025-06-16,8.49,8.78,8.49,8.59,516519
4596,2025-06-13,8.97,8.97,8.59,8.59,545301
4595,2025-06-12,8.87,9.06,8.87,8.97,439210
4594,2025-06-11,8.49,9.15,8.49,8.97,710584
4593,2025-06-10,8.4,8.4,8.31,8.4,270427
4592,2025-06-09,8.31,8.49,8.31,8.4,437300
4591,2025-06-06,8.4,8.4,8.31,8.31,412245
4590,2025-06-05,8.4,8.49,8.31,8.49,389707
4589,2025-06-04,8.4,8.4,8.31,8.4,449625
4588,2025-06-03,8.4,8.49,8.4,8.49,418501
4587,2025-06-02,8.4,8.4,8.31,8.4,219401
4586,2025-05-30,8.4,8.49,8.31,8.31,245317
4585,2025-05-29,8.49,8.49,8.4,8.4,247803
4584,2025-05-28,8.4,8.49,8.31,8.49,239502
4583,2025-05-27,8.31,8.49,8.31,8.4,266007
4582,2025-05-26,8.4,8.49,8.31,8.4,323826
4581,2025-05-23,8.4,8.4,8.31,8.4,191715
4580,2025-05-22,8.4,8.4,8.31,8.4,266682
4579,2025-05-21,8.4,8.4,8.31,8.4,226220
4578,2025-05-20,8.49,8.49,8.4,8.49,235004
4577,2025-05-19,8.59,8.59,8.4,8.49,252623
4576,2025-05-16,8.49,8.68,8.49,8.59,361301
4575,2025-05-15,8.49,8.59,8.49,8.49,303637
4574,2025-05-14,8.31,8.49,8.31,8.49,149027
4573,2025-05-13,8.4,8.49,8.31,8.4,321938
4572,2025-05-12,8.31,8.4,8.31,8.4,229700
4571,2025-05-09,8.31,8.4,8.21,8.31,267900
4570,2025-05-08,8.31,8.4,8.31,8.31,246200
4569,2025-05-07,8.31,8.4,8.21,8.31,296392
4568,2025-05-06,8.4,8.49,8.21,8.31,20400
4567,2025-05-05,8.4,8.4,8.31,8.4,102216
4566,2025-04-29,8.49,8.49,8.31,8.31,352000
4565,2025-04-28,8.4,8.49,8.4,8.49,332002
4564,2025-04-25,8.21,8.59,8.21,8.31,483109
4563,2025-04-24,8.21,8.31,8.21,8.31,328700
4562,2025-04-23,8.12,8.31,8.12,8.21,410220
4561,2025-04-22,8.21,8.31,8.12,8.31,264318
4560,2025-04-21,8.21,8.31,8.21,8.31,267101
4559,2025-04-18,8.21,8.31,8.21,8.21,330641
4558,2025-04-17,8.21,8.31,8.12,8.12,267000
4557,2025-04-16,8.21,8.21,8.12,8.21,277110
4556,2025-04-15,8.31,8.31,8.21,8.21,429804
4555,2025-04-14,8.31,8.4,8.21,8.4,357901
4554,2025-04-11,8.4,8.4,8.21,8.4,308608
4553,2025-04-10,7.83,8.78,7.83,8.59,326213
4552,2025-04-09,7.55,7.93,7.08,7.74,431400
4551,2025-04-08,8.31,8.31,7.46,7.64,494821
4550,2025-04-04,8.31,8.31,8.12,8.21,438210
4549,2025-04-03,8.49,8.59,8.21,8.31,432700
4548,2025-04-02,8.49,8.68,8.49,8.68,378532
4547,2025-04-01,8.49,8.49,8.4,8.49,429404
4546,2025-03-31,8.4,8.49,8.4,8.4,330685
4545,2025-03-28,8.49,8.49,8.49,8.49,254631
4544,2025-03-27,8.4,8.49,8.4,8.49,237066
4543,2025-03-26,8.49,8.49,8.4,8.4,246300
4542,2025-03-25,8.49,8.59,8.4,8.49,315149
4541,2025-03-24,8.49,8.49,8.31,8.49,278498
4540,2025-03-21,8.49,8.59,8.31,8.59,376816
4539,2025-03-20,8.49,8.59,8.31,8.4,365000
4538,2025-03-19,8.49,8.59,8.49,8.49,375750
4537,2025-03-18,8.4,8.68,8.4,8.59,498927
4536,2025-03-17,8.4,8.49,8.31,8.4,390206
4535,2025-03-14,8.4,8.49,8.4,8.49,392002
4534,2025-03-13,8.4,8.49,8.31,8.4,377506
4533,2025-03-12,8.4,8.4,8.21,8.31,137556
4532,2025-03-11,8.49,8.49,8.4,8.4,442001
