,Date,Open,High,Low,Close
1700,2025-10-16,12.6,12.6,12.6,12.6
1699,2025-09-10,12.6,12.6,12.6,12.6
1698,2025-09-09,12.6,12.6,12.6,12.6
1697,2025-09-08,12.6,12.6,12.6,12.6
1696,2025-08-11,11.0,11.0,11.0,11.0
1695,2025-08-06,11.2,12.4,11.1,12.4
1694,2025-08-04,10.8,10.8,10.8,10.8
1693,2025-08-01,12.7,12.7,12.7,12.7
1692,2025-07-23,12.0,13.3,12.0,13.3
1691,2025-07-21,12.0,12.0,12.0,12.0
1690,2025-07-11,11.9,11.9,11.9,11.9
1689,2025-07-04,11.8,11.8,11.8,11.8
1688,2025-07-03,11.8,11.8,11.8,11.8
1687,2025-06-23,11.7,11.7,11.7,11.7
1686,2025-06-18,11.8,11.8,11.8,11.8
1685,2025-06-17,11.8,11.8,11.8,11.8
1684,2025-06-16,11.9,11.9,11.0,11.0
1683,2025-06-03,11.9,11.9,11.9,11.9
1682,2025-06-02,11.9,11.9,11.9,11.9
1681,2025-05-29,11.9,11.9,11.9,11.9
1680,2025-05-28,11.9,11.9,11.9,11.9
1679,2025-05-20,11.9,11.9,11.9,11.9
1678,2025-05-13,11.9,11.9,11.9,11.9
1677,2025-05-07,11.9,11.9,11.9,11.9
1676,2025-04-09,12.0,12.1,12.0,12.1
1675,2025-04-03,12.0,12.0,12.0,12.0
1674,2025-03-31,14.0,14.0,12.0,12.0
1673,2025-03-27,14.0,14.0,14.0,14.0
1672,2025-03-25,14.0,14.0,14.0,14.0
1671,2025-03-14,14.0,14.0,14.0,14.0
1670,2025-03-11,14.0,14.0,14.0,14.0
1669,2025-03-05,14.0,14.0,14.0,14.0
1668,2025-03-03,14.0,14.0,14.0,14.0
1667,2025-02-28,14.0,14.0,14.0,14.0
1666,2025-02-24,13.9,13.9,13.9,13.9
1665,2025-02-11,14.0,14.0,14.0,14.0
1664,2025-02-07,12.8,12.8,12.8,12.8
1663,2025-01-16,15.0,15.0,15.0,15.0
1662,2024-12-03,14.4,14.5,14.4,14.5
1661,2024-12-02,14.4,14.5,14.4,14.5
1660,2024-11-21,14.5,14.5,14.5,14.5
1659,2024-11-13,15.0,15.0,15.0,15.0
1658,2024-11-12,15.0,15.0,15.0,15.0
1657,2024-11-11,15.0,15.0,15.0,15.0
1656,2024-10-31,15.6,15.6,15.6,15.6
1655,2024-10-24,15.0,16.0,15.0,16.0
1654,2024-10-17,16.0,18.4,16.0,18.4
1653,2024-10-11,16.0,16.0,16.0,16.0
1652,2024-10-07,16.0,16.0,16.0,16.0
1651,2024-10-02,16.0,16.0,16.0,16.0
1650,2024-10-01,16.0,16.0,16.0,16.0
1649,2024-09-30,15.8,15.8,15.8,15.8
1648,2024-09-27,16.5,16.5,16.5,16.5
1647,2024-09-26,16.0,16.0,16.0,16.0
1646,2024-09-04,16.5,16.5,16.5,16.5
1645,2024-08-30,16.5,16.5,16.5,16.5
1644,2024-08-19,16.5,16.5,16.5,16.5
1643,2024-08-14,19.3,19.3,19.3,19.3
1642,2024-08-05,16.8,16.8,16.8,16.8
1641,2024-08-01,16.8,16.8,16.8,16.8
1640,2024-07-25,16.8,16.8,16.8,16.8
1639,2024-07-24,16.8,16.8,16.8,16.8
1638,2024-07-23,16.8,16.8,16.8,16.8
1637,2024-07-22,16.8,16.8,16.8,16.8
1636,2024-07-19,16.8,16.8,16.8,16.8
1635,2024-07-18,19.7,19.7,19.7,19.7
1634,2024-07-17,19.7,19.7,19.7,19.7
1633,2024-07-16,17.6,17.6,17.6,17.6
1632,2024-07-15,17.6,17.6,17.6,17.6
1631,2024-07-12,17.6,17.6,17.6,17.6
1630,2024-07-11,17.6,17.6,17.6,17.6
1629,2024-07-10,17.6,17.6,17.6,17.6
1628,2024-07-09,17.6,17.6,17.6,17.6
1627,2024-07-08,17.6,17.6,17.6,17.6
1626,2024-07-05,17.6,17.6,17.6,17.6
1625,2024-07-04,17.6,17.6,17.6,17.6
1624,2024-07-03,17.6,17.6,17.6,17.6
1623,2024-07-02,17.6,17.6,17.6,17.6
1622,2024-07-01,17.6,17.6,17.6,17.6
1621,2024-06-28,17.6,17.6,17.6,17.6
1620,2024-06-27,17.6,17.6,17.6,17.6
1619,2024-06-26,17.6,17.6,17.6,17.6
1618,2024-06-25,17.6,17.6,17.6,17.6
1617,2024-06-24,17.6,17.6,17.6,17.6
1616,2024-06-21,17.6,17.6,17.6,17.6
1615,2024-06-20,17.6,17.6,17.6,17.6
1614,2024-06-19,17.6,17.6,17.6,17.6
1613,2024-06-18,17.6,17.6,17.6,17.6
1612,2024-06-17,17.6,17.6,17.6,17.6
1611,2024-06-14,17.6,17.6,17.6,17.6
1610,2024-06-13,17.6,17.6,17.6,17.6
1609,2024-06-12,17.6,17.6,17.6,17.6
1608,2024-06-11,17.6,17.6,17.6,17.6
1607,2024-06-10,17.6,17.6,17.6,17.6
1606,2024-06-07,17.6,17.6,17.6,17.6
1605,2024-06-06,20.7,20.7,20.7,20.7
1604,2024-06-05,20.7,20.7,20.7,20.7
1603,2024-06-04,18.0,18.0,18.0,18.0
1602,2024-06-03,18.0,18.0,18.0,18.0
1601,2024-05-31,18.0,18.0,18.0,18.0
1600,2024-05-30,18.0,18.0,18.0,18.0
1599,2024-05-29,18.0,18.0,18.0,18.0
1598,2024-05-28,18.0,18.0,18.0,18.0
1597,2024-05-27,18.0,18.0,18.0,18.0
1596,2024-05-24,18.0,18.0,18.0,18.0
1595,2024-05-23,18.0,18.0,18.0,18.0
1594,2024-05-22,18.0,18.0,18.0,18.0
1593,2024-05-21,17.0,17.0,17.0,17.0
1592,2024-05-20,17.0,17.0,17.0,17.0
1591,2024-05-17,17.0,17.0,17.0,17.0
1590,2024-05-16,17.0,17.0,17.0,17.0
1589,2024-05-15,17.0,17.0,17.0,17.0
1588,2024-05-14,17.0,17.0,17.0,17.0
1587,2024-05-13,17.0,17.0,17.0,17.0
1586,2024-05-10,17.0,17.0,17.0,17.0
1585,2024-05-09,17.0,17.0,17.0,17.0
1584,2024-05-08,17.0,17.0,17.0,17.0
1583,2024-05-07,17.0,17.0,17.0,17.0
1582,2024-05-06,17.0,17.0,17.0,17.0
1581,2024-05-03,17.0,17.0,17.0,17.0
1580,2024-05-02,17.0,17.0,17.0,17.0
1579,2024-04-26,17.0,17.0,17.0,17.0
1578,2024-04-25,17.0,17.0,17.0,17.0
1577,2024-04-24,17.0,17.0,17.0,17.0
1576,2024-04-23,17.1,17.1,17.1,17.1
1575,2024-04-22,16.0,17.2,16.0,17.2
1574,2024-04-19,15.0,15.0,15.0,15.0
1573,2024-04-17,15.7,15.7,15.7,15.7
1572,2024-04-16,13.8,13.8,13.8,13.8
1571,2024-04-15,12.0,12.0,12.0,12.0
1570,2024-04-12,10.5,10.5,10.5,10.5
1569,2024-04-11,9.2,9.2,9.2,9.2
1568,2024-04-10,8.0,8.0,8.0,8.0
1567,2024-04-09,8.0,8.0,8.0,8.0
1566,2024-04-08,8.0,8.0,8.0,8.0
1565,2024-04-05,9.2,9.2,9.2,9.2
1564,2024-04-04,9.2,9.2,9.2,9.2
1563,2024-04-03,9.2,9.2,9.2,9.2
1562,2024-04-02,9.2,9.2,9.2,9.2
1561,2024-04-01,9.2,9.2,9.2,9.2
1560,2024-03-29,9.2,9.2,9.2,9.2
1559,2024-03-28,9.2,9.2,9.2,9.2
1558,2024-03-27,9.2,9.2,9.2,9.2
1557,2024-03-26,9.2,9.2,9.2,9.2
1556,2024-03-25,9.2,9.2,9.2,9.2
1555,2024-03-22,9.2,9.2,9.2,9.2
1554,2024-03-21,9.2,9.2,9.2,9.2
1553,2024-03-20,9.2,9.2,9.2,9.2
1552,2024-03-19,9.2,9.2,9.2,9.2
1551,2024-03-18,9.2,9.2,9.2,9.2
1550,2024-03-15,9.2,9.2,9.2,9.2
1549,2024-03-14,9.2,9.2,9.2,9.2
1548,2024-03-13,10.8,10.8,10.8,10.8
1547,2024-03-12,10.8,10.8,10.8,10.8
1546,2024-03-11,12.6,12.6,12.6,12.6
1545,2024-03-08,12.6,12.6,12.6,12.6
1544,2024-03-07,14.6,14.6,14.6,14.6
1543,2024-03-06,14.6,14.6,14.6,14.6
1542,2024-03-05,14.6,14.6,14.6,14.6
1541,2024-03-04,14.6,14.6,14.6,14.6
1540,2024-03-01,14.6,14.6,14.6,14.6
1539,2024-02-29,14.6,14.6,14.6,14.6
1538,2024-02-28,14.6,14.6,14.6,14.6
1537,2024-02-27,14.6,14.6,14.6,14.6
1536,2024-02-26,14.6,14.6,14.6,14.6
1535,2024-02-23,14.6,14.6,14.6,14.6
1534,2024-02-22,14.6,14.6,14.6,14.6
1533,2024-02-21,14.6,14.6,14.6,14.6
1532,2024-02-20,14.6,14.6,14.6,14.6
1531,2024-02-19,14.6,14.6,14.6,14.6
1530,2024-02-16,14.6,14.6,14.6,14.6
1529,2024-02-15,14.6,14.6,14.6,14.6
1528,2024-02-07,14.6,14.6,14.6,14.6
1527,2024-02-06,14.6,14.6,14.6,14.6
1526,2024-02-05,14.6,14.6,14.6,14.6
1525,2024-02-02,14.6,14.6,14.6,14.6
1524,2024-02-01,14.6,14.6,14.6,14.6
1523,2024-01-31,14.6,14.6,14.6,14.6
1522,2024-01-30,14.6,14.6,14.6,14.6
1521,2024-01-29,14.6,14.6,14.6,14.6
1520,2024-01-26,14.6,14.6,14.6,14.6
1519,2024-01-25,14.6,14.6,14.6,14.6
1518,2024-01-24,14.6,14.6,14.6,14.6
1517,2024-01-23,14.6,14.6,14.6,14.6
1516,2024-01-22,14.6,14.6,14.6,14.6
1515,2024-01-19,14.6,14.6,14.6,14.6
1514,2024-01-18,14.6,14.6,14.6,14.6
1513,2024-01-17,14.6,14.6,14.6,14.6
1512,2024-01-16,14.6,14.6,14.6,14.6
1511,2024-01-15,14.6,14.6,14.6,14.6
1510,2024-01-12,14.6,14.6,14.6,14.6
1509,2024-01-11,14.6,14.6,14.6,14.6
1508,2024-01-10,12.7,12.7,12.7,12.7
1507,2024-01-09,11.1,11.1,11.1,11.1
1506,2024-01-08,9.7,9.7,9.7,9.7
1505,2024-01-05,10.9,10.9,10.9,10.9
1504,2024-01-04,10.9,10.9,10.9,10.9
1503,2024-01-03,9.5,9.5,9.5,9.5
1502,2024-01-02,9.5,9.5,9.5,9.5
1501,2023-12-29,9.5,9.5,9.5,9.5
1500,2023-12-28,9.5,9.5,9.5,9.5
1499,2023-12-27,9.5,9.5,9.5,9.5
1498,2023-12-26,9.5,9.5,9.5,9.5
1497,2023-12-25,9.5,9.5,9.5,9.5
1496,2023-12-22,9.5,9.5,9.5,9.5
1495,2023-12-21,9.5,9.5,9.5,9.5
1494,2023-12-20,9.5,9.5,9.5,9.5
1493,2023-12-19,9.5,9.5,9.5,9.5
1492,2023-12-18,9.5,9.5,9.5,9.5
1491,2023-12-15,9.5,9.5,9.5,9.5
1490,2023-12-14,15.5,15.5,15.5,15.5
1489,2023-12-13,15.5,15.5,15.5,15.5
1488,2023-12-12,15.5,15.5,15.5,15.5
