,Date,Open,High,Low,Close
2196,2025-10-17,21.5,21.5,21.5,21.5
2195,2025-10-16,19.3,19.3,18.2,18.2
2194,2025-10-13,18.9,18.9,18.9,18.9
2193,2025-10-10,18.7,18.7,18.7,18.7
2192,2025-10-08,18.8,18.8,18.8,18.8
2191,2025-10-07,18.4,18.4,18.4,18.4
2190,2025-10-06,18.3,18.3,18.0,18.0
2189,2025-10-02,18.0,18.0,18.0,18.0
2188,2025-10-01,18.3,18.3,18.0,18.0
2187,2025-09-30,19.7,19.7,18.0,19.0
2186,2025-09-29,19.8,19.8,19.8,19.8
2185,2025-09-19,19.7,23.0,19.7,19.7
2184,2025-09-18,23.1,23.1,23.1,23.1
2183,2025-09-16,20.4,20.4,19.9,19.9
2182,2025-09-15,19.9,19.9,19.9,19.9
2181,2025-09-12,21.5,21.5,18.9,18.9
2180,2025-09-11,18.8,18.8,18.8,18.8
2179,2025-09-10,18.8,18.8,18.8,18.8
2178,2025-09-09,18.8,18.8,18.8,18.8
2177,2025-09-08,18.7,18.8,18.5,18.8
2176,2025-09-05,18.5,18.8,18.5,18.8
2175,2025-09-04,18.8,18.8,18.8,18.8
2174,2025-09-03,18.7,18.7,18.7,18.7
2173,2025-08-29,19.0,19.0,18.6,18.6
2172,2025-08-25,18.6,18.6,18.6,18.6
2171,2025-08-22,21.2,21.2,20.0,20.0
2170,2025-08-20,18.5,18.6,18.5,18.5
2169,2025-08-19,18.5,18.5,18.5,18.5
2168,2025-08-18,18.5,18.5,18.5,18.5
2167,2025-08-14,18.5,18.5,18.5,18.5
2166,2025-08-13,19.0,19.0,19.0,19.0
2165,2025-08-11,19.0,19.0,19.0,19.0
2164,2025-08-07,19.0,19.0,19.0,19.0
2163,2025-08-06,19.0,19.0,19.0,19.0
2162,2025-08-05,19.0,19.0,19.0,19.0
2161,2025-08-04,18.7,19.8,18.5,18.5
2160,2025-08-01,18.7,18.7,18.7,18.7
2159,2025-07-31,18.7,18.7,18.7,18.7
2158,2025-07-30,18.7,18.7,18.5,18.5
2157,2025-07-29,18.5,18.8,18.5,18.8
2156,2025-07-28,18.8,18.8,18.7,18.8
2155,2025-07-25,18.6,18.9,18.6,18.9
2154,2025-07-23,18.6,18.9,18.5,18.9
2153,2025-07-22,18.6,18.6,18.6,18.6
2152,2025-07-21,18.6,18.9,18.4,18.9
2151,2025-07-18,18.6,18.6,18.6,18.6
2150,2025-07-17,18.5,18.6,18.5,18.6
2149,2025-07-16,18.4,18.6,18.4,18.6
2148,2025-07-15,18.4,18.4,18.4,18.4
2147,2025-07-14,18.5,18.5,18.0,18.5
2146,2025-07-11,18.1,18.6,18.1,18.5
2145,2025-07-10,18.8,18.8,18.0,18.0
2144,2025-07-09,18.0,18.9,18.0,18.9
2143,2025-07-08,18.9,18.9,18.9,18.9
2142,2025-07-07,18.9,18.9,18.9,18.9
2141,2025-07-04,18.9,18.9,18.7,18.7
2140,2025-07-03,18.7,18.7,18.5,18.5
2139,2025-07-02,18.4,18.5,18.4,18.5
2138,2025-07-01,18.3,18.4,18.3,18.4
2137,2025-06-25,18.0,18.3,18.0,18.3
2136,2025-06-24,18.3,18.3,18.3,18.3
2135,2025-06-23,18.2,18.3,18.0,18.3
2134,2025-06-19,17.5,18.3,17.5,18.3
2133,2025-06-18,18.3,18.3,18.3,18.3
2132,2025-06-17,18.3,18.3,18.3,18.3
2131,2025-06-16,18.5,18.5,18.4,18.4
2130,2025-06-12,18.5,18.5,18.5,18.5
2129,2025-06-10,18.5,18.5,18.5,18.5
2128,2025-06-09,18.9,18.9,18.0,18.6
2127,2025-06-06,17.9,17.9,17.9,17.9
2126,2025-06-05,19.0,19.0,17.3,17.3
2125,2025-06-03,19.5,19.5,19.1,19.4
2124,2025-06-02,19.6,19.6,19.0,19.3
2123,2025-05-30,19.6,19.6,19.6,19.6
2122,2025-05-28,19.5,19.6,19.5,19.6
2121,2025-05-27,19.6,19.6,19.5,19.5
2120,2025-05-26,19.7,19.7,19.6,19.6
2119,2025-05-23,19.7,19.7,19.7,19.7
2118,2025-05-19,21.1,21.1,19.9,19.9
2117,2025-05-16,20.9,20.9,20.9,20.9
2116,2025-05-15,18.9,18.9,18.9,18.9
2115,2025-05-14,21.1,21.1,18.6,18.6
2114,2025-05-13,21.1,21.1,21.1,21.1
2113,2025-05-12,21.1,21.1,21.1,21.1
2112,2025-05-09,21.1,21.1,21.1,21.1
2111,2025-05-08,21.1,21.1,21.1,21.1
2110,2025-05-07,21.1,21.1,21.1,21.1
2109,2025-05-06,17.84,21.1,17.84,20.14
2108,2025-05-05,19.66,20.62,19.66,20.62
2107,2025-04-29,17.36,20.14,17.36,19.95
2106,2025-04-28,19.85,19.85,18.32,19.18
2105,2025-04-25,17.46,17.46,17.46,17.46
2104,2025-04-24,17.46,17.46,17.46,17.46
2103,2025-04-23,17.46,17.46,17.46,17.46
2102,2025-04-22,19.66,19.66,19.66,19.66
2101,2025-04-21,17.36,17.36,17.36,17.36
2100,2025-04-18,19.18,19.18,19.18,19.18
2099,2025-04-17,17.36,17.36,17.36,17.36
2098,2025-04-16,17.36,17.36,17.36,17.36
2097,2025-04-15,17.36,17.36,17.36,17.36
2096,2025-04-14,19.37,19.37,19.18,19.18
2095,2025-04-11,18.22,18.22,18.22,18.22
2094,2025-04-10,18.22,18.22,18.22,18.22
2093,2025-04-09,18.7,18.7,18.7,18.7
2092,2025-04-08,16.5,16.5,16.5,16.5
2091,2025-04-04,18.8,18.8,18.8,18.8
2090,2025-04-03,19.28,19.28,18.22,18.22
2089,2025-04-02,19.28,19.28,19.18,19.28
2088,2025-04-01,19.28,19.28,19.18,19.18
2087,2025-03-31,19.18,20.14,19.18,19.18
2086,2025-03-28,19.18,19.18,19.18,19.18
2085,2025-03-27,19.18,19.18,19.18,19.18
2084,2025-03-26,19.18,19.18,19.18,19.18
2083,2025-03-25,18.7,18.7,18.7,18.7
2082,2025-03-24,18.61,18.61,18.61,18.61
2081,2025-03-21,18.61,18.61,18.61,18.61
2080,2025-03-20,17.36,19.37,17.36,19.18
2079,2025-03-19,19.47,19.47,19.47,19.47
2078,2025-03-18,17.65,17.65,17.65,17.65
2077,2025-03-17,17.26,17.26,17.26,17.26
2076,2025-03-14,17.26,17.26,17.26,17.26
2075,2025-03-13,19.18,19.18,18.8,18.8
2074,2025-03-12,19.37,19.37,19.37,19.37
2073,2025-03-11,17.55,17.55,17.55,17.55
2072,2025-03-10,17.55,17.55,17.55,17.55
2071,2025-03-07,17.17,17.17,17.17,17.17
2070,2025-03-06,19.57,19.57,19.57,19.57
2069,2025-03-05,17.07,17.07,17.07,17.07
2068,2025-03-04,19.18,19.18,19.18,19.18
2067,2025-03-03,19.18,19.18,19.18,19.18
2066,2025-02-28,19.18,19.18,19.18,19.18
2065,2025-02-27,16.88,16.88,16.88,16.88
2064,2025-02-26,18.99,18.99,18.99,18.99
2063,2025-02-25,16.88,16.88,16.88,16.88
2062,2025-02-24,16.88,16.88,16.88,16.88
2061,2025-02-21,19.18,19.18,19.18,19.18
2060,2025-02-20,19.18,19.18,19.18,19.18
2059,2025-02-19,18.7,18.7,18.7,18.7
2058,2025-02-18,18.7,18.7,18.7,18.7
2057,2025-02-17,18.7,18.7,18.7,18.7
2056,2025-02-14,18.7,18.7,18.7,18.7
2055,2025-02-13,18.7,18.7,18.7,18.7
2054,2025-02-12,18.7,18.7,18.7,18.7
2053,2025-02-11,18.22,19.18,18.22,19.18
2052,2025-02-10,19.18,19.18,19.18,19.18
2051,2025-02-07,18.22,18.22,18.22,18.22
2050,2025-02-06,18.22,18.22,18.22,18.22
2049,2025-02-05,16.59,16.59,16.59,16.59
2048,2025-02-04,19.18,19.18,16.59,16.59
2047,2025-02-03,17.84,17.84,17.84,17.84
2046,2025-01-24,18.7,18.7,18.7,18.7
2045,2025-01-23,18.7,18.7,18.7,18.7
2044,2025-01-22,16.5,16.5,16.5,16.5
2043,2025-01-21,16.5,16.5,16.5,16.5
2042,2025-01-20,16.5,16.5,16.5,16.5
2041,2025-01-17,16.5,16.5,16.5,16.5
2040,2025-01-16,16.5,16.5,16.5,16.5
2039,2025-01-15,16.5,16.5,16.5,16.5
2038,2025-01-14,16.5,16.5,16.5,16.5
2037,2025-01-13,16.5,16.5,16.5,16.5
2036,2025-01-10,16.5,16.5,16.5,16.5
2035,2025-01-09,16.5,16.5,16.5,16.5
2034,2025-01-08,16.5,16.5,16.5,16.5
2033,2025-01-07,16.5,16.5,16.5,16.5
2032,2025-01-06,16.5,16.5,16.5,16.5
2031,2025-01-03,16.5,16.5,16.5,16.5
