,Date,Open,High,Low,Close
3742,2025-10-17,3.49,3.5,3.41,3.43
3741,2025-10-16,3.44,3.51,3.43,3.48
3740,2025-10-15,3.47,3.47,3.39,3.4
3739,2025-10-14,3.56,3.58,3.4,3.42
3738,2025-10-13,3.48,3.55,3.45,3.54
3737,2025-10-10,3.52,3.58,3.52,3.52
3736,2025-10-09,3.48,3.53,3.44,3.5
3735,2025-10-08,3.59,3.59,3.47,3.48
3734,2025-10-07,3.6,3.61,3.48,3.5
3733,2025-10-06,3.46,3.64,3.45,3.59
3732,2025-10-03,3.46,3.49,3.4,3.44
3731,2025-10-02,3.63,3.66,3.55,3.55
3730,2025-10-01,3.66,3.68,3.61,3.63
3729,2025-09-30,3.7,3.74,3.56,3.63
3728,2025-09-29,3.78,3.81,3.7,3.7
3727,2025-09-26,3.85,3.89,3.78,3.78
3726,2025-09-25,3.85,3.89,3.82,3.84
3725,2025-09-24,3.77,3.83,3.72,3.83
3724,2025-09-23,3.77,3.84,3.74,3.74
3723,2025-09-22,3.78,3.81,3.73,3.74
3722,2025-09-19,3.81,3.83,3.72,3.75
3721,2025-09-18,3.84,3.85,3.75,3.8
3720,2025-09-17,3.75,3.95,3.74,3.79
3719,2025-09-16,3.82,3.84,3.73,3.74
3718,2025-09-15,3.75,3.8,3.74,3.8
3717,2025-09-12,3.71,3.76,3.7,3.72
3716,2025-09-11,3.71,3.74,3.6,3.68
3715,2025-09-10,3.82,3.82,3.69,3.72
3714,2025-09-09,3.76,3.8,3.69,3.76
3713,2025-09-08,3.9,3.93,3.76,3.76
3712,2025-09-05,3.93,4.03,3.87,3.87
3711,2025-09-04,3.95,3.97,3.88,3.9
3710,2025-09-03,3.84,3.96,3.84,3.91
3709,2025-08-29,3.78,3.86,3.78,3.82
3708,2025-08-28,3.79,3.82,3.75,3.8
3707,2025-08-27,3.8,3.89,3.76,3.77
3706,2025-08-26,3.62,3.76,3.62,3.76
3705,2025-08-25,3.8,3.8,3.58,3.58
3704,2025-08-22,3.95,3.95,3.72,3.72
3703,2025-08-21,4.1,4.11,3.97,3.98
3702,2025-08-20,4.25,4.25,3.96,4.06
3701,2025-08-19,4.0,4.24,3.99,4.2
3700,2025-08-18,3.97,4.0,3.9,3.97
3699,2025-08-15,4.07,4.08,3.95,3.96
3698,2025-08-14,4.15,4.16,4.02,4.06
3697,2025-08-13,4.03,4.17,3.97,4.1
3696,2025-08-12,4.09,4.1,3.91,4.0
3695,2025-08-11,4.13,4.19,4.03,4.06
3694,2025-08-08,4.0,4.14,3.91,4.06
3693,2025-08-07,3.9,4.07,3.89,3.95
3692,2025-08-06,3.88,3.92,3.85,3.86
3691,2025-08-05,3.99,4.02,3.8,3.86
3690,2025-08-04,3.81,3.97,3.8,3.95
3689,2025-08-01,3.76,3.87,3.76,3.8
3688,2025-07-31,3.86,3.87,3.72,3.79
3687,2025-07-30,3.76,3.86,3.65,3.82
3686,2025-07-29,4.12,4.14,3.8,3.8
3685,2025-07-28,4.0,4.14,4.0,4.08
3684,2025-07-25,3.9,3.98,3.88,3.98
3683,2025-07-24,3.98,3.98,3.84,3.86
3682,2025-07-23,3.93,4.02,3.91,3.91
3681,2025-07-22,3.93,4.0,3.83,3.91
3680,2025-07-21,4.29,4.29,3.92,3.99
3679,2025-07-18,3.84,4.03,3.83,4.03
3678,2025-07-17,3.76,3.87,3.72,3.77
3677,2025-07-16,3.65,3.74,3.63,3.72
3676,2025-07-15,3.87,3.87,3.67,3.67
3675,2025-07-14,3.74,3.82,3.58,3.78
3674,2025-07-11,3.75,3.92,3.72,3.74
3673,2025-07-10,3.66,3.77,3.62,3.71
3672,2025-07-09,3.78,3.78,3.6,3.63
3671,2025-07-08,3.37,3.59,3.36,3.59
3670,2025-07-07,3.36,3.45,3.34,3.36
3669,2025-07-04,3.3,3.35,3.29,3.31
3668,2025-07-03,3.24,3.35,3.24,3.26
3667,2025-07-02,3.25,3.27,3.22,3.24
3666,2025-07-01,3.25,3.27,3.21,3.21
3665,2025-06-30,3.26,3.27,3.23,3.24
3664,2025-06-27,3.24,3.25,3.21,3.23
3663,2025-06-26,3.22,3.25,3.2,3.21
3662,2025-06-25,3.22,3.28,3.21,3.21
3661,2025-06-24,3.24,3.26,3.21,3.21
3660,2025-06-23,3.18,3.22,3.17,3.2
3659,2025-06-20,3.27,3.28,3.22,3.24
3658,2025-06-19,3.28,3.32,3.26,3.26
3657,2025-06-18,3.32,3.34,3.28,3.28
3656,2025-06-17,3.28,3.34,3.26,3.3
3655,2025-06-16,3.23,3.28,3.23,3.26
3654,2025-06-13,3.23,3.29,3.17,3.24
3653,2025-06-12,3.32,3.42,3.3,3.32
