,Date,Open,High,Low,Close,Volume
3747,2025-10-24,3.17,3.17,3.09,3.12,4760300
3746,2025-10-23,3.18,3.22,3.15,3.17,2539500
3745,2025-10-22,3.19,3.2,3.11,3.14,3492300
3744,2025-10-21,3.21,3.25,3.08,3.15,5349300
3743,2025-10-20,3.42,3.42,3.19,3.19,10404700
3742,2025-10-17,3.49,3.5,3.41,3.43,4286300
3741,2025-10-16,3.44,3.51,3.43,3.48,3430300
3740,2025-10-15,3.47,3.47,3.39,3.4,2543000
3739,2025-10-14,3.56,3.58,3.4,3.42,7115600
3738,2025-10-13,3.48,3.55,3.45,3.54,4832600
3737,2025-10-10,3.52,3.58,3.52,3.52,3080000
3736,2025-10-09,3.48,3.53,3.44,3.5,3416000
3735,2025-10-08,3.59,3.59,3.47,3.48,4988500
3734,2025-10-07,3.6,3.61,3.48,3.5,3573400
3733,2025-10-06,3.46,3.64,3.45,3.59,3949900
3732,2025-10-03,3.46,3.49,3.4,3.44,8246900
3731,2025-10-02,3.63,3.66,3.55,3.55,6784500
3730,2025-10-01,3.66,3.68,3.61,3.63,2969200
3729,2025-09-30,3.7,3.74,3.56,3.63,8114200
3728,2025-09-29,3.78,3.81,3.7,3.7,6424000
3727,2025-09-26,3.85,3.89,3.78,3.78,5335200
3726,2025-09-25,3.85,3.89,3.82,3.84,5171900
3725,2025-09-24,3.77,3.83,3.72,3.83,5470000
3724,2025-09-23,3.77,3.84,3.74,3.74,3948000
3723,2025-09-22,3.78,3.81,3.73,3.74,5367400
3722,2025-09-19,3.81,3.83,3.72,3.75,3640700
3721,2025-09-18,3.84,3.85,3.75,3.8,2976700
3720,2025-09-17,3.75,3.95,3.74,3.79,7486200
3719,2025-09-16,3.82,3.84,3.73,3.74,4808400
3718,2025-09-15,3.75,3.8,3.74,3.8,4008900
3717,2025-09-12,3.71,3.76,3.7,3.72,3654400
3716,2025-09-11,3.71,3.74,3.6,3.68,6482700
3715,2025-09-10,3.82,3.82,3.69,3.72,3801000
3714,2025-09-09,3.76,3.8,3.69,3.76,4770900
3713,2025-09-08,3.9,3.93,3.76,3.76,7952300
3712,2025-09-05,3.93,4.03,3.87,3.87,12118300
3711,2025-09-04,3.95,3.97,3.88,3.9,6416000
3710,2025-09-03,3.84,3.96,3.84,3.91,6433500
3709,2025-08-29,3.78,3.86,3.78,3.82,6079400
3708,2025-08-28,3.79,3.82,3.75,3.8,3368600
3707,2025-08-27,3.8,3.89,3.76,3.77,6383200
3706,2025-08-26,3.62,3.76,3.62,3.76,5922500
3705,2025-08-25,3.8,3.8,3.58,3.58,9632600
3704,2025-08-22,3.95,3.95,3.72,3.72,18866700
3703,2025-08-21,4.1,4.11,3.97,3.98,11562200
3702,2025-08-20,4.25,4.25,3.96,4.06,17489700
3701,2025-08-19,4.0,4.24,3.99,4.2,39930800
3700,2025-08-18,3.97,4.0,3.9,3.97,9004000
3699,2025-08-15,4.07,4.08,3.95,3.96,15546400
3698,2025-08-14,4.15,4.16,4.02,4.06,10345400
3697,2025-08-13,4.03,4.17,3.97,4.1,16575300
3696,2025-08-12,4.09,4.1,3.91,4.0,13556000
3695,2025-08-11,4.13,4.19,4.03,4.06,13056100
3694,2025-08-08,4.0,4.14,3.91,4.06,21147400
3693,2025-08-07,3.9,4.07,3.89,3.95,13752200
3692,2025-08-06,3.88,3.92,3.85,3.86,7468700
3691,2025-08-05,3.99,4.02,3.8,3.86,17688700
3690,2025-08-04,3.81,3.97,3.8,3.95,10920000
3689,2025-08-01,3.76,3.87,3.76,3.8,8870900
3688,2025-07-31,3.86,3.87,3.72,3.79,9521700
3687,2025-07-30,3.76,3.86,3.65,3.82,16070600
3686,2025-07-29,4.12,4.14,3.8,3.8,25254300
3685,2025-07-28,4.0,4.14,4.0,4.08,18008400
3684,2025-07-25,3.9,3.98,3.88,3.98,13719100
3683,2025-07-24,3.98,3.98,3.84,3.86,12650300
3682,2025-07-23,3.93,4.02,3.91,3.91,12472900
3681,2025-07-22,3.93,4.0,3.83,3.91,18105600
3680,2025-07-21,4.29,4.29,3.92,3.99,24174000
3679,2025-07-18,3.84,4.03,3.83,4.03,33524100
3678,2025-07-17,3.76,3.87,3.72,3.77,17770400
3677,2025-07-16,3.65,3.74,3.63,3.72,9862200
3676,2025-07-15,3.87,3.87,3.67,3.67,13206200
3675,2025-07-14,3.74,3.82,3.58,3.78,20200000
3674,2025-07-11,3.75,3.92,3.72,3.74,21656400
3673,2025-07-10,3.66,3.77,3.62,3.71,16333200
3672,2025-07-09,3.78,3.78,3.6,3.63,19154300
3671,2025-07-08,3.37,3.59,3.36,3.59,23940400
3670,2025-07-07,3.36,3.45,3.34,3.36,6987600
3669,2025-07-04,3.3,3.35,3.29,3.31,7354200
3668,2025-07-03,3.24,3.35,3.24,3.26,8376600
3667,2025-07-02,3.25,3.27,3.22,3.24,3618400
