,Date,Open,High,Low,Close
1891,2025-07-29,43.0,43.0,43.0,43.0
1890,2025-07-18,38.0,38.0,38.0,38.0
1889,2025-07-16,38.0,38.0,38.0,38.0
1888,2025-06-02,60.0,60.0,60.0,60.0
1887,2025-05-30,60.0,60.0,60.0,60.0
1886,2025-05-29,60.0,60.0,60.0,60.0
1885,2025-05-28,60.0,60.0,60.0,60.0
1884,2025-05-27,60.0,60.0,60.0,60.0
1883,2025-05-26,60.0,60.0,60.0,60.0
1882,2025-05-23,60.0,60.0,60.0,60.0
1881,2025-05-22,60.0,60.0,60.0,60.0
1880,2025-05-21,60.0,60.0,60.0,60.0
1879,2025-05-20,59.95,59.95,59.95,59.95
1878,2025-05-19,59.95,59.95,59.95,59.95
1877,2025-05-16,59.95,59.95,59.95,59.95
1876,2025-05-15,59.95,59.95,59.95,59.95
1875,2025-05-14,58.62,58.62,58.62,58.62
1874,2025-05-13,58.62,58.62,58.62,58.62
1873,2025-05-12,58.62,58.62,58.62,58.62
1872,2025-05-09,58.62,58.62,58.62,58.62
1871,2025-05-08,58.62,58.62,58.62,58.62
1870,2025-05-07,58.62,58.62,58.62,58.62
1869,2025-05-06,58.62,58.62,58.62,58.62
1868,2025-05-05,58.62,58.62,58.62,58.62
1867,2025-04-29,58.62,58.62,58.62,58.62
1866,2025-04-28,58.62,58.62,58.62,58.62
1865,2025-04-25,58.62,58.62,58.62,58.62
1864,2025-04-24,58.62,58.62,58.62,58.62
1863,2025-04-23,58.62,58.62,58.62,58.62
1862,2025-04-22,58.62,58.62,58.62,58.62
1861,2025-04-21,58.62,58.62,58.62,58.62
1860,2025-04-18,58.62,58.62,58.62,58.62
1859,2025-04-17,58.62,58.62,58.62,58.62
1858,2025-04-16,58.62,58.62,58.62,58.62
1857,2025-04-15,58.62,58.62,58.62,58.62
1856,2025-04-14,58.62,58.62,58.62,58.62
1855,2025-04-11,58.62,58.62,58.62,58.62
1854,2025-04-10,58.62,58.62,58.62,58.62
1853,2025-04-09,58.62,58.62,58.62,58.62
1852,2025-04-08,58.62,58.62,58.62,58.62
1851,2025-04-04,58.62,58.62,58.62,58.62
1850,2025-04-03,58.62,58.62,58.62,58.62
1849,2025-04-02,58.62,58.62,58.62,58.62
1848,2025-04-01,58.62,58.62,58.62,58.62
1847,2025-03-31,58.62,58.62,58.62,58.62
1846,2025-03-28,58.62,58.62,58.62,58.62
1845,2025-03-27,58.62,58.62,58.62,58.62
1844,2025-03-26,58.62,58.62,58.62,58.62
1843,2025-03-25,58.62,58.62,58.62,58.62
1842,2025-03-24,58.62,58.62,58.62,58.62
1841,2025-03-21,58.62,58.62,58.62,58.62
1840,2025-03-20,58.62,58.62,58.62,58.62
1839,2025-03-19,58.62,58.62,58.62,58.62
1838,2025-03-18,58.62,58.62,58.62,58.62
1837,2025-03-17,58.62,58.62,58.62,58.62
1836,2025-03-14,58.62,58.62,58.62,58.62
1835,2025-03-13,58.62,58.62,58.62,58.62
1834,2025-03-12,58.62,58.62,58.62,58.62
1833,2025-03-11,58.62,58.62,58.62,58.62
1832,2025-03-10,58.62,58.62,58.62,58.62
1831,2025-03-07,58.62,58.62,58.62,58.62
1830,2025-03-06,58.62,58.62,58.62,58.62
1829,2025-03-05,58.62,58.62,58.62,58.62
1828,2025-03-04,58.62,58.62,58.62,58.62
1827,2025-03-03,58.62,58.62,58.62,58.62
1826,2025-02-28,58.62,58.62,58.62,58.62
1825,2025-02-27,58.62,58.62,58.62,58.62
1824,2025-02-26,58.62,58.62,58.62,58.62
1823,2025-02-25,58.62,58.62,58.62,58.62
