,Date,Open,High,Low,Close
2032,2024-10-30,13.5,13.8,13.4,13.8
2031,2024-10-29,13.7,14.3,13.5,13.7
2030,2024-10-28,14.2,14.2,13.3,13.9
2029,2024-10-25,14.0,14.2,14.0,14.2
2028,2024-10-24,13.9,14.2,13.9,13.9
2027,2024-10-23,14.1,14.2,14.0,14.1
2026,2024-10-22,14.6,14.6,14.1,14.4
2025,2024-10-21,14.7,15.5,14.5,14.7
2024,2024-10-18,14.6,15.0,14.6,14.7
2023,2024-10-17,14.8,14.8,14.5,14.8
2022,2024-10-16,14.8,14.9,14.5,14.8
2021,2024-10-15,15.1,15.1,14.6,14.8
2020,2024-10-14,14.5,15.5,14.5,15.3
2019,2024-10-11,14.5,14.5,14.2,14.5
2018,2024-10-10,14.5,14.6,14.3,14.5
2017,2024-10-09,14.5,14.8,14.3,14.6
2016,2024-10-08,14.7,14.9,14.2,14.3
2015,2024-10-07,14.3,15.0,14.3,14.7
2014,2024-10-04,14.4,15.0,13.8,13.9
2013,2024-10-03,15.8,15.8,13.6,14.3
2012,2024-10-02,15.5,16.2,15.0,15.6
2011,2024-10-01,14.1,16.2,14.1,15.4
2010,2024-09-30,14.4,14.8,13.8,14.1
2009,2024-09-27,14.0,15.2,13.7,14.1
2008,2024-09-26,16.4,16.4,14.1,14.3
2007,2024-09-25,17.0,17.1,15.8,15.9
2006,2024-09-24,13.3,15.0,13.3,15.0
2005,2024-09-23,11.7,13.3,11.7,13.3
2004,2024-09-20,11.9,11.9,11.5,11.6
2003,2024-09-19,11.7,11.8,11.6,11.6
2002,2024-09-18,11.6,11.9,11.6,11.6
2001,2024-09-17,11.9,11.9,11.5,11.5
2000,2024-09-16,11.9,12.2,11.6,11.6
1999,2024-09-13,11.8,11.9,11.6,11.6
1998,2024-09-12,11.5,12.0,11.5,11.9
1997,2024-09-11,12.5,12.5,11.4,11.7
1996,2024-09-10,11.0,11.3,10.2,11.3
1995,2024-09-09,11.5,11.5,10.5,11.2
1994,2024-09-06,11.5,11.5,11.1,11.1
1993,2024-09-05,11.6,11.6,11.3,11.5
1992,2024-09-04,11.6,11.8,11.5,11.6
1991,2024-08-30,11.1,12.0,11.1,11.5
1990,2024-08-29,11.8,12.1,11.0,11.8
1989,2024-08-28,11.8,11.9,11.7,11.8
1988,2024-08-27,12.0,12.0,11.9,11.9
1987,2024-08-26,12.2,12.2,11.8,11.8
1986,2024-08-23,12.1,12.4,12.0,12.2
1985,2024-08-22,12.4,12.6,12.0,12.2
1984,2024-08-21,12.4,12.5,12.0,12.4
1983,2024-08-20,12.6,13.1,12.3,12.3
1982,2024-08-19,12.5,12.6,12.1,12.6
1981,2024-08-16,12.1,12.7,11.9,12.5
1980,2024-08-15,12.6,12.6,11.9,12.1
1979,2024-08-14,12.8,12.8,12.4,12.5
1978,2024-08-13,12.8,13.0,12.6,12.8
1977,2024-08-12,12.9,13.1,12.8,13.1
1976,2024-08-09,12.8,13.4,12.5,12.8
1975,2024-08-08,13.3,13.7,13.0,13.3
1974,2024-08-07,13.2,14.0,12.7,13.6
1973,2024-08-06,13.0,13.0,12.4,12.8
1972,2024-08-05,12.4,12.9,12.0,12.4
1971,2024-08-02,12.9,13.3,12.0,13.3
1970,2024-08-01,12.7,13.7,12.5,13.1
1969,2024-07-31,12.6,14.0,12.6,13.7
1968,2024-07-30,12.7,12.8,12.5,12.8
1967,2024-07-29,12.7,13.1,12.5,12.7
1966,2024-07-26,12.7,13.4,12.5,12.9
1965,2024-07-25,11.6,13.1,11.1,12.7
1964,2024-07-24,11.3,12.4,11.0,11.6
1963,2024-07-23,13.4,13.5,11.8,12.0
1962,2024-07-22,14.8,14.9,13.2,13.3
1961,2024-07-19,14.0,15.3,14.0,14.6
1960,2024-07-18,14.6,14.6,13.4,14.0
1959,2024-07-17,16.5,16.5,14.0,14.7
1958,2024-07-16,15.5,16.5,14.8,15.4
1957,2024-07-15,16.3,17.9,14.8,15.0
1956,2024-07-12,14.9,16.7,14.9,16.3
1955,2024-07-11,13.0,14.9,12.6,14.9
1954,2024-07-10,13.7,13.8,12.8,13.0
1953,2024-07-09,13.9,15.5,12.8,13.7
1952,2024-07-08,12.9,13.9,12.9,13.9
1951,2024-07-05,11.2,12.8,10.6,12.8
1950,2024-07-04,10.9,11.3,10.8,11.0
1949,2024-07-03,10.5,11.0,9.3,10.9
1948,2024-07-02,12.2,12.2,10.6,10.6
1947,2024-07-01,12.6,14.4,11.7,12.2
1946,2024-06-28,14.5,14.5,11.0,12.6
1945,2024-06-27,11.1,12.7,11.1,12.7
1944,2024-06-26,11.1,11.1,11.1,11.1
1943,2024-06-25,9.0,9.7,9.0,9.7
1942,2024-06-24,7.8,8.8,7.8,8.8
1941,2024-06-21,7.7,7.8,7.6,7.8
1940,2024-06-20,7.6,7.9,7.6,7.7
1939,2024-06-19,7.6,7.6,7.6,7.6
1938,2024-06-18,7.8,7.8,7.8,7.8
1937,2024-06-17,7.6,7.7,7.6,7.6
1936,2024-06-14,7.6,7.7,7.6,7.6
1935,2024-06-13,7.6,7.8,7.6,7.7
1934,2024-06-12,7.8,7.8,7.5,7.7
1933,2024-06-11,7.8,7.9,7.6,7.7
1932,2024-06-10,7.6,7.8,7.6,7.8
1931,2024-06-07,7.5,7.7,7.5,7.5
1930,2024-06-06,7.6,7.7,7.5,7.5
1929,2024-06-05,7.6,7.8,7.6,7.6
1928,2024-06-04,7.4,7.7,7.4,7.6
1927,2024-06-03,7.4,7.6,7.4,7.6
1926,2024-05-31,7.5,7.6,7.4,7.4
1925,2024-05-30,7.4,7.5,7.4,7.4
1924,2024-05-29,7.4,7.5,7.4,7.4
1923,2024-05-28,7.5,7.5,7.4,7.4
1922,2024-05-27,7.4,7.5,7.3,7.4
1921,2024-05-24,7.4,7.4,7.2,7.2
1920,2024-05-23,7.5,7.5,7.4,7.4
1919,2024-05-22,7.6,7.6,7.1,7.5
1918,2024-05-21,7.4,7.5,7.4,7.4
1917,2024-05-20,7.5,7.6,7.5,7.5
1916,2024-05-17,7.7,7.7,7.5,7.5
1915,2024-05-16,7.5,7.6,7.5,7.6
1914,2024-05-15,7.5,7.6,7.4,7.5
1913,2024-05-14,7.5,7.6,7.5,7.6
1912,2024-05-13,7.6,7.6,7.5,7.6
1911,2024-05-10,7.7,7.7,7.6,7.6
1910,2024-05-09,7.4,7.7,7.4,7.6
1909,2024-05-08,7.7,7.7,7.6,7.6
1908,2024-05-07,7.9,7.9,7.5,7.6
1907,2024-05-06,7.7,8.1,7.7,7.9
1906,2024-05-03,7.3,8.0,7.3,7.6
1905,2024-05-02,6.5,7.7,6.5,7.3
1904,2024-04-26,6.8,6.8,6.8,6.8
1903,2024-04-25,6.8,7.0,6.7,7.0
1902,2024-04-24,6.6,6.8,6.5,6.8
1901,2024-04-23,6.8,6.9,6.7,6.9
1900,2024-04-22,6.9,7.0,6.8,6.9
1899,2024-04-19,6.9,6.9,6.8,6.9
1898,2024-04-17,6.9,7.0,6.9,6.9
1897,2024-04-16,7.0,7.0,6.7,6.9
1896,2024-04-15,7.2,7.2,7.0,7.0
1895,2024-04-12,7.1,7.9,7.1,7.4
1894,2024-04-11,7.0,7.1,6.9,7.0
1893,2024-04-10,7.1,7.3,6.9,6.9
1892,2024-04-09,6.8,7.0,6.8,7.0
1891,2024-04-08,6.7,6.8,6.4,6.8
1890,2024-04-05,6.8,6.8,6.8,6.8
1889,2024-04-04,7.1,7.1,6.7,6.9
1888,2024-04-03,7.0,7.0,7.0,7.0
1887,2024-04-02,6.9,7.1,6.9,6.9
1886,2024-04-01,6.8,7.0,6.8,7.0
1885,2024-03-29,6.8,6.8,6.8,6.8
1884,2024-03-28,7.1,7.1,6.9,6.9
1883,2024-03-27,6.8,6.8,6.8,6.8
1882,2024-03-26,6.9,6.9,6.8,6.8
1881,2024-03-25,6.9,6.9,6.9,6.9
1880,2024-03-22,6.9,6.9,6.8,6.9
1879,2024-03-21,6.9,6.9,6.8,6.9
1878,2024-03-20,6.8,7.1,6.7,6.8
1877,2024-03-19,7.0,7.0,6.8,6.9
1876,2024-03-18,7.2,7.2,6.8,7.0
1875,2024-03-15,7.2,7.2,6.8,6.9
1874,2024-03-14,7.0,7.2,7.0,7.0
1873,2024-03-13,6.9,7.1,6.9,7.1
1872,2024-03-12,6.8,7.2,6.8,7.1
1871,2024-03-11,7.0,7.0,7.0,7.0
1870,2024-03-08,6.9,7.2,6.9,7.1
1869,2024-03-07,7.0,7.0,6.9,6.9
1868,2024-03-06,6.9,8.0,6.8,8.0
1867,2024-03-05,6.9,7.1,6.9,7.1
1866,2024-03-04,7.1,7.1,6.9,7.0
1865,2024-03-01,7.2,7.2,7.0,7.0
1864,2024-02-29,7.1,7.3,6.9,7.0
1863,2024-02-28,7.0,7.1,6.9,7.1
1862,2024-02-27,6.8,6.9,6.8,6.9
1861,2024-02-26,6.8,6.8,6.8,6.8
1860,2024-02-23,6.8,6.8,6.7,6.7
1859,2024-02-22,6.7,6.9,6.7,6.7
1858,2024-02-21,6.7,6.8,6.6,6.6
1857,2024-02-20,6.9,6.9,6.7,6.7
1856,2024-02-19,6.9,7.0,6.6,6.9
1855,2024-02-16,6.7,6.9,6.7,6.9
1854,2024-02-15,6.6,7.0,6.6,6.8
1853,2024-02-07,6.6,6.6,6.4,6.6
1852,2024-02-06,6.6,6.8,6.4,6.6
1851,2024-02-05,6.8,6.9,6.6,6.7
1850,2024-02-02,6.8,6.9,6.7,6.8
1849,2024-02-01,7.0,7.3,6.7,6.7
1848,2024-01-31,7.2,7.2,6.8,7.0
1847,2024-01-30,7.7,7.7,6.7,6.8
1846,2024-01-29,7.7,8.0,7.7,7.7
1845,2024-01-26,7.8,7.8,7.5,7.8
1844,2024-01-25,8.0,8.0,7.6,7.8
1843,2024-01-24,8.2,8.2,7.9,7.9
1842,2024-01-23,7.7,7.8,7.7,7.7
1841,2024-01-22,7.7,7.8,7.5,7.8
1840,2024-01-19,7.5,8.5,7.5,8.4
1839,2024-01-18,7.3,7.7,7.0,7.4
1838,2024-01-17,7.7,7.8,7.5,7.6
1837,2024-01-16,7.8,7.8,7.5,7.7
1836,2024-01-15,7.4,7.4,7.1,7.3
1835,2024-01-12,7.4,7.4,7.1,7.4
1834,2024-01-11,7.0,7.5,7.0,7.4
1833,2024-01-10,7.2,7.2,7.0,7.1
1832,2024-01-09,7.2,7.2,7.1,7.1
1831,2024-01-08,6.9,7.1,6.9,7.0
1830,2024-01-05,7.1,7.1,7.1,7.1
1829,2024-01-04,7.1,7.1,7.1,7.1
1828,2024-01-03,6.9,7.1,6.8,7.1
1827,2024-01-02,7.1,7.1,7.1,7.1
1826,2023-12-29,6.8,7.1,6.8,7.0
1825,2023-12-28,7.0,7.1,6.9,6.9
1824,2023-12-27,6.9,7.0,6.8,6.9
1823,2023-12-26,7.0,7.1,7.0,7.0
1822,2023-12-25,7.0,7.0,7.0,7.0
1821,2023-12-22,7.0,7.0,6.8,6.8
1820,2023-12-21,6.7,6.9,6.7,6.9
1819,2023-12-20,6.7,6.7,6.6,6.6
1818,2023-12-19,6.8,6.8,6.7,6.7
1817,2023-12-18,6.9,6.9,6.8,6.8
1816,2023-12-15,6.8,7.0,6.8,7.0
1815,2023-12-14,7.0,7.0,6.7,7.0
1814,2023-12-13,7.0,7.0,7.0,7.0
1813,2023-12-12,6.9,6.9,6.7,6.8
1812,2023-12-11,6.9,7.0,6.8,6.9
1811,2023-12-08,6.8,7.0,6.8,6.8
1810,2023-12-07,6.8,6.8,6.7,6.7
1809,2023-12-06,6.7,7.1,6.7,7.1
1808,2023-12-05,6.9,7.1,6.8,7.1
1807,2023-12-04,6.8,7.0,6.5,7.0
1806,2023-12-01,7.0,7.1,6.9,7.1
1805,2023-11-30,7.0,7.0,7.0,7.0
1804,2023-11-29,7.1,7.1,6.8,7.0
1803,2023-11-28,6.9,7.3,6.9,7.1
1802,2023-11-27,6.8,6.9,6.5,6.9
1801,2023-11-24,6.7,6.7,6.7,6.7
1800,2023-11-23,7.0,7.0,6.6,7.0
1799,2023-11-22,7.4,7.4,6.9,7.0
1798,2023-11-21,6.9,7.0,6.8,7.0
1797,2023-11-20,7.1,7.2,7.0,7.1
1796,2023-11-17,7.2,7.2,7.0,7.2
1795,2023-11-16,6.9,7.1,6.9,7.1
1794,2023-11-15,7.0,7.2,7.0,7.1
1793,2023-11-14,7.0,7.1,6.8,7.0
1792,2023-11-13,7.2,7.4,7.0,7.1
1791,2023-11-10,7.8,7.8,7.2,7.2
1790,2023-11-09,7.5,8.0,7.4,7.6
1789,2023-11-08,6.7,7.7,6.7,7.7
1788,2023-11-07,6.7,6.9,6.7,6.9
1787,2023-11-06,6.5,6.7,6.5,6.7
1786,2023-11-03,6.4,6.5,6.4,6.4
1785,2023-11-02,6.4,6.7,6.3,6.7
1784,2023-11-01,6.5,6.5,6.2,6.3
1783,2023-10-31,6.4,6.6,6.1,6.4
1782,2023-10-30,7.0,7.1,6.4,6.7
1781,2023-10-27,6.6,7.0,6.3,6.8
1780,2023-10-26,7.4,7.4,6.6,6.7
1779,2023-10-25,7.2,7.9,7.0,7.1
1778,2023-10-24,7.7,7.7,6.6,7.1
1777,2023-10-23,6.2,6.9,6.2,6.5
1776,2023-10-20,6.4,6.4,5.7,5.7
1775,2023-10-19,5.7,5.9,5.6,5.6
1774,2023-10-18,5.7,5.9,5.7,5.9
1773,2023-10-17,5.7,6.0,5.7,6.0
1772,2023-10-16,5.9,6.0,5.9,5.9
1771,2023-10-13,6.0,6.0,6.0,6.0
1770,2023-10-12,6.0,6.0,5.7,5.7
1769,2023-10-11,6.2,6.2,6.2,6.2
1768,2023-10-10,5.6,6.1,5.5,6.0
1767,2023-10-09,5.8,5.8,5.6,5.6
1766,2023-10-06,5.6,6.0,5.6,6.0
1765,2023-10-05,6.0,6.0,6.0,6.0
1764,2023-10-04,5.9,6.0,5.9,6.0
1763,2023-10-03,5.8,6.1,5.7,6.1
1762,2023-10-02,6.0,6.1,5.8,6.0
1761,2023-09-29,6.2,6.3,5.7,6.0
1760,2023-09-28,6.1,6.1,5.7,6.0
1759,2023-09-27,5.6,5.7,5.6,5.7
1758,2023-09-26,5.5,5.9,5.4,5.7
1757,2023-09-25,5.9,6.2,5.7,5.7
1756,2023-09-22,5.5,6.1,5.5,6.1
1755,2023-09-21,5.6,6.9,5.6,6.9
1754,2023-09-20,6.0,6.0,6.0,6.0
1753,2023-09-19,5.7,6.0,5.7,6.0
1752,2023-09-18,6.0,6.0,5.6,6.0
1751,2023-09-15,5.7,6.0,5.4,6.0
1750,2023-09-14,5.3,6.1,5.2,5.8
1749,2023-09-13,5.7,5.8,5.7,5.7
1748,2023-09-12,5.7,5.9,5.7,5.9
1747,2023-09-11,5.8,5.8,5.6,5.6
1746,2023-09-08,5.6,5.6,5.6,5.6
1745,2023-09-07,5.5,5.7,5.5,5.7
1744,2023-09-06,6.0,6.0,5.7,5.7
1743,2023-09-05,5.7,5.8,5.7,5.7
1742,2023-08-31,5.8,5.8,5.8,5.8
1741,2023-08-30,5.9,5.9,5.8,5.8
