,Date,Open,High,Low,Close
2080,2025-10-17,44.8,45.2,44.8,45.2
2079,2025-10-16,44.8,44.8,44.6,44.75
2078,2025-10-15,45.0,45.0,44.7,44.75
2077,2025-10-14,45.65,45.65,44.9,44.9
2076,2025-10-13,45.9,45.9,45.5,45.65
2075,2025-10-10,46.1,46.2,46.0,46.0
2074,2025-10-09,45.9,46.05,45.9,46.05
2073,2025-10-08,45.9,45.95,45.5,45.9
2072,2025-10-07,45.8,46.3,45.8,45.9
2071,2025-10-06,45.8,46.1,45.8,46.1
2070,2025-10-03,45.95,45.95,45.6,45.8
2069,2025-10-02,45.6,45.85,45.6,45.6
2068,2025-10-01,45.6,45.85,45.4,45.6
2067,2025-09-30,45.5,45.7,45.35,45.6
2066,2025-09-29,45.9,46.0,45.4,45.55
2065,2025-09-26,46.0,46.2,45.8,46.0
2064,2025-09-25,46.05,46.05,46.0,46.0
2063,2025-09-24,46.4,46.4,46.0,46.0
2062,2025-09-23,46.1,46.3,46.0,46.0
2061,2025-09-22,45.8,46.75,45.8,46.45
2060,2025-09-19,46.95,46.95,46.1,46.7
2059,2025-09-18,46.05,46.45,46.0,46.45
2058,2025-09-17,46.5,46.8,46.45,46.45
2057,2025-09-16,46.9,46.9,46.45,46.45
2056,2025-09-15,45.6,46.45,45.6,46.45
2055,2025-09-12,45.3,45.8,45.25,45.6
2054,2025-09-11,45.45,45.45,45.0,45.15
2053,2025-09-10,46.0,46.0,45.5,45.5
2052,2025-09-09,47.0,47.3,45.3,46.0
2051,2025-09-08,47.25,47.5,47.0,47.05
2050,2025-09-05,47.4,47.5,47.25,47.25
2049,2025-09-04,47.1,47.5,47.1,47.4
2048,2025-09-03,47.0,47.4,47.0,47.4
2047,2025-08-29,47.45,47.45,47.35,47.35
2046,2025-08-28,47.5,47.6,47.3,47.4
2045,2025-08-27,47.5,47.5,47.3,47.3
2044,2025-08-26,47.0,47.25,47.0,47.25
2043,2025-08-25,47.5,47.5,47.0,47.05
2042,2025-08-22,47.4,47.8,47.0,47.5
2041,2025-08-21,47.5,47.5,46.95,47.4
2040,2025-08-20,47.35,47.5,46.7,47.4
2039,2025-08-19,47.9,48.8,47.2,47.45
2038,2025-08-18,47.05,48.9,47.0,48.4
2037,2025-08-15,46.9,47.4,46.75,47.25
2036,2025-08-14,48.4,48.4,46.9,47.0
2035,2025-08-13,48.6,48.65,48.15,48.4
2034,2025-08-12,49.35,49.35,48.3,48.6
2033,2025-08-11,47.75,49.45,47.55,49.35
2032,2025-08-08,47.6,48.4,47.6,48.4
2031,2025-08-07,47.55,48.6,47.3,48.4
2030,2025-08-06,47.9,47.9,47.15,47.3
2029,2025-08-05,47.95,47.95,47.3,47.3
2028,2025-08-04,47.3,48.1,47.25,47.4
2027,2025-08-01,48.0,48.0,47.3,47.3
2026,2025-07-31,48.0,48.6,47.3,47.95
2025,2025-07-30,47.25,47.8,47.0,47.6
2024,2025-07-29,48.45,48.9,47.25,47.25
2023,2025-07-28,48.5,49.95,48.0,48.45
2022,2025-07-25,49.0,49.05,48.0,48.4
2021,2025-07-24,49.0,49.6,48.1,48.75
2020,2025-07-23,47.8,49.0,47.0,47.2
2019,2025-07-22,46.1,46.85,46.1,46.85
2018,2025-07-21,46.2,47.45,46.1,46.5
2017,2025-07-18,47.7,47.7,45.7,46.0
2016,2025-07-17,47.2,47.7,46.2,47.0
2015,2025-07-16,42.5,45.45,42.15,45.45
2014,2025-07-15,42.5,42.6,42.5,42.5
2013,2025-07-14,42.85,42.85,41.9,42.5
2012,2025-07-11,42.8,42.8,42.0,42.4
2011,2025-07-10,42.95,43.0,42.65,42.85
2010,2025-07-09,43.55,43.55,42.9,42.95
2009,2025-07-08,43.9,44.0,43.2,43.5
2008,2025-07-07,42.5,43.0,42.5,42.8
2007,2025-07-04,42.5,42.8,42.5,42.55
2006,2025-07-03,43.4,44.0,42.8,42.8
2005,2025-07-02,43.3,44.5,43.3,43.8
2004,2025-07-01,43.35,43.5,43.0,43.25
2003,2025-06-30,43.5,43.6,43.35,43.35
2002,2025-06-27,43.0,43.6,42.8,43.4
2001,2025-06-26,43.0,43.0,42.8,43.0
2000,2025-06-25,43.4,43.45,42.4,43.0
1999,2025-06-24,43.0,43.6,42.65,42.95
1998,2025-06-23,42.7,43.7,42.3,42.45
1997,2025-06-20,41.55,42.75,41.45,42.2
1996,2025-06-19,41.8,41.8,41.7,41.7
1995,2025-06-18,42.2,42.45,41.8,41.8
1994,2025-06-17,42.0,44.0,42.0,42.05
1993,2025-06-16,41.65,42.8,41.1,42.1
1992,2025-06-13,43.8,43.8,42.15,42.95
1991,2025-06-12,42.85,43.95,42.85,43.3
1990,2025-06-11,42.9,42.9,42.3,42.75
1989,2025-06-10,42.95,43.2,42.2,42.9
1988,2025-06-09,43.25,43.25,42.65,42.95
1987,2025-06-06,43.8,43.9,43.0,43.25
1986,2025-06-05,42.7,43.65,42.5,43.65
1985,2025-06-04,43.5,43.5,42.8,43.3
1984,2025-06-03,43.3,43.55,42.6,43.5
1983,2025-06-02,43.7,44.0,43.1,43.3
1982,2025-05-30,44.0,45.5,43.7,43.7
1981,2025-05-29,44.85,45.0,43.9,45.0
1980,2025-05-28,46.95,46.95,43.9,44.0
1979,2025-05-27,43.5,44.15,42.6,44.15
1978,2025-05-26,41.1,41.3,39.0,41.3
1977,2025-05-23,38.5,39.0,38.5,38.6
1976,2025-05-22,38.4,38.65,38.2,38.55
1975,2025-05-21,39.0,39.0,38.65,38.65
1974,2025-05-20,38.55,39.5,38.3,38.9
1973,2025-05-19,39.0,39.0,38.5,38.55
1972,2025-05-16,39.85,39.85,39.1,39.3
1971,2025-05-15,39.9,39.9,39.25,39.55
1970,2025-05-14,39.55,40.4,39.55,39.9
1969,2025-05-13,40.0,40.9,39.6,40.0
1968,2025-05-12,39.6,39.7,38.7,39.55
1967,2025-05-09,40.4,40.4,39.5,39.6
1966,2025-05-08,39.4,39.95,39.3,39.8
1965,2025-05-07,39.2,39.6,39.05,39.05
1964,2025-05-06,39.5,39.5,38.55,39.0
1963,2025-05-05,38.7,39.5,38.7,39.0
1962,2025-04-29,37.95,38.5,37.95,38.5
1961,2025-04-28,38.0,38.0,37.8,37.95
1960,2025-04-25,38.25,38.25,37.55,37.75
1959,2025-04-24,37.95,38.0,37.3,37.75
1958,2025-04-23,37.85,37.85,36.55,37.0
1957,2025-04-22,37.95,37.95,35.35,36.25
1956,2025-04-21,38.4,38.4,37.6,38.0
1955,2025-04-18,38.0,38.45,37.5,38.45
1954,2025-04-17,37.6,37.6,37.3,37.3
1953,2025-04-16,37.4,37.6,37.3,37.6
1952,2025-04-15,39.0,39.0,37.0,37.4
1951,2025-04-14,39.55,39.55,38.85,39.0
1950,2025-04-11,40.75,40.75,36.7,37.0
1949,2025-04-10,38.15,38.15,38.15,38.15
1948,2025-04-09,35.7,36.0,35.7,35.7
1947,2025-04-08,38.35,38.35,38.35,38.35
1946,2025-04-04,41.2,41.2,41.2,41.2
1945,2025-04-03,44.3,44.5,44.3,44.3
1944,2025-04-02,47.3,47.6,47.2,47.6
1943,2025-04-01,47.3,47.45,47.15,47.15
1942,2025-03-31,48.6,48.6,47.3,47.5
1941,2025-03-28,48.35,48.7,48.25,48.7
1940,2025-03-27,48.7,48.9,48.2,48.45
1939,2025-03-26,48.7,49.0,48.6,48.7
1938,2025-03-25,48.8,49.1,48.7,48.7
1937,2025-03-24,49.15,49.15,48.8,48.8
1936,2025-03-21,49.0,49.2,48.8,49.15
1935,2025-03-20,48.75,49.2,48.75,48.9
1934,2025-03-19,48.8,48.9,48.7,48.8
1933,2025-03-18,49.1,49.2,48.9,48.9
1932,2025-03-17,49.05,49.45,49.05,49.1
1931,2025-03-14,49.3,49.55,49.0,49.55
1930,2025-03-13,49.6,50.2,49.6,49.75
1929,2025-03-12,49.0,50.0,49.0,49.6
1928,2025-03-11,49.4,49.5,49.0,49.0
1927,2025-03-10,50.2,50.3,49.5,49.5
1926,2025-03-07,49.8,50.2,49.8,49.9
1925,2025-03-06,49.8,49.9,49.5,49.8
1924,2025-03-05,50.0,50.3,49.8,49.8
1923,2025-03-04,50.1,50.1,49.6,50.0
