,Date,Open,High,Low,Close
1730,2025-10-17,10.15,10.4,10.1,10.2
1729,2025-10-16,9.95,10.3,9.94,10.1
1728,2025-10-15,9.98,10.05,9.95,9.95
1727,2025-10-14,10.25,10.3,9.97,9.97
1726,2025-10-13,10.0,10.2,9.9,10.2
1725,2025-10-10,10.15,10.2,10.1,10.15
1724,2025-10-09,10.05,10.15,9.98,10.0
1723,2025-10-08,10.25,10.25,9.96,10.0
1722,2025-10-07,10.35,10.35,10.0,10.1
1721,2025-10-06,9.98,10.35,9.98,10.35
1720,2025-10-03,10.25,10.25,9.85,9.9
1719,2025-10-02,10.7,10.7,10.25,10.3
1718,2025-10-01,10.5,10.6,10.35,10.6
1717,2025-09-30,10.7,10.9,10.3,10.4
1716,2025-09-29,10.85,11.2,10.75,10.85
1715,2025-09-26,11.25,11.25,10.9,10.9
1714,2025-09-25,11.1,11.25,11.1,11.2
1713,2025-09-24,10.9,11.0,10.55,11.0
1712,2025-09-23,11.1,11.1,10.8,10.8
1711,2025-09-22,11.1,11.25,10.8,10.9
1710,2025-09-19,10.85,11.2,10.65,11.1
1709,2025-09-18,11.15,11.15,10.8,10.8
1708,2025-09-17,11.25,11.35,11.05,11.1
1707,2025-09-16,11.5,11.6,11.15,11.25
1706,2025-09-15,11.3,11.5,11.25,11.45
1705,2025-09-12,11.3,11.45,11.2,11.25
1704,2025-09-11,11.2,11.2,10.75,11.1
1703,2025-09-10,11.5,11.5,11.1,11.3
1702,2025-09-09,11.4,11.4,10.9,11.4
1701,2025-09-08,11.9,12.0,11.2,11.2
1700,2025-09-05,12.55,12.65,12.0,12.0
1699,2025-09-04,12.95,12.95,12.2,12.4
1698,2025-09-03,12.0,12.45,11.9,12.45
1697,2025-08-29,11.8,12.15,11.75,11.9
1696,2025-08-28,11.8,12.05,11.5,11.75
1695,2025-08-27,12.15,12.45,11.8,11.8
1694,2025-08-26,11.45,12.2,11.3,12.2
1693,2025-08-25,11.9,12.1,11.45,11.55
1692,2025-08-22,12.3,12.5,11.8,11.8
1691,2025-08-21,13.1,13.3,12.5,12.5
1690,2025-08-20,13.6,13.65,12.8,13.15
1689,2025-08-19,13.5,14.25,13.5,13.55
1688,2025-08-18,13.5,13.85,13.15,13.55
1687,2025-08-15,14.3,14.3,13.3,13.55
1686,2025-08-14,13.25,13.9,13.15,13.9
1685,2025-08-13,12.75,13.1,12.25,13.0
1684,2025-08-12,13.0,13.0,11.85,12.75
1683,2025-08-11,12.45,12.45,12.45,12.45
1682,2025-08-08,10.9,11.65,10.9,11.65
1681,2025-08-07,10.9,10.95,10.6,10.9
1680,2025-08-06,10.6,10.8,10.55,10.75
1679,2025-08-05,11.0,11.1,10.45,10.55
1678,2025-08-04,10.8,10.85,10.5,10.85
1677,2025-08-01,10.4,10.85,10.3,10.45
1676,2025-07-31,10.35,10.5,10.05,10.35
1675,2025-07-30,10.65,10.8,10.15,10.3
1674,2025-07-29,11.5,11.5,10.6,10.6
1673,2025-07-28,10.9,11.6,10.85,11.35
1672,2025-07-25,10.8,10.95,10.65,10.85
1671,2025-07-24,10.75,11.0,10.7,10.8
1670,2025-07-23,10.85,11.0,10.6,10.7
1669,2025-07-22,10.4,10.7,10.4,10.7
1668,2025-07-21,11.2,11.2,10.6,10.6
1667,2025-07-18,11.45,11.45,10.95,11.0
1666,2025-07-17,10.85,11.35,10.85,11.0
1665,2025-07-16,10.45,10.8,10.35,10.75
1664,2025-07-15,10.7,10.75,10.4,10.4
1663,2025-07-14,10.25,10.55,10.2,10.5
1662,2025-07-11,10.35,10.45,10.2,10.25
1661,2025-07-10,10.55,10.55,10.15,10.15
1660,2025-07-09,10.4,10.55,10.35,10.4
1659,2025-07-08,10.15,10.45,10.15,10.3
1658,2025-07-07,10.3,10.35,10.05,10.15
1657,2025-07-04,10.35,10.6,10.35,10.35
1656,2025-07-03,10.6,10.6,10.2,10.4
1655,2025-07-02,9.97,10.1,9.95,9.95
1654,2025-07-01,9.96,9.99,9.87,9.92
1653,2025-06-30,9.86,9.99,9.83,9.84
1652,2025-06-27,9.89,9.99,9.83,9.83
1651,2025-06-26,10.1,10.1,9.82,9.85
1650,2025-06-25,9.88,10.25,9.88,10.0
1649,2025-06-24,10.0,10.0,9.85,9.87
1648,2025-06-23,9.62,9.9,9.54,9.81
1647,2025-06-20,9.71,9.86,9.55,9.62
1646,2025-06-19,9.85,9.85,9.62,9.67
1645,2025-06-18,9.9,9.95,9.8,9.81
1644,2025-06-17,9.78,9.96,9.78,9.9
1643,2025-06-16,9.35,9.79,9.35,9.76
1642,2025-06-13,9.88,9.88,9.45,9.6
1641,2025-06-12,9.84,9.96,9.83,9.9
1640,2025-06-11,9.74,9.94,9.6,9.82
1639,2025-06-10,10.5,10.5,9.7,9.7
1638,2025-06-09,10.85,10.85,10.3,10.4
1637,2025-06-06,10.95,11.0,10.5,10.85
1636,2025-06-05,9.8,10.3,9.8,10.3
1635,2025-06-04,9.86,9.86,9.6,9.65
1634,2025-06-03,9.83,9.85,9.73,9.77
1633,2025-06-02,9.39,9.9,9.37,9.73
1632,2025-05-30,9.51,9.7,9.37,9.39
1631,2025-05-29,9.31,9.8,9.31,9.5
1630,2025-05-28,9.4,9.5,9.1,9.3
1629,2025-05-27,9.1,9.48,9.03,9.37
1628,2025-05-26,8.8,9.04,8.76,9.01
1627,2025-05-23,8.88,8.91,8.8,8.8
1626,2025-05-22,8.96,9.0,8.85,8.85
1625,2025-05-21,9.07,9.09,8.86,8.95
1624,2025-05-20,9.08,9.13,9.04,9.06
1623,2025-05-19,9.2,9.29,9.1,9.1
1622,2025-05-16,9.13,9.48,9.12,9.22
1621,2025-05-15,9.07,9.3,9.06,9.12
1620,2025-05-14,9.05,9.11,9.0,9.01
1619,2025-05-13,9.2,9.2,9.05,9.05
1618,2025-05-12,9.16,9.21,9.07,9.08
1617,2025-05-09,9.1,9.3,9.05,9.13
1616,2025-05-08,9.15,9.26,9.1,9.1
1615,2025-05-07,9.03,9.2,8.96,9.1
1614,2025-05-06,9.0,9.24,9.0,9.03
1613,2025-05-05,9.04,9.04,8.86,8.9
1612,2025-04-29,8.86,8.98,8.8,8.8
1611,2025-04-28,8.83,9.09,8.83,8.86
1610,2025-04-25,8.89,9.02,8.75,8.81
1609,2025-04-24,8.91,9.1,8.8,8.8
1608,2025-04-23,8.9,9.1,8.81,8.9
1607,2025-04-22,9.27,9.27,8.08,8.8
1606,2025-04-21,8.54,8.82,8.54,8.67
1605,2025-04-18,9.0,9.0,8.51,8.51
1604,2025-04-17,8.68,8.76,8.55,8.7
1603,2025-04-16,8.68,8.93,8.66,8.68
1602,2025-04-15,8.5,9.03,8.48,8.69
1601,2025-04-14,8.57,8.61,8.42,8.61
1600,2025-04-11,8.75,8.75,8.24,8.57
1599,2025-04-10,8.24,8.24,8.24,8.24
1598,2025-04-09,7.71,8.01,7.71,7.71
1597,2025-04-08,8.29,8.41,8.29,8.29
1596,2025-04-04,8.91,9.14,8.91,8.91
1595,2025-04-03,10.05,10.05,9.58,9.58
1594,2025-04-02,10.2,10.4,10.2,10.3
1593,2025-04-01,10.15,10.35,10.15,10.2
1592,2025-03-31,10.5,10.55,10.0,10.3
1591,2025-03-28,10.6,10.75,10.55,10.7
1590,2025-03-27,10.85,10.85,10.6,10.6
1589,2025-03-26,10.85,11.05,10.8,10.85
1588,2025-03-25,10.8,11.1,10.8,10.85
1587,2025-03-24,11.3,11.3,10.75,10.8
1586,2025-03-21,11.35,11.5,11.15,11.3
1585,2025-03-20,11.15,11.45,11.0,11.35
1584,2025-03-19,11.05,11.25,10.8,11.0
1583,2025-03-18,11.45,11.6,11.05,11.05
1582,2025-03-17,11.3,11.45,11.0,11.4
1581,2025-03-14,11.45,11.75,11.15,11.15
1580,2025-03-13,11.55,11.7,11.4,11.4
1579,2025-03-12,11.2,11.8,10.9,11.55
1578,2025-03-11,10.3,11.15,10.25,11.15
1577,2025-03-10,10.55,10.6,10.4,10.45
1576,2025-03-07,10.2,10.75,10.2,10.55
1575,2025-03-06,10.4,10.4,10.15,10.3
1574,2025-03-05,10.3,10.45,10.15,10.15
1573,2025-03-04,10.55,10.6,10.15,10.4
1572,2025-03-03,10.45,10.6,10.35,10.55
1571,2025-02-28,10.5,10.7,10.35,10.45
1570,2025-02-27,10.25,10.45,10.15,10.4
1569,2025-02-26,10.3,10.3,10.05,10.1
1568,2025-02-25,10.35,10.4,10.1,10.2
1567,2025-02-24,10.45,10.45,10.1,10.25
1566,2025-02-21,10.5,10.5,10.25,10.45
1565,2025-02-20,10.6,10.9,10.5,10.55
1564,2025-02-19,10.15,10.5,10.1,10.5
1563,2025-02-18,10.0,10.3,9.94,10.1
1562,2025-02-17,9.8,10.15,9.8,9.98
1561,2025-02-14,10.25,10.25,9.89,9.91
1560,2025-02-13,10.0,10.2,9.83,10.1
1559,2025-02-12,10.0,10.05,9.74,10.0
1558,2025-02-11,11.1,11.25,10.35,10.35
1557,2025-02-10,11.3,11.45,11.0,11.1
1556,2025-02-07,10.5,11.15,10.45,11.15
1555,2025-02-06,10.6,10.6,10.35,10.45
1554,2025-02-05,10.4,10.7,10.25,10.6
1553,2025-02-04,9.78,10.35,9.78,10.25
1552,2025-02-03,9.68,9.9,9.67,9.8
1551,2025-01-24,9.76,9.82,9.67,9.68
1550,2025-01-23,10.0,10.0,9.55,9.82
1549,2025-01-22,9.81,9.82,9.51,9.55
1548,2025-01-21,10.2,10.3,9.82,9.82
1547,2025-01-20,10.6,10.6,10.1,10.1
1546,2025-01-17,10.0,10.7,10.0,10.5
1545,2025-01-16,10.05,10.4,10.05,10.05
1544,2025-01-15,9.95,10.2,9.79,10.2
1543,2025-01-14,10.0,10.3,9.85,9.9
1542,2025-01-13,9.98,9.98,9.7,9.9
1541,2025-01-10,9.7,10.05,9.7,9.9
1540,2025-01-09,9.99,10.0,9.8,9.99
1539,2025-01-08,9.48,10.15,9.35,9.99
1538,2025-01-07,9.3,9.78,9.3,9.49
1537,2025-01-06,9.8,9.99,9.61,9.62
1536,2025-01-03,9.99,10.15,9.9,9.92
1535,2025-01-02,10.2,10.3,9.9,10.15
1534,2024-12-31,10.55,10.55,10.1,10.2
1533,2024-12-30,9.75,10.6,9.75,10.55
1532,2024-12-27,10.2,10.2,9.7,9.92
1531,2024-12-26,10.3,10.3,9.71,10.1
1530,2024-12-25,10.75,10.8,10.15,10.15
1529,2024-12-24,10.95,10.95,10.45,10.65
1528,2024-12-23,9.79,10.4,9.79,10.4
1527,2024-12-20,9.61,9.79,9.56,9.75
1526,2024-12-19,9.35,9.59,9.3,9.59
1525,2024-12-18,9.8,9.8,9.5,9.52
1524,2024-12-17,9.28,9.7,9.26,9.7
1523,2024-12-16,9.5,9.59,9.23,9.33
1522,2024-12-13,9.98,9.98,9.3,9.66
1521,2024-12-12,9.58,9.98,9.58,9.79
1520,2024-12-11,9.2,9.82,9.11,9.58
1519,2024-12-10,8.71,9.22,8.71,9.2
1518,2024-12-09,8.06,8.62,8.06,8.62
1517,2024-12-06,8.18,8.18,8.0,8.06
1516,2024-12-05,8.08,8.25,7.9,8.05
1515,2024-12-04,7.25,7.75,7.25,7.75
1514,2024-12-03,7.26,7.33,7.23,7.25
1513,2024-12-02,7.26,7.39,7.25,7.27
1512,2024-11-29,7.32,7.32,7.25,7.26
1511,2024-11-28,7.25,7.35,7.25,7.29
1510,2024-11-27,7.32,7.32,7.25,7.25
1509,2024-11-26,7.25,7.33,7.25,7.27
1508,2024-11-25,7.28,7.3,7.25,7.25
1507,2024-11-22,7.3,7.35,7.2,7.28
1506,2024-11-21,7.37,7.38,7.28,7.3
1505,2024-11-20,7.18,7.43,7.18,7.32
1504,2024-11-19,7.29,7.47,7.28,7.3
1503,2024-11-18,7.06,7.35,7.06,7.29
1502,2024-11-15,7.56,7.58,7.25,7.25
1501,2024-11-14,7.58,7.65,7.55,7.56
1500,2024-11-13,7.68,7.68,7.53,7.58
1499,2024-11-12,7.6,7.63,7.5,7.6
1498,2024-11-11,7.51,7.66,7.51,7.59
1497,2024-11-08,7.68,7.77,7.6,7.66
1496,2024-11-07,7.47,7.83,7.47,7.66
1495,2024-11-06,7.5,7.53,7.41,7.47
1494,2024-11-05,7.57,7.57,7.42,7.46
1493,2024-11-04,7.6,7.6,7.47,7.5
1492,2024-11-01,7.74,7.74,7.5,7.6
1491,2024-10-31,7.75,7.77,7.69,7.7
1490,2024-10-30,7.7,7.82,7.69,7.77
1489,2024-10-29,7.75,7.85,7.66,7.75
1488,2024-10-28,7.69,7.69,7.56,7.65
1487,2024-10-25,7.7,7.7,7.53,7.56
1486,2024-10-24,7.68,7.74,7.63,7.63
1485,2024-10-23,7.63,7.74,7.63,7.74
1484,2024-10-22,7.8,7.8,7.67,7.69
1483,2024-10-21,7.75,7.9,7.7,7.7
1482,2024-10-18,7.97,7.97,7.83,7.83
1481,2024-10-17,7.88,7.99,7.7,7.88
1480,2024-10-16,7.31,7.82,7.3,7.79
1479,2024-10-15,8.09,8.09,7.41,7.41
1478,2024-10-14,8.2,8.2,7.84,7.84
1477,2024-10-11,8.18,8.28,8.15,8.2
1476,2024-10-10,8.34,8.34,8.17,8.18
1475,2024-10-09,8.38,8.38,8.2,8.23
1474,2024-10-08,8.8,8.8,8.41,8.41
1473,2024-10-07,8.92,8.93,8.73,8.78
1472,2024-10-04,8.99,9.0,8.92,8.92
1471,2024-10-03,9.09,9.15,8.95,9.0
1470,2024-10-02,9.16,9.17,9.09,9.09
1469,2024-10-01,9.12,9.17,9.06,9.17
1468,2024-09-30,9.14,9.14,9.08,9.11
1467,2024-09-27,9.35,9.35,9.14,9.14
1466,2024-09-26,9.16,9.23,9.12,9.17
1465,2024-09-25,9.07,9.23,9.07,9.12
1464,2024-09-24,9.03,9.1,9.0,9.04
1463,2024-09-23,9.09,9.13,9.0,9.08
1462,2024-09-20,9.25,9.25,9.09,9.09
1461,2024-09-19,9.03,9.28,9.03,9.16
1460,2024-09-18,9.2,9.27,9.0,9.0
1459,2024-09-17,8.7,9.2,8.7,9.2
1458,2024-09-16,9.37,9.4,9.25,9.25
