,Date,Open,High,Low,Close
1573,2023-08-02,11.1,11.1,11.1,11.1
1572,2023-07-31,11.0,11.0,11.0,11.0
1571,2023-06-05,10.35,10.35,10.35,10.35
1570,2023-06-02,10.35,10.35,10.35,10.35
1569,2023-06-01,10.35,10.35,10.35,10.35
1568,2023-05-31,10.35,10.35,10.35,10.35
1567,2023-05-30,10.35,10.35,10.35,10.35
1566,2023-05-29,10.35,10.35,10.35,10.35
1565,2023-05-26,10.35,10.35,10.35,10.35
1564,2023-05-25,10.35,10.35,10.35,10.35
1563,2023-05-24,10.35,10.35,10.35,10.35
1562,2023-05-23,10.35,10.35,10.35,10.35
1561,2023-05-22,10.35,10.35,10.35,10.35
1560,2023-05-19,10.35,10.35,10.35,10.35
1559,2023-05-18,10.35,10.35,10.35,10.35
1558,2023-05-17,10.35,10.35,10.35,10.35
1557,2023-05-16,10.35,10.35,10.35,10.35
1556,2023-05-15,10.35,10.35,10.35,10.35
1555,2023-05-12,10.35,10.35,10.35,10.35
1554,2023-05-11,10.35,10.35,10.35,10.35
1553,2023-05-10,10.35,10.35,10.35,10.35
1552,2023-05-09,10.35,10.35,10.35,10.35
1551,2023-05-08,10.35,10.35,10.35,10.35
1550,2023-05-05,10.35,10.35,10.35,10.35
1549,2023-05-04,10.35,10.35,10.35,10.35
1548,2023-04-28,10.35,10.35,10.35,10.35
1547,2023-04-27,10.35,10.35,10.35,10.35
1546,2023-04-26,10.35,10.35,10.35,10.35
1545,2023-04-25,10.35,10.35,10.35,10.35
1544,2023-04-24,10.35,10.35,10.35,10.35
1543,2023-04-21,10.35,10.35,10.35,10.35
1542,2023-04-20,10.35,10.35,10.35,10.35
1541,2023-04-19,10.35,10.35,10.35,10.35
1540,2023-04-18,10.35,10.35,10.35,10.35
1539,2023-04-17,10.35,10.35,10.35,10.35
1538,2023-04-14,10.35,10.35,10.35,10.35
1537,2023-04-13,10.35,10.35,10.35,10.35
1536,2023-04-12,10.35,10.35,10.35,10.35
1535,2023-04-11,10.35,10.35,10.35,10.35
1534,2023-04-10,10.35,10.35,10.35,10.35
1533,2023-04-07,10.35,10.35,10.35,10.35
1532,2023-04-06,10.35,10.35,10.35,10.35
1531,2023-04-05,10.35,10.35,10.35,10.35
1530,2023-04-04,10.35,10.35,10.35,10.35
1529,2023-04-03,10.35,10.35,10.35,10.35
1528,2023-03-31,9.0,9.0,9.0,9.0
1527,2023-03-30,9.0,9.0,9.0,9.0
1526,2023-03-29,9.0,9.0,9.0,9.0
1525,2023-03-28,9.0,9.0,9.0,9.0
1524,2023-03-27,9.0,9.0,9.0,9.0
1523,2023-03-24,9.0,9.0,9.0,9.0
1522,2023-03-23,9.0,9.0,9.0,9.0
1521,2023-03-22,9.0,9.0,9.0,9.0
1520,2023-03-21,9.0,9.0,9.0,9.0
1519,2023-03-20,9.0,9.0,9.0,9.0
1518,2023-03-17,9.0,9.0,9.0,9.0
1517,2023-03-16,9.0,9.0,9.0,9.0
1516,2023-03-15,9.0,9.0,9.0,9.0
1515,2023-03-14,9.0,9.0,9.0,9.0
1514,2023-03-13,9.0,9.0,9.0,9.0
1513,2023-03-10,9.0,9.0,9.0,9.0
1512,2023-03-09,9.0,9.0,9.0,9.0
1511,2023-03-08,9.0,9.0,9.0,9.0
1510,2023-03-07,9.0,9.0,9.0,9.0
1509,2023-03-06,9.0,9.0,9.0,9.0
1508,2023-03-03,9.0,9.0,9.0,9.0
1507,2023-03-02,9.18,9.18,9.18,9.18
1506,2023-03-01,9.18,9.18,9.18,9.18
1505,2023-02-28,9.18,9.18,9.18,9.18
1504,2023-02-27,9.18,9.18,9.18,9.18
1503,2023-02-24,9.18,9.18,9.18,9.18
1502,2023-02-23,9.18,9.18,9.18,9.18
1501,2023-02-22,9.18,9.18,9.18,9.18
1500,2023-02-21,9.18,9.18,9.18,9.18
1499,2023-02-20,9.18,9.18,9.18,9.18
1498,2023-02-17,9.18,9.18,9.18,9.18
1497,2023-02-16,9.18,9.18,9.18,9.18
1496,2023-02-15,9.18,9.18,9.18,9.18
1495,2023-02-14,9.18,9.18,9.18,9.18
1494,2023-02-13,9.18,9.18,9.18,9.18
1493,2023-02-10,9.18,9.18,9.18,9.18
1492,2023-02-09,9.18,9.18,9.18,9.18
1491,2023-02-08,9.18,9.18,9.18,9.18
1490,2023-02-07,9.18,9.18,9.18,9.18
