,Date,Open,High,Low,Close
3603,2025-10-17,3.5,3.5,3.5,3.5
3602,2025-10-16,3.5,3.6,3.5,3.6
3601,2025-10-14,3.7,3.7,3.5,3.5
3600,2025-10-13,3.6,3.6,3.6,3.6
3599,2025-10-10,3.7,3.7,3.7,3.7
3598,2025-10-09,3.7,3.7,3.7,3.7
3597,2025-10-08,3.6,3.6,3.6,3.6
3596,2025-10-07,3.5,3.6,3.5,3.6
3595,2025-10-06,3.6,3.7,3.6,3.6
3594,2025-10-03,3.6,3.6,3.6,3.6
3593,2025-10-02,3.7,3.7,3.5,3.5
3592,2025-10-01,3.6,3.6,3.6,3.6
3591,2025-09-30,3.6,3.7,3.6,3.7
3590,2025-09-25,3.6,3.6,3.6,3.6
3589,2025-09-24,3.6,3.8,3.6,3.8
3588,2025-09-23,3.5,3.6,3.5,3.6
3587,2025-09-22,3.6,3.6,3.6,3.6
3586,2025-09-19,3.7,3.7,3.6,3.6
3585,2025-09-18,3.7,3.7,3.6,3.6
3584,2025-09-17,3.7,3.7,3.7,3.7
3583,2025-09-16,3.7,4.0,3.7,3.7
3582,2025-09-15,3.7,3.7,3.7,3.7
3581,2025-09-12,3.7,3.7,3.7,3.7
3580,2025-09-11,3.6,3.7,3.6,3.7
3579,2025-09-09,3.6,3.6,3.6,3.6
3578,2025-09-04,3.7,3.7,3.6,3.7
3577,2025-09-03,3.6,3.6,3.6,3.6
3576,2025-08-29,3.6,3.6,3.6,3.6
3575,2025-08-28,3.6,3.6,3.6,3.6
3574,2025-08-27,3.7,3.7,3.6,3.6
3573,2025-08-26,3.6,3.6,3.6,3.6
3572,2025-08-25,3.6,3.6,3.6,3.6
3571,2025-08-22,3.6,3.6,3.6,3.6
3570,2025-08-21,3.7,3.7,3.6,3.6
3569,2025-08-20,3.7,3.7,3.6,3.6
3568,2025-08-19,3.8,3.8,3.7,3.7
3567,2025-08-18,3.6,3.7,3.6,3.7
3566,2025-08-15,3.7,3.7,3.7,3.7
3565,2025-08-14,3.9,3.9,3.7,3.7
3564,2025-08-13,3.7,3.7,3.7,3.7
3563,2025-08-12,3.6,3.7,3.6,3.7
3562,2025-08-11,3.8,3.8,3.6,3.7
3561,2025-08-08,3.8,3.8,3.7,3.7
3560,2025-08-07,3.8,4.7,3.8,4.4
3559,2025-08-06,4.3,4.6,3.9,3.9
3558,2025-08-05,4.0,4.0,3.9,3.9
3557,2025-08-04,3.9,3.9,3.9,3.9
3556,2025-07-31,3.9,3.9,3.9,3.9
3555,2025-07-30,3.9,3.9,3.9,3.9
3554,2025-07-29,3.9,3.9,3.9,3.9
3553,2025-07-28,3.9,3.9,3.6,3.7
3552,2025-07-25,3.9,3.9,3.9,3.9
3551,2025-07-24,4.0,4.0,4.0,4.0
3550,2025-07-23,4.2,4.3,4.0,4.0
3549,2025-07-22,3.6,3.9,3.6,3.9
3548,2025-07-21,3.9,3.9,3.4,3.8
3547,2025-07-18,3.9,3.9,3.8,3.8
3546,2025-07-17,3.8,3.8,3.8,3.8
3545,2025-07-16,3.7,3.7,3.7,3.7
3544,2025-07-15,3.7,3.7,3.7,3.7
3543,2025-07-14,3.8,3.8,3.7,3.7
3542,2025-07-11,3.8,3.8,3.8,3.8
3541,2025-07-10,3.7,3.8,3.7,3.7
3540,2025-07-04,3.7,3.7,3.7,3.7
3539,2025-07-03,3.7,3.7,3.7,3.7
3538,2025-07-02,3.7,3.7,3.7,3.7
3537,2025-07-01,3.7,3.7,3.7,3.7
3536,2025-06-27,2.9,3.9,2.9,3.8
3535,2025-06-26,3.7,3.7,3.3,3.7
3534,2025-06-25,3.6,3.6,3.6,3.6
3533,2025-06-24,3.6,3.6,3.6,3.6
3532,2025-06-23,3.5,3.7,3.5,3.6
3531,2025-06-19,3.5,3.5,3.5,3.5
3530,2025-06-18,3.5,3.5,3.5,3.5
3529,2025-06-17,3.8,3.8,3.8,3.8
3528,2025-06-12,3.6,3.6,3.5,3.5
3527,2025-06-06,3.5,3.5,3.5,3.5
3526,2025-06-04,3.5,3.6,3.5,3.5
3525,2025-06-03,3.7,3.7,3.7,3.7
3524,2025-06-02,3.5,3.6,3.5,3.5
3523,2025-05-30,3.7,3.7,3.7,3.7
3522,2025-05-29,4.3,4.3,4.0,4.0
3521,2025-05-28,3.8,4.1,3.7,3.7
3520,2025-05-27,3.6,3.7,3.6,3.7
3519,2025-05-26,3.4,3.4,3.4,3.4
3518,2025-05-23,3.6,3.6,3.6,3.6
3517,2025-05-22,3.6,3.6,3.6,3.6
3516,2025-05-21,3.6,3.6,3.6,3.6
3515,2025-05-20,3.5,3.6,3.5,3.6
3514,2025-05-19,3.5,3.5,3.5,3.5
3513,2025-05-16,3.5,3.5,3.5,3.5
3512,2025-05-15,3.6,3.6,3.5,3.5
3511,2025-05-14,3.5,3.6,3.5,3.6
3510,2025-05-13,3.5,3.5,3.5,3.5
3509,2025-05-12,3.4,3.4,3.4,3.4
3508,2025-05-09,3.4,3.4,3.4,3.4
3507,2025-05-08,3.4,3.4,3.4,3.4
3506,2025-05-07,3.5,3.5,3.5,3.5
3505,2025-05-05,3.6,3.6,3.4,3.4
3504,2025-04-29,3.5,3.5,3.4,3.4
3503,2025-04-28,3.4,3.4,3.4,3.4
3502,2025-04-25,3.5,3.5,3.4,3.4
3501,2025-04-23,3.4,3.4,3.3,3.4
3500,2025-04-21,3.3,3.5,3.3,3.5
3499,2025-04-18,3.3,3.3,3.3,3.3
3498,2025-04-17,3.3,3.3,3.3,3.3
3497,2025-04-16,3.4,3.4,3.4,3.4
3496,2025-04-15,3.3,3.4,3.3,3.4
3495,2025-04-11,3.5,3.5,3.4,3.4
3494,2025-04-10,3.7,3.7,3.4,3.5
3493,2025-04-09,3.3,3.5,3.1,3.1
3492,2025-04-08,3.4,3.5,3.0,3.5
3491,2025-04-04,3.5,3.6,3.4,3.6
3490,2025-04-03,3.6,3.6,3.4,3.5
3489,2025-04-02,3.7,3.8,3.7,3.8
3488,2025-04-01,3.8,3.8,3.8,3.8
3487,2025-03-31,3.8,3.9,3.8,3.9
3486,2025-03-28,3.8,3.8,3.7,3.7
3485,2025-03-27,3.7,3.7,3.7,3.7
3484,2025-03-26,3.7,3.8,3.7,3.8
3483,2025-03-25,3.8,3.8,3.7,3.7
3482,2025-03-24,3.8,3.8,3.8,3.8
3481,2025-03-21,3.7,3.9,3.7,3.8
3480,2025-03-20,3.7,3.8,3.7,3.7
3479,2025-03-18,3.7,3.7,3.7,3.7
3478,2025-03-17,3.6,3.8,3.6,3.8
3477,2025-03-10,3.7,3.8,3.7,3.8
3476,2025-03-07,3.7,3.7,3.7,3.7
3475,2025-03-06,3.6,3.7,3.6,3.6
3474,2025-03-05,3.6,3.8,3.6,3.8
3473,2025-03-04,3.7,3.7,3.6,3.6
3472,2025-03-03,3.7,3.7,3.6,3.6
3471,2025-02-28,3.7,3.7,3.7,3.7
3470,2025-02-27,3.7,3.8,3.7,3.8
3469,2025-02-26,3.7,3.9,3.7,3.8
3468,2025-02-25,3.7,3.7,3.7,3.7
3467,2025-02-24,3.8,3.8,3.6,3.7
3466,2025-02-21,3.8,3.9,3.4,3.7
3465,2025-02-20,4.7,4.7,3.9,3.9
3464,2025-02-19,3.8,4.2,3.7,4.2
