,Date,Open,High,Low,Close
2188,2025-10-17,35.6,35.6,35.0,35.0
2187,2025-10-16,35.7,35.75,35.5,35.6
2186,2025-10-15,35.65,35.7,35.0,35.1
2185,2025-10-14,35.8,35.95,35.2,35.2
2184,2025-10-13,35.4,36.0,35.4,35.7
2183,2025-10-10,34.8,36.2,34.8,36.2
2182,2025-10-09,35.0,35.2,34.45,34.7
2181,2025-10-08,34.95,34.95,34.7,34.9
2180,2025-10-07,35.05,35.05,34.2,34.3
2179,2025-10-06,34.2,35.0,34.2,35.0
2178,2025-10-03,34.5,34.65,34.15,34.15
2177,2025-10-02,35.0,35.0,34.9,34.9
2176,2025-10-01,35.0,35.1,34.95,34.95
2175,2025-09-30,34.2,35.3,34.2,35.0
2174,2025-09-29,36.7,36.8,35.0,35.0
2173,2025-09-26,37.05,37.05,36.5,36.5
2172,2025-09-25,37.45,37.95,37.4,37.4
2171,2025-09-24,37.9,38.2,36.6,38.2
2170,2025-09-23,38.3,38.3,36.6,38.0
2169,2025-09-22,36.0,37.5,36.0,37.5
2168,2025-09-19,38.05,38.05,35.8,35.8
2167,2025-09-18,37.8,38.0,37.45,37.9
2166,2025-09-17,38.2,38.2,37.0,37.45
2165,2025-09-16,38.0,38.45,37.5,38.25
2164,2025-09-15,35.0,36.3,35.0,36.3
2163,2025-09-12,33.2,33.95,32.8,33.95
2162,2025-09-11,32.05,32.95,31.8,32.9
2161,2025-09-10,32.0,32.4,31.5,32.0
2160,2025-09-09,30.7,31.5,30.7,31.5
2159,2025-09-08,30.8,31.0,30.65,30.8
2158,2025-09-05,31.0,31.05,30.8,30.95
2157,2025-09-04,31.05,31.1,30.75,31.05
2156,2025-09-03,31.0,31.0,30.8,31.0
2155,2025-08-29,31.25,31.25,30.8,31.0
2154,2025-08-28,32.25,32.25,31.0,31.3
2153,2025-08-27,31.0,31.0,30.6,30.9
2152,2025-08-26,30.3,30.9,30.3,30.65
2151,2025-08-25,31.05,31.25,30.3,30.4
2150,2025-08-22,32.0,32.0,30.55,30.85
2149,2025-08-21,33.0,33.0,32.0,32.05
2148,2025-08-20,33.7,33.7,31.85,32.5
2147,2025-08-19,29.8,31.7,29.8,31.7
2146,2025-08-18,30.4,30.4,29.6,29.65
2145,2025-08-15,31.55,31.55,30.5,30.5
2144,2025-08-14,31.8,31.8,31.5,31.55
2143,2025-08-13,32.3,32.3,31.7,31.75
2142,2025-08-12,32.65,32.65,32.35,32.4
2141,2025-08-11,32.7,32.7,32.55,32.65
2140,2025-08-08,32.75,32.9,32.6,32.75
2139,2025-08-07,32.9,33.0,32.7,32.75
2138,2025-08-06,33.0,33.0,32.8,32.85
2137,2025-08-05,32.9,33.5,32.9,33.0
2136,2025-08-04,32.8,32.9,32.8,32.85
2135,2025-08-01,32.95,32.95,32.5,32.5
2134,2025-07-31,33.5,33.6,32.55,32.8
2133,2025-07-30,32.5,33.1,32.05,33.1
2132,2025-07-29,33.55,33.55,32.0,32.0
2131,2025-07-28,34.1,34.1,33.1,33.5
2130,2025-07-25,32.9,33.7,32.9,33.55
2129,2025-07-24,34.45,34.45,33.2,33.2
2128,2025-07-23,33.4,34.95,33.4,34.0
2127,2025-07-22,33.7,33.7,32.5,33.1
2126,2025-07-21,31.6,31.6,31.6,31.6
2125,2025-07-18,29.83,29.87,29.47,29.55
2124,2025-07-17,29.79,29.79,29.51,29.51
2123,2025-07-16,29.95,29.95,29.71,29.71
2122,2025-07-15,29.63,29.95,29.59,29.63
2121,2025-07-14,29.44,29.51,29.36,29.4
2120,2025-07-11,29.79,29.79,29.32,29.32
2119,2025-07-10,30.03,30.11,29.79,29.79
2118,2025-07-09,29.95,30.18,29.95,30.03
2117,2025-07-08,30.22,30.22,29.87,29.95
2116,2025-07-07,30.26,30.34,29.95,29.95
2115,2025-07-04,30.34,30.58,30.18,30.26
2114,2025-07-03,30.34,30.62,30.18,30.22
2113,2025-07-02,30.85,30.97,30.34,30.42
2112,2025-07-01,30.07,30.66,30.03,30.66
2111,2025-06-30,29.71,30.07,29.4,29.87
2110,2025-06-27,29.83,29.87,29.47,29.75
2109,2025-06-26,29.75,30.18,29.55,29.79
2108,2025-06-25,29.87,29.87,29.47,29.47
2107,2025-06-24,30.5,30.5,29.59,29.87
2106,2025-06-23,29.47,29.47,28.45,28.77
2105,2025-06-20,29.79,29.79,29.63,29.63
2104,2025-06-19,30.38,30.38,29.63,29.95
2103,2025-06-18,30.66,31.13,30.38,30.38
2102,2025-06-17,30.03,30.74,30.03,30.7
2101,2025-06-16,30.26,30.26,29.4,29.87
2100,2025-06-13,31.13,31.37,29.95,30.03
2099,2025-06-12,31.13,31.84,31.13,31.76
2098,2025-06-11,30.74,30.97,30.42,30.97
2097,2025-06-10,30.38,31.01,30.38,30.5
2096,2025-06-09,30.42,31.05,30.11,30.38
2095,2025-06-06,30.42,30.5,30.11,30.18
2094,2025-06-05,30.58,30.97,30.46,30.46
2093,2025-06-04,30.62,30.66,30.03,30.58
2092,2025-06-03,30.34,31.01,29.24,30.74
2091,2025-06-02,29.91,30.07,29.71,29.91
2090,2025-05-30,30.7,30.7,29.67,29.67
2089,2025-05-29,31.21,31.21,30.22,30.74
2088,2025-05-28,31.92,32.27,31.17,31.17
2087,2025-05-27,30.42,31.84,30.38,31.64
2086,2025-05-26,30.62,30.74,29.95,30.38
2085,2025-05-23,30.42,30.85,29.55,30.34
2084,2025-05-22,29.04,30.74,29.04,30.46
2083,2025-05-21,26.91,28.73,26.91,28.73
2082,2025-05-20,27.03,27.03,26.83,26.87
2081,2025-05-19,26.4,27.11,26.13,26.8
2080,2025-05-16,27.27,27.27,26.8,26.8
2079,2025-05-15,27.5,27.5,27.11,27.23
2078,2025-05-14,27.82,27.82,27.11,27.15
2077,2025-05-13,27.27,27.54,26.95,27.47
2076,2025-05-12,27.58,27.58,26.83,27.27
2075,2025-05-09,27.27,27.27,26.4,27.27
2074,2025-05-08,27.58,27.86,26.99,27.35
2073,2025-05-07,26.52,27.58,26.52,27.54
2072,2025-05-06,25.93,26.72,25.77,26.44
2071,2025-05-05,26.32,26.32,25.42,25.61
2070,2025-04-29,24.47,25.18,24.43,24.9
2069,2025-04-28,24.27,25.38,24.23,24.47
2068,2025-04-25,24.63,24.83,24.08,24.23
2067,2025-04-24,24.75,25.22,24.43,24.63
2066,2025-04-23,25.14,26.8,24.75,24.75
2065,2025-04-22,24.04,25.38,22.42,25.14
2064,2025-04-21,24.31,24.9,22.74,24.04
2063,2025-04-18,25.81,26.68,24.43,24.43
2062,2025-04-17,24.19,25.85,24.08,25.85
2061,2025-04-16,25.06,25.1,24.04,24.27
2060,2025-04-15,24.67,25.42,24.04,25.14
2059,2025-04-14,23.09,24.63,22.7,24.63
2058,2025-04-11,22.07,23.13,21.79,23.05
2057,2025-04-10,21.75,21.75,21.75,21.75
2056,2025-04-09,20.06,21.16,19.39,20.33
2055,2025-04-08,22.46,22.46,20.85,20.85
2054,2025-04-04,20.49,22.82,20.45,22.38
2053,2025-04-03,22.85,22.85,21.99,21.99
2052,2025-04-02,23.13,24.23,22.85,23.6
