,Date,Open,High,Low,Close
3757,2025-10-17,2.62,2.62,2.55,2.57
3756,2025-10-16,2.65,2.7,2.62,2.62
3755,2025-10-15,2.74,2.74,2.71,2.73
3754,2025-10-14,2.75,2.75,2.72,2.74
3753,2025-10-13,2.79,2.79,2.7,2.75
3752,2025-10-10,2.81,2.81,2.75,2.8
3751,2025-10-09,2.79,2.8,2.79,2.8
3750,2025-10-08,2.73,2.82,2.73,2.8
3749,2025-10-07,2.8,2.8,2.72,2.8
3748,2025-10-06,2.83,2.83,2.8,2.8
3747,2025-10-03,2.83,2.98,2.75,2.8
3746,2025-10-02,2.85,2.85,2.8,2.8
3745,2025-10-01,2.81,2.86,2.81,2.85
3744,2025-09-30,2.88,2.88,2.77,2.81
3743,2025-09-29,2.85,2.9,2.8,2.86
3742,2025-09-26,2.81,2.9,2.78,2.87
3741,2025-09-25,2.79,2.87,2.79,2.83
3740,2025-09-24,2.82,2.82,2.8,2.82
3739,2025-09-23,2.81,2.91,2.8,2.82
3738,2025-09-22,2.8,2.9,2.78,2.8
3737,2025-09-19,2.96,2.96,2.9,2.9
3736,2025-09-18,2.95,2.95,2.87,2.94
3735,2025-09-17,2.91,2.96,2.91,2.95
3734,2025-09-16,2.95,2.97,2.94,2.96
3733,2025-09-15,2.94,2.95,2.92,2.94
3732,2025-09-12,2.94,2.94,2.9,2.94
3731,2025-09-11,2.9,2.95,2.9,2.94
3730,2025-09-10,2.95,2.95,2.89,2.9
3729,2025-09-09,2.98,2.98,2.9,2.96
3728,2025-09-08,3.01,3.01,2.95,2.98
3727,2025-09-05,2.94,3.09,2.92,3.07
3726,2025-09-04,2.9,2.93,2.9,2.92
3725,2025-09-03,2.92,2.94,2.88,2.92
3724,2025-08-29,2.94,2.99,2.9,2.92
3723,2025-08-28,2.92,2.95,2.86,2.94
3722,2025-08-27,2.92,2.92,2.81,2.92
3721,2025-08-26,2.92,2.92,2.85,2.92
3720,2025-08-25,2.86,2.94,2.86,2.94
3719,2025-08-22,2.84,3.0,2.83,2.85
3718,2025-08-21,3.04,3.04,2.96,3.04
3717,2025-08-20,3.06,3.06,2.98,3.06
3716,2025-08-19,3.05,3.06,2.9,3.06
3715,2025-08-18,3.05,3.07,3.05,3.07
3714,2025-08-15,3.06,3.06,2.99,3.05
3713,2025-08-14,3.03,3.15,3.0,3.03
3712,2025-08-13,3.19,3.19,2.82,3.0
3711,2025-08-12,3.05,3.06,3.03,3.03
3710,2025-08-11,3.06,3.09,3.01,3.05
3709,2025-08-08,3.0,3.09,3.0,3.06
3708,2025-08-07,3.07,3.07,2.95,3.0
3707,2025-08-06,3.02,3.09,2.97,2.98
3706,2025-08-05,3.06,3.06,3.0,3.01
3705,2025-08-04,3.0,3.15,2.89,2.91
3704,2025-08-01,3.15,3.15,3.0,3.1
3703,2025-07-31,3.18,3.18,3.1,3.15
3702,2025-07-30,3.16,3.19,3.0,3.15
3701,2025-07-29,3.22,3.3,3.12,3.16
3700,2025-07-28,3.25,3.25,3.12,3.22
3699,2025-07-25,3.23,3.23,3.2,3.22
