,Date,Open,High,Low,Close
4081,2025-10-17,14.6,14.9,14.0,14.9
4080,2025-10-16,14.7,14.7,14.7,14.7
4079,2025-10-15,14.5,14.7,14.5,14.7
4078,2025-10-14,15.2,15.3,14.5,14.9
4077,2025-10-13,14.7,15.4,14.2,15.4
4076,2025-10-10,15.6,15.6,14.5,15.4
4075,2025-10-09,15.5,15.7,14.6,15.7
4074,2025-10-08,15.0,15.6,14.8,15.5
4073,2025-10-07,15.2,15.8,15.2,15.8
4072,2025-10-06,14.9,16.0,14.8,15.8
4071,2025-10-02,15.7,16.2,15.7,16.2
4070,2025-10-01,15.6,16.0,15.6,16.0
4069,2025-09-30,14.8,15.8,14.5,15.8
4068,2025-09-29,16.0,16.5,14.6,15.3
4067,2025-09-26,16.2,16.2,15.9,15.9
4066,2025-09-25,15.7,15.7,15.7,15.7
4065,2025-09-24,15.7,15.7,15.7,15.7
4064,2025-09-22,15.5,15.5,15.2,15.4
4063,2025-09-19,15.8,15.8,15.1,15.1
4062,2025-09-18,15.0,15.1,14.9,14.9
4061,2025-09-16,15.2,15.5,14.8,15.4
4060,2025-09-15,13.7,15.2,13.7,15.2
4059,2025-09-12,13.7,14.4,13.7,13.9
4058,2025-09-11,13.5,13.6,13.5,13.6
4057,2025-09-10,13.8,13.8,13.4,13.5
4056,2025-09-09,13.3,13.3,13.3,13.3
4055,2025-09-08,14.0,14.4,13.6,13.6
4054,2025-09-05,14.5,14.7,13.7,14.4
4053,2025-09-04,13.5,13.7,13.0,13.7
4052,2025-09-03,13.7,13.7,13.7,13.7
4051,2025-08-29,13.7,13.7,13.7,13.7
4050,2025-08-28,13.8,13.8,13.7,13.7
4049,2025-08-27,13.7,13.8,13.5,13.8
4048,2025-08-26,13.7,13.7,13.7,13.7
4047,2025-08-25,13.4,13.8,13.4,13.8
4046,2025-08-22,13.8,13.8,13.2,13.7
4045,2025-08-21,13.7,13.8,13.6,13.8
4044,2025-08-19,14.5,14.5,13.7,14.4
4043,2025-08-15,14.5,14.5,13.7,14.5
4042,2025-08-14,15.5,15.5,15.0,15.0
4041,2025-08-13,14.6,15.5,14.4,15.0
4040,2025-08-12,14.4,14.4,14.0,14.4
4039,2025-08-11,15.4,15.4,14.4,14.4
4038,2025-08-08,14.7,15.7,14.6,14.6
4037,2025-08-07,13.5,14.6,13.2,14.6
4036,2025-08-06,14.0,14.0,12.5,13.3
4035,2025-08-05,13.3,13.4,13.1,13.1
4034,2025-08-04,13.4,13.4,13.4,13.4
4033,2025-08-01,13.0,13.4,13.0,13.4
4032,2025-07-31,13.3,13.3,12.9,13.2
4031,2025-07-30,12.9,14.0,12.9,13.2
4030,2025-07-29,13.3,13.9,12.7,12.9
4029,2025-07-28,14.4,14.4,13.2,13.2
