,Date,Open,High,Low,Close
3678,2025-10-09,9.0,9.5,9.0,9.5
3677,2025-09-17,10.4,10.6,10.4,10.6
3676,2025-09-16,10.4,10.4,10.4,10.4
3675,2025-09-12,10.4,10.4,10.4,10.4
3674,2025-09-08,9.0,9.5,9.0,9.5
3673,2025-09-05,9.0,9.0,9.0,9.0
3672,2025-09-04,9.5,10.9,9.5,10.9
3671,2025-09-03,9.5,9.5,9.5,9.5
3670,2025-08-29,9.5,9.5,9.5,9.5
3669,2025-08-26,9.5,9.5,9.5,9.5
3668,2025-08-25,9.3,9.5,9.3,9.5
3667,2025-08-22,9.3,9.3,9.3,9.3
3666,2025-08-21,9.3,9.3,9.3,9.3
3665,2025-08-19,9.3,9.3,9.3,9.3
3664,2025-08-18,9.3,9.3,9.3,9.3
3663,2025-08-14,9.3,9.3,9.3,9.3
3662,2025-08-08,9.3,9.3,9.3,9.3
3661,2025-08-04,8.1,8.1,8.1,8.1
3660,2025-07-08,8.1,8.1,8.1,8.1
3659,2025-07-07,9.5,9.5,9.5,9.5
3658,2025-07-03,9.6,9.6,9.6,9.6
3657,2025-06-27,9.6,9.6,9.6,9.6
3656,2025-06-23,8.4,8.4,8.4,8.4
3655,2025-06-20,8.4,8.4,8.4,8.4
3654,2025-06-18,9.8,9.8,9.8,9.8
3653,2025-06-17,9.4,9.4,9.0,9.0
3652,2025-06-16,8.5,9.9,8.5,9.9
3651,2025-06-11,9.9,9.9,9.9,9.9
3650,2025-06-10,11.7,11.7,11.5,11.5
3649,2025-06-04,10.8,10.8,10.0,10.0
3648,2025-06-03,9.3,9.4,9.3,9.4
3647,2025-05-27,8.2,8.2,8.2,8.2
3646,2025-05-22,9.5,9.5,9.5,9.5
3645,2025-05-21,8.9,9.0,8.9,9.0
3644,2025-05-19,8.3,9.2,8.3,9.2
3643,2025-05-16,8.3,8.3,8.3,8.3
3642,2025-05-15,8.2,8.8,8.2,8.8
3641,2025-05-08,8.1,8.1,8.1,8.1
3640,2025-05-06,8.1,8.1,8.1,8.1
3639,2025-04-23,9.5,9.5,9.5,9.5
3638,2025-04-18,11.1,11.1,11.1,11.1
3637,2025-04-16,10.0,10.0,10.0,10.0
3636,2025-04-15,9.0,9.0,9.0,9.0
3635,2025-04-14,9.0,9.0,9.0,9.0
3634,2025-04-11,10.5,10.5,9.0,9.0
3633,2025-04-10,10.5,10.5,10.5,10.5
3632,2025-04-02,9.2,9.2,9.2,9.2
3631,2025-03-31,8.0,8.0,8.0,8.0
3630,2025-03-27,9.4,9.4,9.4,9.4
3629,2025-03-26,8.2,8.2,8.2,8.2
