,Date,Open,High,Low,Close
3841,2025-10-17,26.3,26.3,26.0,26.2
3840,2025-10-16,26.5,26.7,26.3,26.6
3839,2025-10-15,26.3,26.4,26.2,26.4
3838,2025-10-14,26.3,26.3,26.2,26.2
3837,2025-10-13,26.5,26.5,26.3,26.5
3836,2025-10-10,26.4,26.5,26.3,26.5
3835,2025-10-09,26.5,26.5,26.3,26.4
3834,2025-10-08,26.5,26.7,26.4,26.5
3833,2025-10-07,26.5,26.5,26.4,26.4
3832,2025-10-06,26.3,26.5,26.3,26.5
3831,2025-10-03,26.4,26.4,26.2,26.4
3830,2025-10-02,26.3,26.7,26.3,26.3
3829,2025-10-01,26.8,26.8,26.2,26.2
3828,2025-09-30,26.6,26.6,26.6,26.6
3827,2025-09-29,26.6,26.7,26.6,26.6
3826,2025-09-26,26.7,26.7,26.6,26.6
3825,2025-09-25,26.8,26.8,26.7,26.7
3824,2025-09-24,26.6,26.8,26.6,26.8
3823,2025-09-23,26.7,26.8,26.6,26.8
3822,2025-09-22,26.7,26.8,26.7,26.7
3821,2025-09-19,26.6,26.7,26.5,26.7
3820,2025-09-18,26.7,26.7,26.5,26.7
3819,2025-09-17,26.6,26.8,26.6,26.8
3818,2025-09-16,26.7,26.9,26.5,26.6
3817,2025-09-15,26.7,27.0,26.5,26.6
3816,2025-09-12,26.8,26.8,26.6,26.7
3815,2025-09-11,26.6,26.7,26.5,26.7
3814,2025-09-10,26.8,27.0,26.6,26.6
3813,2025-09-09,26.8,27.0,26.7,26.8
3812,2025-09-08,27.2,27.3,26.7,26.8
3811,2025-09-05,27.1,27.2,26.7,27.0
3810,2025-09-04,27.2,27.2,27.0,27.1
3809,2025-09-03,27.2,27.2,27.0,27.2
3808,2025-08-29,27.1,27.2,27.0,27.2
3807,2025-08-28,27.2,27.2,27.0,27.1
3806,2025-08-27,27.5,27.8,27.0,27.3
3805,2025-08-26,27.0,27.7,26.9,27.2
3804,2025-08-25,27.3,27.4,27.0,27.1
3803,2025-08-22,27.5,27.5,27.1,27.1
3802,2025-08-21,28.0,28.0,27.4,27.4
3801,2025-08-20,27.5,27.7,27.3,27.5
3800,2025-08-19,27.9,27.9,27.5,27.5
3799,2025-08-18,27.6,27.9,27.5,27.7
3798,2025-08-15,28.0,28.3,27.6,27.9
3797,2025-08-14,27.9,27.9,27.5,27.7
3796,2025-08-13,28.0,28.0,27.4,27.9
3795,2025-08-12,28.0,28.2,27.7,28.0
3794,2025-08-11,28.5,28.8,28.0,28.0
3793,2025-08-08,29.0,29.0,28.6,28.6
3792,2025-08-07,29.3,29.4,28.5,29.0
3791,2025-08-06,28.0,29.2,28.0,29.0
3790,2025-08-05,28.3,29.3,28.3,28.3
3789,2025-08-04,28.3,28.5,28.0,28.3
3788,2025-08-01,28.0,28.5,28.0,28.3
3787,2025-07-31,28.0,28.7,27.7,28.3
3786,2025-07-30,27.5,28.1,27.5,27.7
3785,2025-07-29,28.4,28.7,27.8,27.8
3784,2025-07-28,27.5,28.4,27.5,28.3
3783,2025-07-25,26.8,27.9,26.7,27.5
3782,2025-07-24,26.4,26.9,26.3,26.7
3781,2025-07-23,26.5,26.5,26.4,26.4
3780,2025-07-22,26.4,26.5,26.4,26.5
3779,2025-07-21,26.6,26.9,26.5,26.5
3778,2025-07-18,27.0,27.0,26.5,26.8
3777,2025-07-17,26.6,27.2,26.4,26.7
3776,2025-07-16,26.5,26.6,26.3,26.6
3775,2025-07-15,26.5,26.7,26.4,26.5
3774,2025-07-14,26.5,26.6,26.4,26.5
3773,2025-07-11,26.6,26.6,26.3,26.5
3772,2025-07-10,26.5,26.8,26.5,26.5
3771,2025-07-09,26.9,26.9,26.6,26.6
3770,2025-07-08,26.7,27.2,26.7,26.7
3769,2025-07-07,26.5,26.7,26.5,26.7
3768,2025-07-04,26.4,26.6,26.3,26.5
3767,2025-07-03,27.0,27.0,26.3,26.4
3766,2025-07-02,26.4,27.2,26.4,27.0
3765,2025-07-01,26.6,26.7,26.3,26.3
3764,2025-06-30,26.5,26.8,26.4,26.5
3763,2025-06-27,26.3,26.7,26.3,26.5
3762,2025-06-26,26.5,26.5,26.2,26.3
3761,2025-06-25,26.5,26.9,26.3,26.5
3760,2025-06-24,27.0,27.1,26.8,27.0
3759,2025-06-23,27.0,27.0,24.9,27.0
3758,2025-06-20,26.9,27.1,26.9,27.0
3757,2025-06-19,26.9,26.9,26.9,26.9
3756,2025-06-18,26.9,26.9,26.8,26.9
3755,2025-06-17,26.9,26.9,26.7,26.9
3754,2025-06-16,26.7,26.9,26.6,26.9
3753,2025-06-13,26.6,26.8,26.5,26.7
3752,2025-06-12,26.7,26.8,26.7,26.8
3751,2025-06-11,26.8,26.9,26.7,26.7
3750,2025-06-10,26.9,26.9,26.6,26.9
3749,2025-06-09,26.9,26.9,26.8,26.9
3748,2025-06-06,27.0,27.0,26.9,26.9
3747,2025-06-05,27.2,27.3,27.1,27.2
3746,2025-06-04,27.4,27.4,27.1,27.2
3745,2025-06-03,27.1,27.4,27.1,27.4
3744,2025-06-02,27.5,27.6,27.0,27.4
3743,2025-05-30,27.2,27.3,27.0,27.3
3742,2025-05-29,26.6,27.4,26.6,27.3
3741,2025-05-28,26.6,27.0,26.5,26.7
3740,2025-05-27,26.1,26.6,26.1,26.5
3739,2025-05-26,25.8,26.5,25.7,26.2
3738,2025-05-23,25.8,26.0,25.8,25.8
3737,2025-05-22,26.0,26.0,25.9,25.9
3736,2025-05-21,26.1,26.1,25.9,26.0
3735,2025-05-20,26.2,26.2,26.0,26.0
3734,2025-05-19,26.5,26.8,26.1,26.1
3733,2025-05-16,26.0,26.5,26.0,26.1
3732,2025-05-15,26.2,26.4,26.0,26.4
3731,2025-05-14,26.6,26.9,26.0,26.6
3730,2025-05-13,26.2,26.9,26.0,26.5
3729,2025-05-12,25.8,26.0,25.4,26.0
3728,2025-05-09,25.5,25.5,25.2,25.5
3727,2025-05-08,25.0,26.0,25.0,25.5
3726,2025-05-07,24.9,25.0,24.8,24.8
3725,2025-05-06,25.1,25.2,24.9,25.1
3724,2025-05-05,24.9,25.2,24.8,25.1
3723,2025-04-29,24.4,24.7,24.4,24.7
3722,2025-04-28,24.9,24.9,24.0,24.4
3721,2025-04-25,25.2,25.3,24.7,25.2
3720,2025-04-24,24.7,25.3,24.7,25.1
