,Date,Open,High,Low,Close,Volume
3853,2025-10-22,20.9,21.0,20.9,21.0,900
3852,2025-10-21,21.2,21.5,21.0,21.5,8700
3851,2025-10-20,21.3,21.4,21.2,21.2,9200
3850,2025-10-17,21.4,21.4,21.2,21.2,400
3849,2025-10-16,21.3,21.3,21.2,21.3,1500
3848,2025-10-15,21.2,21.4,21.2,21.2,4600
3847,2025-10-14,21.2,21.2,21.2,21.2,100
3846,2025-10-13,21.5,21.5,21.5,21.5,1000
3845,2025-10-10,21.4,21.6,21.3,21.3,4700
3844,2025-10-09,21.3,21.3,21.3,21.3,100
3843,2025-10-08,21.1,21.4,20.7,20.8,6300
3842,2025-10-07,21.4,21.4,21.2,21.2,5100
3841,2025-10-06,21.4,21.4,21.4,21.4,500
3840,2025-10-03,21.2,21.2,21.2,21.2,1000
3839,2025-10-02,21.5,21.5,21.1,21.2,2300
3838,2025-09-30,21.5,21.6,21.2,21.2,5500
3837,2025-09-29,21.0,21.0,21.0,21.0,200
3836,2025-09-26,21.8,21.8,21.3,21.3,800
3835,2025-09-24,21.9,21.9,21.5,21.5,900
3834,2025-09-23,21.6,21.6,21.6,21.6,700
3833,2025-09-22,21.3,21.3,21.2,21.3,2400
3832,2025-09-19,21.3,21.4,21.2,21.4,1000
3831,2025-09-18,21.4,21.4,21.4,21.4,1200
3830,2025-09-17,21.3,21.8,21.1,21.4,2100
3829,2025-09-16,21.5,21.5,21.2,21.2,3700
3828,2025-09-15,21.0,21.8,21.0,21.5,1800
3827,2025-09-12,21.5,21.5,21.5,21.5,4900
3826,2025-09-11,21.1,21.5,21.0,21.5,4200
3825,2025-09-10,21.4,21.4,21.0,21.0,6800
3824,2025-09-09,22.0,22.0,21.3,21.5,11700
3823,2025-09-08,22.0,22.0,21.5,21.5,3400
3822,2025-09-05,21.8,21.9,21.4,21.4,1000
3821,2025-09-04,21.9,22.0,21.8,22.0,4000
3820,2025-09-03,21.2,21.5,21.2,21.2,4400
3819,2025-08-29,21.1,21.9,20.8,21.8,1300
3818,2025-08-28,21.0,21.8,21.0,21.8,1800
3817,2025-08-27,21.8,21.9,21.8,21.9,200
3816,2025-08-26,21.4,21.4,21.3,21.3,3200
3815,2025-08-25,21.2,21.5,21.1,21.5,4800
3814,2025-08-22,21.2,21.3,21.0,21.0,2100
3813,2025-08-21,21.4,21.4,21.3,21.3,9700
3812,2025-08-20,21.6,21.6,21.3,21.5,14500
3811,2025-08-19,21.7,22.1,21.7,21.8,4700
3810,2025-08-18,21.6,21.6,21.6,21.6,100
3809,2025-08-15,22.0,22.0,21.5,21.6,13346
3808,2025-08-14,21.7,22.0,21.7,22.0,12697
3807,2025-08-13,21.9,21.9,21.7,21.8,8100
3806,2025-08-12,21.9,22.0,21.8,22.0,10600
3805,2025-08-11,22.2,22.2,21.9,22.1,12839
3804,2025-08-08,22.5,22.5,22.0,22.3,4203
3803,2025-08-07,22.0,22.2,21.8,22.0,17100
3802,2025-08-06,22.3,22.3,21.5,22.1,25449
3801,2025-08-05,23.3,24.2,22.0,22.2,57202
3800,2025-08-04,23.32,23.41,23.13,23.32,17902
3799,2025-08-01,23.04,23.32,23.04,23.32,8910
3798,2025-07-31,23.13,23.23,22.95,23.13,15108
3797,2025-07-30,23.23,23.23,22.86,22.86,7800
3796,2025-07-29,23.23,23.23,22.77,22.86,21408
3795,2025-07-28,23.5,23.78,22.86,22.86,44451
3794,2025-07-25,22.58,23.41,22.58,23.13,63483
3793,2025-07-24,22.21,22.49,22.03,22.49,39508
3792,2025-07-23,22.03,22.12,22.03,22.12,23500
3791,2025-07-22,22.12,22.12,21.84,22.03,7800
3790,2025-07-21,22.12,22.12,21.94,22.03,21050
3789,2025-07-18,22.58,23.04,22.03,22.12,61405
