,Date,Open,High,Low,Close
1969,2025-10-17,6.0,6.4,6.0,6.2
1968,2025-10-16,6.5,6.9,6.0,6.0
1967,2025-10-15,6.6,6.8,6.5,6.5
1966,2025-10-14,6.8,7.4,6.8,7.0
1965,2025-10-13,7.0,7.0,7.0,7.0
1964,2025-10-10,7.1,7.3,7.1,7.2
1963,2025-10-09,7.2,7.4,7.0,7.4
1962,2025-10-08,7.2,7.3,7.0,7.0
1961,2025-10-07,7.0,7.3,6.9,7.2
1960,2025-10-06,7.2,7.2,7.0,7.0
1959,2025-10-03,7.4,7.4,7.1,7.1
1958,2025-10-02,7.4,7.7,7.3,7.3
1957,2025-10-01,7.1,7.6,7.1,7.5
1956,2025-09-30,7.2,7.3,6.9,7.1
1955,2025-09-29,6.7,7.5,6.7,7.5
1954,2025-09-26,6.8,6.9,6.5,6.5
1953,2025-09-25,7.0,7.0,6.7,6.7
1952,2025-09-24,6.3,6.7,6.3,6.7
1951,2025-09-23,6.7,6.8,6.4,6.4
1950,2025-09-22,6.2,6.6,6.2,6.6
1949,2025-09-19,6.2,6.5,6.0,6.5
1948,2025-09-18,6.7,6.7,6.7,6.7
1947,2025-09-17,6.7,6.7,6.7,6.7
1946,2025-09-16,6.6,6.6,6.2,6.5
1945,2025-09-15,6.7,6.8,6.4,6.6
1944,2025-09-12,7.1,7.1,6.6,7.0
1943,2025-09-11,6.6,6.9,6.6,6.9
1942,2025-09-10,6.5,7.3,6.5,7.2
1941,2025-09-09,6.9,6.9,6.3,6.8
1940,2025-09-08,6.8,7.0,5.9,7.0
1939,2025-09-05,6.7,7.1,6.7,7.1
1938,2025-09-04,6.9,7.1,6.7,7.1
1937,2025-09-03,6.8,6.9,6.8,6.9
1936,2025-08-29,6.8,7.0,6.8,6.9
1935,2025-08-28,7.0,7.1,6.8,7.0
1934,2025-08-27,7.2,7.5,7.1,7.1
1933,2025-08-26,7.1,7.6,7.1,7.5
1932,2025-08-25,7.3,7.9,7.3,7.6
1931,2025-08-22,7.5,7.5,7.1,7.3
1930,2025-08-21,7.5,7.5,7.2,7.2
1929,2025-08-20,8.0,8.1,7.3,7.6
1928,2025-08-19,7.8,8.5,7.4,7.6
1927,2025-08-18,7.3,7.7,7.3,7.6
1926,2025-08-15,7.0,7.4,6.9,7.2
1925,2025-08-14,7.0,7.0,7.0,7.0
1924,2025-08-13,7.2,7.2,6.9,7.0
1923,2025-08-12,7.2,7.2,6.8,6.9
1922,2025-08-11,7.2,7.3,7.0,7.1
1921,2025-08-08,7.1,7.2,7.0,7.0
1920,2025-08-07,7.1,7.2,7.0,7.1
1919,2025-08-06,7.3,7.3,7.0,7.1
1918,2025-08-05,6.9,7.4,6.8,7.0
1917,2025-08-04,6.5,6.9,6.3,6.7
1916,2025-08-01,6.8,6.8,6.5,6.5
1915,2025-07-31,7.0,7.0,6.6,6.6
1914,2025-07-30,6.6,6.6,6.3,6.4
1913,2025-07-29,7.0,7.0,6.4,6.4
1912,2025-07-28,6.1,7.0,6.1,6.7
1911,2025-07-25,5.8,6.5,5.8,6.3
1910,2025-07-24,5.7,6.0,5.6,5.9
1909,2025-07-23,5.5,6.0,5.5,5.8
1908,2025-07-22,4.9,5.5,4.9,5.5
1907,2025-07-21,4.8,4.9,4.8,4.8
1906,2025-07-18,4.9,5.0,4.8,4.8
1905,2025-07-17,4.8,4.9,4.8,4.8
1904,2025-07-16,5.0,5.0,4.8,4.8
1903,2025-07-15,4.8,5.0,4.8,4.9
1902,2025-07-14,4.9,4.9,4.8,4.8
1901,2025-07-11,4.7,4.9,4.7,4.9
1900,2025-07-10,4.6,4.8,4.6,4.7
1899,2025-07-09,4.7,4.7,4.6,4.7
1898,2025-07-08,4.3,4.6,4.3,4.5
1897,2025-07-07,4.2,4.2,4.1,4.1
1896,2025-07-04,4.2,4.2,4.2,4.2
1895,2025-07-03,4.1,4.2,4.0,4.2
1894,2025-07-02,4.2,4.2,4.0,4.1
1893,2025-07-01,4.2,4.2,4.2,4.2
1892,2025-06-30,4.3,4.3,4.2,4.3
1891,2025-06-27,4.3,4.4,4.2,4.2
1890,2025-06-26,4.4,4.4,4.4,4.4
1889,2025-06-25,4.5,4.5,4.4,4.4
1888,2025-06-24,4.5,4.7,4.3,4.3
1887,2025-06-23,4.4,4.4,4.4,4.4
1886,2025-06-20,4.4,4.5,4.4,4.5
1885,2025-06-19,4.4,4.5,4.4,4.4
1884,2025-06-18,4.4,4.4,4.4,4.4
1883,2025-06-17,4.4,4.5,4.4,4.5
1882,2025-06-16,4.5,4.5,4.4,4.4
1881,2025-06-13,4.5,4.5,4.5,4.5
1880,2025-06-12,4.6,4.6,4.5,4.5
1879,2025-06-11,4.6,4.7,4.5,4.5
1878,2025-06-10,4.6,4.6,4.6,4.6
1877,2025-06-09,4.7,4.7,4.6,4.6
1876,2025-06-06,4.5,4.7,4.5,4.7
1875,2025-06-05,4.6,4.6,4.5,4.6
1874,2025-06-04,4.8,4.8,4.5,4.5
1873,2025-06-03,4.6,4.6,4.6,4.6
1872,2025-06-02,4.7,4.7,4.6,4.6
1871,2025-05-30,4.6,4.7,4.0,4.6
1870,2025-05-29,4.6,4.7,4.6,4.7
1869,2025-05-28,4.7,4.7,4.7,4.7
1868,2025-05-27,4.7,4.7,4.7,4.7
1867,2025-05-26,4.7,4.8,4.7,4.7
1866,2025-05-23,4.8,4.8,4.7,4.8
1865,2025-05-22,4.7,4.8,4.7,4.8
1864,2025-05-21,4.8,4.8,4.8,4.8
1863,2025-05-20,4.8,4.9,4.7,4.8
1862,2025-05-19,4.7,4.8,4.7,4.8
1861,2025-05-16,4.8,4.9,4.6,4.9
1860,2025-05-15,4.8,4.9,4.8,4.9
1859,2025-05-14,4.7,5.1,4.7,4.9
1858,2025-05-13,4.9,4.9,4.7,4.7
1857,2025-05-12,4.7,4.9,4.5,4.8
1856,2025-05-09,4.6,4.8,4.6,4.7
1855,2025-05-08,4.6,4.7,4.5,4.7
1854,2025-05-07,4.7,4.7,4.6,4.6
1853,2025-05-06,4.5,4.7,4.5,4.6
1852,2025-05-05,4.2,4.7,4.2,4.6
1851,2025-04-29,4.0,4.2,4.0,4.1
1850,2025-04-28,4.0,4.0,4.0,4.0
1849,2025-04-25,3.9,4.0,3.9,3.9
1848,2025-04-24,4.0,4.1,3.9,4.0
1847,2025-04-23,4.0,4.0,3.9,4.0
1846,2025-04-22,4.0,4.0,3.8,3.8
1845,2025-04-21,4.0,4.0,4.0,4.0
1844,2025-04-18,3.9,4.0,3.9,3.9
1843,2025-04-17,3.9,3.9,3.9,3.9
1842,2025-04-16,3.9,4.0,3.9,4.0
1841,2025-04-15,4.0,4.1,4.0,4.1
1840,2025-04-14,4.0,4.1,4.0,4.0
1839,2025-04-11,3.8,3.9,3.8,3.9
1838,2025-04-10,4.2,4.2,3.9,4.0
1837,2025-04-09,3.8,3.8,3.6,3.6
1836,2025-04-08,3.8,3.8,3.7,3.7
1835,2025-04-04,3.6,3.9,3.6,3.8
1834,2025-04-03,3.9,3.9,3.7,3.8
1833,2025-04-02,3.9,4.0,3.9,4.0
1832,2025-04-01,4.0,4.0,3.9,4.0
1831,2025-03-31,3.9,4.0,3.9,3.9
1830,2025-03-28,4.0,4.1,3.9,4.0
1829,2025-03-27,4.1,4.1,3.9,4.0
1828,2025-03-26,4.0,4.0,4.0,4.0
1827,2025-03-25,4.0,4.0,3.9,3.9
1826,2025-03-24,4.0,4.1,4.0,4.1
1825,2025-03-21,3.9,4.1,3.9,4.1
1824,2025-03-20,4.0,4.2,4.0,4.0
1823,2025-03-19,4.2,4.2,4.0,4.1
1822,2025-03-18,4.1,4.2,4.1,4.1
1821,2025-03-17,4.0,4.0,3.9,4.0
1820,2025-03-14,4.2,4.2,4.0,4.0
1819,2025-03-13,4.2,4.2,4.1,4.1
1818,2025-03-12,4.1,4.2,4.1,4.2
1817,2025-03-11,4.2,4.2,4.1,4.2
1816,2025-03-10,4.3,4.4,4.2,4.3
1815,2025-03-07,4.3,4.3,4.3,4.3
1814,2025-03-06,4.3,4.3,4.2,4.2
1813,2025-03-05,4.2,4.3,4.2,4.3
1812,2025-03-04,4.3,4.4,4.2,4.2
1811,2025-03-03,4.2,4.3,4.2,4.2
1810,2025-02-28,4.4,4.4,4.2,4.2
1809,2025-02-27,4.0,4.4,4.0,4.4
1808,2025-02-26,4.1,4.2,4.0,4.2
1807,2025-02-25,4.2,4.3,4.1,4.3
1806,2025-02-24,4.4,4.5,4.2,4.3
1805,2025-02-21,4.5,4.5,4.4,4.4
1804,2025-02-20,4.6,4.6,4.4,4.4
1803,2025-02-19,4.5,4.6,4.3,4.5
1802,2025-02-18,3.9,4.4,3.9,4.4
1801,2025-02-17,4.5,4.5,4.4,4.5
1800,2025-02-14,4.7,4.8,4.5,4.5
1799,2025-02-13,4.5,4.5,4.4,4.5
1798,2025-02-12,4.5,4.5,4.4,4.5
1797,2025-02-11,4.5,4.6,4.5,4.6
1796,2025-02-10,4.5,4.5,4.4,4.5
1795,2025-02-07,4.5,4.6,4.5,4.6
1794,2025-02-06,4.6,4.6,4.6,4.6
1793,2025-02-05,4.3,4.7,4.3,4.7
1792,2025-02-04,4.5,4.6,4.5,4.6
1791,2025-02-03,4.7,4.7,4.6,4.6
1790,2025-01-24,4.5,4.6,4.3,4.6
1789,2025-01-23,4.5,4.5,4.5,4.5
1788,2025-01-22,4.5,4.5,4.3,4.5
1787,2025-01-21,4.5,4.5,4.5,4.5
1786,2025-01-20,4.4,4.5,4.3,4.4
1785,2025-01-17,4.4,4.5,4.4,4.5
1784,2025-01-16,4.4,4.8,4.4,4.6
1783,2025-01-15,4.1,4.3,4.1,4.2
1782,2025-01-14,4.3,4.4,4.2,4.3
1781,2025-01-13,4.3,4.3,4.3,4.3
1780,2025-01-10,4.3,4.3,4.3,4.3
1779,2025-01-09,4.4,4.4,4.2,4.2
1778,2025-01-08,4.5,4.5,4.3,4.4
1777,2025-01-07,4.8,4.8,4.5,4.5
1776,2025-01-06,4.6,4.6,4.6,4.6
1775,2025-01-03,4.8,4.8,4.5,4.5
1774,2025-01-02,4.7,4.7,4.6,4.7
1773,2024-12-31,4.7,4.7,4.6,4.6
1772,2024-12-30,4.7,4.7,4.5,4.7
1771,2024-12-27,4.7,4.8,4.6,4.8
1770,2024-12-26,4.6,4.8,4.5,4.8
1769,2024-12-25,4.6,4.6,4.6,4.6
1768,2024-12-24,4.6,4.6,4.5,4.5
1767,2024-12-23,4.6,4.8,4.5,4.7
1766,2024-12-20,4.8,4.8,4.6,4.6
1765,2024-12-19,4.7,4.7,4.5,4.6
1764,2024-12-18,4.1,4.9,4.1,4.8
1763,2024-12-17,4.8,4.9,4.7,4.9
1762,2024-12-16,4.5,4.7,4.5,4.7
1761,2024-12-13,4.8,4.8,4.5,4.5
1760,2024-12-12,5.0,5.0,4.5,4.8
1759,2024-12-11,5.0,5.1,4.9,5.1
1758,2024-12-10,5.1,5.1,4.8,5.0
1757,2024-12-09,4.3,5.0,4.3,5.0
1756,2024-12-06,4.4,4.6,4.3,4.5
1755,2024-12-05,4.0,4.6,4.0,4.3
1754,2024-12-04,4.0,4.0,4.0,4.0
1753,2024-12-03,4.0,4.0,3.9,3.9
1752,2024-12-02,4.0,4.1,4.0,4.0
1751,2024-11-29,4.0,4.1,4.0,4.1
1750,2024-11-28,4.0,4.0,4.0,4.0
1749,2024-11-27,3.9,4.1,3.9,4.0
1748,2024-11-26,4.0,4.0,3.9,4.0
1747,2024-11-25,4.0,4.0,4.0,4.0
1746,2024-11-22,4.0,4.0,3.9,4.0
1745,2024-11-21,4.0,4.1,4.0,4.1
1744,2024-11-20,4.6,4.6,3.9,3.9
1743,2024-11-19,4.0,4.0,4.0,4.0
1742,2024-11-18,3.9,4.0,3.9,4.0
1741,2024-11-15,4.0,4.1,3.9,4.1
1740,2024-11-14,3.9,4.0,3.9,4.0
1739,2024-11-13,4.1,4.1,4.0,4.0
1738,2024-11-12,4.0,4.0,4.0,4.0
1737,2024-11-11,4.1,4.1,3.9,4.0
1736,2024-11-08,4.0,4.0,4.0,4.0
1735,2024-11-07,4.1,4.1,3.9,3.9
1734,2024-11-06,4.3,4.3,4.0,4.0
1733,2024-11-05,3.9,4.0,3.9,4.0
1732,2024-11-04,4.0,4.0,3.9,4.0
1731,2024-11-01,4.1,4.1,4.0,4.1
1730,2024-10-31,4.0,4.1,4.0,4.1
1729,2024-10-30,4.0,4.1,4.0,4.1
1728,2024-10-29,4.2,4.2,4.0,4.0
1727,2024-10-28,4.0,4.0,4.0,4.0
1726,2024-10-25,3.9,4.1,3.9,4.1
1725,2024-10-24,4.0,4.0,3.9,4.0
1724,2024-10-23,4.1,4.1,4.0,4.0
1723,2024-10-22,4.0,4.0,4.0,4.0
1722,2024-10-21,4.3,4.3,3.7,3.9
1721,2024-10-18,4.5,4.5,4.3,4.3
1720,2024-10-17,4.5,4.5,4.3,4.3
1719,2024-10-16,4.3,4.4,4.3,4.4
1718,2024-10-15,4.3,4.3,4.2,4.2
1717,2024-10-14,4.4,4.5,4.3,4.3
1716,2024-10-11,4.4,4.5,4.4,4.5
1715,2024-10-10,4.5,4.5,4.4,4.4
1714,2024-10-09,4.6,4.7,4.5,4.5
1713,2024-10-08,4.7,4.7,4.5,4.7
1712,2024-10-07,4.62,4.62,4.53,4.53
1711,2024-10-04,4.62,4.62,4.43,4.53
1710,2024-10-03,4.34,4.62,4.34,4.62
1709,2024-10-02,4.43,4.43,4.43,4.43
1708,2024-10-01,4.43,4.43,4.34,4.34
1707,2024-09-30,4.53,4.53,4.43,4.43
1706,2024-09-27,4.43,4.53,4.43,4.53
1705,2024-09-26,4.62,4.62,4.43,4.43
1704,2024-09-25,4.43,4.53,4.43,4.53
1703,2024-09-24,4.34,4.43,4.34,4.34
1702,2024-09-23,4.43,4.43,4.34,4.34
1701,2024-09-20,4.43,4.43,4.34,4.43
1700,2024-09-19,4.53,4.53,4.43,4.43
1699,2024-09-18,4.62,4.72,3.87,4.53
1698,2024-09-17,4.62,4.62,4.53,4.62
1697,2024-09-16,4.72,4.72,4.53,4.53
1696,2024-09-13,4.72,4.81,4.62,4.72
1695,2024-09-12,4.62,4.72,4.62,4.72
1694,2024-09-11,4.72,4.72,4.62,4.72
1693,2024-09-10,4.72,4.81,4.72,4.72
1692,2024-09-09,4.53,4.81,4.53,4.72
1691,2024-09-06,4.53,4.62,4.43,4.62
1690,2024-09-05,4.62,4.72,4.43,4.53
1689,2024-09-04,4.72,4.72,4.62,4.62
1688,2024-08-30,4.62,4.81,4.53,4.72
1687,2024-08-29,4.72,4.81,4.62,4.62
1686,2024-08-28,4.72,4.81,4.62,4.81
1685,2024-08-27,4.72,4.81,4.62,4.72
1684,2024-08-26,4.72,4.81,4.62,4.72
1683,2024-08-23,4.72,4.72,4.62,4.72
1682,2024-08-22,4.72,4.81,4.43,4.72
1681,2024-08-21,4.34,4.72,4.34,4.72
1680,2024-08-20,4.43,4.53,4.34,4.34
1679,2024-08-19,4.34,4.43,4.25,4.34
1678,2024-08-16,4.34,4.34,4.15,4.34
1677,2024-08-15,4.06,4.34,4.06,4.34
1676,2024-08-14,4.15,4.15,4.06,4.06
1675,2024-08-13,3.96,4.25,3.96,4.15
1674,2024-08-12,3.96,3.96,3.87,3.87
1673,2024-08-09,4.06,4.06,3.96,3.96
1672,2024-08-08,4.34,4.34,4.06,4.06
1671,2024-08-07,4.34,4.34,4.06,4.06
1670,2024-08-06,4.25,4.43,4.25,4.25
1669,2024-08-05,4.43,4.53,4.15,4.15
1668,2024-08-02,3.87,4.43,3.77,4.43
1667,2024-08-01,3.96,3.96,3.87,3.96
1666,2024-07-31,4.15,4.15,3.68,3.96
1665,2024-07-30,4.25,4.25,3.87,4.15
1664,2024-07-29,4.43,4.91,3.77,4.06
1663,2024-07-26,4.34,4.43,4.25,4.43
1662,2024-07-25,4.62,4.62,4.53,4.53
1661,2024-07-24,4.34,4.81,4.34,4.43
1660,2024-07-23,4.34,4.43,4.25,4.25
1659,2024-07-22,4.43,4.43,4.34,4.34
1658,2024-07-19,4.53,4.53,4.34,4.43
1657,2024-07-18,4.53,4.53,4.43,4.53
1656,2024-07-17,4.53,4.62,4.53,4.53
1655,2024-07-16,4.53,4.53,4.43,4.53
1654,2024-07-15,4.53,4.53,4.53,4.53
1653,2024-07-12,4.62,4.72,4.53,4.53
1652,2024-07-11,4.53,4.62,4.43,4.53
1651,2024-07-10,4.53,4.62,4.53,4.53
1650,2024-07-09,4.62,4.62,4.62,4.62
1649,2024-07-08,4.62,4.62,4.53,4.53
1648,2024-07-05,4.81,4.81,4.53,4.62
1647,2024-07-04,4.72,4.81,4.72,4.81
1646,2024-07-03,4.72,4.72,4.62,4.72
1645,2024-07-02,4.72,4.72,4.62,4.62
1644,2024-07-01,4.62,4.62,4.53,4.62
1643,2024-06-28,4.62,4.72,4.62,4.62
1642,2024-06-27,4.62,4.72,4.53,4.62
1641,2024-06-26,4.72,4.72,4.53,4.53
1640,2024-06-25,4.72,4.72,4.43,4.62
1639,2024-06-24,4.43,4.62,4.34,4.53
1638,2024-06-21,4.72,4.72,4.43,4.53
1637,2024-06-20,4.62,4.72,4.62,4.62
1636,2024-06-19,4.72,4.81,4.62,4.81
1635,2024-06-18,4.72,4.81,4.72,4.72
1634,2024-06-17,4.72,4.81,4.72,4.72
1633,2024-06-14,4.81,4.81,4.72,4.72
1632,2024-06-13,4.81,4.91,4.62,4.81
1631,2024-06-12,4.81,4.81,4.72,4.81
1630,2024-06-11,4.81,4.91,4.72,4.72
1629,2024-06-10,4.81,4.91,4.81,4.81
1628,2024-06-07,4.81,4.91,4.81,4.81
1627,2024-06-06,4.91,4.91,4.72,4.81
1626,2024-06-05,5.09,5.28,4.72,4.81
1625,2024-06-04,5.09,5.09,4.91,4.91
1624,2024-06-03,4.91,5.0,4.91,4.91
1623,2024-05-31,4.81,5.0,4.72,4.72
1622,2024-05-30,5.0,5.0,4.91,5.0
1621,2024-05-29,5.0,5.09,5.0,5.0
1620,2024-05-28,5.0,5.0,4.91,4.91
1619,2024-05-27,5.19,5.19,4.91,5.0
1618,2024-05-24,5.09,5.19,5.0,5.09
1617,2024-05-23,5.09,5.47,5.09,5.09
1616,2024-05-22,5.0,5.09,4.91,5.0
1615,2024-05-21,5.19,5.19,5.0,5.0
1614,2024-05-20,5.09,5.09,5.0,5.0
1613,2024-05-17,5.19,5.19,5.09,5.09
1612,2024-05-16,5.19,5.38,5.19,5.19
1611,2024-05-15,5.19,5.19,5.09,5.19
1610,2024-05-14,5.28,5.28,5.0,5.19
1609,2024-05-13,5.38,5.38,5.19,5.28
1608,2024-05-10,5.38,5.38,5.28,5.28
1607,2024-05-09,5.47,5.57,5.38,5.38
1606,2024-05-08,5.57,5.57,5.38,5.57
1605,2024-05-07,5.66,5.75,5.47,5.57
1604,2024-05-06,5.38,5.75,5.38,5.66
1603,2024-05-03,5.47,5.47,5.28,5.38
1602,2024-05-02,5.28,5.38,5.28,5.38
1601,2024-04-26,5.28,5.38,5.28,5.28
1600,2024-04-25,5.38,5.47,5.28,5.47
1599,2024-04-24,5.28,5.57,5.28,5.38
1598,2024-04-23,5.19,5.38,5.19,5.28
1597,2024-04-22,4.81,5.28,4.81,5.28
1596,2024-04-19,5.0,5.09,4.34,5.0
1595,2024-04-17,5.09,5.19,5.0,5.09
1594,2024-04-16,5.19,5.19,4.91,5.09
1593,2024-04-15,5.28,5.47,5.19,5.19
1592,2024-04-12,5.19,5.47,5.19,5.47
1591,2024-04-11,5.47,5.47,5.19,5.28
1590,2024-04-10,5.0,5.38,5.0,5.38
1589,2024-04-09,5.09,5.19,5.0,5.09
