,Date,Open,High,Low,Close
1609,2025-10-17,26.45,26.45,26.0,26.0
1608,2025-10-16,25.8,26.0,25.8,26.0
1607,2025-10-15,26.0,26.0,26.0,26.0
1606,2025-10-14,26.2,26.2,26.0,26.0
1605,2025-10-13,26.5,26.9,26.0,26.05
1604,2025-10-10,26.15,26.5,26.0,26.5
1603,2025-10-09,26.7,26.7,26.7,26.7
1602,2025-10-08,26.85,26.85,26.85,26.85
1601,2025-10-07,26.2,26.9,26.2,26.9
1600,2025-10-06,26.2,27.0,26.2,27.0
1599,2025-10-03,26.05,26.05,26.05,26.05
1598,2025-10-02,26.0,26.05,26.0,26.05
1597,2025-10-01,26.3,26.4,26.25,26.4
1596,2025-09-30,26.3,26.4,26.3,26.3
1595,2025-09-29,26.3,26.5,26.15,26.5
1594,2025-09-26,26.3,26.7,26.2,26.7
1593,2025-09-25,26.5,26.7,26.5,26.6
1592,2025-09-24,26.3,26.5,26.3,26.5
1591,2025-09-23,26.3,26.3,26.25,26.25
1590,2025-09-22,26.8,27.0,26.1,27.0
1589,2025-09-19,26.9,26.9,26.75,26.75
1588,2025-09-18,26.9,27.0,26.9,26.9
1587,2025-09-17,27.0,27.0,27.0,27.0
1586,2025-09-16,26.75,27.0,26.75,27.0
1585,2025-09-15,27.1,27.15,26.75,26.75
1584,2025-09-12,26.5,26.7,26.5,26.7
1583,2025-09-11,26.6,26.6,26.55,26.6
1582,2025-09-10,27.0,27.0,26.55,26.6
1581,2025-09-09,26.9,27.0,26.9,27.0
1580,2025-09-08,26.9,27.0,26.85,26.9
1579,2025-09-05,27.0,27.0,26.9,26.9
1578,2025-09-04,27.0,27.1,26.95,26.95
1577,2025-09-03,27.1,27.15,27.0,27.0
1576,2025-08-29,27.1,27.5,27.1,27.15
1575,2025-08-28,27.55,27.55,27.0,27.5
1574,2025-08-27,27.39,27.53,27.39,27.53
1573,2025-08-26,27.3,27.68,27.3,27.39
1572,2025-08-25,27.06,27.53,26.87,27.06
1571,2025-08-22,27.25,27.34,27.06,27.15
1570,2025-08-21,27.68,27.68,27.63,27.68
1569,2025-08-20,28.01,28.01,27.68,27.68
1568,2025-08-19,27.63,27.91,27.63,27.91
1567,2025-08-18,27.63,28.2,27.63,27.63
1566,2025-08-15,28.01,28.01,27.49,27.53
1565,2025-08-14,28.1,28.1,27.82,28.01
1564,2025-08-13,27.63,27.82,27.34,27.82
1563,2025-08-12,27.72,28.01,27.53,27.58
1562,2025-08-11,26.77,27.82,26.77,27.63
1561,2025-08-08,27.25,27.44,26.58,27.34
1560,2025-08-07,27.53,27.53,26.63,27.25
1559,2025-08-06,27.34,27.44,27.34,27.34
1558,2025-08-05,26.58,27.53,26.44,27.34
1557,2025-08-04,27.34,27.34,26.11,26.44
1556,2025-08-01,27.06,27.06,26.58,26.58
1555,2025-07-31,26.92,27.06,26.49,26.58
1554,2025-07-30,27.06,27.15,26.87,26.87
1553,2025-07-29,27.25,27.34,26.96,27.06
1552,2025-07-28,27.34,27.82,27.15,27.34
1551,2025-07-25,26.35,27.06,26.35,27.06
1550,2025-07-24,26.3,26.3,26.2,26.2
1549,2025-07-23,26.3,26.35,26.3,26.3
1548,2025-07-22,26.11,26.3,26.01,26.11
1547,2025-07-21,26.16,26.16,26.01,26.11
1546,2025-07-18,26.2,26.25,26.11,26.11
1545,2025-07-17,26.2,26.2,26.2,26.2
1544,2025-07-16,26.2,26.35,26.2,26.2
1543,2025-07-15,25.92,26.11,25.92,26.11
1542,2025-07-14,26.39,26.39,25.63,26.2
1541,2025-07-11,25.82,26.3,25.82,26.3
1540,2025-07-10,26.54,26.54,26.01,26.01
1539,2025-07-09,26.58,26.58,26.11,26.44
1538,2025-07-08,26.11,26.49,26.11,26.49
1537,2025-07-07,26.11,26.11,26.06,26.11
1536,2025-07-04,26.11,26.2,26.11,26.11
1535,2025-07-03,26.35,26.35,25.92,26.06
1534,2025-07-02,26.49,26.58,26.35,26.35
1533,2025-07-01,26.01,26.49,26.01,26.49
1532,2025-06-30,25.73,26.58,25.73,26.49
1531,2025-06-27,25.63,26.11,25.44,26.11
1530,2025-06-26,25.63,25.63,25.63,25.63
1529,2025-06-25,25.63,25.82,25.63,25.63
1528,2025-06-24,26.01,26.01,25.4,25.97
1527,2025-06-23,25.92,26.3,25.63,26.01
1526,2025-06-20,25.82,26.58,25.63,26.58
1525,2025-06-19,25.82,25.82,25.82,25.82
1524,2025-06-18,25.35,25.82,25.35,25.82
1523,2025-06-17,25.63,25.63,25.25,25.44
1522,2025-06-16,26.11,26.11,25.44,25.44
1521,2025-06-13,26.2,26.2,26.11,26.11
1520,2025-06-12,26.39,26.39,26.2,26.2
1519,2025-06-11,26.49,26.49,26.39,26.39
1518,2025-06-10,26.58,26.58,26.58,26.58
1517,2025-06-09,27.06,27.06,27.06,27.06
1516,2025-06-06,27.15,27.15,26.92,27.06
1515,2025-06-05,27.15,27.15,27.15,27.15
1514,2025-06-04,26.73,26.73,26.68,26.68
1513,2025-06-03,27.63,27.63,27.63,27.63
1512,2025-06-02,26.77,27.72,26.77,27.72
1511,2025-05-30,26.77,26.77,26.77,26.77
1510,2025-05-29,26.96,26.96,26.96,26.96
1509,2025-05-28,27.72,27.72,26.63,26.87
1508,2025-05-27,26.73,26.96,26.73,26.87
1507,2025-05-26,26.87,26.87,26.68,26.68
1506,2025-05-23,26.77,26.77,26.58,26.58
1505,2025-05-22,26.87,26.87,26.87,26.87
1504,2025-05-21,27.72,27.72,26.58,26.58
1503,2025-05-20,26.58,26.63,26.58,26.58
1502,2025-05-19,26.68,26.68,25.73,26.3
1501,2025-05-16,26.58,27.3,26.58,27.3
1500,2025-05-15,26.82,27.44,26.82,27.15
1499,2025-05-14,27.06,27.25,26.77,26.77
1498,2025-05-13,26.58,27.25,26.58,26.77
1497,2025-05-12,26.63,26.63,26.63,26.63
1496,2025-05-09,25.92,27.53,25.92,26.58
1495,2025-05-08,27.53,27.53,27.53,27.53
1494,2025-05-07,27.53,27.53,27.53,27.53
1493,2025-05-06,27.63,28.01,27.53,27.53
1492,2025-05-05,26.58,27.53,26.3,27.44
1491,2025-04-29,27.25,27.25,27.25,27.25
1490,2025-04-28,26.39,27.25,26.39,27.25
1489,2025-04-25,26.49,26.49,26.25,26.25
1488,2025-04-24,26.49,26.49,26.11,26.49
1487,2025-04-23,26.68,26.77,26.49,26.49
1486,2025-04-22,25.73,26.3,25.63,26.3
1485,2025-04-21,26.58,26.58,25.73,26.58
1484,2025-04-18,26.58,26.58,25.82,26.58
1483,2025-04-17,25.92,26.58,25.92,26.49
1482,2025-04-16,27.53,27.53,26.49,26.49
1481,2025-04-15,26.54,26.54,26.49,26.49
1480,2025-04-14,26.77,28.01,26.58,26.58
1479,2025-04-11,26.3,26.3,25.63,26.3
1478,2025-04-10,26.3,26.3,26.3,26.3
1477,2025-04-09,24.21,25.02,24.21,24.59
1476,2025-04-08,24.4,25.54,24.16,25.16
1475,2025-04-04,24.68,25.63,24.64,25.63
1474,2025-04-03,27.06,27.06,26.49,26.49
1473,2025-04-02,28.01,29.29,27.53,28.43
1472,2025-04-01,29.34,29.34,28.01,28.96
1471,2025-03-31,28.96,28.96,28.48,28.48
1470,2025-03-28,29.38,29.43,29.24,29.24
1469,2025-03-27,28.48,28.48,28.29,28.48
1468,2025-03-26,29.43,29.43,28.29,28.29
1467,2025-03-25,28.48,28.48,28.01,28.24
1466,2025-03-24,29.1,29.1,28.1,28.48
1465,2025-03-21,29.05,29.1,28.91,29.1
1464,2025-03-20,29.48,29.91,29.1,29.1
1463,2025-03-19,30.86,30.86,29.43,30.29
1462,2025-03-18,30.0,31.14,28.96,30.95
1461,2025-03-17,31.33,31.33,29.43,29.91
1460,2025-03-14,31.8,31.8,31.14,31.33
1459,2025-03-13,31.9,32.09,31.8,31.8
1458,2025-03-12,31.95,32.09,31.8,32.09
1457,2025-03-11,31.38,32.66,31.38,32.28
1456,2025-03-10,31.14,32.52,31.14,32.47
1455,2025-03-07,31.0,32.85,31.0,32.52
1454,2025-03-06,33.13,33.13,31.8,32.61
1453,2025-03-05,30.38,31.66,30.38,31.62
1452,2025-03-04,30.45,30.45,30.0,30.45
1451,2025-03-03,29.47,30.23,29.47,30.0
1450,2025-02-28,28.71,29.55,28.71,29.47
1449,2025-02-27,28.86,28.94,28.71,28.71
1448,2025-02-26,29.09,29.09,29.05,29.05
1447,2025-02-25,29.09,29.43,29.05,29.43
1446,2025-02-24,28.34,29.17,28.26,29.05
1445,2025-02-21,27.47,28.03,27.47,28.0
1444,2025-02-20,28.52,28.52,27.84,27.88
1443,2025-02-19,27.69,28.52,27.69,28.52
1442,2025-02-18,28.75,28.75,28.75,28.75
1441,2025-02-17,27.96,28.75,27.96,28.75
1440,2025-02-14,28.56,28.71,28.11,28.68
1439,2025-02-13,27.81,28.6,27.81,28.56
1438,2025-02-12,27.66,28.6,27.66,28.6
1437,2025-02-11,28.56,28.56,28.18,28.18
1436,2025-02-10,28.71,28.71,27.69,27.81
1435,2025-02-07,29.55,29.55,29.32,29.32
1434,2025-02-06,27.73,29.09,27.73,28.71
1433,2025-02-05,26.41,27.35,26.41,27.24
1432,2025-02-04,26.45,26.45,26.37,26.37
1431,2025-02-03,25.39,27.05,23.95,26.37
1430,2025-01-24,25.69,25.69,25.54,25.69
1429,2025-01-23,25.31,26.07,25.31,26.07
1428,2025-01-22,25.31,25.65,25.31,25.46
1427,2025-01-21,25.54,25.54,25.39,25.39
1426,2025-01-20,25.01,25.31,25.01,25.31
