,Date,Open,High,Low,Close
3573,2025-10-14,52.8,52.8,52.8,52.8
3572,2025-08-29,54.5,54.6,54.5,54.6
3571,2025-07-08,39.1,39.1,38.9,38.9
3570,2025-06-16,45.7,45.7,45.7,45.7
3569,2025-06-12,39.8,39.8,39.8,39.8
3568,2025-03-13,66.2,66.2,66.2,66.2
3567,2025-03-12,57.6,57.6,57.6,57.6
3566,2024-12-06,57.6,57.6,57.6,57.6
3565,2024-11-26,50.1,50.1,50.1,50.1
3564,2024-11-21,57.7,57.7,57.7,57.7
3563,2024-11-14,57.8,57.8,57.8,57.8
3562,2024-11-12,68.0,68.0,68.0,68.0
3561,2024-11-08,80.0,80.0,80.0,80.0
3560,2024-11-07,65.8,75.5,65.8,75.5
3559,2024-11-05,65.8,65.8,65.8,65.8
3558,2024-11-04,57.3,57.3,57.3,57.3
3557,2024-11-01,49.9,49.9,49.9,49.9
3556,2024-10-31,43.4,43.4,43.4,43.4
3555,2024-10-28,37.8,37.8,37.8,37.8
3554,2024-10-24,32.9,32.9,32.9,32.9
3553,2024-09-06,23.5,23.5,23.5,23.5
3552,2024-08-20,36.9,36.9,36.9,36.9
3551,2024-08-19,36.9,36.9,36.9,36.9
3550,2024-08-16,36.9,36.9,36.9,36.9
3549,2024-08-15,36.9,36.9,36.9,36.9
3548,2024-08-14,36.9,36.9,36.9,36.9
3547,2024-08-13,36.9,36.9,36.9,36.9
3546,2024-08-12,36.9,36.9,36.9,36.9
3545,2024-08-09,36.9,36.9,36.9,36.9
3544,2024-08-08,36.9,36.9,36.9,36.9
3543,2024-08-07,36.9,36.9,36.9,36.9
3542,2024-08-06,36.9,36.9,36.9,36.9
3541,2024-08-05,36.9,36.9,36.9,36.9
3540,2024-08-02,36.9,36.9,36.9,36.9
3539,2024-08-01,36.9,36.9,36.9,36.9
3538,2024-07-31,36.9,36.9,36.9,36.9
3537,2024-07-30,36.9,36.9,36.9,36.9
3536,2024-07-29,36.9,36.9,36.9,36.9
3535,2024-07-26,36.9,36.9,36.9,36.9
3534,2024-07-25,36.9,36.9,36.9,36.9
3533,2024-07-24,36.9,36.9,36.9,36.9
3532,2024-07-23,36.9,36.9,36.9,36.9
3531,2024-07-22,36.9,36.9,36.9,36.9
3530,2024-07-19,36.9,36.9,36.9,36.9
3529,2024-07-18,36.9,36.9,36.9,36.9
3528,2024-07-17,36.9,36.9,36.9,36.9
3527,2024-07-16,36.9,36.9,36.9,36.9
3526,2024-07-15,36.9,36.9,36.9,36.9
3525,2024-07-12,36.9,36.9,36.9,36.9
3524,2024-07-11,36.9,36.9,36.9,36.9
3523,2024-07-10,36.9,36.9,36.9,36.9
3522,2024-07-09,36.9,36.9,36.9,36.9
3521,2024-07-08,36.9,36.9,36.9,36.9
3520,2024-07-05,36.9,36.9,36.9,36.9
3519,2024-07-04,36.9,36.9,36.9,36.9
3518,2024-07-03,36.9,36.9,36.9,36.9
3517,2024-07-02,36.9,36.9,36.9,36.9
3516,2024-07-01,36.9,36.9,36.9,36.9
3515,2024-06-28,36.9,36.9,36.9,36.9
3514,2024-06-27,36.9,36.9,36.9,36.9
3513,2024-06-26,36.9,36.9,36.9,36.9
3512,2024-06-25,36.9,36.9,36.9,36.9
3511,2024-06-24,36.9,36.9,36.9,36.9
3510,2024-06-21,36.9,36.9,36.9,36.9
3509,2024-06-20,36.9,36.9,36.9,36.9
3508,2024-06-19,36.9,36.9,36.9,36.9
3507,2024-06-18,36.9,36.9,36.9,36.9
3506,2024-06-17,36.9,36.9,36.9,36.9
3505,2024-06-14,43.14,43.14,43.14,43.14
3504,2024-06-13,43.14,43.14,43.14,43.14
3503,2024-06-12,43.14,43.14,43.14,43.14
3502,2024-06-11,43.14,43.14,43.14,43.14
3501,2024-06-10,43.14,43.14,43.14,43.14
3500,2024-06-07,40.65,45.55,40.65,45.55
3499,2024-06-06,47.66,47.66,47.66,47.66
3498,2024-06-05,40.55,54.77,40.55,54.77
