,Date,Open,High,Low,Close
3450,2025-10-17,13.1,13.2,13.0,13.1
3449,2025-10-16,13.15,13.25,13.0,13.2
3448,2025-10-15,12.9,12.95,12.8,12.9
3447,2025-10-14,13.0,13.1,12.95,12.95
3446,2025-10-13,13.05,13.1,13.0,13.1
3445,2025-10-10,13.0,13.2,13.0,13.05
3444,2025-10-09,13.25,13.35,13.1,13.35
3443,2025-10-08,13.4,13.4,13.1,13.25
3442,2025-10-07,13.4,13.4,13.05,13.4
3441,2025-10-06,13.3,13.5,13.05,13.5
3440,2025-10-03,13.1,13.2,13.0,13.2
3439,2025-10-02,13.0,13.3,13.0,13.2
3438,2025-10-01,13.1,13.25,12.95,13.25
3437,2025-09-30,13.3,13.3,13.05,13.1
3436,2025-09-29,13.1,13.25,13.1,13.15
3435,2025-09-26,13.25,13.45,13.2,13.25
3434,2025-09-25,13.3,13.35,13.25,13.35
3433,2025-09-24,13.3,13.3,13.25,13.3
3432,2025-09-23,13.4,13.4,13.05,13.3
3431,2025-09-22,13.5,13.5,13.35,13.5
3430,2025-09-19,13.75,13.75,13.0,13.55
3429,2025-09-18,13.75,13.8,13.6,13.8
3428,2025-09-17,13.7,13.8,13.7,13.8
3427,2025-09-16,13.8,13.9,13.7,13.75
3426,2025-09-15,13.6,13.85,13.6,13.8
3425,2025-09-12,13.5,13.6,13.5,13.6
3424,2025-09-11,13.55,13.55,13.2,13.5
3423,2025-09-10,13.2,13.55,13.2,13.55
3422,2025-09-09,13.2,13.35,13.1,13.25
3421,2025-09-08,13.5,13.6,13.0,13.2
3420,2025-09-05,13.6,13.8,13.5,13.6
3419,2025-09-04,13.65,13.8,13.5,13.5
3418,2025-09-03,13.75,13.75,13.65,13.65
3417,2025-08-29,13.7,13.8,13.65,13.75
3416,2025-08-28,13.55,13.8,13.55,13.7
3415,2025-08-27,13.5,13.6,13.5,13.55
3414,2025-08-26,13.6,13.6,13.55,13.6
3413,2025-08-25,13.55,13.7,13.4,13.6
3412,2025-08-22,13.7,13.7,13.5,13.55
3411,2025-08-21,13.8,13.8,13.6,13.7
3410,2025-08-20,13.65,13.8,13.6,13.8
3409,2025-08-19,13.65,13.8,13.65,13.65
3408,2025-08-18,13.5,13.65,13.5,13.65
3407,2025-08-15,13.8,13.8,13.55,13.55
3406,2025-08-14,13.95,14.05,13.8,13.8
3405,2025-08-13,13.9,13.95,13.6,13.95
3404,2025-08-12,13.85,13.9,13.8,13.9
3403,2025-08-11,13.85,14.05,13.85,13.85
3402,2025-08-08,14.1,14.1,13.8,13.85
3401,2025-08-07,14.5,14.5,13.9,14.1
3400,2025-08-06,13.46,14.16,13.41,14.16
3399,2025-08-05,13.97,13.97,13.18,13.41
3398,2025-08-04,14.58,14.58,13.74,13.97
3397,2025-08-01,13.32,14.3,13.32,14.02
3396,2025-07-31,13.32,13.36,12.94,13.36
3395,2025-07-30,13.41,13.41,13.08,13.32
3394,2025-07-29,13.55,13.74,13.08,13.08
3393,2025-07-28,13.36,13.83,13.36,13.41
3392,2025-07-25,13.08,13.18,12.99,13.18
3391,2025-07-24,12.94,13.27,12.94,13.08
3390,2025-07-23,12.9,13.04,12.9,12.94
3389,2025-07-22,12.99,13.08,12.9,12.9
3388,2025-07-21,12.9,13.04,12.9,13.04
3387,2025-07-18,13.04,13.08,12.94,13.08
3386,2025-07-17,12.99,13.08,12.94,13.04
3385,2025-07-16,13.08,13.08,12.94,12.99
3384,2025-07-15,12.8,13.04,12.8,13.04
3383,2025-07-14,12.8,12.9,12.8,12.9
3382,2025-07-11,12.66,12.99,12.66,12.99
3381,2025-07-10,12.9,12.99,12.9,12.9
3380,2025-07-09,12.99,12.99,12.9,12.9
3379,2025-07-08,12.99,13.04,12.99,13.04
3378,2025-07-07,12.99,13.04,12.94,12.99
3377,2025-07-04,12.57,12.99,12.57,12.9
3376,2025-07-03,12.94,12.99,12.57,12.57
3375,2025-07-02,13.04,13.04,12.94,12.99
3374,2025-07-01,12.99,13.08,12.9,12.94
3373,2025-06-30,12.99,13.13,12.15,13.08
3372,2025-06-27,12.9,12.99,12.9,12.94
