,Date,Open,High,Low,Close
3949,2025-10-17,37.3,37.35,36.0,36.0
3948,2025-10-16,35.5,37.05,35.5,37.0
3947,2025-10-15,35.6,35.85,34.35,34.95
3946,2025-10-14,37.15,37.15,35.5,35.5
3945,2025-10-13,35.1,37.25,35.1,36.7
3944,2025-10-10,35.45,36.1,35.2,35.7
3943,2025-10-09,35.4,35.7,34.85,34.95
3942,2025-10-08,35.65,35.9,34.8,35.25
3941,2025-10-07,36.3,36.45,35.0,35.0
3940,2025-10-06,34.9,36.75,34.9,36.0
3939,2025-10-03,34.75,35.5,34.2,34.65
3938,2025-10-02,36.75,36.75,35.0,35.0
3937,2025-10-01,36.15,36.8,36.1,36.35
3936,2025-09-30,37.35,37.35,35.95,36.1
3935,2025-09-29,37.5,37.7,37.3,37.3
3934,2025-09-26,37.0,38.5,36.7,37.6
3933,2025-09-25,37.5,38.15,36.9,36.9
3932,2025-09-24,36.4,37.2,35.95,37.1
3931,2025-09-23,36.9,37.0,36.15,36.6
3930,2025-09-22,36.5,37.2,35.9,36.9
3929,2025-09-19,37.25,37.4,36.1,36.1
3928,2025-09-18,36.7,37.5,36.55,36.7
3927,2025-09-17,38.0,38.25,36.6,36.6
3926,2025-09-16,39.45,39.5,38.0,38.0
3925,2025-09-15,39.1,40.3,38.9,39.2
3924,2025-09-12,38.5,39.95,38.4,38.85
3923,2025-09-11,37.5,38.85,36.0,38.3
3922,2025-09-10,39.0,39.0,37.6,37.8
3921,2025-09-09,39.1,39.25,37.7,38.35
3920,2025-09-08,41.7,41.8,39.0,39.0
3919,2025-09-05,40.8,43.1,40.4,41.15
3918,2025-09-04,40.0,41.25,39.65,40.3
3917,2025-09-03,39.6,41.85,39.55,39.6
3916,2025-08-29,41.0,41.0,39.6,39.65
3915,2025-08-28,39.4,40.55,38.8,40.3
3914,2025-08-27,40.4,40.4,39.3,39.3
3913,2025-08-26,38.1,40.0,37.5,39.95
3912,2025-08-25,42.3,42.3,38.05,38.65
3911,2025-08-22,39.0,41.85,38.5,40.8
3910,2025-08-21,41.85,42.0,39.7,39.75
3909,2025-08-20,40.05,40.1,37.5,40.1
3908,2025-08-19,37.5,37.5,37.5,37.5
3907,2025-08-18,32.8,35.05,32.65,35.05
3906,2025-08-15,33.8,33.95,32.0,32.8
3905,2025-08-14,33.8,34.1,33.2,33.55
3904,2025-08-13,33.7,34.85,33.55,33.8
3903,2025-08-12,33.5,33.75,32.95,33.55
3902,2025-08-11,33.25,34.2,32.95,33.45
3901,2025-08-08,34.1,34.1,32.85,33.25
3900,2025-08-07,34.5,34.5,33.4,33.95
3899,2025-08-06,33.0,33.45,32.4,33.15
3898,2025-08-05,31.95,33.75,30.3,32.45
3897,2025-08-04,31.5,31.85,30.9,31.55
3896,2025-08-01,32.0,32.25,31.0,31.5
3895,2025-07-31,30.5,31.7,29.95,31.65
3894,2025-07-30,29.6,29.95,28.9,29.65
3893,2025-07-29,30.9,30.9,29.0,29.0
3892,2025-07-28,29.5,30.1,29.2,29.95
3891,2025-07-25,28.5,29.25,28.4,29.2
3890,2025-07-24,28.7,28.8,28.2,28.45
3889,2025-07-23,28.55,29.0,28.4,28.45
3888,2025-07-22,28.15,28.6,28.1,28.45
3887,2025-07-21,28.7,28.75,28.15,28.35
3886,2025-07-18,28.6,28.7,28.25,28.45
