,Date,Open,High,Low,Close
4948,2025-10-17,52.1,52.2,51.5,52.0
4947,2025-10-16,52.1,52.1,51.5,52.1
4946,2025-10-15,51.8,52.0,51.1,52.0
4945,2025-10-14,52.1,52.1,51.3,51.7
4944,2025-10-13,51.5,52.0,51.0,52.0
4943,2025-10-10,52.8,52.8,52.1,52.1
4942,2025-10-09,52.8,52.8,52.4,52.7
4941,2025-10-08,52.6,52.8,52.2,52.8
4940,2025-10-07,52.8,52.8,52.2,52.6
4939,2025-10-06,52.1,52.8,51.7,52.8
4938,2025-10-03,52.3,52.4,51.5,52.4
4937,2025-10-02,52.4,52.4,49.6,52.4
4936,2025-10-01,51.7,52.5,49.2,52.5
4935,2025-09-30,51.4,51.7,50.8,51.7
4934,2025-09-29,52.4,52.4,51.2,51.2
4933,2025-09-26,52.2,52.8,51.7,52.4
4932,2025-09-25,51.6,52.5,51.2,52.5
4931,2025-09-24,50.9,51.9,50.0,51.9
4930,2025-09-23,50.9,51.1,49.85,50.5
4929,2025-09-22,51.8,51.9,50.1,50.5
4928,2025-09-19,51.9,52.0,50.8,52.0
4927,2025-09-18,52.1,54.5,51.0,51.8
4926,2025-09-17,53.8,54.3,52.1,52.1
4925,2025-09-16,54.8,54.8,53.5,53.5
4924,2025-09-15,54.0,54.7,54.0,54.6
4923,2025-09-12,54.0,54.2,53.6,54.2
4922,2025-09-11,54.2,54.2,53.6,54.1
4921,2025-09-10,54.2,54.2,53.5,54.1
4920,2025-09-09,54.3,54.3,53.7,53.7
4919,2025-09-08,54.1,54.5,53.9,54.4
4918,2025-09-05,54.8,54.8,54.3,54.5
4917,2025-09-04,53.8,54.7,53.5,54.7
4916,2025-09-03,53.9,54.0,53.5,53.8
4915,2025-08-29,53.8,53.9,53.4,53.9
4914,2025-08-28,53.9,53.9,53.4,53.8
4913,2025-08-27,54.0,54.1,53.4,53.9
4912,2025-08-26,54.0,54.3,53.0,54.3
4911,2025-08-25,53.5,53.8,53.0,53.5
4910,2025-08-22,54.0,54.4,53.1,53.5
4909,2025-08-21,53.6,54.0,53.3,54.0
4908,2025-08-20,54.8,54.8,53.8,53.9
4907,2025-08-19,54.8,55.1,54.0,54.0
4906,2025-08-18,54.8,54.8,54.3,54.8
4905,2025-08-15,54.3,54.7,54.3,54.5
4904,2025-08-14,54.5,55.0,54.5,54.7
4903,2025-08-13,55.7,55.8,54.9,55.0
4902,2025-08-12,55.1,55.3,54.7,55.3
4901,2025-08-11,54.9,54.9,54.5,54.9
4900,2025-08-08,55.0,55.0,54.5,54.7
4899,2025-08-07,54.6,55.1,54.6,54.7
4898,2025-08-06,55.2,55.2,54.4,55.0
4897,2025-08-05,54.7,55.2,54.2,54.9
4896,2025-08-04,54.8,55.0,54.3,54.6
4895,2025-08-01,55.3,55.3,53.9,54.8
4894,2025-07-31,53.9,55.1,53.9,53.9
4893,2025-07-30,55.1,55.1,53.9,53.9
4892,2025-07-29,55.5,55.5,54.6,54.9
4891,2025-07-28,54.8,55.3,54.7,55.2
4890,2025-07-25,55.1,55.5,54.8,55.2
4889,2025-07-24,55.1,55.6,54.6,55.5
4888,2025-07-23,54.8,55.8,54.3,55.3
4887,2025-07-22,54.8,54.9,54.1,54.5
4886,2025-07-21,55.6,56.0,54.8,54.8
4885,2025-07-18,55.7,56.3,55.6,56.0
4884,2025-07-17,56.2,56.4,55.7,56.2
4883,2025-07-16,56.3,56.3,55.6,56.2
4882,2025-07-15,56.4,56.4,55.8,56.3
4881,2025-07-14,56.9,56.9,55.6,56.5
4880,2025-07-11,55.9,56.6,55.6,56.5
4879,2025-07-10,55.9,55.9,55.4,55.9
4878,2025-07-09,55.6,55.9,55.2,55.9
4877,2025-07-08,55.3,55.9,55.0,55.2
4876,2025-07-07,56.0,56.0,55.3,55.5
4875,2025-07-04,56.0,56.3,55.6,56.0
4874,2025-07-03,56.0,56.4,55.7,56.4
4873,2025-07-02,55.6,57.2,55.6,56.3
4872,2025-07-01,57.5,57.5,56.7,57.0
4871,2025-06-30,56.5,57.5,56.5,57.5
4870,2025-06-27,56.5,57.1,56.1,57.0
4869,2025-06-26,58.0,58.0,57.0,57.0
4868,2025-06-25,57.5,58.3,57.2,58.0
4867,2025-06-24,58.3,58.7,57.4,58.0
4866,2025-06-23,58.5,58.6,57.6,58.6
4865,2025-06-20,55.9,59.0,55.5,59.0
4864,2025-06-19,53.4,56.5,53.1,56.5
4863,2025-06-18,53.0,53.8,52.5,53.4
4862,2025-06-17,52.5,53.0,52.0,53.0
4861,2025-06-16,52.2,52.4,51.9,52.4
4860,2025-06-13,53.0,53.5,51.9,52.7
4859,2025-06-12,52.8,55.0,52.0,53.0
4858,2025-06-11,52.2,53.0,49.25,52.8
4857,2025-06-10,53.0,53.0,51.9,52.8
4856,2025-06-09,55.0,55.0,52.0,53.0
4855,2025-06-06,54.4,54.4,53.5,53.5
4854,2025-06-05,54.4,58.0,53.7,54.1
4853,2025-06-04,54.5,54.5,54.0,54.4
4852,2025-06-03,55.1,55.1,54.1,54.5
4851,2025-06-02,54.9,54.9,53.8,54.9
4850,2025-05-30,54.8,54.8,53.8,54.6
4849,2025-05-29,54.7,55.0,54.5,54.8
4848,2025-05-28,55.4,55.4,54.5,54.8
4847,2025-05-27,55.5,55.5,53.8,55.1
4846,2025-05-26,55.2,55.2,53.9,55.0
4845,2025-05-23,55.4,55.4,54.4,54.8
4844,2025-05-22,55.0,55.3,54.4,55.3
4843,2025-05-21,55.4,55.4,54.4,55.3
4842,2025-05-20,55.7,55.7,54.8,55.0
4841,2025-05-19,55.9,55.9,55.3,55.6
4840,2025-05-16,56.0,56.0,55.4,55.5
4839,2025-05-15,55.8,56.3,55.7,55.9
4838,2025-05-14,55.8,56.2,55.7,56.2
4837,2025-05-13,56.0,56.2,55.6,56.1
4836,2025-05-12,56.0,56.2,55.5,56.0
4835,2025-05-09,55.7,56.8,55.7,56.0
4834,2025-05-08,56.0,56.1,55.7,56.1
4833,2025-05-07,56.0,56.5,55.8,56.3
4832,2025-05-06,56.8,56.8,55.7,56.3
4831,2025-05-05,57.3,57.3,56.1,56.5
4830,2025-04-29,56.8,56.8,56.1,56.8
4829,2025-04-28,56.6,57.4,56.3,56.7
4828,2025-04-25,56.7,57.0,56.3,57.0
4827,2025-04-24,57.0,57.2,55.9,56.9
4826,2025-04-23,57.5,58.2,55.9,56.9
4825,2025-04-22,55.6,57.3,54.6,57.3
4824,2025-04-21,55.7,56.7,55.5,56.1
4823,2025-04-18,54.5,55.8,54.5,55.7
4822,2025-04-17,54.6,54.9,54.1,54.9
4821,2025-04-16,54.6,55.3,54.6,54.8
4820,2025-04-15,54.7,55.6,54.4,55.1
4819,2025-04-14,56.0,56.5,54.9,55.3
4818,2025-04-11,56.6,56.6,54.6,55.8
4817,2025-04-10,56.7,56.8,54.6,55.6
4816,2025-04-09,53.0,55.0,52.6,53.8
4815,2025-04-08,54.7,54.7,53.3,53.9
4814,2025-04-04,53.0,54.7,53.0,54.7
4813,2025-04-03,54.5,54.9,53.4,54.1
4812,2025-04-02,55.0,55.0,53.7,54.9
4811,2025-04-01,55.1,55.4,54.0,54.5
4810,2025-03-31,56.0,56.3,54.8,55.4
