,Date,Open,High,Low,Close
2247,2025-02-25,1.21,1.25,1.21,1.21
2246,2025-02-24,1.4,1.4,1.3,1.3
2245,2025-02-21,1.49,1.49,1.39,1.39
2244,2025-02-20,1.58,1.58,1.47,1.49
2243,2025-02-19,1.58,1.58,1.58,1.58
2242,2025-02-18,1.77,1.81,1.69,1.69
2241,2025-02-17,1.77,1.82,1.75,1.81
2240,2025-02-14,1.8,1.8,1.74,1.77
2239,2025-02-13,1.73,1.77,1.73,1.76
2238,2025-02-12,1.73,1.77,1.72,1.76
2237,2025-02-11,1.72,1.73,1.68,1.72
2236,2025-02-10,1.72,1.74,1.71,1.72
2235,2025-02-07,1.76,1.78,1.65,1.72
2234,2025-02-06,1.76,1.76,1.64,1.71
2233,2025-02-05,1.73,1.77,1.7,1.76
2232,2025-02-04,1.74,1.75,1.67,1.69
2231,2025-02-03,1.7,1.7,1.66,1.66
2230,2025-01-24,1.74,1.74,1.65,1.7
2229,2025-01-23,1.75,1.77,1.66,1.7
2228,2025-01-22,1.66,1.75,1.66,1.75
2227,2025-01-21,1.57,1.67,1.56,1.64
2226,2025-01-20,1.57,1.58,1.55,1.57
2225,2025-01-17,1.58,1.59,1.57,1.57
2224,2025-01-16,1.56,1.57,1.56,1.57
2223,2025-01-15,1.55,1.59,1.55,1.56
2222,2025-01-14,1.59,1.6,1.55,1.55
2221,2025-01-13,1.6,1.6,1.58,1.59
2220,2025-01-10,1.6,1.61,1.59,1.6
2219,2025-01-09,1.63,1.63,1.59,1.61
2218,2025-01-08,1.6,1.62,1.6,1.61
2217,2025-01-07,1.61,1.61,1.58,1.61
2216,2025-01-06,1.63,1.64,1.6,1.63
2215,2025-01-03,1.64,1.64,1.62,1.63
2214,2025-01-02,1.62,1.64,1.61,1.64
2213,2024-12-31,1.63,1.63,1.6,1.62
2212,2024-12-30,1.63,1.64,1.6,1.6
2211,2024-12-27,1.65,1.66,1.62,1.64
2210,2024-12-26,1.65,1.65,1.62,1.64
2209,2024-12-25,1.62,1.66,1.62,1.65
2208,2024-12-24,1.62,1.67,1.62,1.62
2207,2024-12-23,1.59,1.62,1.59,1.62
2206,2024-12-20,1.62,1.63,1.59,1.59
2205,2024-12-19,1.61,1.65,1.6,1.62
2204,2024-12-18,1.62,1.65,1.6,1.65
2203,2024-12-17,1.65,1.66,1.61,1.61
2202,2024-12-16,1.64,1.65,1.63,1.65
2201,2024-12-13,1.63,1.65,1.61,1.64
2200,2024-12-12,1.65,1.66,1.6,1.65
2199,2024-12-11,1.67,1.67,1.62,1.65
2198,2024-12-10,1.7,1.7,1.64,1.64
2197,2024-12-09,1.61,1.65,1.61,1.64
2196,2024-12-06,1.62,1.63,1.61,1.61
2195,2024-12-05,1.62,1.68,1.6,1.62
2194,2024-12-04,1.64,1.64,1.59,1.59
2193,2024-12-03,1.7,1.75,1.6,1.63
2192,2024-12-02,1.69,1.69,1.62,1.64
2191,2024-11-29,1.65,1.67,1.6,1.64
2190,2024-11-28,1.65,1.68,1.65,1.65
2189,2024-11-27,1.68,1.68,1.67,1.68
2188,2024-11-26,1.66,1.7,1.66,1.68
2187,2024-11-25,1.65,1.69,1.65,1.68
2186,2024-11-22,1.66,1.72,1.62,1.68
2185,2024-11-21,1.72,1.72,1.68,1.69
2184,2024-11-20,1.75,1.76,1.68,1.72
2183,2024-11-19,1.7,1.73,1.68,1.71
2182,2024-11-18,1.69,1.73,1.68,1.73
2181,2024-11-15,1.7,1.72,1.68,1.72
2180,2024-11-14,1.74,1.74,1.66,1.72
2179,2024-11-13,1.75,1.77,1.7,1.73
2178,2024-11-12,1.73,1.78,1.73,1.77
2177,2024-11-11,1.6,1.77,1.6,1.73
2176,2024-11-08,1.91,1.91,1.67,1.7
2175,2024-11-07,1.79,1.83,1.76,1.79
2174,2024-11-06,1.87,1.89,1.77,1.79
2173,2024-11-05,1.66,1.77,1.6,1.77
2172,2024-11-04,1.68,1.71,1.65,1.66
2171,2024-11-01,1.71,1.73,1.71,1.71
2170,2024-10-31,1.77,1.78,1.69,1.71
2169,2024-10-30,1.78,1.79,1.75,1.78
2168,2024-10-29,1.73,1.88,1.7,1.78
2167,2024-10-28,1.77,1.82,1.71,1.76
2166,2024-10-25,1.8,1.87,1.76,1.77
2165,2024-10-24,1.84,1.9,1.76,1.76
2164,2024-10-23,1.72,1.84,1.72,1.84
