,Date,Open,High,Low,Close
1902,2025-10-17,118.0,118.0,99.1,99.1
1901,2025-10-16,110.0,110.1,103.0,110.1
1900,2025-10-15,90.7,100.1,90.7,100.1
1899,2025-10-14,90.0,92.0,88.1,91.0
1898,2025-10-13,86.0,90.0,85.0,90.0
1897,2025-10-10,85.0,86.4,84.0,85.5
1896,2025-10-09,85.0,86.9,82.3,86.0
1895,2025-10-08,88.9,90.0,83.0,85.0
1894,2025-10-07,84.0,86.5,82.0,85.0
1893,2025-10-06,84.0,88.0,84.0,85.0
1892,2025-10-03,83.5,85.0,77.1,84.0
1891,2025-10-02,89.5,90.0,83.5,83.5
1890,2025-10-01,86.0,91.5,85.0,89.5
1889,2025-09-30,77.8,85.0,74.0,85.0
1888,2025-09-29,77.8,90.0,77.8,77.8
1887,2025-09-26,90.0,90.0,86.4,86.4
1886,2025-09-25,88.2,96.2,85.0,96.0
1885,2025-09-24,87.0,87.5,80.0,87.5
1884,2025-09-23,79.6,79.6,77.5,79.6
1883,2025-09-22,66.7,72.4,66.7,72.4
1882,2025-09-19,63.8,65.9,63.0,65.9
1881,2025-09-18,62.0,65.0,62.0,62.6
1880,2025-09-17,65.0,65.0,62.0,63.5
1879,2025-09-16,61.2,65.0,59.0,65.0
1878,2025-09-15,66.6,68.3,60.1,61.5
1877,2025-09-12,66.7,66.7,59.0,66.6
1876,2025-09-11,60.7,60.7,59.6,60.7
1875,2025-09-10,52.0,55.2,50.0,55.2
1874,2025-09-09,50.2,50.3,50.2,50.2
1873,2025-09-08,42.5,45.8,42.5,45.8
1872,2025-09-05,39.0,41.8,38.1,41.7
1871,2025-09-04,36.0,38.2,36.0,38.0
1870,2025-09-03,36.0,37.9,32.6,34.8
1869,2025-08-29,33.0,35.2,33.0,34.5
1868,2025-08-28,30.0,32.6,29.0,32.0
1867,2025-08-27,27.0,29.7,26.2,29.7
1866,2025-08-26,27.0,28.2,26.0,27.0
1865,2025-08-25,25.5,26.6,25.5,26.6
1864,2025-08-22,24.6,27.5,24.6,26.4
1863,2025-08-21,26.7,27.0,25.0,26.4
1862,2025-08-20,27.8,27.8,25.0,26.4
1861,2025-08-19,28.0,29.5,27.1,27.7
1860,2025-08-18,24.4,26.9,22.1,26.9
1859,2025-08-15,23.9,24.5,23.5,24.5
1858,2025-08-14,23.9,24.1,23.7,23.8
1857,2025-08-13,24.0,24.2,23.6,23.9
1856,2025-08-12,24.1,24.6,22.5,24.0
1855,2025-08-11,24.5,24.8,23.9,24.1
1854,2025-08-08,23.4,24.4,23.4,24.1
1853,2025-08-07,22.4,23.9,22.3,23.4
1852,2025-08-06,22.1,22.2,22.0,22.1
1851,2025-08-05,22.3,22.3,21.5,22.2
1850,2025-08-04,22.2,22.6,20.6,22.3
1849,2025-08-01,22.5,22.5,22.0,22.4
1848,2025-07-31,22.9,22.9,22.1,22.4
1847,2025-07-30,22.7,22.7,22.0,22.6
1846,2025-07-29,23.0,23.0,22.3,22.7
1845,2025-07-28,23.0,23.0,22.5,23.0
1844,2025-07-25,23.0,23.0,22.0,22.5
1843,2025-07-24,23.3,23.3,22.6,22.8
1842,2025-07-23,22.8,23.0,22.6,22.8
1841,2025-07-22,23.4,23.4,22.6,22.6
1840,2025-07-21,23.2,23.2,22.0,23.0
1839,2025-07-18,24.1,24.1,23.0,23.2
1838,2025-07-17,23.8,23.9,23.6,23.7
1837,2025-07-16,23.8,23.9,23.2,23.7
1836,2025-07-15,23.8,24.0,23.6,23.8
