,Date,Open,High,Low,Close
2547,2025-10-17,4.82,4.82,4.67,4.68
2546,2025-10-16,4.58,4.84,4.58,4.81
2545,2025-10-15,4.68,4.73,4.59,4.62
2544,2025-10-14,4.8,4.84,4.67,4.72
2543,2025-10-13,4.75,4.83,4.6,4.77
2542,2025-10-10,4.76,4.84,4.75,4.75
2541,2025-10-09,4.78,4.85,4.73,4.75
2540,2025-10-08,4.86,4.9,4.75,4.75
2539,2025-10-07,4.95,4.95,4.79,4.81
2538,2025-10-06,4.74,4.94,4.74,4.91
2537,2025-10-03,4.83,4.87,4.71,4.73
2536,2025-10-02,5.09,5.09,4.83,4.83
2535,2025-10-01,4.9,5.1,4.9,5.05
2534,2025-09-30,5.0,5.05,4.78,4.89
2533,2025-09-29,5.13,5.17,5.0,5.0
2532,2025-09-26,5.1,5.23,5.08,5.13
2531,2025-09-25,5.25,5.25,5.09,5.1
2530,2025-09-24,5.27,5.27,5.0,5.19
2529,2025-09-23,4.96,5.25,4.95,5.15
2528,2025-09-22,4.87,5.1,4.71,4.95
2527,2025-09-19,4.97,5.0,4.85,4.85
2526,2025-09-18,5.17,5.17,4.9,4.98
2525,2025-09-17,4.57,4.88,4.48,4.88
2524,2025-09-16,4.71,4.74,4.57,4.57
2523,2025-09-15,4.69,4.74,4.63,4.69
2522,2025-09-12,4.74,4.85,4.67,4.7
2521,2025-09-11,4.6,4.75,4.44,4.7
2520,2025-09-10,4.8,4.8,4.59,4.63
2519,2025-09-09,4.75,4.78,4.65,4.74
2518,2025-09-08,4.94,4.96,4.75,4.75
2517,2025-09-05,5.16,5.17,4.99,4.99
2516,2025-09-04,5.3,5.3,5.05,5.1
2515,2025-09-03,4.94,5.2,4.86,5.19
2514,2025-08-29,4.98,4.98,4.87,4.9
2513,2025-08-28,4.8,4.98,4.78,4.88
2512,2025-08-27,5.0,5.1,4.86,4.89
2511,2025-08-26,4.5,4.81,4.42,4.81
2510,2025-08-25,4.89,4.89,4.4,4.5
2509,2025-08-22,5.0,5.04,4.7,4.7
2508,2025-08-21,5.1,5.17,4.95,5.05
2507,2025-08-20,5.26,5.32,4.99,5.06
2506,2025-08-19,5.27,5.43,5.13,5.25
2505,2025-08-18,5.04,5.23,4.99,5.21
2504,2025-08-15,5.2,5.21,4.96,4.97
2503,2025-08-14,5.28,5.39,5.15,5.2
2502,2025-08-13,5.25,5.47,5.18,5.19
2501,2025-08-12,5.3,5.35,5.11,5.25
2500,2025-08-11,5.6,5.6,5.3,5.3
2499,2025-08-08,5.81,5.81,5.35,5.48
2498,2025-08-07,5.11,5.44,5.0,5.44
2497,2025-08-06,4.97,5.09,4.81,5.09
2496,2025-08-05,5.22,5.43,4.92,4.95
2495,2025-08-04,5.11,5.26,4.99,5.16
2494,2025-08-01,5.35,5.47,5.25,5.25
2493,2025-07-31,5.97,5.97,5.4,5.57
2492,2025-07-30,5.02,5.6,5.02,5.6
2491,2025-07-29,5.6,5.78,5.24,5.24
2490,2025-07-28,6.24,6.24,5.63,5.63
2489,2025-07-25,5.82,6.2,5.82,6.05
2488,2025-07-24,5.3,6.0,5.3,5.8
2487,2025-07-23,5.69,5.69,5.69,5.69
2486,2025-07-22,6.11,6.11,6.11,6.11
2485,2025-07-21,6.82,6.82,6.56,6.56
2484,2025-07-18,7.22,7.22,6.4,7.05
2483,2025-07-17,6.75,6.75,6.75,6.75
2482,2025-07-16,6.22,6.31,6.1,6.31
2481,2025-07-15,5.69,5.9,5.6,5.9
2480,2025-07-14,5.52,5.52,4.9,5.52
2479,2025-07-11,5.16,5.16,5.16,5.16
2478,2025-07-10,4.83,4.83,4.8,4.83
2477,2025-07-09,4.51,4.52,4.3,4.52
2476,2025-07-08,4.23,4.23,4.0,4.23
2475,2025-07-07,3.96,3.96,3.96,3.96
2474,2025-07-04,3.5,3.71,3.48,3.71
2473,2025-07-03,3.71,3.71,3.3,3.47
2472,2025-07-02,3.47,3.47,3.47,3.47
2471,2025-07-01,3.25,3.25,3.25,3.25
2470,2025-06-30,3.04,3.04,3.0,3.04
2469,2025-06-27,2.84,2.85,2.79,2.85
2468,2025-06-26,2.55,2.67,2.54,2.67
2467,2025-06-25,2.55,2.58,2.47,2.5
2466,2025-06-24,2.5,2.54,2.43,2.54
2465,2025-06-23,2.53,2.56,2.43,2.45
2464,2025-06-20,2.7,2.71,2.51,2.57
2463,2025-06-19,2.6,2.64,2.51,2.64
2462,2025-06-18,2.47,2.47,2.4,2.47
2461,2025-06-17,2.16,2.31,2.16,2.31
2460,2025-06-16,2.11,2.2,2.11,2.16
2459,2025-06-13,2.13,2.14,2.05,2.12
2458,2025-06-12,2.11,2.19,2.11,2.15
2457,2025-06-11,2.1,2.13,2.09,2.12
2456,2025-06-10,2.13,2.17,2.1,2.12
2455,2025-06-09,2.21,2.23,2.14,2.14
2454,2025-06-06,2.24,2.25,2.19,2.2
2453,2025-06-05,2.33,2.33,2.21,2.24
2452,2025-06-04,2.28,2.35,2.21,2.28
2451,2025-06-03,2.35,2.36,2.26,2.3
2450,2025-06-02,2.14,2.3,2.13,2.3
2449,2025-05-30,2.18,2.18,2.13,2.15
2448,2025-05-29,2.14,2.18,2.13,2.17
2447,2025-05-28,2.12,2.17,2.12,2.14
2446,2025-05-27,2.13,2.13,2.09,2.12
2445,2025-05-26,2.07,2.13,2.0,2.11
2444,2025-05-23,2.1,2.1,2.05,2.06
2443,2025-05-22,2.08,2.11,2.07,2.07
2442,2025-05-21,2.08,2.11,2.06,2.07
2441,2025-05-20,2.14,2.14,2.08,2.08
2440,2025-05-19,2.11,2.18,2.09,2.13
2439,2025-05-16,2.1,2.12,2.07,2.11
2438,2025-05-15,2.13,2.13,2.05,2.07
2437,2025-05-14,2.1,2.14,2.1,2.12
2436,2025-05-13,2.16,2.16,2.12,2.12
2435,2025-05-12,2.13,2.15,2.11,2.15
2434,2025-05-09,2.14,2.14,2.08,2.11
2433,2025-05-08,2.05,2.12,2.03,2.09
2432,2025-05-07,2.01,2.07,1.99,2.04
2431,2025-05-06,2.02,2.08,1.99,2.0
2430,2025-05-05,1.98,2.05,1.96,2.01
2429,2025-04-29,1.89,1.95,1.88,1.92
2428,2025-04-28,1.85,1.87,1.84,1.86
2427,2025-04-25,1.84,1.87,1.84,1.85
2426,2025-04-24,1.84,1.88,1.83,1.84
2425,2025-04-23,1.84,1.85,1.79,1.84
2424,2025-04-22,1.85,1.85,1.71,1.78
2423,2025-04-21,1.85,1.88,1.83,1.83
2422,2025-04-18,1.86,1.89,1.84,1.84
2421,2025-04-17,1.79,1.85,1.79,1.83
2420,2025-04-16,1.75,1.87,1.74,1.83
2419,2025-04-15,1.75,1.78,1.73,1.75
2418,2025-04-14,1.76,1.78,1.73,1.75
2417,2025-04-11,1.76,1.78,1.7,1.76
2416,2025-04-10,1.71,1.71,1.71,1.71
2415,2025-04-09,1.6,1.67,1.6,1.6
2414,2025-04-08,1.73,1.8,1.71,1.71
2413,2025-04-04,1.83,1.9,1.83,1.83
2412,2025-04-03,1.97,2.03,1.96,1.96
2411,2025-04-02,2.05,2.1,2.05,2.1
2410,2025-04-01,2.03,2.06,2.03,2.06
2409,2025-03-31,2.05,2.07,2.01,2.02
2408,2025-03-28,2.05,2.08,2.03,2.04
2407,2025-03-27,2.03,2.05,2.01,2.05
2406,2025-03-26,2.05,2.08,2.03,2.04
2405,2025-03-25,2.05,2.06,2.03,2.05
2404,2025-03-24,2.1,2.1,2.03,2.04
2403,2025-03-21,2.05,2.09,2.03,2.09
2402,2025-03-20,2.03,2.12,2.01,2.04
2401,2025-03-19,2.01,2.03,1.99,2.03
2400,2025-03-18,2.01,2.06,2.0,2.01
2399,2025-03-17,2.07,2.08,1.99,2.02
2398,2025-03-14,2.08,2.09,1.96,2.07
2397,2025-03-13,2.1,2.16,2.07,2.08
2396,2025-03-12,2.13,2.15,2.09,2.1
2395,2025-03-11,2.1,2.2,2.07,2.13
2394,2025-03-10,2.1,2.11,2.07,2.11
2393,2025-03-07,2.13,2.13,2.03,2.09
2392,2025-03-06,2.15,2.15,2.0,2.09
2391,2025-03-05,2.29,2.29,2.11,2.11
2390,2025-03-04,2.3,2.3,2.23,2.26
2389,2025-03-03,2.27,2.3,2.24,2.3
2388,2025-02-28,2.3,2.31,2.22,2.26
2387,2025-02-27,2.29,2.33,2.23,2.3
2386,2025-02-26,2.18,2.32,2.13,2.25
2385,2025-02-25,2.22,2.27,2.15,2.17
2384,2025-02-24,2.08,2.2,2.03,2.2
2383,2025-02-21,1.95,2.06,1.93,2.06
2382,2025-02-20,1.94,1.96,1.91,1.93
2381,2025-02-19,1.87,1.94,1.87,1.94
2380,2025-02-18,1.9,1.91,1.86,1.87
2379,2025-02-17,1.84,1.89,1.83,1.89
2378,2025-02-14,1.84,1.86,1.82,1.84
2377,2025-02-13,1.85,1.85,1.83,1.83
2376,2025-02-12,1.88,1.88,1.84,1.86
2375,2025-02-11,1.83,1.88,1.8,1.88
2374,2025-02-10,1.8,1.84,1.8,1.83
2373,2025-02-07,1.85,1.85,1.83,1.84
2372,2025-02-06,1.84,1.85,1.81,1.84
2371,2025-02-05,1.84,1.85,1.83,1.84
2370,2025-02-04,1.8,1.85,1.8,1.84
2369,2025-02-03,1.79,1.81,1.78,1.8
2368,2025-01-24,1.81,1.82,1.79,1.79
2367,2025-01-23,1.82,1.83,1.8,1.8
2366,2025-01-22,1.83,1.85,1.81,1.82
2365,2025-01-21,1.84,1.85,1.83,1.84
2364,2025-01-20,1.85,1.86,1.82,1.84
2363,2025-01-17,1.84,1.86,1.83,1.85
2362,2025-01-16,1.87,1.87,1.83,1.85
2361,2025-01-15,1.85,1.87,1.84,1.86
2360,2025-01-14,1.87,1.88,1.82,1.84
2359,2025-01-13,1.86,1.88,1.82,1.87
2358,2025-01-10,1.89,1.89,1.86,1.86
2357,2025-01-09,1.86,1.9,1.86,1.87
2356,2025-01-08,1.88,1.89,1.85,1.88
2355,2025-01-07,1.9,1.9,1.86,1.88
2354,2025-01-06,1.9,1.91,1.86,1.9
2353,2025-01-03,1.95,1.95,1.88,1.9
2352,2025-01-02,1.9,1.96,1.88,1.91
2351,2024-12-31,1.89,1.9,1.88,1.88
2350,2024-12-30,1.9,1.9,1.87,1.89
2349,2024-12-27,1.93,1.95,1.89,1.89
2348,2024-12-26,1.9,1.99,1.89,1.93
