,Date,Open,High,Low,Close
4663,2025-10-17,61.0,64.0,61.0,64.0
4662,2025-10-15,63.0,63.0,63.0,63.0
4661,2025-09-25,58.0,62.3,58.0,62.3
4660,2025-09-12,62.3,62.3,62.3,62.3
4659,2025-09-10,62.5,62.5,62.2,62.3
4658,2025-09-09,58.8,58.8,58.8,58.8
4657,2025-09-08,58.8,58.8,58.8,58.8
4656,2025-09-05,58.8,58.8,58.8,58.8
4655,2025-09-04,58.8,58.8,58.8,58.8
4654,2025-09-03,58.8,58.8,58.8,58.8
4653,2025-08-29,58.8,58.8,58.8,58.8
4652,2025-08-28,58.8,58.8,58.8,58.8
4651,2025-08-27,58.8,58.8,58.8,58.8
4650,2025-08-26,58.8,58.8,58.8,58.8
4649,2025-08-25,58.8,58.8,58.8,58.8
4648,2025-08-22,58.8,58.8,58.8,58.8
4647,2025-08-21,58.8,58.8,58.8,58.8
4646,2025-08-20,58.8,58.8,58.8,58.8
4645,2025-08-19,58.7,58.7,58.7,58.7
4644,2025-08-18,60.27,60.27,60.27,60.27
4643,2025-08-15,60.27,60.27,60.27,60.27
4642,2025-08-14,60.27,60.27,60.27,60.27
4641,2025-08-13,60.27,60.27,60.27,60.27
4640,2025-08-12,60.27,60.27,60.27,60.27
4639,2025-08-11,60.27,60.27,60.27,60.27
4638,2025-08-08,59.78,59.78,59.78,59.78
4637,2025-08-07,59.78,59.78,59.78,59.78
4636,2025-08-06,59.78,59.78,59.78,59.78
4635,2025-08-05,59.78,59.78,59.78,59.78
4634,2025-08-04,59.78,59.78,59.78,59.78
4633,2025-08-01,58.8,58.8,58.8,58.8
4632,2025-07-31,58.8,58.8,58.8,58.8
4631,2025-07-30,58.8,58.8,58.8,58.8
4630,2025-07-29,58.8,58.8,58.8,58.8
4629,2025-07-28,58.8,58.8,58.8,58.8
4628,2025-07-25,58.8,58.8,58.8,58.8
4627,2025-07-24,58.8,58.8,58.8,58.8
4626,2025-07-23,58.8,58.8,58.8,58.8
4625,2025-07-22,59.58,59.58,59.58,59.58
4624,2025-07-21,59.58,59.58,59.58,59.58
