,Date,Open,High,Low,Close
3932,2025-10-17,96.9,98.0,96.5,97.9
3931,2025-10-16,98.5,98.5,96.0,97.3
3930,2025-10-15,96.8,98.0,95.1,97.7
3929,2025-10-14,94.8,97.0,92.0,96.5
3928,2025-10-13,94.7,95.9,93.9,94.9
3927,2025-10-10,96.0,96.0,94.7,94.7
3926,2025-10-09,95.0,96.5,95.0,96.5
3925,2025-10-08,95.0,96.5,95.0,96.0
3924,2025-10-07,96.0,96.1,94.9,96.0
3923,2025-10-06,95.8,96.9,95.8,96.9
3922,2025-10-03,95.5,97.5,93.0,95.9
3921,2025-10-02,93.6,98.0,93.6,95.1
3920,2025-10-01,94.7,94.7,93.8,94.4
3919,2025-09-30,94.5,94.5,92.2,93.8
3918,2025-09-29,93.2,95.6,93.1,93.1
3917,2025-09-26,94.1,95.1,93.0,94.8
3916,2025-09-25,94.1,95.4,93.9,95.4
3915,2025-09-24,94.0,96.9,93.1,95.9
3914,2025-09-23,95.0,95.3,94.0,95.0
3913,2025-09-22,94.0,95.0,93.4,95.0
3912,2025-09-19,94.5,95.3,94.0,94.1
3911,2025-09-18,95.5,98.0,94.0,95.0
3910,2025-09-17,97.5,97.6,94.0,95.9
3909,2025-09-16,103.0,103.0,88.6,96.8
3908,2025-09-15,94.4,98.5,94.0,98.4
3907,2025-09-12,95.6,96.9,94.6,94.6
3906,2025-09-11,95.5,97.4,94.8,97.4
3905,2025-09-10,96.1,98.5,94.7,98.2
3904,2025-09-09,95.3,98.4,95.3,98.0
3903,2025-09-08,97.0,99.5,96.0,98.4
3902,2025-09-05,101.9,101.9,97.7,99.5
3901,2025-09-04,94.1,101.0,94.1,99.9
3900,2025-09-03,98.6,98.6,96.0,96.0
3899,2025-08-29,100.0,101.5,98.2,99.9
3898,2025-08-28,101.5,102.5,98.2,100.0
3897,2025-08-27,100.0,101.0,99.1,101.0
3896,2025-08-26,99.2,101.5,99.0,101.5
3895,2025-08-25,100.0,103.5,98.0,99.1
3894,2025-08-22,103.0,103.0,100.0,100.0
3893,2025-08-21,101.3,103.4,100.1,103.4
3892,2025-08-20,106.8,107.9,100.1,104.0
3891,2025-08-19,107.0,108.0,102.0,104.0
3890,2025-08-18,104.3,106.0,102.0,102.2
3889,2025-08-15,103.9,105.0,100.5,104.0
3888,2025-08-14,109.4,109.4,102.0,103.9
3887,2025-08-13,108.3,114.9,108.0,109.4
3886,2025-08-12,99.0,108.3,95.0,108.3
3885,2025-08-11,97.9,100.0,97.0,98.5
3884,2025-08-08,95.0,98.0,92.0,96.9
3883,2025-08-07,94.9,95.0,92.0,94.4
3882,2025-08-06,93.6,95.7,90.7,94.9
3881,2025-08-05,92.3,99.0,88.4,95.0
3880,2025-08-04,89.8,91.6,88.0,91.0
3879,2025-08-01,90.0,92.4,87.0,89.8
3878,2025-07-31,89.8,91.0,86.2,87.0
3877,2025-07-30,90.0,92.3,86.5,89.0
3876,2025-07-29,85.9,92.5,85.9,86.5
3875,2025-07-28,78.5,84.5,78.5,84.5
3874,2025-07-25,77.7,77.7,74.9,76.9
3873,2025-07-24,76.5,77.9,75.0,76.5
3872,2025-07-23,74.8,78.0,74.7,76.0
3871,2025-07-22,75.1,75.1,74.0,74.8
3870,2025-07-21,73.3,74.8,73.3,73.3
3869,2025-07-18,73.6,74.1,73.2,74.1
3868,2025-07-17,74.0,74.5,73.7,74.5
3867,2025-07-16,75.1,75.1,75.1,75.1
3866,2025-07-15,73.9,75.0,73.8,75.0
3865,2025-07-14,73.8,73.9,73.8,73.9
3864,2025-07-11,75.3,76.4,73.5,73.8
3863,2025-07-10,75.5,75.5,71.0,75.3
3862,2025-07-09,74.0,75.0,73.9,74.0
3861,2025-07-08,74.0,74.0,73.9,73.9
3860,2025-07-07,74.0,74.5,73.1,73.5
3859,2025-07-04,74.0,75.0,73.2,73.2
3858,2025-07-03,75.8,77.0,73.5,73.5
3857,2025-07-02,75.0,76.8,74.5,75.8
3856,2025-07-01,71.7,75.9,71.0,74.8
3855,2025-06-30,72.0,74.9,71.6,72.0
3854,2025-06-27,71.9,71.9,71.9,71.9
3853,2025-06-26,70.7,72.0,70.5,72.0
3852,2025-06-25,72.0,72.5,70.5,72.0
3851,2025-06-24,72.4,72.5,70.6,72.1
3850,2025-06-23,71.7,73.0,70.1,70.1
3849,2025-06-20,71.5,71.5,70.8,71.5
3848,2025-06-19,71.3,71.5,70.7,71.5
3847,2025-06-18,71.5,71.5,71.2,71.3
3846,2025-06-17,72.4,72.4,71.5,72.0
3845,2025-06-16,70.8,72.4,70.8,72.4
3844,2025-06-13,71.7,72.0,71.7,71.7
3843,2025-06-12,71.9,72.5,71.6,72.5
3842,2025-06-11,72.0,72.8,71.9,72.8
