,Date,Open,High,Low,Close,Volume
1503,2025-10-24,1.3,1.4,1.3,1.3,1087100
1502,2025-10-17,1.2,1.3,1.2,1.3,791900
1501,2025-10-10,1.1,1.2,1.0,1.2,883600
1500,2025-10-03,1.0,1.1,1.0,1.1,548700
1499,2025-09-26,0.9,1.0,0.9,1.0,552900
1498,2025-09-19,0.9,1.0,0.8,1.0,166300
1497,2025-09-12,0.9,1.0,0.8,0.9,72500
1496,2025-09-05,0.9,1.0,0.9,0.9,211300
1495,2025-08-29,0.9,1.0,0.9,1.0,73900
1494,2025-08-22,1.0,1.0,0.9,0.9,238400
1493,2025-08-15,1.0,1.1,0.9,0.9,366600
1492,2025-08-08,1.0,1.1,0.9,1.1,481300
1491,2025-08-01,1.1,1.1,1.0,1.1,1230000
1490,2025-07-25,1.0,1.1,0.9,1.1,1396600
1489,2025-07-18,1.0,1.1,1.0,1.0,1003100
1488,2025-07-11,0.9,1.0,0.9,1.0,1932200
1487,2025-07-04,0.8,1.0,0.8,1.0,1167400
1486,2025-06-27,0.9,0.9,0.8,0.9,234200
1485,2025-06-20,0.9,1.0,0.8,0.9,128900
1484,2025-06-13,1.0,1.0,0.8,0.9,483800
1483,2025-06-06,0.9,1.0,0.9,1.0,115700
1482,2025-05-30,0.8,0.9,0.8,0.9,342600
1481,2025-05-23,0.8,0.9,0.8,0.9,375800
1480,2025-05-16,0.9,0.9,0.8,0.9,372000
1479,2025-05-09,0.9,0.9,0.8,0.9,475900
1478,2025-04-25,0.8,0.9,0.8,0.9,70100
1477,2025-04-18,0.9,1.0,0.8,0.9,258700
1476,2025-04-11,1.0,1.0,0.9,0.9,534800
1475,2025-04-04,1.1,1.1,1.0,1.0,54400
1474,2025-03-28,1.2,1.2,1.0,1.1,419900
1473,2025-03-21,1.2,1.2,1.0,1.2,329600
1472,2025-03-14,1.0,1.1,1.0,1.1,540400
1471,2025-03-07,1.0,1.1,0.9,1.1,57700
1470,2025-02-28,1.1,1.1,1.0,1.1,208100
1469,2025-02-21,1.0,1.1,1.0,1.1,800500
