,Date,Open,High,Low,Close,Volume
4435,2025-10-24,9.66,9.7,9.55,9.69,170100
4434,2025-10-23,9.79,9.79,9.61,9.66,93100
4433,2025-10-22,9.56,9.79,9.5,9.79,125100
4432,2025-10-21,9.55,9.7,9.1,9.69,292200
4431,2025-10-20,9.96,9.96,9.55,9.55,329600
4430,2025-10-17,10.0,10.05,9.9,9.96,454200
4429,2025-10-16,10.0,10.1,9.98,10.0,186500
4428,2025-10-15,10.1,10.2,10.0,10.0,276500
4427,2025-10-14,10.25,10.35,10.05,10.1,541600
4426,2025-10-13,10.3,10.4,10.2,10.25,352200
4425,2025-10-10,10.35,10.65,10.35,10.45,652700
4424,2025-10-09,10.3,10.4,10.25,10.35,196700
4423,2025-10-08,10.35,10.5,10.25,10.25,538500
4422,2025-10-07,10.55,10.55,10.25,10.3,307200
4421,2025-10-06,10.5,10.65,10.2,10.5,846500
4420,2025-10-03,10.85,10.9,10.5,10.55,360100
4419,2025-10-02,10.2,10.85,10.1,10.85,2729900
4418,2025-10-01,10.0,10.2,10.0,10.15,264500
4417,2025-09-30,10.0,10.2,9.96,10.0,269600
4416,2025-09-29,10.15,10.2,9.97,10.0,342100
4415,2025-09-26,10.1,10.15,9.99,10.1,378800
4414,2025-09-25,10.0,10.05,9.97,9.98,121000
4413,2025-09-24,9.9,10.1,9.88,9.98,256900
4412,2025-09-23,9.86,9.88,9.84,9.88,111400
4411,2025-09-22,9.95,9.95,9.83,9.88,207300
4410,2025-09-19,9.99,10.0,9.92,9.95,151000
4409,2025-09-18,9.92,9.99,9.92,9.95,170700
4408,2025-09-17,10.05,10.05,9.95,9.96,146000
4407,2025-09-16,10.0,10.15,9.95,10.05,358800
4406,2025-09-15,9.92,9.96,9.9,9.94,159600
4405,2025-09-12,9.81,9.95,9.8,9.9,103300
4404,2025-09-11,9.84,9.84,9.7,9.81,457400
4403,2025-09-10,9.93,9.93,9.8,9.85,96100
4402,2025-09-09,9.83,9.9,9.83,9.9,173400
4401,2025-09-08,9.95,10.0,9.8,9.85,407000
4400,2025-09-05,10.2,10.25,9.98,9.98,452600
4399,2025-09-04,10.05,10.15,10.0,10.1,320600
4398,2025-09-03,9.84,10.15,9.83,10.0,356000
4397,2025-08-29,9.83,9.84,9.79,9.83,236400
4396,2025-08-28,9.75,9.85,9.71,9.82,328100
4395,2025-08-27,9.96,9.96,9.8,9.85,267600
4394,2025-08-26,9.8,9.8,9.68,9.8,310300
4393,2025-08-25,9.71,9.88,9.69,9.74,280000
4392,2025-08-22,10.15,10.15,9.6,9.7,1018100
4391,2025-08-21,10.3,10.4,10.05,10.05,915700
4390,2025-08-20,10.55,10.55,10.15,10.2,717100
4389,2025-08-19,10.15,10.65,10.15,10.5,1748700
4388,2025-08-18,10.1,10.25,10.05,10.15,701500
4387,2025-08-15,10.25,10.4,10.0,10.1,1093300
4386,2025-08-14,10.45,10.45,10.25,10.3,654000
4385,2025-08-13,10.35,10.65,10.25,10.4,937100
4384,2025-08-12,10.15,10.5,10.05,10.35,918500
4383,2025-08-11,10.05,10.2,10.0,10.1,644800
4382,2025-08-08,10.2,10.2,9.98,10.1,783600
4381,2025-08-07,10.2,10.3,10.1,10.2,485100
4380,2025-08-06,10.2,10.3,10.05,10.15,395100
4379,2025-08-05,10.4,10.4,10.0,10.1,868400
4378,2025-08-04,10.2,10.35,10.0,10.35,905700
4377,2025-08-01,10.6,10.6,10.1,10.2,1162200
4376,2025-07-31,10.2,10.2,10.0,10.2,1323000
4375,2025-07-30,9.69,9.69,9.5,9.55,436700
4374,2025-07-29,9.89,9.9,9.56,9.6,757200
4373,2025-07-28,9.76,9.86,9.69,9.86,1016000
4372,2025-07-25,9.83,9.83,9.7,9.75,439100
4371,2025-07-24,9.7,9.88,9.69,9.83,391200
4370,2025-07-23,9.68,9.75,9.68,9.7,491000
4369,2025-07-22,9.87,9.9,9.35,9.69,647700
4368,2025-07-21,10.1,10.15,9.84,9.87,645500
4367,2025-07-18,9.56,9.89,9.56,9.83,1372000
4366,2025-07-17,9.6,9.65,9.53,9.55,699400
4365,2025-07-16,9.6,9.6,9.5,9.56,343000
4364,2025-07-15,9.7,9.7,9.54,9.55,337200
4363,2025-07-14,9.59,9.65,9.5,9.6,338500
4362,2025-07-11,9.62,9.73,9.46,9.57,311400
4361,2025-07-10,9.5,9.7,9.49,9.61,703700
4360,2025-07-09,9.41,9.52,9.41,9.45,326300
4359,2025-07-08,9.5,9.57,9.39,9.45,363200
4358,2025-07-07,9.6,9.6,9.46,9.5,461700
4357,2025-07-04,9.26,9.56,9.26,9.56,889300
4356,2025-07-03,9.26,9.27,9.23,9.26,317200
4355,2025-07-02,9.25,9.25,9.22,9.24,209500
4354,2025-07-01,9.27,9.27,9.2,9.23,198700
4353,2025-06-30,9.28,9.28,9.2,9.25,183700
4352,2025-06-27,9.29,9.29,9.21,9.24,179600
4351,2025-06-26,9.25,9.28,9.22,9.28,161400
4350,2025-06-25,9.28,9.29,9.24,9.28,124800
4349,2025-06-24,9.29,9.32,9.22,9.24,155400
4348,2025-06-23,9.21,9.3,9.2,9.3,287100
4347,2025-06-20,9.29,9.33,9.22,9.24,305100
4346,2025-06-19,9.31,9.38,9.2,9.29,137500
