,Date,Open,High,Low,Close
4443,2025-10-17,2.0,2.0,1.8,1.8
4442,2025-10-10,1.8,1.8,1.8,1.8
4441,2025-10-03,1.8,1.8,1.6,1.6
4440,2025-09-26,1.7,1.7,1.7,1.7
4439,2025-09-19,1.8,1.9,1.7,1.7
4438,2025-09-12,2.1,2.1,2.0,2.0
4437,2025-09-05,2.4,2.4,2.3,2.3
4436,2025-08-29,2.6,2.6,2.6,2.6
4435,2025-08-22,3.0,3.2,2.7,2.9
4434,2025-08-15,3.1,3.1,2.7,3.1
4433,2025-08-08,2.3,2.7,2.3,2.7
4432,2025-08-01,2.4,2.4,2.4,2.4
4431,2025-07-25,2.0,2.1,2.0,2.1
4430,2025-07-18,1.9,2.0,1.8,1.9
4429,2025-07-11,1.9,2.0,1.9,2.0
4428,2025-07-04,1.9,1.9,1.8,1.9
4427,2025-06-27,2.0,2.0,2.0,2.0
4426,2025-06-20,1.8,1.9,1.8,1.9
4425,2025-06-13,1.7,2.0,1.6,1.9
4424,2025-06-06,1.8,2.1,1.7,2.0
4423,2025-05-30,2.4,2.4,1.8,2.2
4422,2025-05-23,2.0,2.4,2.0,2.3
4421,2025-05-16,2.1,2.3,2.0,2.2
4420,2025-05-09,2.1,2.3,2.0,2.3
4419,2025-04-25,2.2,2.3,2.2,2.3
4418,2025-04-18,2.5,2.5,2.2,2.3
4417,2025-04-11,2.3,2.4,2.1,2.2
4416,2025-04-04,1.9,2.2,1.9,2.2
4415,2025-03-28,2.2,2.4,2.2,2.3
4414,2025-03-21,1.8,2.3,1.8,2.2
4413,2025-03-14,2.2,2.3,2.0,2.3
4412,2025-03-07,2.3,2.3,2.2,2.2
4411,2025-02-28,2.4,2.4,2.2,2.2
4410,2025-02-21,2.4,2.4,2.0,2.2
4409,2025-02-14,1.9,2.1,1.9,2.1
4408,2025-02-07,1.9,2.1,1.9,2.1
4407,2025-01-24,2.0,2.3,2.0,2.2
4406,2025-01-17,2.0,2.2,1.9,2.2
4405,2025-01-10,2.1,2.3,2.1,2.2
4404,2025-01-03,2.0,2.1,1.8,2.1
4403,2024-12-27,1.9,2.1,1.8,2.1
4402,2024-12-20,1.9,1.9,1.8,1.9
4401,2024-12-13,1.7,1.8,1.6,1.8
4400,2024-12-06,1.3,1.7,1.3,1.4
4399,2024-11-29,1.5,1.5,1.5,1.5
4398,2024-11-22,1.7,1.7,1.7,1.7
4397,2024-11-15,2.0,2.0,1.9,1.9
4396,2024-11-08,1.9,2.5,1.9,1.9
4395,2024-11-01,2.2,2.2,2.2,2.2
4394,2024-10-25,2.5,2.5,2.5,2.5
4393,2024-10-18,2.9,2.9,2.9,2.9
4392,2024-10-11,3.3,3.3,3.3,3.3
4391,2024-10-04,3.8,3.8,3.8,3.8
4390,2024-09-27,4.4,4.4,4.4,4.4
4389,2024-09-20,5.1,5.1,5.1,5.1
4388,2024-09-13,5.9,5.9,5.9,5.9
4387,2024-09-06,8.8,8.8,6.6,6.6
4386,2024-07-26,7.7,7.7,7.7,7.7
4385,2024-07-25,7.7,7.7,7.7,7.7
4384,2024-07-24,7.7,7.7,7.7,7.7
4383,2024-07-23,7.7,7.7,7.7,7.7
4382,2024-07-22,7.7,7.7,7.7,7.7
4381,2024-07-19,8.7,8.7,6.8,6.8
4380,2024-07-18,7.6,7.6,7.6,7.6
4379,2024-07-17,7.6,7.6,7.6,7.6
4378,2024-07-16,7.6,7.6,7.6,7.6
4377,2024-07-15,7.6,7.6,7.6,7.6
4376,2024-07-12,8.0,8.0,7.4,7.4
4375,2024-07-11,7.0,7.0,7.0,7.0
4374,2024-07-10,7.0,7.0,7.0,7.0
4373,2024-07-09,7.0,7.0,7.0,7.0
4372,2024-07-08,7.0,7.0,7.0,7.0
4371,2024-07-05,7.0,7.0,7.0,7.0
4370,2024-07-04,7.0,7.0,7.0,7.0
4369,2024-07-03,7.0,7.0,7.0,7.0
4368,2024-07-02,7.0,7.0,7.0,7.0
4367,2024-07-01,7.0,7.0,7.0,7.0
4366,2024-06-28,7.5,7.5,6.0,6.4
4365,2024-06-27,6.6,6.6,6.6,6.6
4364,2024-06-26,6.6,6.6,6.6,6.6
4363,2024-06-25,6.6,6.6,6.6,6.6
4362,2024-06-24,6.6,6.6,6.6,6.6
4361,2024-06-21,7.1,7.1,6.2,6.4
4360,2024-06-20,6.2,6.2,6.2,6.2
4359,2024-06-19,6.2,6.2,6.2,6.2
4358,2024-06-18,6.2,6.2,6.2,6.2
4357,2024-06-17,6.2,6.2,6.2,6.2
4356,2024-06-14,5.4,6.2,5.4,6.2
4355,2024-06-13,5.4,5.4,5.4,5.4
4354,2024-06-12,5.4,5.4,5.4,5.4
4353,2024-06-11,5.4,5.4,5.4,5.4
4352,2024-06-10,5.4,5.4,5.4,5.4
4351,2024-06-07,5.6,6.2,5.0,6.1
4350,2024-06-06,5.4,5.4,5.4,5.4
4349,2024-06-05,5.4,5.4,5.4,5.4
4348,2024-06-04,5.4,5.4,5.4,5.4
4347,2024-06-03,5.4,5.4,5.4,5.4
4346,2024-05-31,4.9,5.6,4.9,5.6
4345,2024-05-30,4.9,4.9,4.9,4.9
4344,2024-05-29,4.9,4.9,4.9,4.9
4343,2024-05-28,4.9,4.9,4.9,4.9
4342,2024-05-27,4.9,4.9,4.9,4.9
4341,2024-05-24,4.9,4.9,4.9,4.9
4340,2024-05-23,4.5,4.5,4.5,4.5
4339,2024-05-22,4.5,4.5,4.5,4.5
4338,2024-05-21,4.5,4.5,4.5,4.5
4337,2024-05-20,4.5,4.5,4.5,4.5
4336,2024-05-17,4.9,4.9,4.0,4.0
4335,2024-05-16,4.5,4.5,4.5,4.5
4334,2024-05-15,4.5,4.5,4.5,4.5
4333,2024-05-14,4.5,4.5,4.5,4.5
4332,2024-05-13,4.5,4.5,4.5,4.5
4331,2024-05-10,4.5,4.5,4.5,4.5
4330,2024-05-09,4.4,4.4,4.4,4.4
4329,2024-05-08,4.4,4.4,4.4,4.4
4328,2024-05-07,4.4,4.4,4.4,4.4
4327,2024-05-06,4.4,4.4,4.4,4.4
4326,2024-05-03,4.6,4.6,4.3,4.3
