,Date,Open,High,Low,Close
295,2022-07-28,16.8,16.8,16.8,16.8
294,2022-07-27,16.8,16.8,16.8,16.8
293,2022-07-26,16.8,16.8,16.8,16.8
292,2022-07-25,16.8,16.8,16.8,16.8
291,2022-07-22,16.8,16.8,16.8,16.8
290,2022-07-21,16.8,16.8,16.8,16.8
289,2022-07-20,16.8,16.8,16.8,16.8
288,2022-07-19,16.8,16.8,16.8,16.8
287,2022-07-18,16.8,16.8,16.8,16.8
286,2022-07-15,16.8,16.8,16.8,16.8
285,2022-07-14,16.8,16.8,16.8,16.8
284,2022-07-13,16.8,16.8,16.8,16.8
283,2022-07-12,16.8,16.8,16.8,16.8
282,2022-07-11,16.8,16.8,16.8,16.8
281,2022-07-08,16.8,16.8,16.8,16.8
280,2022-07-07,16.8,16.8,16.8,16.8
279,2022-07-06,16.8,16.8,16.8,16.8
278,2022-07-05,16.8,16.8,16.8,16.8
277,2022-07-04,16.8,16.8,16.8,16.8
276,2022-07-01,16.8,16.8,16.8,16.8
275,2022-06-30,16.8,16.8,16.8,16.8
274,2022-06-29,16.8,16.8,16.8,16.8
273,2022-06-28,16.8,16.8,16.8,16.8
272,2022-06-27,16.8,16.8,16.8,16.8
271,2022-06-24,16.8,16.8,16.8,16.8
270,2022-06-23,16.8,16.8,16.8,16.8
269,2022-06-22,16.8,16.8,16.8,16.8
268,2022-06-21,16.8,16.8,16.8,16.8
267,2022-06-20,16.8,16.8,16.8,16.8
266,2022-06-17,16.8,16.8,16.8,16.8
265,2022-06-16,16.8,16.8,16.8,16.8
264,2022-06-15,16.8,16.8,16.8,16.8
263,2022-06-14,16.8,16.8,16.8,16.8
262,2022-06-13,16.8,16.8,16.8,16.8
261,2022-06-10,16.8,16.8,16.8,16.8
260,2022-06-09,16.8,16.8,16.8,16.8
259,2022-06-08,16.8,16.8,16.8,16.8
258,2022-06-07,16.8,16.8,16.8,16.8
257,2022-06-06,16.8,16.8,16.8,16.8
256,2022-06-03,16.8,16.8,16.8,16.8
255,2022-06-02,16.8,16.8,16.8,16.8
254,2022-06-01,16.8,16.8,16.8,16.8
253,2022-05-31,16.8,16.8,16.8,16.8
252,2022-05-30,16.8,16.8,16.8,16.8
251,2022-05-27,16.8,16.8,16.8,16.8
250,2022-05-26,16.8,16.8,16.8,16.8
249,2022-05-25,16.8,16.8,16.8,16.8
248,2022-05-24,16.8,16.8,16.8,16.8
247,2022-05-23,16.8,16.8,16.8,16.8
246,2022-05-19,16.8,16.8,16.8,16.8
