,Date,Open,High,Low,Close,Volume
3490,2025-10-24,25.15,25.15,24.35,24.4,46363100
3489,2025-10-23,25.5,25.7,25.2,25.2,19904800
3488,2025-10-22,25.6,25.65,24.8,25.45,29596300
3487,2025-10-21,25.35,26.0,24.8,25.3,51668400
3486,2025-10-20,26.95,27.1,25.25,25.25,74530200
3485,2025-10-17,27.25,27.8,27.1,27.1,43529100
3484,2025-10-16,27.3,27.55,27.15,27.2,26482800
3483,2025-10-15,27.15,27.65,27.1,27.25,31486300
3482,2025-10-14,27.5,27.7,27.05,27.05,49401300
3481,2025-10-13,27.15,27.4,27.0,27.35,46449900
3480,2025-10-10,27.4,27.75,27.2,27.45,56780900
3479,2025-10-09,27.0,27.4,26.85,27.35,38667700
3478,2025-10-08,27.2,27.3,26.85,26.85,32173000
3477,2025-10-07,27.5,27.55,26.85,26.85,22188300
3476,2025-10-06,26.95,27.5,26.65,27.35,38982400
3475,2025-10-03,26.7,26.8,26.4,26.55,14509500
3474,2025-10-02,26.5,27.35,26.45,26.8,44086100
3473,2025-10-01,26.25,26.6,26.15,26.4,11544600
3472,2025-09-30,26.2,26.6,26.05,26.2,19759800
3471,2025-09-29,26.25,26.35,26.1,26.15,16253000
3470,2025-09-26,26.5,26.7,26.25,26.25,12945900
3469,2025-09-25,27.0,27.0,26.4,26.55,15489700
3468,2025-09-24,26.35,26.8,25.9,26.8,22752100
3467,2025-09-23,26.45,26.55,26.15,26.35,10100400
3466,2025-09-22,26.55,26.6,26.1,26.15,26372700
3465,2025-09-19,26.95,26.95,26.5,26.65,14481700
3464,2025-09-18,26.95,27.1,26.6,26.8,17716200
3463,2025-09-17,27.4,27.55,27.0,27.0,15819100
3462,2025-09-16,27.1,27.85,27.05,27.5,51366800
3461,2025-09-15,26.75,26.85,26.55,26.85,21483300
3460,2025-09-12,26.9,27.0,26.6,26.6,19231800
3459,2025-09-11,26.8,26.95,26.05,26.7,31166200
3458,2025-09-10,27.0,27.55,26.8,26.95,28898300
3457,2025-09-09,26.7,27.0,26.3,26.65,32840700
3456,2025-09-08,27.2,27.25,26.7,26.7,62869000
3455,2025-09-05,28.5,28.65,27.4,27.4,66550600
3454,2025-09-04,28.45,28.6,28.1,28.25,28054200
3453,2025-09-03,27.8,28.8,27.5,28.45,46653600
3452,2025-08-29,27.45,28.2,27.2,27.75,55715700
3451,2025-08-28,27.4,27.55,26.7,27.2,32467000
3450,2025-08-27,28.2,28.25,27.4,27.4,39077600
3449,2025-08-26,26.2,27.6,26.1,27.55,40433700
3448,2025-08-25,27.15,27.3,25.8,26.2,56269717
3447,2025-08-22,27.75,28.0,26.9,26.9,72987402
3446,2025-08-21,28.05,28.7,27.75,28.2,57200998
3445,2025-08-20,28.2,28.3,26.85,27.8,77487429
3444,2025-08-19,28.35,29.4,27.9,28.2,54061803
3443,2025-08-18,28.55,28.6,27.65,27.8,51109955
3442,2025-08-15,29.5,29.5,27.7,28.25,117609377
3441,2025-08-14,27.6,27.6,27.6,27.6,40356994
3440,2025-08-13,25.4,25.8,24.7,25.8,79742535
3439,2025-08-12,24.24,24.32,23.76,24.32,56680478
3438,2025-08-11,23.12,24.36,23.04,23.87,48711115
3437,2025-08-08,23.23,23.27,22.78,22.93,25628530
3436,2025-08-07,23.19,23.23,22.78,23.08,27017474
3435,2025-08-06,22.89,23.23,22.67,22.97,30420625
3434,2025-08-05,21.69,22.29,20.75,22.29,71196478
3433,2025-08-04,20.34,20.87,20.3,20.87,21261998
3432,2025-08-01,20.6,20.75,20.3,20.38,17908297
3431,2025-07-31,20.75,20.87,20.23,20.6,24990626
3430,2025-07-30,20.42,20.9,20.15,20.57,32132915
3429,2025-07-29,21.62,21.65,20.15,20.15,49034939
3428,2025-07-28,21.35,21.58,21.28,21.58,24925179
3427,2025-07-25,21.39,21.65,21.32,21.35,18127844
3426,2025-07-24,20.68,21.35,20.68,21.32,40043004
3425,2025-07-23,20.42,20.72,20.34,20.57,27210803
3424,2025-07-22,20.19,20.38,20.0,20.38,15483549
3423,2025-07-21,20.49,20.75,20.19,20.23,17973804
3422,2025-07-18,20.12,20.45,19.97,20.42,25193195
3421,2025-07-17,20.08,20.19,19.93,20.08,17356704
3420,2025-07-16,19.89,20.08,19.85,20.04,17635098
3419,2025-07-15,20.12,20.34,19.97,19.97,19345488
3418,2025-07-14,20.08,20.19,19.82,20.12,15070355
3417,2025-07-11,19.89,20.19,19.85,20.04,21444775
3416,2025-07-10,20.04,20.04,19.82,19.85,14432307
3415,2025-07-09,19.93,20.12,19.82,19.97,25302495
3414,2025-07-08,19.89,20.04,19.78,19.82,16130134
3413,2025-07-07,19.59,19.89,19.59,19.82,18605327
