,Date,Open,High,Low,Close
2193,2025-10-17,148.8,149.3,143.5,145.6
2192,2025-10-16,148.9,150.9,147.0,147.8
2191,2025-10-15,149.6,149.9,146.1,148.9
2190,2025-10-14,151.8,154.0,147.0,149.1
2189,2025-10-13,144.1,153.0,141.0,151.8
2188,2025-10-10,134.2,146.0,134.0,144.1
2187,2025-10-09,132.5,134.2,132.5,134.2
2186,2025-10-08,133.5,134.0,131.4,131.8
2185,2025-10-07,129.7,135.0,129.4,132.5
2184,2025-10-06,128.7,130.0,127.8,129.7
2183,2025-10-03,128.0,128.5,126.5,128.0
2182,2025-10-02,128.0,129.0,128.0,128.1
2181,2025-10-01,129.0,129.6,128.3,128.8
2180,2025-09-30,130.2,130.2,127.6,129.2
2179,2025-09-29,130.1,131.0,130.1,130.4
2178,2025-09-26,129.0,131.0,129.0,130.1
2177,2025-09-25,128.5,129.5,127.7,129.5
2176,2025-09-24,128.4,129.7,127.6,129.5
2175,2025-09-23,128.2,129.0,127.8,128.0
2174,2025-09-22,129.8,129.8,127.4,128.0
2173,2025-09-19,128.0,130.5,127.4,129.5
2172,2025-09-18,128.0,128.4,127.1,128.0
2171,2025-09-17,128.9,128.9,127.2,128.1
2170,2025-09-16,128.9,129.5,127.0,128.9
2169,2025-09-15,128.4,129.3,128.4,128.7
2168,2025-09-12,128.0,128.8,127.2,128.8
2167,2025-09-11,129.5,129.5,126.0,127.2
2166,2025-09-10,129.5,129.7,128.0,129.4
2165,2025-09-09,129.0,129.5,128.0,129.1
2164,2025-09-08,130.4,131.5,128.0,129.0
2163,2025-09-05,131.9,132.2,130.3,130.5
2162,2025-09-04,130.3,132.0,130.3,131.7
2161,2025-09-03,130.2,132.2,129.0,130.3
2160,2025-08-29,128.5,131.5,128.5,130.2
2159,2025-08-28,122.0,128.6,122.0,128.0
2158,2025-08-27,119.5,122.1,119.5,122.0
2157,2025-08-26,118.5,119.3,117.0,119.0
2156,2025-08-25,118.0,119.0,116.9,118.6
2155,2025-08-22,116.2,119.8,115.8,118.0
2154,2025-08-21,114.5,116.2,114.5,116.2
2153,2025-08-20,114.3,116.0,113.1,114.5
2152,2025-08-19,113.0,115.0,110.0,114.3
2151,2025-08-18,113.1,117.0,111.0,113.0
2150,2025-08-15,113.5,114.5,112.5,113.1
2149,2025-08-14,114.0,114.6,112.5,113.6
2148,2025-08-13,114.7,115.9,112.6,114.2
2147,2025-08-12,115.4,116.2,114.0,114.5
2146,2025-08-11,112.0,115.7,111.0,115.0
2145,2025-08-08,111.5,111.5,109.6,111.0
2144,2025-08-07,111.7,112.1,110.2,111.2
2143,2025-08-06,108.0,111.4,107.1,110.1
2142,2025-08-05,107.5,109.0,106.7,107.8
2141,2025-08-04,105.1,108.4,104.3,107.0
2140,2025-08-01,104.5,105.3,102.8,105.0
2139,2025-07-31,108.3,108.9,101.8,105.1
2138,2025-07-30,109.0,110.8,106.8,108.3
2137,2025-07-29,115.5,115.5,107.0,109.0
2136,2025-07-28,116.1,116.8,114.7,115.5
2135,2025-07-25,115.8,117.0,115.0,116.1
2134,2025-07-24,116.6,118.1,115.0,115.8
2133,2025-07-23,115.0,117.4,114.9,116.7
2132,2025-07-22,115.9,116.0,114.3,115.0
2131,2025-07-21,118.0,118.9,115.0,115.8
2130,2025-07-18,119.3,121.0,117.6,118.0
2129,2025-07-17,120.4,120.9,118.7,118.9
2128,2025-07-16,119.8,121.4,119.5,120.6
2127,2025-07-15,121.0,121.0,119.5,119.6
2126,2025-07-14,119.5,121.4,119.1,120.7
2125,2025-07-11,120.5,120.8,118.9,119.5
2124,2025-07-10,120.5,123.0,119.8,120.0
2123,2025-07-09,122.3,122.9,120.0,120.1
2122,2025-07-08,124.0,124.0,120.3,121.3
2121,2025-07-07,126.0,126.0,122.1,123.2
2120,2025-07-04,125.31,125.99,123.64,125.7
2119,2025-07-03,122.95,125.99,122.95,125.41
2118,2025-07-02,122.86,122.95,122.07,122.95
2117,2025-07-01,124.72,125.01,122.17,122.86
2116,2025-06-30,125.01,127.46,123.94,124.23
2115,2025-06-27,124.52,125.5,123.54,124.62
2114,2025-06-26,121.58,125.5,121.58,123.74
2113,2025-06-25,121.19,121.97,120.99,121.68
2112,2025-06-24,121.29,121.97,120.99,120.99
2111,2025-06-23,121.39,122.46,117.66,121.29
2110,2025-06-20,121.29,123.44,120.8,121.39
2109,2025-06-19,122.46,122.46,119.52,121.29
2108,2025-06-18,124.43,124.52,122.07,122.46
2107,2025-06-17,124.52,125.21,124.03,124.52
2106,2025-06-16,124.23,124.43,123.54,124.43
2105,2025-06-13,125.31,126.48,123.54,124.43
2104,2025-06-12,124.92,125.99,124.92,125.5
2103,2025-06-11,125.8,125.8,124.52,124.72
2102,2025-06-10,124.52,126.39,124.52,125.41
2101,2025-06-09,126.19,126.48,125.01,125.11
2100,2025-06-06,125.41,128.25,125.41,126.19
2099,2025-06-05,125.99,125.99,124.92,125.5
2098,2025-06-04,125.01,126.48,125.01,125.8
2097,2025-06-03,125.01,127.37,125.01,125.99
2096,2025-06-02,124.62,124.82,124.03,124.52
2095,2025-05-30,125.8,125.8,124.03,125.01
2094,2025-05-29,126.68,126.68,125.21,125.7
