,Date,Open,High,Low,Close,Volume
4058,2025-10-24,9.8,9.8,9.7,9.7,3500
4057,2025-10-23,9.8,9.8,9.8,9.8,4500
4056,2025-10-22,9.8,9.8,9.8,9.8,3500
4055,2025-10-21,9.8,9.8,9.7,9.8,9600
4054,2025-10-20,9.9,9.9,9.7,9.7,12900
4053,2025-10-17,9.9,10.0,9.9,9.9,8600
4052,2025-10-16,9.9,10.0,9.9,10.0,5700
4051,2025-10-15,9.7,9.9,9.7,9.9,600
4050,2025-10-14,9.9,10.0,9.9,9.9,1400
4049,2025-10-13,9.9,9.9,9.8,9.9,2600
4048,2025-10-10,9.9,9.9,9.8,9.9,2200
4047,2025-10-09,9.9,9.9,9.8,9.9,1400
4046,2025-10-07,9.9,10.0,9.7,9.9,3300
4045,2025-10-06,9.9,9.9,9.8,9.8,4700
4044,2025-10-03,9.9,9.9,9.7,9.9,8200
4043,2025-10-02,9.8,10.0,9.7,10.0,5000
4042,2025-10-01,10.0,10.0,9.8,10.0,1200
4041,2025-09-30,10.0,10.0,9.8,9.9,3500
4040,2025-09-29,10.0,10.1,9.9,10.0,1900
4039,2025-09-26,9.9,10.3,9.9,10.0,19900
4038,2025-09-25,9.3,9.9,9.3,9.9,15000
4037,2025-09-24,9.9,9.9,9.7,9.9,14600
4036,2025-09-23,9.8,9.9,9.8,9.9,1600
4035,2025-09-22,9.8,10.0,9.0,10.0,18700
4034,2025-09-19,9.9,9.9,9.9,9.9,300
4033,2025-09-18,10.0,10.0,10.0,10.0,1200
4032,2025-09-17,9.9,10.0,9.8,10.0,35900
4031,2025-09-16,10.0,10.0,10.0,10.0,100
4030,2025-09-15,10.0,10.0,9.9,9.9,6800
4029,2025-09-12,9.9,10.0,9.8,10.0,9300
4028,2025-09-11,9.9,9.9,9.8,9.8,5600
4027,2025-09-10,10.0,10.0,9.9,9.9,3000
4026,2025-09-09,9.9,10.0,9.9,9.9,4600
4025,2025-09-08,10.0,10.0,9.8,10.0,5300
4024,2025-09-05,10.0,10.1,9.9,10.0,24100
4023,2025-09-04,10.1,10.1,10.0,10.0,3400
4022,2025-09-03,10.1,10.1,9.9,10.1,7400
4021,2025-08-29,9.9,10.0,9.9,10.0,2000
4020,2025-08-28,9.9,10.0,9.9,9.9,5800
4019,2025-08-27,10.0,10.0,10.0,10.0,4800
4018,2025-08-26,10.2,10.2,9.8,10.1,49900
4017,2025-08-25,10.3,10.3,10.2,10.3,2700
4016,2025-08-22,10.4,10.5,10.2,10.3,17700
4015,2025-08-21,10.5,10.5,10.4,10.4,2500
4014,2025-08-20,10.5,10.6,10.2,10.6,25200
4013,2025-08-19,10.7,10.7,10.4,10.6,25200
4012,2025-08-18,10.5,10.7,10.4,10.7,13900
4011,2025-08-15,10.7,10.8,10.3,10.6,25400
4010,2025-08-14,10.8,10.8,10.5,10.6,25600
4009,2025-08-13,10.8,10.9,10.6,10.7,29950
4008,2025-08-12,10.3,11.0,10.3,10.8,91200
4007,2025-08-11,10.3,10.3,10.1,10.3,22300
4006,2025-08-08,10.2,10.3,10.2,10.3,25600
4005,2025-08-07,10.2,10.2,10.2,10.2,24400
4004,2025-08-06,10.2,10.3,10.2,10.2,28701
4003,2025-08-05,10.4,10.4,10.2,10.3,57000
4002,2025-08-04,10.6,10.6,10.4,10.4,20100
4001,2025-08-01,10.6,10.6,10.4,10.6,39142
4000,2025-07-31,10.39,10.39,10.3,10.3,27200
3999,2025-07-30,10.58,10.58,10.21,10.39,13581
3998,2025-07-29,10.49,10.58,10.39,10.39,41820
3997,2025-07-28,10.39,10.58,10.21,10.49,95744
3996,2025-07-25,10.39,10.39,10.3,10.39,29505
3995,2025-07-24,10.58,10.58,10.3,10.3,54909
3994,2025-07-23,11.52,11.52,10.39,10.49,38802
3993,2025-07-22,10.21,10.67,10.21,10.58,122800
3992,2025-07-21,10.11,10.21,10.11,10.21,14609
3991,2025-07-18,10.3,10.3,10.11,10.11,10043
3990,2025-07-17,10.11,10.49,10.11,10.21,23645
3989,2025-07-16,10.3,10.3,10.21,10.3,20700
3988,2025-07-15,10.3,10.3,10.11,10.3,42290
3987,2025-07-14,10.39,10.39,10.3,10.3,8602
3986,2025-07-11,10.3,10.77,10.3,10.49,53720
3985,2025-07-10,10.21,10.3,10.21,10.3,23028
3984,2025-07-09,10.02,10.3,10.02,10.21,32200
3983,2025-07-08,10.11,10.21,10.02,10.11,26800
3982,2025-07-07,10.11,10.21,10.11,10.21,14900
3981,2025-07-04,10.11,10.11,10.02,10.11,28100
3980,2025-07-03,10.21,10.3,10.11,10.21,15000
3979,2025-07-02,10.21,10.21,10.11,10.21,18900
3978,2025-07-01,10.21,10.21,10.11,10.21,9702
3977,2025-06-30,10.11,10.3,10.11,10.21,13000
3976,2025-06-27,10.21,10.3,10.11,10.3,8900
3975,2025-06-26,10.21,10.21,10.11,10.21,14600
3974,2025-06-25,10.11,10.3,10.11,10.21,30000
3973,2025-06-24,10.11,10.21,10.11,10.21,9300
3972,2025-06-23,10.21,10.21,10.11,10.21,9009
3971,2025-06-20,10.3,10.3,10.21,10.3,12200
3970,2025-06-19,10.3,10.3,10.21,10.3,17407
3969,2025-06-18,10.39,10.39,10.3,10.39,34600
3968,2025-06-17,10.3,10.39,10.3,10.39,36004
3967,2025-06-16,10.21,10.3,10.11,10.3,25801
3966,2025-06-13,10.21,10.21,10.11,10.21,39777
3965,2025-06-12,9.93,10.3,9.93,10.21,37109
3964,2025-06-11,10.3,10.39,10.21,10.3,18306
3963,2025-06-10,10.39,10.39,10.21,10.3,9638
3962,2025-06-09,10.3,10.86,10.3,10.39,30613
3961,2025-06-06,10.21,10.3,10.11,10.3,11201
3960,2025-06-05,9.83,10.3,9.83,10.3,37200
3959,2025-06-04,10.3,10.3,10.11,10.21,34306
3958,2025-06-03,10.3,10.3,10.21,10.3,5724
3957,2025-06-02,10.3,10.49,10.11,10.3,18200
3956,2025-05-30,9.93,10.49,9.93,10.3,16000
3955,2025-05-29,10.3,10.49,10.3,10.49,20748
3954,2025-05-28,10.58,10.96,10.39,10.49,27400
3953,2025-05-27,10.39,10.67,10.21,10.58,35600
3952,2025-05-26,10.77,10.77,10.3,10.3,6601
3951,2025-05-23,10.3,10.67,10.11,10.49,21600
3950,2025-05-22,11.05,11.05,10.3,10.58,48220
3949,2025-05-21,11.24,11.33,10.96,11.14,23231
3948,2025-05-20,10.11,11.14,10.11,11.14,98500
3947,2025-05-19,10.3,10.3,10.11,10.21,8801
3946,2025-05-16,10.3,10.3,10.21,10.21,5001
3945,2025-05-15,10.39,10.39,10.21,10.3,10401
3944,2025-05-14,10.3,10.49,10.3,10.39,19100
3943,2025-05-13,10.21,10.49,10.11,10.3,16319
3942,2025-05-12,10.21,10.3,10.02,10.02,17303
3941,2025-05-09,10.3,10.49,10.02,10.11,9019
3940,2025-05-08,10.49,10.49,10.21,10.3,12525
3939,2025-05-07,10.21,10.49,10.11,10.39,9700
3938,2025-05-06,10.49,10.77,10.3,10.3,21200
3937,2025-05-05,10.3,10.49,9.83,10.3,30100
3936,2025-04-29,10.58,10.58,10.21,10.3,6926
3935,2025-04-28,10.49,10.58,10.3,10.3,23601
3934,2025-04-25,10.58,10.67,10.11,10.49,27811
3933,2025-04-24,10.3,10.77,10.21,10.3,17800
3932,2025-04-23,10.3,10.96,9.93,10.21,58806
3931,2025-04-22,10.39,10.67,9.93,10.21,41901
3930,2025-04-21,11.05,11.05,10.77,10.96,53500
3929,2025-04-18,11.7,11.7,11.14,11.52,58901
3928,2025-04-17,11.05,11.42,11.05,11.42,19501
3927,2025-04-16,11.42,11.52,11.14,11.24,29900
3926,2025-04-15,11.42,11.52,11.05,11.52,25100
3925,2025-04-14,11.05,11.8,11.05,11.42,39912
3924,2025-04-11,12.17,12.17,10.58,11.33,57300
3923,2025-04-10,11.14,11.14,11.14,11.14,8502
3922,2025-04-09,10.39,11.24,10.11,10.21,65606
3921,2025-04-08,12.55,12.55,11.24,11.24,85227
3920,2025-04-04,10.96,12.45,10.58,12.45,94797
3919,2025-04-03,12.45,12.45,11.33,11.33,272730
3918,2025-04-02,12.83,13.58,12.45,12.55,41408
3917,2025-04-01,12.55,13.77,12.55,12.83,155175
3916,2025-03-31,11.89,13.11,11.8,12.64,59648
3915,2025-03-28,11.89,12.55,11.8,12.08,32062
3914,2025-03-27,12.17,12.83,11.89,11.89,64425
3913,2025-03-26,12.08,12.45,11.99,12.27,42778
3912,2025-03-25,12.08,13.11,11.89,12.17,49310
3911,2025-03-24,12.74,12.74,12.08,12.08,109508
3910,2025-03-21,14.51,14.51,13.11,13.11,131420
3909,2025-03-20,15.92,15.92,14.51,14.51,165785
3908,2025-03-19,14.8,16.29,13.77,16.11,179816
3907,2025-03-18,14.61,14.89,14.05,14.89,459980
3906,2025-03-17,13.39,13.58,12.36,13.58,119181
3905,2025-03-14,11.24,12.36,11.24,12.36,100876
3904,2025-03-13,11.14,11.52,11.14,11.24,49000
3903,2025-03-12,11.05,11.42,10.96,11.05,27300
3902,2025-03-11,11.05,11.05,10.96,11.05,11815
3901,2025-03-10,11.14,11.24,10.96,11.05,34307
3900,2025-03-07,11.52,11.52,11.05,11.05,14102
3899,2025-03-06,11.8,11.8,10.67,11.42,52911
3898,2025-03-05,11.8,11.89,11.42,11.8,17200
3897,2025-03-04,11.7,11.89,11.42,11.89,57053
3896,2025-03-03,11.7,12.45,11.7,11.89,49201
3895,2025-02-28,12.17,12.17,11.52,11.7,12502
3894,2025-02-27,11.61,12.45,11.52,12.08,48014
3893,2025-02-26,11.61,11.99,11.42,11.61,68002
3892,2025-02-25,11.52,11.7,11.24,11.52,42694
3891,2025-02-24,11.61,11.89,11.52,11.52,65132
3890,2025-02-21,12.27,12.27,11.8,11.89,58059
3889,2025-02-20,12.17,12.83,12.17,12.17,90449
3888,2025-02-19,13.02,13.11,12.17,12.17,60104
3887,2025-02-18,14.05,14.05,12.55,13.02,111293
3886,2025-02-17,13.86,14.51,12.55,13.86,200825
3885,2025-02-14,13.11,14.05,13.11,13.86,140015
3884,2025-02-13,12.27,13.48,11.33,13.02,102349
3883,2025-02-12,12.92,13.2,11.24,12.36,232039
3882,2025-02-11,12.08,12.08,11.61,12.08,67670
3881,2025-02-10,10.11,11.05,10.11,11.05,90359
3880,2025-02-07,9.74,10.11,9.74,10.11,20305
3879,2025-02-06,9.74,9.93,9.74,9.74,5700
3878,2025-02-05,9.64,9.74,9.55,9.74,3000
3877,2025-02-04,9.46,9.74,9.46,9.74,2300
3876,2025-02-03,9.74,9.74,9.74,9.74,0
3875,2025-01-24,9.74,9.74,9.64,9.74,900
3874,2025-01-23,9.55,9.83,9.55,9.74,12400
3873,2025-01-22,9.46,9.55,9.46,9.55,7112
3872,2025-01-21,9.36,9.55,9.36,9.46,13300
3871,2025-01-20,9.36,9.36,9.36,9.36,0
3870,2025-01-17,9.27,9.36,9.18,9.36,1000
3869,2025-01-16,9.27,9.46,9.27,9.46,3000
3868,2025-01-15,9.46,9.46,9.27,9.46,2200
3867,2025-01-14,9.36,9.36,9.36,9.36,0
3866,2025-01-13,9.36,9.36,9.36,9.36,100
3865,2025-01-10,9.27,9.27,9.27,9.27,2600
3864,2025-01-09,9.27,9.36,9.27,9.36,5100
3863,2025-01-08,9.18,10.11,9.18,9.36,8700
3862,2025-01-07,9.18,9.36,9.18,9.36,5700
3861,2025-01-06,9.27,9.27,9.27,9.27,5400
3860,2025-01-03,9.18,9.27,9.08,9.27,5100
3859,2025-01-02,9.18,9.27,9.18,9.27,4100
3858,2024-12-31,9.18,9.27,9.18,9.27,10800
3857,2024-12-30,9.18,9.18,9.18,9.18,14500
3856,2024-12-27,9.18,9.36,9.18,9.27,5000
3855,2024-12-26,9.27,9.27,9.27,9.27,2600
3854,2024-12-25,9.08,9.27,9.08,9.27,4779
3853,2024-12-24,9.08,9.08,9.08,9.08,0
3852,2024-12-23,9.08,9.08,9.08,9.08,9
3851,2024-12-20,9.08,9.08,9.08,9.08,1200
3850,2024-12-19,9.18,9.18,9.08,9.08,12100
3849,2024-12-18,9.18,9.18,9.18,9.18,14400
3848,2024-12-17,9.18,9.18,9.18,9.18,100
3847,2024-12-16,9.18,9.18,9.18,9.18,1500
3846,2024-12-13,9.18,9.18,9.18,9.18,1629
3845,2024-12-12,9.27,9.27,9.18,9.18,7200
3844,2024-12-11,9.27,9.27,9.27,9.27,0
3843,2024-12-10,9.08,9.27,9.08,9.27,4301
3842,2024-12-09,9.18,9.18,9.18,9.18,5000
3841,2024-12-06,9.18,9.18,9.18,9.18,2300
