,Date,Open,High,Low,Close
1347,2025-10-06,22.7,22.7,22.6,22.6
1346,2025-09-19,22.8,22.8,22.8,22.8
1345,2025-09-11,22.8,22.8,22.8,22.8
1344,2025-09-08,22.8,22.8,22.8,22.8
1343,2025-09-03,22.8,22.8,22.8,22.8
1342,2025-08-20,22.8,22.8,22.8,22.8
1341,2025-08-15,22.8,22.8,22.8,22.8
1340,2025-08-07,22.8,22.8,22.8,22.8
1339,2025-07-28,24.3,24.3,24.3,24.3
1338,2025-07-25,24.3,24.3,24.3,24.3
1337,2025-07-24,24.3,24.3,24.3,24.3
1336,2025-07-23,24.3,24.3,24.3,24.3
1335,2025-07-22,24.3,24.3,24.3,24.3
1334,2025-07-21,24.3,24.3,24.3,24.3
1333,2025-07-18,24.3,24.3,24.3,24.3
1332,2025-07-17,24.3,24.3,24.3,24.3
1331,2025-07-16,22.1,22.1,22.1,22.1
1330,2025-07-15,22.1,22.1,22.1,22.1
1329,2025-07-14,22.1,22.1,22.1,22.1
1328,2025-07-11,24.47,24.47,24.47,24.47
1327,2025-07-10,22.29,22.29,22.29,22.29
1326,2025-07-09,22.29,22.29,22.29,22.29
1325,2025-07-08,22.29,22.29,22.29,22.29
1324,2025-07-07,22.19,22.19,22.19,22.19
1323,2025-07-04,22.19,22.19,22.19,22.19
1322,2025-07-03,22.19,22.19,22.19,22.19
1321,2025-07-02,22.19,22.19,22.19,22.19
1320,2025-07-01,22.19,22.19,22.19,22.19
1319,2025-06-30,22.1,22.19,22.1,22.19
1318,2025-06-27,24.47,24.47,24.47,24.47
1317,2025-06-26,24.47,24.47,24.47,24.47
1316,2025-06-25,24.47,24.47,24.47,24.47
1315,2025-06-24,24.47,24.47,24.47,24.47
1314,2025-06-23,27.13,27.13,27.13,27.13
1313,2025-06-20,27.13,27.13,27.13,27.13
1312,2025-06-19,27.13,27.13,27.13,27.13
1311,2025-06-18,27.03,27.13,27.03,27.13
1310,2025-06-17,25.14,25.14,25.14,25.14
1309,2025-06-16,25.14,25.14,25.14,25.14
1308,2025-06-13,25.14,25.14,25.14,25.14
1307,2025-06-12,25.14,25.14,25.14,25.14
1306,2025-06-11,25.14,25.14,25.14,25.14
1305,2025-06-10,25.14,25.14,25.14,25.14
1304,2025-06-09,25.14,25.14,25.14,25.14
1303,2025-06-06,25.14,25.14,25.14,25.14
1302,2025-06-05,24.95,24.95,24.95,24.95
1301,2025-06-04,24.85,24.95,24.85,24.95
1300,2025-06-03,22.76,22.76,22.76,22.76
1299,2025-06-02,22.76,22.76,22.76,22.76
1298,2025-05-30,22.76,22.76,22.76,22.76
1297,2025-05-29,22.76,22.76,22.76,22.76
1296,2025-05-28,22.76,22.76,22.76,22.76
1295,2025-05-27,22.76,22.76,22.76,22.76
1294,2025-05-26,22.76,22.76,22.76,22.76
1293,2025-05-23,22.76,22.76,22.76,22.76
1292,2025-05-22,23.43,23.43,23.43,23.43
1291,2025-05-21,23.71,23.71,23.71,23.71
1290,2025-05-20,23.71,23.71,23.71,23.71
1289,2025-05-19,23.71,23.71,23.71,23.71
1288,2025-05-16,25.89,25.89,25.89,25.89
1287,2025-05-15,25.89,25.89,25.89,25.89
1286,2025-05-14,25.89,25.89,25.89,25.89
1285,2025-05-13,25.89,25.89,25.89,25.89
1284,2025-05-12,25.89,25.89,25.89,25.89
1283,2025-05-09,26.75,26.75,25.89,25.89
1282,2025-05-08,22.19,24.66,22.19,24.66
1281,2025-05-07,24.66,24.66,24.66,24.66
1280,2025-05-06,24.95,24.95,24.57,24.66
1279,2025-05-05,22.76,22.76,22.76,22.76
1278,2025-04-29,22.76,22.76,22.76,22.76
1277,2025-04-28,25.14,25.14,25.14,25.14
1276,2025-04-25,25.14,25.14,25.14,25.14
1275,2025-04-24,25.14,25.14,25.14,25.14
1274,2025-04-23,25.14,25.14,25.14,25.14
1273,2025-04-22,25.14,25.14,25.14,25.14
1272,2025-04-21,25.14,25.14,25.14,25.14
1271,2025-04-18,25.14,25.14,25.14,25.14
1270,2025-04-17,25.14,25.14,25.14,25.14
1269,2025-04-16,25.14,25.14,25.14,25.14
1268,2025-04-15,25.14,25.14,25.14,25.14
1267,2025-04-14,25.14,25.14,25.14,25.14
1266,2025-04-11,25.14,25.14,25.14,25.14
1265,2025-04-10,25.14,25.14,25.14,25.14
1264,2025-04-09,25.14,25.14,25.14,25.14
1263,2025-04-08,25.14,25.14,25.14,25.14
1262,2025-04-04,25.14,25.14,25.14,25.14
1261,2025-04-03,25.14,25.14,25.14,25.14
1260,2025-04-02,25.14,25.14,25.14,25.14
1259,2025-04-01,25.14,25.14,25.14,25.14
1258,2025-03-31,25.14,25.14,25.14,25.14
1257,2025-03-28,25.14,25.14,25.14,25.14
1256,2025-03-27,25.14,25.14,25.14,25.14
1255,2025-03-26,25.14,25.14,25.14,25.14
1254,2025-03-25,25.14,25.14,25.14,25.14
1253,2025-03-24,25.14,25.14,25.14,25.14
1252,2025-03-21,25.14,25.14,25.14,25.14
1251,2025-03-20,25.14,25.14,25.14,25.14
1250,2025-03-19,25.14,25.14,25.14,25.14
1249,2025-03-18,25.14,25.14,25.14,25.14
1248,2025-03-17,25.14,25.14,25.14,25.14
1247,2025-03-14,25.14,25.14,25.14,25.14
1246,2025-03-13,25.14,25.14,25.14,25.14
1245,2025-03-12,25.14,25.14,25.14,25.14
1244,2025-03-11,25.14,25.14,25.14,25.14
1243,2025-03-10,25.14,25.14,25.14,25.14
1242,2025-03-07,25.14,25.14,25.14,25.14
1241,2025-03-06,25.42,25.42,25.42,25.42
1240,2025-03-05,25.42,25.42,25.42,25.42
1239,2025-03-04,25.42,25.42,25.42,25.42
1238,2025-03-03,25.42,25.42,25.42,25.42
1237,2025-02-28,25.42,25.42,25.42,25.42
1236,2025-02-27,25.42,25.42,25.42,25.42
1235,2025-02-26,25.42,25.42,25.42,25.42
1234,2025-02-25,25.42,25.42,25.42,25.42
1233,2025-02-24,25.42,25.42,25.42,25.42
1232,2025-02-21,25.42,25.42,25.42,25.42
1231,2025-02-20,25.42,25.42,25.42,25.42
1230,2025-02-19,25.42,25.42,25.42,25.42
1229,2025-02-18,25.42,25.42,25.42,25.42
