,Date,Open,High,Low,Close
728,2025-10-17,5.1,5.1,5.1,5.1
727,2025-10-16,4.9,5.7,4.9,5.7
726,2025-10-15,5.0,5.0,5.0,5.0
725,2025-10-14,4.5,5.0,4.5,5.0
724,2025-10-13,4.4,4.5,4.4,4.4
723,2025-10-10,5.2,5.2,5.1,5.1
722,2025-10-09,6.5,6.5,5.1,5.1
721,2025-10-08,6.0,6.0,6.0,6.0
720,2025-10-07,8.5,8.5,6.8,6.8
719,2025-10-06,8.0,8.0,8.0,8.0
718,2025-10-03,7.5,7.5,7.5,7.5
717,2025-10-02,6.8,6.8,6.8,6.8
716,2025-09-30,6.0,6.0,6.0,6.0
715,2025-09-26,6.0,7.0,6.0,6.0
714,2025-09-25,6.2,6.2,6.2,6.2
713,2025-09-24,5.5,5.5,5.4,5.4
712,2025-09-23,5.2,5.2,5.2,5.2
711,2025-09-22,4.6,4.6,4.6,4.6
710,2025-09-19,3.8,4.5,3.8,4.5
709,2025-09-18,4.3,5.4,4.3,5.4
708,2025-09-17,4.9,5.2,4.9,5.2
707,2025-09-15,4.7,5.0,4.7,5.0
706,2025-09-12,4.7,4.7,4.7,4.7
705,2025-09-10,5.9,5.9,5.5,5.5
704,2025-08-28,5.3,5.4,5.3,5.4
703,2025-08-27,5.2,5.2,5.2,5.2
702,2025-08-26,4.9,4.9,4.9,4.9
701,2025-08-22,4.5,4.5,4.4,4.5
700,2025-08-20,5.1,5.1,5.1,5.1
699,2025-08-19,4.5,4.5,4.5,4.5
698,2025-08-14,5.0,5.2,5.0,5.2
697,2025-08-13,5.2,5.2,5.2,5.2
696,2025-08-12,5.2,5.4,5.2,5.4
695,2025-08-11,5.9,5.9,4.5,4.5
694,2025-08-08,5.2,5.2,5.2,5.2
693,2025-08-07,4.6,4.6,4.6,4.6
692,2025-08-06,5.5,5.5,4.8,4.8
691,2025-08-05,4.8,6.0,4.8,6.0
690,2025-08-04,5.6,6.2,5.6,6.2
689,2025-07-03,5.6,5.6,5.6,5.6
688,2025-06-30,5.1,5.1,5.1,5.1
687,2025-06-27,4.5,5.1,4.5,5.1
686,2025-06-24,5.1,5.2,5.1,5.2
685,2025-06-20,5.1,5.1,5.1,5.1
684,2025-06-18,4.9,4.9,4.9,4.9
683,2025-06-04,5.1,5.1,5.1,5.1
682,2025-06-02,5.0,5.0,5.0,5.0
681,2025-05-30,4.5,4.5,4.5,4.5
680,2025-05-28,4.9,5.0,4.9,5.0
679,2025-05-27,5.0,5.0,5.0,5.0
678,2025-05-23,4.4,4.4,4.4,4.4
677,2025-05-20,5.1,5.1,5.1,5.1
676,2025-05-19,5.2,5.2,4.6,4.6
675,2025-05-16,4.6,4.6,4.6,4.6
674,2025-05-15,4.6,4.6,4.6,4.6
673,2025-05-14,5.1,5.1,4.1,4.1
672,2025-05-13,4.5,4.5,4.4,4.4
671,2025-05-12,4.9,4.9,4.8,4.8
670,2025-05-08,5.2,5.2,4.2,4.2
669,2025-05-07,4.7,4.7,4.7,4.7
668,2025-05-05,5.3,5.3,4.8,5.2
667,2025-04-29,5.2,5.2,4.8,4.8
666,2025-04-28,4.7,4.7,4.7,4.7
665,2025-04-25,4.2,4.2,4.1,4.1
664,2025-04-24,4.9,4.9,4.4,4.9
663,2025-04-23,5.2,5.2,5.0,5.0
662,2025-04-22,4.6,4.6,4.5,4.6
661,2025-04-21,4.2,4.2,3.8,3.8
660,2025-04-18,3.7,3.7,3.7,3.7
659,2025-04-17,3.3,4.0,3.0,4.0
658,2025-04-16,3.5,3.5,3.5,3.5
657,2025-04-15,4.9,4.9,3.8,3.8
656,2025-04-11,4.2,4.9,4.2,4.9
655,2025-04-10,4.9,4.9,4.9,4.9
654,2025-04-09,4.3,4.3,4.3,4.3
653,2025-04-04,5.2,5.2,4.8,4.9
652,2025-04-03,4.9,4.9,4.9,4.9
651,2025-04-02,3.4,4.6,3.4,4.5
