,Date,Open,High,Low,Close
2150,2025-10-17,20.7,20.7,20.1,20.2
2149,2025-10-16,20.8,20.8,20.0,20.4
2148,2025-10-15,20.8,20.8,20.4,20.4
2147,2025-10-14,20.8,20.8,20.3,20.4
2146,2025-10-13,20.2,20.5,20.1,20.5
2145,2025-10-10,20.6,20.8,20.1,20.7
2144,2025-10-09,23.2,23.2,21.0,21.4
2143,2025-10-08,23.1,23.1,20.0,20.5
2142,2025-10-07,22.4,22.5,20.5,22.4
2141,2025-10-06,22.4,22.4,22.4,22.4
2140,2025-10-03,22.2,22.2,22.2,22.2
2139,2025-10-02,22.3,22.5,22.3,22.4
2138,2025-10-01,22.3,22.3,22.3,22.3
2137,2025-09-30,22.4,22.4,21.6,21.9
2136,2025-09-29,22.8,22.8,21.9,22.0
2135,2025-09-26,22.6,22.6,21.8,22.2
2134,2025-09-25,22.7,22.7,22.0,22.4
2133,2025-09-24,23.0,23.0,22.0,22.3
2132,2025-09-23,23.4,23.4,22.3,22.5
2131,2025-09-22,24.0,24.0,22.5,22.8
2130,2025-09-19,23.2,23.2,23.0,23.0
2129,2025-09-18,22.9,23.5,22.8,23.2
2128,2025-09-17,23.6,23.6,23.6,23.6
2127,2025-09-16,23.8,23.8,23.2,23.2
2126,2025-09-15,23.2,23.4,23.0,23.2
2125,2025-09-12,24.0,24.0,24.0,24.0
2124,2025-09-11,23.5,23.5,22.9,23.1
2123,2025-09-10,23.2,23.2,23.1,23.2
2122,2025-09-09,23.2,23.3,23.1,23.2
2121,2025-09-08,23.3,23.3,22.9,23.2
2120,2025-09-05,23.3,24.3,23.0,23.3
2119,2025-09-04,23.4,23.4,23.1,23.3
2118,2025-09-03,23.5,23.5,23.3,23.4
2117,2025-08-29,23.6,23.7,23.5,23.5
2116,2025-08-28,23.2,23.6,23.2,23.5
2115,2025-08-27,23.1,23.2,22.9,22.9
2114,2025-08-26,23.2,23.2,23.0,23.2
2113,2025-08-25,23.5,24.0,22.5,23.1
2112,2025-08-22,23.0,24.0,23.0,23.4
2111,2025-08-21,24.3,24.3,23.7,23.7
2110,2025-08-20,24.7,24.7,24.0,24.1
2109,2025-08-19,25.1,25.1,24.7,25.0
2108,2025-08-18,25.1,25.4,24.7,25.0
2107,2025-08-15,25.1,25.2,24.9,25.0
2106,2025-08-14,25.7,25.7,24.8,25.0
2105,2025-08-13,26.1,26.2,25.0,25.7
2104,2025-08-12,26.2,26.6,25.9,26.2
2103,2025-08-11,27.0,27.3,26.2,26.5
2102,2025-08-08,26.0,28.0,25.5,27.5
2101,2025-08-07,26.6,26.7,25.5,25.9
2100,2025-08-06,26.6,28.0,26.0,26.4
2099,2025-08-05,22.9,25.6,22.9,25.6
2098,2025-08-04,22.0,22.7,21.4,22.3
2097,2025-08-01,21.3,22.4,21.1,22.2
2096,2025-07-31,22.3,22.3,21.8,21.9
2095,2025-07-30,22.7,22.7,22.0,22.3
2094,2025-07-29,23.4,23.5,22.0,22.7
2093,2025-07-28,23.5,23.6,23.0,23.1
2092,2025-07-25,24.0,24.1,23.0,23.5
2091,2025-07-24,24.4,24.4,23.8,23.8
2090,2025-07-23,24.5,24.9,24.0,24.1
2089,2025-07-22,24.5,24.8,24.2,24.4
