,Date,Open,High,Low,Close
3980,2025-10-17,91.4,94.0,88.0,88.0
3979,2025-10-16,85.0,88.2,84.8,88.2
3978,2025-10-15,83.0,83.7,82.5,82.5
3977,2025-10-14,85.6,85.6,82.5,82.5
3976,2025-10-13,83.6,85.8,83.6,85.0
3975,2025-10-10,83.5,84.2,83.0,84.1
3974,2025-10-09,82.9,84.2,82.7,83.1
3973,2025-10-08,83.7,84.4,82.6,82.6
3972,2025-10-07,83.3,83.4,82.5,82.5
3971,2025-10-06,81.4,83.3,81.0,83.0
3970,2025-10-03,81.2,81.2,79.4,80.0
3969,2025-10-02,81.5,82.1,81.0,81.5
3968,2025-10-01,81.1,82.3,81.1,81.3
3967,2025-09-30,82.0,82.0,80.5,81.0
3966,2025-09-29,82.2,82.5,81.3,81.8
3965,2025-09-26,82.2,83.5,82.0,82.2
3964,2025-09-25,83.5,83.6,82.2,82.2
3963,2025-09-24,82.0,83.7,81.1,82.9
3962,2025-09-23,81.9,82.6,81.5,81.9
3961,2025-09-22,83.9,84.0,81.0,81.9
3960,2025-09-19,84.6,84.7,83.3,83.9
3959,2025-09-18,84.4,85.2,83.5,84.0
3958,2025-09-17,86.6,86.9,84.2,84.2
3957,2025-09-16,89.0,89.0,86.8,86.8
3956,2025-09-15,86.8,89.0,86.3,88.5
3955,2025-09-12,82.3,86.9,81.6,86.0
3954,2025-09-11,80.8,82.3,79.1,82.0
3953,2025-09-10,81.4,81.4,80.0,81.0
3952,2025-09-09,81.0,81.3,79.8,81.0
3951,2025-09-08,82.6,83.3,80.0,81.0
3950,2025-09-05,86.3,87.4,83.0,83.0
3949,2025-09-04,83.5,85.3,82.0,84.8
3948,2025-09-03,83.5,85.3,82.9,83.0
3947,2025-08-29,83.2,83.6,82.2,83.0
3946,2025-08-28,82.5,83.3,81.9,83.1
3945,2025-08-27,81.3,82.8,81.2,82.2
3944,2025-08-26,78.7,81.1,78.2,81.1
3943,2025-08-25,81.3,81.8,78.3,79.5
3942,2025-08-22,83.0,83.4,79.7,81.0
3941,2025-08-21,83.9,84.8,83.3,84.3
3940,2025-08-20,86.8,87.4,81.0,83.9
3939,2025-08-19,84.5,86.5,83.2,85.0
3938,2025-08-18,83.1,84.4,83.0,83.9
3937,2025-08-15,84.8,86.2,82.7,83.1
3936,2025-08-14,86.6,86.8,83.8,84.8
3935,2025-08-13,84.4,87.4,82.1,85.9
3934,2025-08-12,85.0,86.0,82.3,83.6
3933,2025-08-11,77.9,82.0,77.8,82.0
3932,2025-08-08,76.5,77.7,75.6,76.7
3931,2025-08-07,76.4,77.8,75.8,76.2
3930,2025-08-06,75.6,76.8,75.2,76.0
3929,2025-08-05,74.0,77.2,73.5,74.6
3928,2025-08-04,72.1,74.0,71.8,73.9
3927,2025-08-01,72.3,72.5,71.1,72.5
3926,2025-07-31,73.1,73.4,70.8,72.5
3925,2025-07-30,73.0,73.5,71.0,73.0
3924,2025-07-29,78.5,78.5,72.2,72.2
3923,2025-07-28,76.2,78.6,75.9,77.6
3922,2025-07-25,76.0,77.2,75.5,75.8
3921,2025-07-24,77.5,77.5,75.4,76.0
3920,2025-07-23,78.7,79.3,77.2,77.3
3919,2025-07-22,77.3,78.4,76.6,77.7
3918,2025-07-21,79.6,79.8,77.5,77.5
3917,2025-07-18,76.5,81.0,76.5,79.1
3916,2025-07-17,75.8,77.3,75.6,76.2
3915,2025-07-16,74.3,75.5,74.0,75.0
3914,2025-07-15,75.3,76.7,74.5,74.5
3913,2025-07-14,76.9,77.1,74.6,75.3
3912,2025-07-11,76.8,77.5,76.1,76.5
3911,2025-07-10,76.0,78.4,75.9,76.9
3910,2025-07-09,76.5,76.5,75.4,75.8
3909,2025-07-08,74.9,76.2,74.6,75.6
3908,2025-07-07,75.0,75.7,74.3,74.8
3907,2025-07-04,74.7,75.0,73.7,74.6
3906,2025-07-03,74.8,76.3,74.1,74.5
3905,2025-07-02,75.0,76.3,74.6,75.2
3904,2025-07-01,76.2,76.7,74.9,75.2
3903,2025-06-30,76.6,77.4,76.0,76.8
3902,2025-06-27,72.3,76.9,72.0,76.8
3901,2025-06-26,70.4,72.0,70.2,72.0
3900,2025-06-25,69.7,70.4,69.1,70.3
3899,2025-06-24,68.9,69.3,68.3,69.2
3898,2025-06-23,66.8,68.0,66.2,68.0
3897,2025-06-20,67.4,67.6,66.8,67.5
3896,2025-06-19,67.0,67.5,66.1,67.5
3895,2025-06-18,67.9,67.9,66.6,67.5
3894,2025-06-17,67.0,67.9,66.2,67.9
3893,2025-06-16,65.7,67.0,65.4,66.8
3892,2025-06-13,65.0,65.4,64.3,65.4
3891,2025-06-12,65.3,66.0,65.2,65.8
3890,2025-06-11,64.8,65.2,64.1,64.8
3889,2025-06-10,64.5,65.5,64.1,64.8
3888,2025-06-09,65.0,65.0,63.5,64.1
3887,2025-06-06,65.9,66.4,64.7,65.0
3886,2025-06-05,64.4,65.8,63.9,65.8
3885,2025-06-04,63.5,64.4,63.0,64.1
3884,2025-06-03,62.3,63.6,62.3,63.3
3883,2025-06-02,62.0,62.5,61.7,62.1
3882,2025-05-30,63.0,63.1,62.0,62.0
3881,2025-05-29,64.1,64.2,62.9,63.4
3880,2025-05-28,64.1,64.5,63.5,63.9
3879,2025-05-27,63.9,64.8,63.5,64.0
3878,2025-05-26,63.2,63.8,61.5,63.8
3877,2025-05-23,64.0,64.3,62.7,63.2
3876,2025-05-22,63.6,64.6,63.2,64.0
3875,2025-05-21,63.1,64.3,63.1,63.6
